team,rpi,year 
St. Louis,0.5827,2000
SMS,0.5824,2000
Gonzaga,0.5823,2000
Kent,0.5811,2000
Miami-Florida,0.5805,2000
Missouri,0.5789,2000
Vanderbilt,0.5774,2000
St. Bonaventure,0.5773,2000
North Carolina,0.5769,2000
Villanova,0.5737,2000
Dayton,0.5736,2000
Ball State,0.5731,2000
Arkansas,0.5719,2000
BYU,0.5707,2000
Indiana St,0.5705,2000
Seton Hall,0.5693,2000
SMU,0.5692,2000
Utah,0.569,2000
UNLV,0.569,2000
Pepperdine,0.5681,2000
Southern Ill,0.5659,2000
Hofstra,0.5651,2000
Butler,0.5645,2000
Bowling Green,0.5641,2000
UNC Charlotte,0.563,2000
Wake Forest,0.562,2000
Creighton,0.5608,2000
Iowa,0.5599,2000
SE Missouri St,0.5599,2000
Southern Miss,0.5598,2000
Arizona St,0.5598,2000
Notre Dame,0.5571,2000
New Mexico St,0.5566,2000
Louisiana,0.5544,2000
Marquette,0.5508,2000
Georgetown,0.549,2000
Mississippi,0.549,2000
Long Beach,0.5487,2000
California,0.5486,2000
Colorado,0.5485,2000
Ohio,0.5484,2000
Pennsylvania,0.5484,2000
Toledo,0.5481,2000
Virginia,0.5479,2000
Southern Cal,0.5474,2000
Northern Ariz,0.5469,2000
TCU,0.5468,2000
Tulane,0.5466,2000
North Carolina St,0.5466,2000
Penn State,0.5465,2000
Siena,0.5462,2000
Murray St,0.5457,2000
New Mexico,0.5454,2000
Delaware,0.5447,2000
South Carolina,0.5444,2000
Xavier,0.5444,2000
Miami-Ohio,0.5441,2000
Michigan,0.5441,2000
Alabama,0.5404,2000
Richmond,0.5393,2000
Princeton,0.5393,2000
West Virginia,0.5387,2000
CS-Northridge,0.5383,2000
George Mason,0.5383,2000
Marshall,0.5372,2000
UAB,0.5367,2000
Iona,0.5366,2000
Coll of Charleston,0.535,2000
Wyoming,0.5349,2000
Central Conn,0.5346,2000
Rutgers,0.5333,2000
Colorado St,0.5332,2000
Weber St,0.5324,2000
Santa Clara,0.5323,2000
Appalachian St,0.5307,2000
UMass,0.53,2000
San Diego,0.5298,2000
Bradley,0.5297,2000
Hawaii,0.529,2000
Sam Houston,0.5287,2000
St. Joseph's,0.5286,2000
Minnesota,0.5281,2000
Maine,0.5279,2000
James Madison,0.5275,2000
South Alabama,0.5262,2000
Montana,0.5259,2000
Lafayette,0.5254,2000
George Wash,0.5252,2000
Evansville,0.5248,2000
Memphis,0.5244,2000
Pittsburgh,0.5229,2000
UNC Wilmington,0.5225,2000
Akron,0.5224,2000
La Tech,0.5221,2000
Mississippi St,0.5221,2000
South Florida,0.522,2000
Eastern Wash,0.5215,2000
Baylor,0.5213,2000
Navy,0.5209,2000
Florida St,0.5208,2000
Detroit,0.5205,2000
San Francisco,0.52,2000
Fordham,0.52,2000
Wis-Milwaukee,0.5183,2000
UTEP,0.5181,2000
Samford,0.5176,2000
Oregon St,0.5136,2000
Virginia Tech,0.5134,2000
Eastern Mich,0.5118,2000
Kansas St,0.5091,2000
Winthrop,0.5076,2000
Niagara,0.5063,2000
Northern Iowa,0.5058,2000
Boston College,0.5056,2000
Fairfield,0.5051,2000
Eastern Ill,0.5048,2000
Georgia Tech,0.5047,2000
Robert Morris,0.5043,2000
Texas Tech,0.5033,2000
Cleveland St,0.503,2000
Austin Peay,0.5018,2000
Bucknell,0.5018,2000
Wis-Green Bay,0.5017,2000
Nebraska,0.5016,2000
UL-Monroe,0.501,2000
Fairleigh Dickinson,0.4975,2000
San Jose St,0.4972,2000
Georgia St,0.4963,2000
Radford,0.4962,2000
Washington,0.4961,2000
Florida Intl,0.4949,2000
Georgia,0.4947,2000
St. Francis-NY,0.493,2000
Quinnipiac,0.4927,2000
Tennessee Tech,0.4917,2000
Clemson,0.4907,2000
La Salle,0.4901,2000
Middle Tenn St,0.49,2000
Davidson,0.49,2000
Northern Ill,0.4888,2000
VCU,0.4883,2000
Georgia So,0.4866,2000
Providence,0.4853,2000
William & Mary,0.4838,2000
Vermont,0.483,2000
Rider,0.4821,2000
Lamar,0.4815,2000
TX-San Antonio,0.4807,2000
Troy St,0.4805,2000
Houston,0.4805,2000
Northwestern St,0.4802,2000
Wichita St,0.4799,2000
Arkansas St,0.4778,2000
Boise St,0.4767,2000
Western Mich,0.4764,2000
Alcorn St,0.4751,2000
UNC Greensboro,0.4735,2000
Drake,0.4719,2000
Portland St,0.4717,2000
TX-Arlington,0.4716,2000
Marist,0.4713,2000
Texas A&M,0.4713,2000
Idaho,0.4712,2000
Drexel,0.4709,2000
UC Irvine,0.4685,2000
Loyola-Chicago,0.4673,2000
Jacksonville St,0.4664,2000
Coppin St,0.4663,2000
UC Santa Barbara,0.4661,2000
Western Ky,0.4655,2000
Hampton,0.4653,2000
Alabama A&M,0.4631,2000
Bethune-Cookman,0.4631,2000
Central Florida,0.462,2000
Tenn-Martin,0.4614,2000
Monmouth,0.4612,2000
Illinois St,0.4609,2000
South Carolina St,0.4604,2000
Valparaiso,0.4601,2000
Duquesne,0.46,2000
Southern Utah,0.4593,2000
East Tenn St,0.4586,2000
UNC Asheville,0.4575,2000
Wofford,0.4572,2000
Oakland,0.4569,2000
UMKC,0.4567,2000
East Carolina,0.4555,2000
Jackson St,0.455,2000
Manhattan,0.4543,2000
Montana St,0.4536,2000
Air Force,0.453,2000
Canisius,0.4523,2000
Wright St,0.4522,2000
Washington St,0.4519,2000
Southern U,0.45,2000
Campbell,0.4498,2000
New Orleans,0.4498,2000
Western Car,0.4494,2000
American,0.4482,2000
Hartford,0.4481,2000
North Texas,0.4478,2000
Towson,0.4476,2000
Nevada,0.4475,2000
Old Dominion,0.447,2000
Illinois-Chi,0.447,2000
Columbia,0.447,2000
Rhode Island,0.4469,2000
Colgate,0.4466,2000
Elon,0.446,2000
Chattanooga,0.4459,2000
MD-Baltimore Co,0.4453,2000
Furman,0.443,2000
TX-Pan American,0.4417,2000
SW Texas St,0.4413,2000
Pacific,0.4406,2000
Youngstown St,0.4405,2000
Nicholls St,0.4388,2000
Idaho St,0.4386,2000
Northwestern,0.438,2000
Coastal Carolina,0.4376,2000
Central Mich,0.4359,2000
Cal Poly,0.4351,2000
Mt St. Mary's,0.4346,2000
Liberty,0.4346,2000
Buffalo,0.4342,2000
Oral Roberts,0.4333,2000
Alabama St,0.4328,2000
SE Louisiana,0.4322,2000
North Carolina A&T,0.4319,2000
Stony Brook,0.4316,2000
Sacramento St,0.4315,2000
San Diego St,0.4314,2000
St. Francis-PA,0.4309,2000
Portland,0.4294,2000
Wagner,0.4293,2000
Texas Southern,0.4272,2000
St. Mary's,0.4266,2000
Stetson,0.4261,2000
Centenary,0.4235,2000
Harvard,0.4226,2000
Tennessee St,0.4189,2000
Boston U,0.4187,2000
Chicago St,0.4174,2000
MD-East Shore,0.4171,2000
Belmont,0.4171,2000
Mercer,0.4161,2000
High Point,0.4161,2000
Norfolk St,0.4156,2000
Holy Cross,0.413,2000
Rice,0.4128,2000
McNeese St,0.4126,2000
Lehigh,0.4124,2000
Cornell,0.4123,2000
Long Island,0.4119,2000
Morehead St,0.4118,2000
Florida A&M,0.4101,2000
Miss Valley St,0.4084,2000
Denver,0.4083,2000
St. Peter's,0.4062,2000
Albany,0.4058,2000
Dartmouth,0.4047,2000
Fullerton St,0.4026,2000
Northeastern,0.4008,2000
Loyola-Maryland,0.4003,2000
The Citadel,0.3975,2000
Eastern Ky,0.3967,2000
Charleston So,0.3967,2000
Western Ill,0.3957,2000
Yale,0.3955,2000
IUPUI,0.3944,2000
Ark-Little Rock,0.3922,2000
Brown,0.3901,2000
Stephen F. Austin,0.3875,2000
Jacksonville,0.3873,2000
Army,0.3834,2000
Sacred Heart,0.3815,2000
VMI,0.38,2000
New Hampshire,0.3798,2000
Delaware St,0.3764,2000
Ark-Pine Bluff,0.3735,2000
Morgan St,0.373,2000
Florida Atl,0.3718,2000
Prairie View A&M,0.3711,2000
Loyola-Marymnt,0.3687,2000
Howard,0.3611,2000
Grambling,0.3217,2000
Duke,0.664,2001
Stanford,0.6547,2001
Michigan St,0.6419,2001
North Carolina,0.6401,2001
Boston College,0.6352,2001
Illinois,0.6335,2001
Mississippi,0.6291,2001
Arizona,0.6288,2001
Texas,0.628,2001
Kentucky,0.6245,2001
UCLA,0.624,2001
Kansas,0.622,2001
Iowa State,0.6183,2001
Tennessee,0.6149,2001
Oklahoma,0.6141,2001
Indiana,0.6111,2001
Florida,0.609,2001
Syracuse,0.6067,2001
Wisconsin,0.6066,2001
Fresno St,0.6037,2001
Southern Cal,0.6003,2001
Maryland,0.5993,2001
Creighton,0.5963,2001
Penn State,0.5961,2001
Notre Dame,0.5956,2001
Iowa,0.5952,2001
Georgia,0.5929,2001
Providence,0.5926,2001
Butler,0.5924,2001
Wake Forest,0.5924,2001
Cincinnati,0.5903,2001
Georgia St,0.5886,2001
Virginia,0.5886,2001
Ohio State,0.5878,2001
California,0.5863,2001
St. Joseph's,0.5863,2001
BYU,0.5847,2001
Temple,0.5842,2001
Georgia Tech,0.5837,2001
Mississippi St,0.5817,2001
Arkansas,0.5795,2001
Georgetown,0.5793,2001
Richmond,0.5791,2001
Xavier,0.5783,2001
Villanova,0.5765,2001
Hofstra,0.5759,2001
Missouri,0.5746,2001
Charlotte,0.5721,2001
Oklahoma St,0.5718,2001
Utah,0.5712,2001
Alabama,0.5711,2001
New Mexico,0.5707,2001
Southern Miss,0.5696,2001
UConn,0.5683,2001
Hawaii,0.5671,2001
Pittsburgh,0.567,2001
Auburn,0.5664,2001
Wyoming,0.5654,2001
Utah St,0.5649,2001
South Carolina,0.5643,2001
Tulsa,0.5634,2001
UTEP,0.5622,2001
TCU,0.5619,2001
UMass,0.5615,2001
St. John's,0.5608,2001
West Virginia,0.5603,2001
Purdue,0.559,2001
Seton Hall,0.5583,2001
St. Bonaventure,0.5561,2001
Detroit,0.5542,2001
UC Irvine,0.5539,2001
Dayton,0.5538,2001
Minnesota,0.5533,2001
Vanderbilt,0.5527,2001
Gonzaga,0.5523,2001
Western Ky,0.5523,2001
Miami-Florida,0.5522,2001
Illinois St,0.5512,2001
Pepperdine,0.5498,2001
Rutgers,0.5477,2001
Indiana St,0.5477,2001
CS Northridge,0.5455,2001
Santa Clara,0.5453,2001
Toledo,0.5442,2001
Holy Cross,0.5425,2001
George Mason,0.5423,2001
Southern Utah,0.5421,2001
South Alabama,0.5419,2001
UNC Wilmington,0.5417,2001
Arizona St,0.541,2001
North Carolina St,0.5409,2001
Coll of Charleston,0.5408,2001
Kent St,0.5405,2001
Nebraska,0.54,2001
Memphis,0.5395,2001
Bradley,0.5393,2001
Delaware,0.5372,2001
SMU,0.5372,2001
UNLV,0.5366,2001
Cleveland St,0.536,2001
Baylor,0.5348,2001
McNeese St,0.5336,2001
South Florida,0.5333,2001
LSU,0.5325,2001
Marshall,0.5323,2001
Colorado,0.5316,2001
Austin Peay,0.5314,2001
UAB,0.5313,2001
Ohio,0.5306,2001
Iona,0.5294,2001
Valparaiso,0.529,2001
Oregon,0.5282,2001
Marquette,0.5277,2001
Tennessee Tech,0.5269,2001
Eastern Ill,0.5258,2001
Saint Louis,0.5249,2001
Siena,0.5228,2001
Central Mich,0.5208,2001
Kansas St,0.5198,2001
Southern Ill,0.5194,2001
Miami-Ohio,0.519,2001
Wright St,0.5185,2001
Troy St,0.5171,2001
Wis-Milwaukee,0.517,2001
Maine,0.517,2001
George Wash,0.5166,2001
Princeton,0.515,2001
Murray St,0.5144,2001
Louisville,0.514,2001
Michigan,0.5113,2001
Colorado St,0.5113,2001
Hampton,0.5112,2001
Monmouth,0.51,2001
Northwestern,0.5099,2001
Canisius,0.5097,2001
Pacific,0.5093,2001
VCU,0.5082,2001
Rider,0.508,2001
Boise St,0.5078,2001
UL-Lafayette,0.5071,2001
Navy,0.5071,2001
Marist,0.5069,2001
Drexel,0.5059,2001
Ball State,0.5038,2001
San Jose St,0.5033,2001
St. Francis-NY,0.5026,2001
La Salle,0.5025,2001
Fordham,0.5014,2001
Chattanooga,0.5005,2001
Alabama St,0.4999,2001
Niagara,0.4997,2001
SMS,0.4992,2001
South Carolina St,0.4991,2001
San Diego St,0.499,2001
Rice,0.4975,2001
Evansville,0.4974,2001
San Diego,0.4973,2001
Washington,0.4971,2001
Wis-Green Bay,0.4965,2001
Long Beach,0.4949,2001
Oregon St,0.4942,2001
Radford,0.4941,2001
Bowling Green,0.4939,2001
Illinois-Chi,0.4931,2001
DePaul,0.493,2001
Washington St,0.4914,2001
Eastern Wash,0.491,2001
Clemson,0.4903,2001
Northwestern St,0.4893,2001
East Tenn St,0.4886,2001
Old Dominion,0.4885,2001
La Tech,0.4884,2001
Manhattan,0.4881,2001
Arkansas St,0.4875,2001
Florida St,0.4875,2001
Youngstown St,0.4865,2001
UNC Greensboro,0.4858,2001
Texas A&M,0.4857,2001
East Carolina,0.4848,2001
Weber St,0.4845,2001
Samford,0.4842,2001
Texas Tech,0.4837,2001
Ark-Little Rock,0.4834,2001
SE Missouri St,0.4833,2001
UMBC,0.4822,2001
Boston U,0.4819,2001
New Orleans,0.4815,2001
Winthrop,0.4812,2001
Virginia Tech,0.4794,2001
Akron,0.4793,2001
Sam Houston,0.4791,2001
Jacksonville,0.4782,2001
Drake,0.4779,2001
Brown,0.4777,2001
Idaho St,0.4765,2001
UC Santa Barbara,0.4764,2001
Miss Valley St,0.4763,2001
James Madison,0.4763,2001
TX-San Antonio,0.4732,2001
Stetson,0.4731,2001
Oakland,0.4726,2001
Alabama A&M,0.4696,2001
New Mexico St,0.4695,2001
Nevada,0.4693,2001
Norfolk St,0.4684,2001
Stony Brook,0.4676,2001
Nicholls St,0.4671,2001
UMKC,0.4665,2001
Mercer,0.4658,2001
Coppin St,0.4656,2001
Wagner,0.4645,2001
Houston,0.4637,2001
Georgia So,0.4636,2001
Northeastern,0.4635,2001
Alcorn St,0.4634,2001
William & Mary,0.4629,2001
Wichita St,0.4627,2001
Fairfield,0.4615,2001
Pennsylvania,0.4611,2001
Vermont,0.461,2001
Montana St,0.4591,2001
Fairleigh Dickinson,0.4587,2001
The Citadel,0.4583,2001
Duquesne,0.4581,2001
Davidson,0.4558,2001
Bucknell,0.4546,2001
Delaware St,0.4544,2001
Harvard,0.4543,2001
Air Force,0.454,2001
Morehead St,0.4533,2001
San Francisco,0.4532,2001
Tulane,0.4508,2001
Wofford,0.4487,2001
Rhode Island,0.4477,2001
UNC Asheville,0.4466,2001
Towson,0.4457,2001
TX-Arlington,0.4448,2001
UL-Monroe,0.4447,2001
SW Texas St,0.4446,2001
Lehigh,0.4433,2001
Long Island,0.4429,2001
Loyola-Chicago,0.4403,2001
Northern Ariz,0.4402,2001
Central Conn,0.4394,2001
Northern Iowa,0.4393,2001
North Carolina A&T,0.4384,2001
MD-East Shore,0.4381,2001
Portland,0.4371,2001
Jacksonville St,0.4363,2001
Tenn-Martin,0.4357,2001
IUPUI,0.4356,2001
Florida Intl,0.4342,2001
Colgate,0.4331,2001
American,0.4319,2001
Yale,0.4302,2001
Columbia,0.4292,2001
Western Mich,0.4291,2001
Oral Roberts,0.428,2001
Lafayette,0.4276,2001
Montana,0.4275,2001
Florida Atl,0.4272,2001
New Hampshire,0.4263,2001
Tennessee St,0.4259,2001
Appalachian St,0.4251,2001
Denver,0.4244,2001
Loyola-Marymnt,0.424,2001
St. Peter's,0.423,2001
St. Francis-PA,0.4227,2001
Furman,0.4216,2001
Belmont,0.4214,2001
Western Ill,0.421,2001
UCF,0.4207,2001
TAMU-CC,0.416,2001
Howard,0.4145,2001
Loyola-Maryland,0.4126,2001
Buffalo,0.4123,2001
Cal Poly,0.4121,2001
Southern U,0.4101,2001
Idaho,0.4092,2001
Liberty,0.4092,2001
Bethune-Cookman,0.4087,2001
Lamar,0.4085,2001
Portland St,0.4076,2001
Grambling,0.4074,2001
Coastal Carolina,0.4069,2001
TX-Pan American,0.4062,2001
Robert Morris,0.4059,2001
Sacred Heart,0.4055,2001
Stephen F. Austin,0.4048,2001
Army,0.4042,2001
SE Louisiana,0.4016,2001
Northern Ill,0.4012,2001
CS Fullerton,0.3987,2001
Jackson St,0.3982,2001
Centenary,0.3973,2001
Charleston So,0.397,2001
Western Car,0.3966,2001
Campbell,0.3946,2001
VMI,0.3945,2001
North Texas,0.394,2001
Eastern Ky,0.3936,2001
Chicago St,0.3932,2001
Dartmouth,0.3922,2001
Florida A&M,0.3918,2001
Texas Southern,0.391,2001
Mt St. Mary's,0.3898,2001
Morgan St,0.3888,2001
Middle Tenn St,0.3878,2001
Eastern Mich,0.3854,2001
Hartford,0.385,2001
Cornell,0.3843,2001
Elon,0.3825,2001
Quinnipiac,0.3811,2001
Prairie View A&M,0.3795,2001
St. Mary's,0.3778,2001
High Point,0.3762,2001
Albany,0.3734,2001
Sacramento St,0.3619,2001
Ark-Pine Bluff,0.3616,2001
Kansas,0.6654,2002
Cincinnati,0.6564,2002
Maryland,0.655,2002
Duke,0.6515,2002
Oklahoma,0.6513,2002
Arizona,0.6351,2002
Alabama,0.6302,2002
Connecticut,0.6288,2002
Mississippi St,0.6279,2002
Pittsburgh,0.6176,2002
Kentucky,0.6174,2002
Illinois,0.6171,2002
Texas Tech,0.6099,2002
Xavier,0.6096,2002
Florida,0.6095,2002
Miami-Florida,0.6089,2002
Ohio State,0.6086,2002
Georgia,0.6064,2002
Oklahoma St,0.6042,2002
Indiana,0.6041,2002
Gonzaga,0.6036,2002
Texas,0.6017,2002
Marquette,0.6004,2002
Wake Forest,0.5966,2002
Kent St,0.5964,2002
Southern Cal,0.5957,2002
Hawaii,0.5948,2002
Western Ky,0.5943,2002
California,0.5924,2002
UCLA,0.5922,2002
Utah,0.5906,2002
North Carolina St,0.5905,2002
Tulsa,0.59,2002
Oregon,0.5875,2002
Michigan St,0.5846,2002
Pennsylvania,0.5844,2002
Charlotte,0.5844,2002
Stanford,0.5825,2002
San Diego St,0.5823,2002
St. John's,0.5813,2002
Notre Dame,0.5799,2002
Boston College,0.5797,2002
Villanova,0.5784,2002
Creighton,0.573,2002
Mississippi,0.571,2002
Arkansas,0.5699,2002
South Carolina,0.5688,2002
Southern Ill,0.5687,2002
Pepperdine,0.5686,2002
Virginia,0.5673,2002
UNLV,0.5666,2002
BYU,0.5657,2002
Central Conn,0.5652,2002
Missouri,0.565,2002
Wisconsin,0.5642,2002
Georgetown,0.5636,2002
UNC Wilmington,0.5632,2002
Bowling Green,0.5629,2002
Vanderbilt,0.5628,2002
Utah St,0.5617,2002
Louisville,0.5611,2002
Dayton,0.5599,2002
Wyoming,0.5592,2002
Fresno St,0.5591,2002
Tennessee,0.5584,2002
New Mexico,0.5581,2002
Syracuse,0.5576,2002
LSU,0.5566,2002
Memphis,0.5563,2002
Iowa,0.5558,2002
Minnesota,0.555,2002
La Tech,0.5548,2002
Saint Joseph's,0.5544,2002
Richmond,0.5536,2002
South Florida,0.5533,2002
Princeton,0.553,2002
Butler,0.5496,2002
Ball State,0.5483,2002
Davidson,0.5454,2002
Temple,0.545,2002
Houston,0.5436,2002
St. Bonaventure,0.5424,2002
Valparaiso,0.5415,2002
Rutgers,0.5413,2002
UC Santa Barbara,0.541,2002
Georgia Tech,0.541,2002
VCU,0.5408,2002
Coll of Charleston,0.5404,2002
McNeese St,0.5403,2002
Detroit,0.5397,2002
George Mason,0.5387,2002
UC Irvine,0.5377,2002
UL-Lafayette,0.5352,2002
Georgia St,0.535,2002
New Mexico St,0.5336,2002
Providence,0.5325,2002
Arizona St,0.5325,2002
Illinois St,0.5296,2002
UL-Monroe,0.5291,2002
Purdue,0.529,2002
Yale,0.5286,2002
Auburn,0.5283,2002
Montana St,0.5269,2002
Tennessee Tech,0.5252,2002
Hampton,0.5249,2002
Massachusetts,0.5244,2002
Nevada,0.5243,2002
Pacific,0.523,2002
Nebraska,0.5225,2002
Washington,0.5212,2002
Saint Louis,0.521,2002
UNC Greensboro,0.5199,2002
East Tenn St,0.5197,2002
Wagner,0.5183,2002
Ohio,0.5183,2002
SMU,0.5183,2002
Colorado,0.5175,2002
Miami-Ohio,0.5159,2002
North Carolina,0.5157,2002
Brown,0.5155,2002
Chattanooga,0.5144,2002
Troy St,0.5143,2002
Florida Atl,0.5142,2002
Illinois-Chi,0.514,2002
Seton Hall,0.5135,2002
Wright St,0.513,2002
Northwestern,0.5124,2002
Florida St,0.5124,2002
Manhattan,0.5121,2002
Tulane,0.5119,2002
Marist,0.5118,2002
Monmouth,0.5117,2002
San Diego,0.5112,2002
TCU,0.5112,2002
Oakland,0.511,2002
Kansas St,0.5102,2002
George Wash,0.5093,2002
Weber St,0.5088,2002
Toledo,0.5082,2002
Delaware,0.507,2002
Samford,0.5061,2002
Michigan,0.5058,2002
Eastern Wash,0.5057,2002
SMS,0.5052,2002
La Salle,0.5051,2002
Murray St,0.5037,2002
Drexel,0.503,2002
TX-San Antonio,0.5018,2002
Boston U,0.5017,2002
Western Mich,0.5011,2002
UCF,0.501,2002
Jacksonville,0.5003,2002
UMBC,0.5001,2002
Clemson,0.4998,2002
Baylor,0.4997,2002
UAB,0.4995,2002
Loyola-Chicago,0.4995,2002
Georgia So,0.4985,2002
Furman,0.4973,2002
Wis-Milwaukee,0.497,2002
UMKC,0.496,2002
Holy Cross,0.4952,2002
Colorado St,0.4948,2002
Niagara,0.4948,2002
Oral Roberts,0.4939,2002
Wichita St,0.4937,2002
Iowa State,0.4935,2002
Northern Iowa,0.4932,2002
Ark-Little Rock,0.4921,2002
American,0.4918,2002
Marshall,0.4917,2002
Rider,0.491,2002
East Carolina,0.4907,2002
Harvard,0.4902,2002
CS Northridge,0.49,2002
Boise St,0.4897,2002
Montana,0.4892,2002
The Citadel,0.4886,2002
Oregon St,0.4884,2002
Vermont,0.4863,2002
Old Dominion,0.4861,2002
Alcorn St,0.4861,2002
St. Francis-NY,0.486,2002
Morehead St,0.486,2002
Duquesne,0.4847,2002
Cal Poly,0.4842,2002
Hofstra,0.4839,2002
New Orleans,0.4839,2002
Texas A&M,0.4837,2002
Drake,0.483,2002
TX-Pan American,0.4829,2002
Long Beach,0.4818,2002
DePaul,0.4811,2002
IUPUI,0.4811,2002
North Texas,0.481,2002
Virginia Tech,0.4805,2002
Santa Clara,0.4804,2002
Air Force,0.4804,2002
Howard,0.4795,2002
Colgate,0.4782,2002
Sam Houston,0.4736,2002
San Francisco,0.4734,2002
Lafayette,0.473,2002
Southern Miss,0.4729,2002
Middle Tenn St,0.4724,2002
Belmont,0.4719,2002
South Carolina St,0.4713,2002
Lamar,0.4703,2002
Quinnipiac,0.4699,2002
Cleveland St,0.4694,2002
West Virginia,0.4694,2002
Austin Peay,0.4689,2002
Arkansas St,0.4684,2002
Columbia,0.4677,2002
Northern Ill,0.4676,2002
UTEP,0.4662,2002
Winthrop,0.466,2002
Siena,0.4659,2002
Alabama A&M,0.4655,2002
Central Mich,0.4651,2002
Portland St,0.4649,2002
Alabama St,0.4646,2002
Akron,0.4641,2002
Rice,0.464,2002
Towson,0.4627,2002
William & Mary,0.4626,2002
Rhode Island,0.4619,2002
Buffalo,0.4617,2002
James Madison,0.4617,2002
Northern Ariz,0.4615,2002
Eastern Ill,0.4615,2002
Penn State,0.4609,2002
Fordham,0.4601,2002
Washington St,0.4584,2002
Iona,0.458,2002
Bradley,0.4579,2002
Fairfield,0.4574,2002
Stetson,0.4563,2002
Northwestern St,0.4547,2002
SW Texas St,0.4532,2002
Radford,0.4527,2002
Jacksonville St,0.4518,2002
TX-Arlington,0.4517,2002
Tenn-Martin,0.4513,2002
San Jose St,0.4508,2002
Bucknell,0.4501,2002
Delaware St,0.449,2002
Hartford,0.4479,2002
North Carolina A&T,0.4471,2002
Stephen F. Austin,0.447,2002
Wofford,0.4462,2002
VMI,0.4449,2002
Florida Intl,0.444,2002
Robert Morris,0.4429,2002
Southern Utah,0.4425,2002
St. Mary's,0.4423,2002
Indiana St,0.4422,2002
Texas Southern,0.4387,2002
Centenary,0.4382,2002
Dartmouth,0.4379,2002
Evansville,0.4349,2002
Loyola-Marymount,0.4346,2002
UNC Asheville,0.4341,2002
Appalachian St,0.4337,2002
Norfolk St,0.4321,2002
Western Car,0.4317,2002
UC Riverside,0.4301,2002
Maine,0.429,2002
Wis-Green Bay,0.4285,2002
Idaho,0.4283,2002
New Hampshire,0.428,2002
Army,0.428,2002
St. Francis-PA,0.4255,2002
Elon,0.4248,2002
Tennessee St,0.4248,2002
Bethune-Cookman,0.4242,2002
Idaho St,0.4239,2002
Western Ill,0.4231,2002
Grambling,0.4208,2002
Canisius,0.4208,2002
Campbell,0.4198,2002
Sacred Heart,0.4197,2002
Mercer,0.4187,2002
TAMU-CC,0.4182,2002
Navy,0.4179,2002
Portland,0.4179,2002
Jackson St,0.4178,2002
South Alabama,0.4174,2002
Charleston So,0.417,2002
Miss Valley St,0.4151,2002
Florida A&M,0.4148,2002
Cornell,0.4116,2002
MD-East Shore,0.4095,2002
High Point,0.4087,2002
Denver,0.4068,2002
Long Island,0.4062,2002
Birmingham Southern,0.4061,2002
Prairie View A&M,0.4054,2002
Albany,0.403,2002
Binghamton,0.4021,2002
Eastern Mich,0.4,2002
Northeastern,0.3953,2002
CS Fullerton,0.3938,2002
Coastal Carolina,0.3934,2002
Morris Brown,0.3929,2002
SE Louisiana,0.3916,2002
Stony Brook,0.3915,2002
Youngstown St,0.3902,2002
St. Peter's,0.389,2002
SE Missouri St,0.3834,2002
Southern U,0.3809,2002
Eastern Ky,0.3773,2002
Lehigh,0.3766,2002
Loyola-Maryland,0.3766,2002
Nicholls St,0.3749,2002
Coppin St,0.373,2002
Sacramento St,0.3719,2002
Chicago St,0.3696,2002
Fairleigh Dickinson,0.3665,2002
Morgan St,0.3638,2002
Mt St. Mary's,0.3598,2002
Lipscomb,0.3581,2002
Ark-Pine Bluff,0.3574,2002
Liberty,0.3429,2002
Kentucky,0.6596,2003
Arizona,0.6489,2003
Oklahoma,0.6471,2003
Texas,0.6434,2003
Georgia,0.6352,2003
Kansas,0.6351,2003
Wake Forest,0.6298,2003
Pittsburgh,0.6296,2003
Syracuse,0.6291,2003
Marquette,0.6277,2003
Louisville,0.627,2003
Duke,0.6246,2003
Dayton,0.6212,2003
Notre Dame,0.6191,2003
Florida,0.6179,2003
Utah,0.6141,2003
Missouri,0.6137,2003
Illinois,0.6136,2003
BYU,0.6127,2003
Xavier,0.6125,2003
Stanford,0.6123,2003
Oklahoma St,0.6088,2003
Creighton,0.6062,2003
Mississippi St,0.6057,2003
Wisconsin,0.6014,2003
Memphis,0.5998,2003
Saint Joseph's,0.5944,2003
Connecticut,0.593,2003
Cincinnati,0.592,2003
Purdue,0.5911,2003
Michigan St,0.5886,2003
Arizona St,0.5883,2003
California,0.5872,2003
Southern Ill,0.5867,2003
Butler,0.5865,2003
Auburn,0.5853,2003
Maryland,0.5853,2003
Alabama,0.5819,2003
LSU,0.5817,2003
UNLV,0.5806,2003
Weber St,0.5805,2003
Seton Hall,0.5803,2003
Gonzaga,0.5796,2003
Central Mich,0.5792,2003
Wis-Milwaukee,0.578,2003
Colorado,0.5778,2003
Indiana,0.5775,2003
Texas Tech,0.5771,2003
Boston College,0.5763,2003
Oregon,0.5744,2003
UNC Wilmington,0.5733,2003
North Carolina,0.5718,2003
North Carolina St,0.5693,2003
Ohio State,0.5687,2003
Manhattan,0.5685,2003
Providence,0.5662,2003
Saint Louis,0.5653,2003
Western Ky,0.5649,2003
Pennsylvania,0.564,2003
Tennessee,0.5637,2003
Holy Cross,0.5628,2003
DePaul,0.5614,2003
Wyoming,0.5609,2003
Tulsa,0.5598,2003
Michigan,0.5582,2003
Troy St,0.5548,2003
Coll of Charleston,0.5525,2003
Texas A&M,0.5525,2003
Fresno St,0.5522,2003
Villanova,0.5507,2003
Minnesota,0.5504,2003
