team,rpi,year
The Citadel,0.4416,1994
Charleston Southern,0.4407,1994
SE Louisiana,0.4406,1994
UW Milwaukee,0.4385,1994
Austin Peay,0.4383,1994
UT San Antonio,0.4379,1994
Tennessee,0.4372,1994
NE Illinois,0.4372,1994
Dartmouth,0.4368,1994
UM Eastern Shore,0.4358,1994
UC Irvine,0.4349,1994
TCU,0.4336,1994
School,RPI,1994
Northern Illinois,0.4329,1994
Stephen F. Austin,0.4312,1994
Fordham,0.4289,1994
Yale,0.4279,1994
UMBC,0.4275,1994
McNeese St,0.4272,1994
Northwestern St,0.4272,1994
Loyola Marymount,0.4251,1994
Marshall,0.4239,1994
Cornell,0.4227,1994
Central Michigan,0.4204,1994
Bucknell,0.4202,1994
Troy,0.42,1994
Akron,0.4191,1994
Lehigh,0.4183,1994
Samford,0.4182,1994
CS Fullerton,0.4172,1994
CS Northridge,0.4167,1994
Niagara,0.4166,1994
Creighton,0.4161,1994
Northeastern,0.4159,1994
Mercer,0.415,1994
Eastern Washington,0.4142,1994
Indiana St,0.4133,1994
Western Illinois,0.4117,1994
Lafayette,0.4116,1994
Tennessee Tech,0.4112,1994
Howard,0.411,1994
Harvard,0.4093,1994
Iona,0.409,1994
William & Mary,0.408,1994
Miss Valley St,0.4075,1994
SE Missouri St,0.4069,1994
Winthrop,0.4059,1994
Sam Houston,0.4057,1994
Bethune Cookman,0.4035,1994
Army,0.4028,1994
Oral Roberts,0.4003,1994
UT Arlington,0.4002,1994
Middle Tenn St,0.3961,1994
School,RPI,1994
Florida Atlantic,0.3956,1994
Buffalo,0.3926,1994
Youngstown St,0.391,1994
Louisiana Tech,0.3893,1994
Morgan St,0.3888,1994
Hofstra,0.3872,1994
Coastal Carolina,0.3861,1994
Columbia,0.3852,1994
UNC Asheville,0.382,1994
Chicago St,0.379,1994
Delaware St,0.3789,1994
VMI,0.3787,1994
Long Island,0.3785,1994
Grambling St,0.374,1994
Sacramento St,0.368,1994
Alcorn St,0.3643,1994
UT Martin,0.3635,1994
Florida A&M,0.3512,1994
Prairie View A&M,0.3485,1994
St. Francis (NY),0.3431,1994
Central Connecticut,0.3332,1994
North Carolina,0.6608,1995
Kansas,0.6581,1995
Kentucky,0.6531,1995
Wake Forest,0.6514,1995
Massachusetts,0.6464,1995
UCLA,0.638,1995
Connecticut,0.6369,1995
Arkansas,0.6367,1995
Villanova,0.6331,1995
Maryland,0.6322,1995
Michigan St,0.6248,1995
Oklahoma St,0.6241,1995
Oklahoma,0.6233,1995
Virginia,0.6191,1995
Tulsa,0.6114,1995
Mississippi St,0.6102,1995
Missouri,0.6098,1995
Arizona,0.607,1995
Purdue,0.6044,1995
Oregon,0.6031,1995
Iowa State,0.603,1995
Cincinnati,0.6014,1995
Indiana,0.5978,1995
Western Kentucky,0.5962,1995
Syracuse,0.5925,1995
Utah,0.5917,1995
Louisville,0.5917,1995
Arizona St,0.5908,1995
Georgetown,0.5888,1995
Southern Illinois,0.5884,1995
Temple,0.588,1995
Memphis,0.5879,1995
Texas,0.5871,1995
Florida,0.5862,1995
Alabama,0.5828,1995
Virginia Tech,0.5821,1995
Charlotte,0.5812,1995
Xavier,0.5807,1995
Illinois,0.5802,1995
Saint Louis,0.5792,1995
Saint Joseph's,0.579,1995
Tulane,0.5786,1995
Ohio,0.5764,1995
BYU,0.5763,1995
Michigan,0.5755,1995
Santa Clara,0.5719,1995
Stanford,0.5704,1995
New Mexico St,0.5697,1995
Coll of Charleston,0.5691,1995
Manhattan,0.569,1995
Miami-Ohio,0.5685,1995
Montana,0.5684,1995
Georgia Tech,0.5682,1995
DePaul,0.5679,1995
Long Beach,0.5679,1995
Southern Miss,0.5678,1995
Drexel,0.5666,1995
Bradley,0.5662,1995
Nebraska,0.5659,1995
Nicholls St,0.5658,1995
Weber St,0.5651,1995
Georgia,0.5633,1995
Utah St,0.5632,1995
Ball State,0.5626,1995
Iowa,0.5615,1995
Minnesota,0.5602,1995
Florida St,0.56,1995
Duke,0.5596,1995
Eastern Michigan,0.5595,1995
Providence,0.5588,1995
Wis-Green Bay,0.5587,1995
George Washington,0.5574,1995
Pennsylvania,0.5552,1995
UTEP,0.5551,1995
Colorado,0.5549,1995
Washington St,0.5521,1995
New Hampshire,0.5519,1995
St. John's,0.5514,1995
Clemson,0.5511,1995
Marquette,0.5502,1995
Texas Tech,0.5493,1995
Penn State,0.5482,1995
Evansville,0.5479,1995
Illinois St,0.5468,1995
Nevada,0.5468,1995
Kansas St,0.5463,1995
South Florida,0.5439,1995
Canisius,0.5431,1995
Gonzaga,0.5421,1995
Hawaii,0.5414,1995
Montana St,0.5412,1995
St. Bonaventure,0.54,1995
Old Dominion,0.5399,1995
Auburn,0.5368,1995
St. Mary's,0.5364,1995
Seton Hall,0.5356,1995
Vanderbilt,0.5353,1995
Portland,0.5346,1995
VCU,0.5338,1995
St. Peter's,0.5336,1995
Wisconsin,0.5334,1995
North Carolina St,0.533,1995
UNC Greensboro,0.532,1995
Rutgers,0.5315,1995
Northeastern,0.5307,1995
Jacksonville,0.5304,1995
LSU,0.5285,1995
California,0.5278,1995
New Orleans,0.5274,1995
Miami-Florida,0.5263,1995
Pittsburgh,0.5251,1995
Texas Southern,0.5227,1995
Illinois-Chicago,0.5218,1995
Rider,0.5206,1995
Valparaiso,0.5204,1995
Tennessee,0.5195,1995
New Mexico,0.5185,1995
Bowling Green,0.5181,1995
West Virginia,0.518,1995
Toledo,0.5166,1995
Missouri St,0.5153,1995
Colgate,0.5153,1995
Western Michigan,0.515,1995
Boise St,0.515,1995
Idaho St,0.5142,1995
Oregon St,0.5141,1995
TX-Pan American,0.5137,1995
Notre Dame,0.5135,1995
UAB,0.5121,1995
South Carolina,0.5118,1995
Charleston Southern,0.5112,1995
Wyoming,0.5108,1995
La Salle,0.5077,1995
Coppin St,0.5069,1995
Butler,0.5057,1995
Rice,0.5046,1995
Ark-Little Rock,0.5043,1995
Drake,0.5037,1995
Colorado St,0.503,1995
Washington,0.5024,1995
Pacific,0.5021,1995
TCU,0.5019,1995
Western Illinois,0.5016,1995
Boston U,0.499,1995
Murray St,0.499,1995
Marist,0.4979,1995
Mt St. Mary's,0.4976,1995
Northern Illinois,0.4963,1995
Chattanooga,0.4957,1995
Fairleigh Dickinson,0.4953,1995
Wichita St,0.495,1995
Princeton,0.4949,1995
Wright St,0.4943,1995
UNC Wilmington,0.494,1995
Tennessee St,0.4933,1995
UC Irvine,0.4932,1995
Boston College,0.4914,1995
Buffalo,0.4896,1995
Navy,0.4893,1995
San Francisco,0.4884,1995
Stetson,0.486,1995
Detroit,0.4859,1995
Vermont,0.4856,1995
UC Santa Barbara,0.4853,1995
UL Monroe,0.4849,1995
Idaho,0.4848,1995
Duquesne,0.483,1995
James Madison,0.482,1995
Texas A&M,0.482,1995
UNLV,0.481,1995
Austin Peay,0.4798,1995
Louisiana Tech,0.479,1995
East Carolina,0.4789,1995
Delaware,0.4774,1995
Hartford,0.4769,1995
Marshall,0.4766,1995
Fresno St,0.4761,1995
Youngstown St,0.4756,1995
