team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
Wake Forest,2017,Kansas State,Play-In,11,95,11,88,7,0,10.48,4.38,10.42,14.8,9.8,14.95,-0.76,14.19
Providence,2017,Southern California,Play-In,11,75,11,71,4,0,6.4,8.07,3.41,11.48,7.84,1.51,9.73,11.24
New Orleans,2017,Mount St. Mary's,Play-In,16,67,16,66,1,0,-3.51,-6.3,2.02,-4.29,-5.34,-5.53,1.43,-4.1
UC Davis,2017,North Carolina Central,Play-In,16,63,16,67,-4,0,-12.12,-5.59,2.41,-3.18,-4.68,-4.89,-0.32,-5.21
North Carolina,2016,Villanova,National Championship,2,77,1,74,3,1,9.71,9.92,14.17,24.08,10.69,16.74,6.7,23.44
Syracuse,2016,North Carolina,Final Four,1,83,10,66,17,-9,10.69,16.74,6.7,23.44,9.75,2.69,11.93,14.62
Oklahoma,2016,Villanova,Final Four,2,95,2,51,44,0,9.71,9.92,14.17,24.08,11.14,12.91,6.85,19.76
Notre Dame,2016,North Carolina,Elite Eight,1,88,6,74,14,-5,10.69,16.74,6.7,23.44,9.57,7.63,6.47,14.1
Syracuse,2016,Virginia,Elite Eight,1,62,10,68,-6,-9,11.12,4.12,17.92,22.04,9.75,2.69,11.93,14.62
Villanova,2016,Kansas,Elite Eight,1,59,2,64,-5,-1,11.22,14.28,9.59,23.87,9.71,9.92,14.17,24.08
Oklahoma,2016,Oregon,Elite Eight,1,68,2,80,-12,-1,8.64,10.14,7.91,18.05,11.14,12.91,6.85,19.76
Wisconsin,2016,Notre Dame,Sweet 16,6,61,7,56,5,-1,9.57,7.63,6.47,14.1,9.4,-0.13,13.53,13.4
Indiana,2016,North Carolina,Sweet 16,1,101,5,86,15,-4,10.69,16.74,6.7,23.44,6.9,13.68,5.91,19.59
Iowa State,2016,Virginia,Sweet 16,1,84,4,71,13,-3,11.12,4.12,17.92,22.04,10.16,15.69,1.24,16.93
Maryland,2016,Kansas,Sweet 16,1,79,5,63,16,-4,11.22,14.28,9.59,23.87,8.31,7.96,8.76,16.71
Villanova,2016,Miami (Fla.),Sweet 16,3,69,2,92,-23,1,10.69,8.72,9.8,18.52,9.71,9.92,14.17,24.08
Syracuse,2016,Gonzaga,Sweet 16,11,60,10,63,-3,1,4.23,8.08,8.84,16.92,9.75,2.69,11.93,14.62
Oklahoma,2016,Texas A&M,Sweet 16,3,63,2,77,-14,1,8.45,7.66,10.8,18.45,11.14,12.91,6.85,19.76
Duke,2016,Oregon,Sweet 16,1,82,4,68,14,-3,8.64,10.14,7.91,18.05,10.59,13.71,5.52,19.23
Stephen F. Austin,2016,Notre Dame,Second Round,6,76,14,75,1,-8,9.57,7.63,6.47,14.1,-5.47,2.91,6.32,9.23
Hawaii,2016,Maryland,Second Round,5,73,13,60,13,-8,8.31,7.96,8.76,16.71,-1.04,4.61,4.42,9.03
Providence,2016,North Carolina,Second Round,1,85,9,66,19,-8,10.69,16.74,6.7,23.44,8.46,5.04,6.9,11.94
Kentucky,2016,Indiana,Second Round,5,73,4,67,6,1,6.9,13.68,5.91,19.59,8.84,11.92,8.31,20.23
Miami (Fla.),2016,Wichita State,Second Round,11,57,3,65,-8,8,4.24,4.0,13.39,17.39,10.69,8.72,9.8,18.52
Butler,2016,Virginia,Second Round,1,77,9,69,8,-8,11.12,4.12,17.92,22.04,7.55,11.28,5.18,16.46
Connecticut,2016,Kansas,Second Round,1,73,9,61,12,-8,11.22,14.28,9.59,23.87,6.28,4.41,11.48,15.89
Utah,2016,Gonzaga,Second Round,11,82,3,59,23,8,4.23,8.08,8.84,16.92,8.79,7.81,7.69,15.5
Virginia Commonwealth,2016,Oklahoma,Second Round,2,85,10,81,4,-8,11.14,12.91,6.85,19.76,4.35,7.19,6.64,13.83
Iowa,2016,Villanova,Second Round,2,87,7,68,19,-5,9.71,9.92,14.17,24.08,8.71,9.8,7.21,17.01
Middle Tennessee State,2016,Syracuse,Second Round,10,75,15,50,25,-5,9.75,2.69,11.93,14.62,-0.7,-1.76,4.42,2.66
Northern Iowa,2016,Texas A&M,Second Round,3,92,11,88,4,-8,8.45,7.66,10.8,18.45,4.44,-1.06,9.84,8.78
Wisconsin,2016,Xavier,Second Round,2,63,7,66,-3,-5,8.43,12.97,5.6,18.58,9.4,-0.13,13.53,13.4
St. Joseph's,2016,Oregon,Second Round,1,69,8,64,5,-7,8.64,10.14,7.91,18.05,4.93,8.31,3.78,12.1
Duke,2016,Yale,Second Round,12,64,4,71,-7,8,-1.03,0.55,8.53,9.08,10.59,13.71,5.52,19.23
Iowa State,2016,Arkansas-Little Rock,Second Round,12,61,4,78,-17,8,-1.76,-3.25,10.37,7.12,10.16,15.69,1.24,16.93
Stephen F. Austin,2016,West Virginia,First Round,3,56,14,70,-14,-11,9.78,10.88,10.73,21.61,-5.47,2.91,6.32,9.23
Michigan,2016,Notre Dame,First Round,6,70,11,63,7,-5,9.57,7.63,6.47,14.1,7.92,5.59,8.15,13.75
South Dakota State,2016,Maryland,First Round,5,79,12,74,5,-7,8.31,7.96,8.76,16.71,-1.22,3.72,1.71,5.44
Virginia Commonwealth,2016,Oregon State,First Round,7,67,10,75,-8,-3,9.26,3.46,6.93,10.39,4.35,7.19,6.64,13.83
Stony Brook,2016,Kentucky,First Round,4,85,13,57,28,-9,8.84,11.92,8.31,20.23,-5.28,-1.06,4.81,3.75
Florida Gulf Coast,2016,North Carolina,First Round,1,83,16,67,16,-15,10.69,16.74,6.7,23.44,-3.82,-1.41,0.63,-0.79
Chattanooga,2016,Indiana,First Round,5,99,12,74,25,-7,6.9,13.68,5.91,19.59,-3.46,-0.54,3.78,3.24
Middle Tennessee State,2016,Michigan State,First Round,2,81,15,90,-9,-13,6.94,12.25,10.34,22.59,-0.7,-1.76,4.42,2.66
Iona,2016,Iowa State,First Round,4,94,13,81,13,-9,10.16,15.69,1.24,16.93,-1.78,6.73,-3.15,3.59
Hampton,2016,Virginia,First Round,1,81,16,45,36,-15,11.12,4.12,17.92,22.04,-8.45,-1.41,-7.34,-8.74
Northern Iowa,2016,Texas,First Round,6,72,11,75,-3,-5,11.71,4.13,10.67,14.8,4.44,-1.06,9.84,8.78
UNC Wilmington,2016,Duke,First Round,4,93,13,85,8,-9,10.59,13.71,5.52,19.23,0.35,6.31,-0.06,6.25
Wisconsin,2016,Pittsburgh,First Round,10,43,7,47,-4,3,8.75,6.32,9.15,15.47,9.4,-0.13,13.53,13.4
Austin Peay,2016,Kansas,First Round,1,105,16,79,26,-15,11.22,14.28,9.59,23.87,-2.98,-0.02,-6.02,-6.04
Buffalo,2016,Miami (Fla.),First Round,3,79,14,72,7,-11,10.69,8.72,9.8,18.52,0.9,4.5,-3.16,1.34
Wichita State,2016,Arizona,First Round,6,55,11,65,-10,-5,7.23,10.88,7.9,18.79,4.24,4.0,13.39,17.39
Cal State Bakersfield,2016,Oklahoma,First Round,2,82,15,68,14,-13,11.14,12.91,6.85,19.76,-5.15,-2.09,4.67,2.58
UNC Asheville,2016,Villanova,First Round,2,86,15,56,30,-13,9.71,9.92,14.17,24.08,-3.25,0.44,0.66,1.1
Connecticut,2016,Colorado,First Round,8,67,9,74,-7,-1,7.64,4.93,7.1,12.04,6.28,4.41,11.48,15.89
Green Bay,2016,Texas A&M,First Round,3,92,14,65,27,-11,8.45,7.66,10.8,18.45,-0.67,10.71,-9.55,1.16
Weber State,2016,Xavier,First Round,2,71,15,53,18,-13,8.43,12.97,5.6,18.58,-5.13,-2.48,2.66,0.18
Temple,2016,Iowa,First Round,7,72,10,70,2,-3,8.71,9.8,7.21,17.01,6.57,0.52,7.17,7.69
Arkansas-Little Rock,2016,Purdue,First Round,5,83,12,85,-2,-7,7.46,10.01,10.16,20.17,-1.76,-3.25,10.37,7.12
Butler,2016,Texas Tech,First Round,8,61,9,71,-10,-1,10.25,5.06,7.35,12.41,7.55,11.28,5.18,16.46
Holy Cross,2016,Oregon,First Round,1,91,16,52,39,-15,8.64,10.14,7.91,18.05,-6.11,-11.03,-0.17,-11.2
Cincinnati,2016,St. Joseph's,First Round,8,78,9,76,2,-1,4.93,8.31,3.78,12.1,5.25,4.15,11.04,15.19
Providence,2016,Southern California,First Round,8,69,9,70,-1,-1,7.64,11.43,2.1,13.52,8.46,5.04,6.9,11.94
Hawaii,2016,California,First Round,4,66,13,77,-11,-9,7.87,6.56,8.84,15.39,-1.04,4.61,4.42,9.03
Fresno State,2016,Utah,First Round,3,80,14,69,11,-11,8.79,7.81,7.69,15.5,2.24,3.14,2.13,5.27
Syracuse,2016,Dayton,First Round,7,51,10,70,-19,-3,4.76,2.28,9.06,11.34,9.75,2.69,11.93,14.62
Baylor,2016,Yale,First Round,12,79,5,75,4,7,-1.03,0.55,8.53,9.08,9.76,9.63,6.5,16.13
Gonzaga,2016,Seton Hall,First Round,6,52,11,68,-16,-5,8.28,6.27,8.39,14.66,4.23,8.08,8.84,16.92
Vanderbilt,2016,Wichita State,Play-In,11,70,11,50,20,0,4.24,4.0,13.39,17.39,8.68,7.45,9.75,17.2
Michigan,2016,Tulsa,Play-In,11,62,11,67,-5,0,5.76,5.0,4.79,9.79,7.92,5.59,8.15,13.75
Southern,2016,Holy Cross,Play-In,16,59,16,55,4,0,-6.11,-11.03,-0.17,-11.2,-9.37,-5.1,-2.58,-7.68
Florida Gulf Coast,2016,Fairleigh Dickinson,Play-In,16,65,16,96,-31,0,-8.31,1.37,-12.27,-10.9,-3.82,-1.41,0.63,-0.79
Duke,2015,Wisconsin,National Championship,1,63,1,68,-5,0,10.29,10.53,14.08,24.61,9.87,17.28,7.69,24.97
Duke,2015,Michigan State,Final Four,7,61,1,81,-20,6,10.0,9.54,7.92,17.46,9.87,17.28,7.69,24.97
Wisconsin,2015,Kentucky,Final Four,1,64,1,71,-7,0,8.67,11.55,17.18,28.72,10.29,10.53,14.08,24.61
Arizona,2015,Wisconsin,Elite Eight,1,85,2,78,7,-1,10.29,10.53,14.08,24.61,7.41,13.24,11.09,24.33
Louisville,2015,Michigan State,Elite Eight,7,76,4,70,6,3,10.0,9.54,7.92,17.46,8.98,6.4,11.73,18.12
Notre Dame,2015,Kentucky,Elite Eight,1,68,3,66,2,-2,8.67,11.55,17.18,28.72,7.02,14.99,4.24,19.23
Gonzaga,2015,Duke,Elite Eight,1,66,2,52,14,-1,9.87,17.28,7.69,24.97,5.12,13.08,8.04,21.12
North Carolina,2015,Wisconsin,Sweet 16,1,79,4,72,7,-3,10.29,10.53,14.08,24.61,11.76,17.1,3.54,20.63
Wichita State,2015,Notre Dame,Sweet 16,3,81,7,70,11,-4,7.02,14.99,4.24,19.23,3.68,5.57,9.99,15.56
Gonzaga,2015,UCLA,Sweet 16,11,62,2,74,-12,9,8.27,8.94,3.14,12.07,5.12,13.08,8.04,21.12
West Virginia,2015,Kentucky,Sweet 16,1,78,5,39,39,-4,8.67,11.55,17.18,28.72,9.29,10.53,4.59,15.12
Utah,2015,Duke,Sweet 16,1,63,5,57,6,-4,9.87,17.28,7.69,24.97,7.42,6.09,14.89,20.98
Michigan State,2015,Oklahoma,Sweet 16,3,58,7,62,-4,-4,9.94,9.42,9.23,18.65,10.0,9.54,7.92,17.46
Louisville,2015,North Carolina State,Sweet 16,8,65,4,75,-10,4,9.72,8.3,5.8,14.11,8.98,6.4,11.73,18.12
Arizona,2015,Xavier,Sweet 16,6,60,2,68,-8,4,9.48,11.02,4.4,15.42,7.41,13.24,11.09,24.33
North Carolina,2015,Arkansas,Second Round,5,78,4,87,-9,1,6.79,13.97,0.1,14.07,11.76,17.1,3.54,20.63
Oregon,2015,Wisconsin,Second Round,1,72,8,65,7,-7,10.29,10.53,14.08,24.61,7.65,10.74,0.68,11.43
Maryland,2015,West Virginia,Second Round,5,69,4,59,10,1,9.29,10.53,4.59,15.12,7.63,5.42,7.9,13.32
Cincinnati,2015,Kentucky,Second Round,1,64,8,51,13,-7,8.67,11.55,17.18,28.72,4.4,-1.19,11.91,10.72
Virginia,2015,Michigan State,Second Round,7,60,2,54,6,5,10.0,9.54,7.92,17.46,7.81,2.12,19.6,21.73
Alabama-Birmingham,2015,UCLA,Second Round,11,92,14,75,17,-3,8.27,8.94,3.14,12.07,1.62,1.98,-0.05,1.94
Kansas,2015,Wichita State,Second Round,7,78,2,65,13,5,3.68,5.57,9.99,15.56,12.13,11.13,7.34,18.47
Arizona,2015,Ohio State,Second Round,10,58,2,73,-15,8,7.37,11.93,7.76,19.68,7.41,13.24,11.09,24.33
San Diego State,2015,Duke,Second Round,1,68,8,49,19,-7,9.87,17.28,7.69,24.97,4.24,-2.5,14.31,11.81
North Carolina State,2015,Villanova,Second Round,1,68,8,71,-3,-7,7.55,12.87,10.26,23.13,9.72,8.3,5.8,14.11
Georgia State,2015,Xavier,Second Round,6,75,14,67,8,-8,9.48,11.02,4.4,15.42,-2.03,2.07,3.4,5.47
Louisville,2015,Northern Iowa,Second Round,5,53,4,66,-13,1,2.0,0.88,11.66,12.54,8.98,6.4,11.73,18.12
Gonzaga,2015,Iowa,Second Round,7,68,2,87,-19,5,8.39,7.02,8.81,15.83,5.12,13.08,8.04,21.12
Oklahoma,2015,Dayton,Second Round,11,66,3,72,-6,8,4.06,2.88,8.1,10.98,9.94,9.42,9.23,18.65
Georgetown,2015,Utah,Second Round,5,75,4,64,11,1,7.42,6.09,14.89,20.98,9.81,8.11,7.37,15.48
Notre Dame,2015,Butler,Second Round,6,64,3,67,-3,3,8.62,5.06,11.58,16.64,7.02,14.99,4.24,19.23
Wofford,2015,Arkansas,First Round,5,56,12,53,3,-7,6.79,13.97,0.1,14.07,-2.98,-5.13,7.7,2.56
Coastal Carolina,2015,Wisconsin,First Round,1,86,16,72,14,-15,10.29,10.53,14.08,24.61,-6.18,-0.89,-0.13,-1.02
Valparaiso,2015,Maryland,First Round,4,65,13,62,3,-9,7.63,5.42,7.9,13.32,-2.0,-0.19,6.48,6.29
Northeastern,2015,Notre Dame,First Round,3,69,14,65,4,-11,7.02,14.99,4.24,19.23,-1.34,0.68,1.35,2.03
Hampton,2015,Kentucky,First Round,1,79,16,56,23,-15,8.67,11.55,17.18,28.72,-7.08,-2.46,-5.79,-8.25
Harvard,2015,North Carolina,First Round,4,67,13,65,2,-9,11.76,17.1,3.54,20.63,-0.25,-3.18,7.65,4.47
Georgia,2015,Michigan State,First Round,7,70,10,63,7,-3,10.0,9.54,7.92,17.46,8.6,5.49,6.93,12.42
Belmont,2015,Virginia,First Round,2,79,15,67,12,-13,7.81,2.12,19.6,21.73,-2.77,5.55,-5.2,0.35
St. John's,2015,San Diego State,First Round,8,76,9,64,12,-1,4.24,-2.5,14.31,11.81,9.04,7.19,4.66,11.85
Indiana,2015,Wichita State,First Round,7,81,10,76,5,-3,3.68,5.57,9.99,15.56,7.2,14.4,-1.47,12.94
Ohio State,2015,Virginia Commonwealth,First Round,7,72,10,75,-3,-3,6.1,9.1,3.69,12.79,7.37,11.93,7.76,19.68
Texas Southern,2015,Arizona,First Round,2,93,15,72,21,-13,7.41,13.24,11.09,24.33,-6.09,-1.74,-4.23,-5.98
North Dakota State,2015,Gonzaga,First Round,2,86,15,76,10,-13,5.12,13.08,8.04,21.12,-3.63,-5.08,3.36,-1.72
Robert Morris,2015,Duke,First Round,1,85,16,56,29,-15,9.87,17.28,7.69,24.97,-3.5,-1.1,-1.92,-3.02
New Mexico State,2015,Kansas,First Round,2,75,15,56,19,-13,12.13,11.13,7.34,18.47,-3.67,0.55,3.16,3.71
Georgia State,2015,Baylor,First Round,3,56,14,57,-1,-11,9.33,6.46,11.39,17.85,-2.03,2.07,3.4,5.47
Lafayette,2015,Villanova,First Round,1,93,16,52,41,-15,7.55,12.87,10.26,23.13,-3.12,4.46,-7.83,-3.37
Albany (N.Y.),2015,Oklahoma,First Round,3,69,14,60,9,-11,9.94,9.42,9.23,18.65,-5.18,-3.2,2.86,-0.34
LSU,2015,North Carolina State,First Round,8,66,9,65,1,-1,9.72,8.3,5.8,14.11,5.63,10.21,1.18,11.39
UC Irvine,2015,Louisville,First Round,4,57,13,55,2,-9,8.98,6.4,11.73,18.12,0.45,-0.23,3.87,3.63
Alabama-Birmingham,2015,Iowa State,First Round,3,59,14,60,-1,-11,9.15,15.84,2.1,17.94,1.62,1.98,-0.05,1.94
Mississippi,2015,Xavier,First Round,6,76,11,57,19,-5,9.48,11.02,4.4,15.42,7.01,9.33,2.07,11.39
Wyoming,2015,Northern Iowa,First Round,5,71,12,54,17,-7,2.0,0.88,11.66,12.54,-0.04,-4.06,7.88,3.81
Eastern Washington,2015,Georgetown,First Round,4,84,13,74,10,-9,9.81,8.11,7.37,15.48,-3.84,9.2,-8.41,0.79
Davidson,2015,Iowa,First Round,7,83,10,52,31,-3,8.39,7.02,8.81,15.83,3.19,13.12,-1.16,11.97
Purdue,2015,Cincinnati,First Round,8,66,9,65,1,-1,4.4,-1.19,11.91,10.72,7.64,6.22,6.71,12.93
UCLA,2015,Southern Methodist,First Round,6,59,11,60,-1,-5,3.57,4.59,8.35,12.94,8.27,8.94,3.14,12.07
Oklahoma State,2015,Oregon,First Round,8,79,9,73,6,-1,7.65,10.74,0.68,11.43,9.63,5.43,7.52,12.95
Dayton,2015,Providence,First Round,6,53,11,66,-13,-5,9.5,7.44,6.27,13.71,4.06,2.88,8.1,10.98
Stephen F. Austin,2015,Utah,First Round,5,57,12,50,7,-7,7.42,6.09,14.89,20.98,-4.2,7.22,1.39,8.61
West Virginia,2015,Buffalo,First Round,12,62,5,68,-6,7,1.6,8.32,-0.39,7.93,9.29,10.53,4.59,15.12
Texas,2015,Butler,First Round,6,56,11,48,8,-5,8.62,5.06,11.58,16.64,9.07,5.33,10.83,16.16
Brigham Young,2015,Mississippi,Play-In,11,94,11,90,4,0,7.01,9.33,2.07,11.39,5.02,18.11,-4.57,13.53
Boise State,2015,Dayton,Play-In,11,56,11,55,1,0,4.06,2.88,8.1,10.98,1.38,4.57,5.44,10.01
Hampton,2015,Manhattan,Play-In,16,64,16,74,-10,0,-3.34,1.34,-2.68,-1.34,-7.08,-2.46,-5.79,-8.25
North Florida,2015,Robert Morris,Play-In,16,81,16,77,4,0,-3.5,-1.1,-1.92,-3.02,-5.94,4.01,-4.82,-0.82
Kentucky,2014,Connecticut,National Championship,7,60,8,54,6,-1,8.63,5.29,11.93,17.23,9.9,9.5,8.57,18.07
Kentucky,2014,Wisconsin,Final Four,2,73,8,74,-1,-6,10.19,9.22,10.47,19.69,9.9,9.5,8.57,18.07
Connecticut,2014,Florida,Final Four,1,53,7,63,-10,-6,8.54,4.39,16.3,20.69,8.63,5.29,11.93,17.23
Michigan,2014,Kentucky,Elite Eight,8,75,2,72,3,6,9.9,9.5,8.57,18.07,9.65,9.08,9.44,18.52
Connecticut,2014,Michigan State,Elite Eight,4,54,7,60,-6,-3,9.38,10.45,8.9,19.35,8.63,5.29,11.93,17.23
Dayton,2014,Florida,Elite Eight,1,62,11,52,10,-10,8.54,4.39,16.3,20.69,5.34,5.03,5.52,10.55
Wisconsin,2014,Arizona,Elite Eight,1,63,2,64,-1,-1,9.04,7.31,16.05,23.36,10.19,9.22,10.47,19.69
Louisville,2014,Kentucky,Sweet 16,8,74,4,69,5,4,9.9,9.5,8.57,18.07,4.8,13.26,11.43,24.69
Michigan State,2014,Virginia,Sweet 16,1,59,4,61,-2,-3,7.86,0.62,17.76,18.38,9.38,10.45,8.9,19.35
UCLA,2014,Florida,Sweet 16,1,79,4,68,11,-3,8.54,4.39,16.3,20.69,7.62,14.33,4.07,18.4
San Diego State,2014,Arizona,Sweet 16,1,70,4,64,6,-3,9.04,7.31,16.05,23.36,4.86,0.91,14.04,14.95
Wisconsin,2014,Baylor,Sweet 16,6,52,2,69,-17,4,10.11,6.78,9.02,15.8,10.19,9.22,10.47,19.69
Connecticut,2014,Iowa State,Sweet 16,3,76,7,81,-5,-4,9.88,17.3,1.22,18.52,8.63,5.29,11.93,17.23
Stanford,2014,Dayton,Sweet 16,11,82,10,72,10,1,5.34,5.03,5.52,10.55,9.0,6.68,6.74,13.42
Michigan,2014,Tennessee,Sweet 16,11,71,2,73,-2,9,7.84,5.88,11.46,17.34,9.65,9.08,9.44,18.52
Michigan State,2014,Harvard,Second Round,12,73,4,80,-7,8,-0.47,3.99,6.79,10.79,9.38,10.45,8.9,19.35
Iowa State,2014,North Carolina,Second Round,6,83,3,85,-2,3,8.42,10.62,4.63,15.24,9.88,17.3,1.22,18.52
Memphis,2014,Virginia,Second Round,1,78,8,60,18,-7,7.86,0.62,17.76,18.38,7.14,8.98,4.04,13.02
Pittsburgh,2014,Florida,Second Round,1,61,9,45,16,-8,8.54,4.39,16.3,20.69,7.54,7.31,10.15,17.46
Kentucky,2014,Wichita State,Second Round,1,76,8,78,-2,-7,1.74,6.06,10.59,16.65,9.9,9.5,8.57,18.07
Gonzaga,2014,Arizona,Second Round,1,84,8,61,23,-7,9.04,7.31,16.05,23.36,5.36,6.61,8.96,15.56
Creighton,2014,Baylor,Second Round,6,85,3,55,30,3,10.11,6.78,9.02,15.8,7.17,12.14,5.89,18.03
Michigan,2014,Texas,Second Round,7,65,2,79,-14,5,9.15,7.27,5.4,12.67,9.65,9.08,9.44,18.52
Louisville,2014,St. Louis,Second Round,5,51,4,66,-15,1,4.24,2.13,9.5,11.63,4.8,13.26,11.43,24.69
Wisconsin,2014,Oregon,Second Round,7,77,2,85,-8,5,8.05,14.69,1.06,15.75,10.19,9.22,10.47,19.69
San Diego State,2014,North Dakota State,Second Round,12,44,4,63,-19,8,-0.02,3.55,2.76,6.31,4.86,0.91,14.04,14.95
Villanova,2014,Connecticut,Second Round,7,77,2,65,12,5,8.63,5.29,11.93,17.23,7.5,10.41,8.56,18.97
Syracuse,2014,Dayton,Second Round,11,55,3,53,2,8,5.34,5.03,5.52,10.55,7.25,2.13,13.92,16.05
Kansas,2014,Stanford,Second Round,10,60,2,57,3,8,9.0,6.68,6.74,13.42,11.4,13.34,6.91,20.25
UCLA,2014,Stephen F. Austin,Second Round,12,60,4,77,-17,8,-6.76,-0.3,5.12,4.82,7.62,14.33,4.07,18.4
Mercer,2014,Tennessee,Second Round,11,83,14,63,20,-3,7.84,5.88,11.46,17.34,-3.42,4.06,1.28,5.33
American,2014,Wisconsin,First Round,2,75,15,35,40,-13,10.19,9.22,10.47,19.69,-3.25,-7.93,8.62,0.69
George Washington,2014,Memphis,First Round,8,71,9,66,5,-1,7.14,8.98,4.04,13.02,4.42,4.78,5.82,10.6
Wofford,2014,Michigan,First Round,2,57,15,40,17,-13,9.65,9.08,9.44,18.52,-5.95,-9.66,5.35,-4.32
Kansas State,2014,Kentucky,First Round,8,56,9,49,7,-1,9.9,9.5,8.57,18.07,8.47,1.4,10.74,12.14
New Mexico State,2014,San Diego State,First Round,4,73,13,69,4,-9,4.86,0.91,14.04,14.95,-2.58,5.27,0.9,6.16
Providence,2014,North Carolina,First Round,6,79,11,77,2,-5,8.42,10.62,4.63,15.24,7.85,6.93,4.43,11.37
Delaware,2014,Michigan State,First Round,4,93,13,78,15,-9,9.38,10.45,8.9,19.35,-1.1,9.67,-6.94,2.73
Coastal Carolina,2014,Virginia,First Round,1,70,16,59,11,-15,7.86,0.62,17.76,18.38,-6.31,-5.0,-0.21,-5.21
Tulsa,2014,UCLA,First Round,4,76,13,59,17,-9,7.62,14.33,4.07,18.4,1.17,3.09,3.14,6.23
Albany (N.Y.),2014,Florida,First Round,1,67,16,55,12,-15,8.54,4.39,16.3,20.69,-5.22,-6.24,2.93,-3.31
Cal-Poly,2014,Wichita State,First Round,1,64,16,37,27,-15,1.74,6.06,10.59,16.65,1.69,-9.08,7.74,-1.34
Oklahoma State,2014,Gonzaga,First Round,8,85,9,77,8,-1,5.36,6.61,8.96,15.56,8.34,13.7,5.31,19.02
Louisiana-Lafayette,2014,Creighton,First Round,3,76,14,66,10,-11,7.17,12.14,5.89,18.03,-0.28,8.1,-5.19,2.91
Weber State,2014,Arizona,First Round,1,68,16,59,9,-15,9.04,7.31,16.05,23.36,-4.23,-1.35,0.43,-0.92
Dayton,2014,Ohio State,First Round,6,59,11,60,-1,-5,8.12,3.37,14.47,17.84,5.34,5.03,5.52,10.55
Stephen F. Austin,2014,Virginia Commonwealth,First Round,5,75,12,77,-2,-7,4.78,7.98,6.57,14.55,-6.76,-0.3,5.12,4.82
Eastern Kentucky,2014,Kansas,First Round,2,80,15,69,11,-13,11.4,13.34,6.91,20.25,-4.34,2.73,-2.13,0.6
Mercer,2014,Duke,First Round,3,71,14,78,-7,-11,8.48,13.87,5.64,19.51,-3.42,4.06,1.28,5.33
North Dakota State,2014,Oklahoma,First Round,5,75,12,80,-5,-7,8.97,15.64,-0.73,14.91,-0.02,3.55,2.76,6.31
Nebraska,2014,Baylor,First Round,6,74,11,60,14,-5,10.11,6.78,9.02,15.8,8.5,2.73,7.4,10.13
Milwaukee,2014,Villanova,First Round,2,73,15,53,20,-13,7.5,10.41,8.56,18.97,-0.44,-0.11,-1.42,-1.53
North Carolina Central,2014,Iowa State,First Round,3,93,14,75,18,-11,9.88,17.3,1.22,18.52,-8.03,-0.99,4.96,3.97
Western Michigan,2014,Syracuse,First Round,3,77,14,53,24,-11,7.25,2.13,13.92,16.05,-1.45,1.13,0.6,1.73
Pittsburgh,2014,Colorado,First Round,8,48,9,77,-29,-1,8.8,4.06,6.74,10.8,7.54,7.31,10.15,17.46
Manhattan,2014,Louisville,First Round,4,71,13,64,7,-9,4.8,13.26,11.43,24.69,-0.9,5.2,0.84,6.04
Harvard,2014,Cincinnati,First Round,5,57,12,61,-4,-7,5.28,0.7,14.55,15.26,-0.47,3.99,6.79,10.79
Arizona State,2014,Texas,First Round,7,87,10,85,2,-3,9.15,7.27,5.4,12.67,7.41,9.13,4.19,13.32
North Carolina State,2014,St. Louis,First Round,5,83,12,80,3,-7,4.24,2.13,9.5,11.63,7.44,6.58,2.45,9.02
Brigham Young,2014,Oregon,First Round,7,87,10,68,19,-3,8.05,14.69,1.06,15.75,5.72,15.1,-3.46,11.63
St. Joseph's,2014,Connecticut,First Round,7,89,10,81,8,-3,8.63,5.29,11.93,17.23,5.08,4.2,4.85,9.05
Stanford,2014,New Mexico,First Round,7,53,10,58,-5,-3,4.84,6.62,6.1,12.72,9.0,6.68,6.74,13.42
Tennessee,2014,Massachusetts,First Round,6,67,11,86,-19,-5,6.0,9.22,1.39,10.61,7.84,5.88,11.46,17.34
Xavier,2014,North Carolina State,Play-In,12,74,12,59,15,0,7.44,6.58,2.45,9.02,8.14,5.63,6.21,11.84
Tennessee,2014,Iowa,Play-In,11,65,11,78,-13,0,7.43,16.33,2.25,18.58,7.84,5.88,11.46,17.34
Mount St. Mary's,2014,Albany (N.Y.),Play-In,16,71,16,64,7,0,-5.22,-6.24,2.93,-3.31,-4.44,3.42,-9.74,-6.32
Texas Southern,2014,Cal-Poly,Play-In,16,81,16,69,12,0,1.69,-9.08,7.74,-1.34,-10.07,0.64,-9.05,-8.41
Michigan,2013,Louisville,National Championship,1,82,4,76,6,-3,9.14,12.78,12.04,24.82,10.05,13.47,7.82,21.29
Syracuse,2013,Michigan,Final Four,4,61,4,56,5,0,10.05,13.47,7.82,21.29,8.57,8.12,12.18,20.3
Wichita State,2013,Louisville,Final Four,1,72,9,68,4,-8,9.14,12.78,12.04,24.82,6.09,5.46,9.22,14.68
Florida,2013,Michigan,Elite Eight,4,79,3,59,20,1,10.05,13.47,7.82,21.29,6.85,7.92,15.96,23.88
Ohio State,2013,Wichita State,Elite Eight,9,70,2,66,4,7,6.09,5.46,9.22,14.68,9.33,9.21,10.99,20.19
