2014-2015 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
222,George Mason,22-Aug,0.4691,6.4,21.2,0.2319,0.5599 (60),0.5246,70,0.5481,,
223,Duquesne,19-Nov,0.469,8.6,17.8,0.3258,0.5215 (111),0.5071,114,0.5167,,
224,North Texas,17-Dec,0.4679,9.6,15.4,0.384,0.4959 (159),0.4955,164,0.4958,,
225,Portland St,13-14,0.4675,12.6,12,0.5122,0.4411 (299),0.4754,296,0.4526,,
226,Quinnipiac,15-15,0.4668,13,15,0.4643,0.4617 (261),0.4793,256,0.4676,,
227,Cornell,17-Dec,0.4667,11.2,15.4,0.4211,0.4746 (223),0.4964,204,0.4819,,
228,Virginia Tech,22-Nov,0.4663,7.4,21.2,0.2587,0.5372 (86),0.532,85,0.5354,,
229,Southern U,15-17,0.4662,15.4,14.6,0.5133,0.4524 (281),0.4466,300,0.4505,,
230,Miami (OH),19-Dec,0.466,9.6,17.8,0.3504,0.5065 (140),0.5008,144,0.5046,,
,,,,,,,,,,,,
,,,,,,,,,,,,
231,Ohio,20-Oct,0.4653,7.2,18.4,0.2813,0.5419 (80),0.4964,97,0.5267,,
232,Denver,18-Dec,0.4648,9.6,16.8,0.3636,0.5120 (130),0.4717,153,0.4985,,
233,St. Peter's,16-18,0.4635,16,16.8,0.4878,0.4416 (297),0.4831,290,0.4554,,
234,UC Riverside,17-Dec,0.4635,8.8,13,0.4037,0.4774 (216),0.4956,197,0.4835,,
235,Army,14-15,0.4634,14,14.6,0.4895,0.4370 (308),0.49,292,0.4546,,
236,Texas St,17-Nov,0.4626,10.2,15.4,0.3984,0.4889 (180),0.474,195,0.4839,,
237,UT San Antonio,16-Dec,0.4624,12.8,16.4,0.4384,0.4620 (259),0.4875,246,0.4705,,
238,Fordham,21-Sep,0.461,6.6,19.8,0.25,0.5363 (87),0.5212,89,0.5313,,
239,Houston,13-19,0.4604,10.2,18.6,0.3542,0.4906 (175),0.5063,163,0.4958,,
240,Air Force,17-Dec,0.4599,8.8,14.6,0.3761,0.4832 (198),0.4973,185,0.4879,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
241,Pacific,19-Sep,0.4597,9,19,0.3214,0.5007 (151),0.516,140,0.5058,,
242,UNC Asheville,16-Dec,0.4589,12.4,14.4,0.4627,0.4508 (283),0.4713,286,0.4576,,
243,Sacred Heart,14-17,0.4588,12,14.2,0.458,0.4513 (282),0.4745,280,0.459,,
244,Drexel,18-Nov,0.4586,11,18.8,0.3691,0.4851 (188),0.4951,183,0.4884,,
245,Hartford,13-16,0.4584,13.4,15.6,0.4621,0.4540 (276),0.4634,288,0.4571,,
246,Northern Colorado,13-15,0.4583,10.2,11.8,0.4636,0.4528 (278),0.4637,289,0.4565,,
247,Missouri St,20-Sep,0.458,7,18,0.28,0.5224 (107),0.5072,113,0.5173,,
248,Rice,19-Oct,0.4578,9.6,18.2,0.3453,0.4958 (160),0.4942,167,0.4953,,
249,Brown,18-Nov,0.4577,9.4,16,0.3701,0.4845 (192),0.492,187,0.487,,
250,Appalachian St,17-Dec,0.4571,11.2,14.2,0.4409,0.4527 (279),0.4819,270,0.4624,,
,,,,,,,,,,,,
,,,,,,,,,,,,
251,Hampton,16-17,0.4569,15.6,14.2,0.5235,0.4251 (326),0.4537,331,0.4346,,
252,Navy,19-Dec,0.4565,10.8,18.2,0.3724,0.4834 (196),0.4868,194,0.4846,,
253,Delaware,20-Oct,0.4563,10,18.8,0.3472,0.4987 (156),0.4808,174,0.4927,,
254,Howard,13-16,0.4554,13.4,12,0.5276,0.4165 (334),0.4609,336,0.4313,,
255,Long Island,18-Dec,0.455,12,17.2,0.411,0.4704 (237),0.4682,252,0.4697,,
256,UCF,18-Nov,0.4528,8.2,17.6,0.3178,0.4914 (170),0.5104,158,0.4978,,
257,Alabama St,17-10,0.4527,17.4,9.2,0.6541,0.3590 (351),0.4386,351,0.3855,,
258,Elon,13-18,0.452,12.6,16.4,0.4345,0.4437 (294),0.4863,284,0.4579,,
259,IUPUI,21-Oct,0.4517,10,19.4,0.3401,0.4912 (172),0.4842,182,0.4889,,
260,Prairie View A&M,14-18,0.4514,14.4,14.4,0.5,0.4259 (324),0.4537,328,0.4352,,
,,,,,,,,,,,,
,,,,,,,,,,,,
261,Weber St,17-Nov,0.4514,10.2,15.8,0.3923,0.4671 (245),0.4791,245,0.4711,,
262,Pennsylvania,19-Sep,0.4508,8.6,18.6,0.3162,0.4949 (162),0.4973,165,0.4957,,
263,Wright St,20-Sep,0.4507,10.2,19.2,0.3469,0.4833 (197),0.4893,192,0.4853,,
264,Northern Kentucky,17-Nov,0.4505,9.8,15,0.3952,0.4703 (238),0.4663,253,0.469,,
265,UMass-Lowell,17-Nov,0.4505,11.4,14.2,0.4453,0.4412 (298),0.4742,297,0.4522,,
266,Idaho,17-Nov,0.4497,8.2,13.4,0.3796,0.4749 (222),0.4692,235,0.473,,
267,Loyola Marymount,23-Jul,0.4494,6.2,22.2,0.2183,0.5290 (98),0.5213,98,0.5264,,
268,Siena,20-Nov,0.4482,10.6,20,0.3464,0.4843 (193),0.4776,201,0.4821,,
269,Drake,22-Aug,0.4477,5.6,20,0.2187,0.5330 (91),0.5059,101,0.524,,
270,Loyola (Maryland),19-Nov,0.4457,9.4,16.2,0.3672,0.4600 (264),0.4957,240,0.4719,,
,,,,,,,,,,,,
,,,,,,,,,,,,
271,Lipscomb,17-Nov,0.4449,9.8,12.6,0.4375,0.4376 (305),0.4669,311,0.4474,,
272,Saint Louis,21-Oct,0.4449,7.2,20.6,0.259,0.5036 (146),0.5133,133,0.5069,24,
273,South Florida,23-Aug,0.4435,5.6,21.4,0.2074,0.5248 (104),0.5171,107,0.5222,,
274,Grand Canyon,15-14,0.4435,12.2,14,0.4656,0.4222 (330),0.4641,326,0.4362,,
275,South Alabama,21-Oct,0.4431,9.6,19.4,0.331,0.4801 (208),0.481,208,0.4804,,
276,UA Little Rock,18-Dec,0.4411,10,17.2,0.3676,0.4573 (272),0.4821,264,0.4656,,
277,Arkansas St,18-Oct,0.4399,10.8,18,0.375,0.4527 (280),0.4794,274,0.4616,,
278,Southern Illinois,21-Nov,0.4392,9,19,0.3214,0.4659 (249),0.5034,214,0.4784,,
279,McNeese St,16-Nov,0.4381,9.4,14,0.4017,0.4400 (302),0.4705,302,0.4502,,
280,Seattle,14-15,0.4365,10.8,13.4,0.4463,0.4180 (333),0.4635,334,0.4332,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
281,Towson,20-Nov,0.4361,12.2,19.6,0.3836,0.4393 (303),0.482,294,0.4536,,
282,CS Northridge,24-Jul,0.4357,5.4,22,0.1971,0.5283 (99),0.4891,118,0.5152,,
283,Southern Miss,20-Jul,0.4355,5,17.6,0.2212,0.5148 (123),0.4912,132,0.507,,
284,Ball State,23-Jun,0.4352,4.4,21,0.1732,0.5363 (88),0.4951,106,0.5225,,
285,Niagara,22-Aug,0.4349,8,21.6,0.2703,0.4932 (166),0.483,179,0.4898,,
286,Houston Baptist,16-Aug,0.4344,6.4,12,0.3478,0.4600 (265),0.4698,268,0.4632,,
287,VMI,19-Sep,0.4341,9,17.8,0.3358,0.4647 (252),0.4711,259,0.4668,,
288,Bradley,24-Aug,0.4336,6,23.6,0.2027,0.5117 (131),0.5082,127,0.5105,,
289,SE Missouri St,17-Nov,0.4332,9.8,15.4,0.3889,0.4326 (318),0.4786,309,0.4479,,
290,Tennessee Tech,18-Oct,0.4317,7.6,14,0.3519,0.4543 (275),0.4663,283,0.4583,,
,,,,,,,,,,,,
,,,,,,,,,,,,
291,Youngstown St,21-Aug,0.4301,8,19.8,0.2878,0.4715 (234),0.4898,219,0.4776,,
292,SIU-E,16-Oct,0.4299,6.8,12.4,0.3542,0.4478 (289),0.47,291,0.4552,,
293,Furman,22-Sep,0.4296,7.4,19.2,0.2782,0.4860 (185),0.4683,209,0.4801,,
294,Wagner,20-Sep,0.4296,7,16,0.3043,0.4711 (236),0.4717,244,0.4713,,
295,UMKC,19-Dec,0.4293,10.8,15.4,0.4122,0.4213 (331),0.4624,329,0.435,,
296,Marshall,21-Sep,0.4291,6.2,19,0.246,0.4861 (184),0.4982,178,0.4901,,
297,UIC,24-Aug,0.4271,6.8,22.8,0.2297,0.4900 (177),0.4985,173,0.4928,,
298,Coll of Charleston,24-Sep,0.4264,7.8,22.8,0.2549,0.4804 (207),0.4897,196,0.4835,,
299,Fairfield,24-Jul,0.426,6.2,24,0.2053,0.5130 (125),0.4727,151,0.4996,,
300,Neb-Omaha,17-Nov,0.4256,10.6,15,0.4141,0.4049 (344),0.4783,339,0.4294,,
,,,,,,,,,,,,
,,,,,,,,,,,,
301,CS Bakersfield,19-Nov,0.4246,9.8,17,0.3657,0.4367 (309),0.4593,319,0.4442,,
302,UA Pine Bluff,20-Dec,0.4246,12,16.4,0.4225,0.4125 (340),0.4507,340,0.4252,,
303,Florida Atlantic,20-Jul,0.4235,5.8,17.6,0.2479,0.4786 (211),0.4888,202,0.482,,
304,Jacksonville St,19-Oct,0.4227,6.8,13.8,0.3301,0.4477 (290),0.4651,295,0.4535,,
305,Samford,19-Dec,0.4226,10.8,17,0.3885,0.4125 (339),0.4766,332,0.4339,,
306,Nevada,22-Jul,0.4221,5.8,20.8,0.218,0.4790 (210),0.5124,177,0.4901,,
307,Southern Utah,19-Sep,0.4202,9,17.4,0.3409,0.4350 (313),0.4698,312,0.4466,,
308,Utah Valley,19-Sep,0.4188,7.8,15.8,0.3305,0.4446 (293),0.4555,307,0.4483,,
309,UNC Greensboro,22-Aug,0.4187,8.4,22.4,0.2727,0.4645 (253),0.4729,257,0.4673,,
310,North Dakota,22-Jun,0.4178,7.2,20.8,0.2571,0.4723 (231),0.4695,243,0.4714,,
,,,,,,,,,,,,
,,,,,,,,,,,,
311,Coppin St,23-Jul,0.4148,7,19.8,0.2612,0.4690 (242),0.4601,262,0.466,,
312,Fairleigh Dickinson,21-Jul,0.413,7.4,19.8,0.2721,0.4506 (284),0.4789,278,0.46,,
313,Troy,19-Aug,0.4117,8,18.6,0.3008,0.4335 (314),0.4789,306,0.4486,,
314,CS Fullerton,22-Jul,0.4111,5.8,19.6,0.2283,0.4607 (262),0.4944,239,0.472,,
315,Presbyterian,22-Jun,0.4105,6,20.8,0.2239,0.4767 (218),0.4649,236,0.4727,,
316,Longwood,23-Sep,0.4096,8.2,20.2,0.2887,0.4402 (300),0.4691,304,0.4499,,
317,Marist,25-Jul,0.4085,6.6,23.4,0.22,0.4685 (243),0.4772,242,0.4714,,
318,Austin Peay,22-Jun,0.4078,4.8,19.2,0.2,0.4825 (200),0.4663,220,0.4771,,
319,Kennesaw St,22-Aug,0.4076,7.6,19.6,0.2794,0.4459 (292),0.4591,301,0.4503,,
320,South Carolina St,22-Sep,0.4074,9,18.4,0.3285,0.4234 (328),0.4544,333,0.4337,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
321,Nicholls St,19-Jul,0.4071,6.6,16.6,0.2845,0.4359 (311),0.4719,308,0.4479,,
322,Jackson St,21-Nov,0.4062,10.6,17.8,0.3732,0.4026 (346),0.4462,346,0.4171,,
323,Campbell,22-Jul,0.4061,5,18.4,0.2137,0.4721 (232),0.4666,248,0.4703,,
324,Montana St,23-Jun,0.4051,5.2,21,0.1985,0.4733 (228),0.4753,232,0.4739,,
325,Abilene Christian,21-Jul,0.4037,5.8,18.2,0.2417,0.4559 (274),0.4612,285,0.4577,,
326,New Orleans,18-Aug,0.4035,6.8,14.4,0.3208,0.4138 (337),0.4656,337,0.4311,,
327,The Citadel,19-Aug,0.402,7.2,17.4,0.2927,0.4198 (332),0.4757,324,0.4384,,
328,Western Illinois,20-Jun,0.3987,3.6,17.2,0.1731,0.4740 (226),0.4739,231,0.474,,
329,SE Louisiana,23-Aug,0.3934,7.2,19,0.2748,0.4146 (336),0.4695,335,0.4329,,
330,Alabama A&M,20-Aug,0.3931,8.8,18,0.3284,0.4007 (347),0.4428,348,0.4147,,
,,,,,,,,,,,,
,,,,,,,,,,,,
331,Savannah St,22-Jul,0.393,5.8,17.6,0.2479,0.4329 (317),0.4582,322,0.4413,,
332,Binghamton,25-May,0.392,3.8,22.2,0.1462,0.4730 (230),0.4757,233,0.4739,,
333,Chicago St,24-May,0.389,3.8,19.6,0.1624,0.4637 (254),0.4663,266,0.4646,,
334,UT Pan American,21-Jul,0.3882,5.4,16.6,0.2455,0.4240 (327),0.4594,327,0.4358,,
335,Stetson,22-Jun,0.3846,4.8,18.8,0.2034,0.4426 (295),0.4499,315,0.4451,,
336,San Jose St,0-28,0.384,0,28.4,0,0.5171 (117),0.5019,123,0.512,,
337,Morgan St,24-Jul,0.3826,5.4,19.2,0.2195,0.4258 (325),0.4594,325,0.437,,
338,Jacksonville,22-Jul,0.3813,5.8,18.8,0.2358,0.4155 (335),0.4585,338,0.4299,,
339,Maine,27-Mar,0.3804,2.6,23.8,0.0985,0.4776 (215),0.4678,229,0.4744,,
340,North Carolina A&T,23-Jul,0.3755,5.8,19,0.2339,0.4110 (341),0.446,343,0.4227,,
,,,,,,,,,,,,
,,,,,,,,,,,,
341,Tennessee St,26-Mar,0.373,1.8,22.4,0.0744,0.4741 (225),0.4694,237,0.4726,,
342,Central Connecticut,26-May,0.3723,3.8,24,0.1367,0.4421 (296),0.4682,298,0.4508,,
343,Idaho St,23-May,0.3717,3.8,20.2,0.1583,0.4290 (322),0.4703,320,0.4428,,
344,Bethune Cookman,21-Sep,0.3714,9,19.8,0.3125,0.3658 (350),0.4413,350,0.391,,
345,Miss Valley St,26-Jun,0.3696,5.6,21.6,0.2059,0.4133 (338),0.4458,342,0.4241,,
346,UMBC,26-Apr,0.3692,4,24.4,0.1408,0.4365 (310),0.4628,313,0.4453,,
347,Liberty,24-Apr,0.3562,2.4,22,0.0984,0.4321 (320),0.4623,321,0.4421,,
348,Alcorn St,25-May,0.3531,4.2,21.4,0.1641,0.4029 (345),0.4423,347,0.4161,,
349,Central Arkansas,27-Feb,0.3376,1.2,25,0.0458,0.4227 (329),0.4593,330,0.4349,,
350,Florida A&M,27-Feb,0.3265,1.2,23.8,0.048,0.4088 (342),0.4404,344,0.4193,,
,,,,,,,,,,,,
,,,,,,,,,,,,
351,Grambling St,0-27,0.3067,0,23.8,0,0.3908 (349),0.4451,349,0.4089,,
"© 1994-2011 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,
