2005-2006 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only. Old RPI is the rank and rating under the old RPI formula.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Mon Mar 13 2006, 7:45 AM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Old RPI,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,Rank,Rating,AP,USA
1,Duke,30-3,0.6841,28.4,2.6,0.9161,0.6341,0.552,1,0.6068,1,0.6823,3,3
2,Villanova,25-4,0.6662,24.2,3.6,0.8705,0.6192,0.5559,4,0.5981,2,0.6641,2,2
3,Connecticut,27-3,0.6509,23.8,2.2,0.9154,0.5649,0.5582,43,0.5627,4,0.647,1,1
4,Memphis,30-3,0.6507,26.4,3,0.898,0.5882,0.5284,31,0.5683,3,0.6535,5,5
5,Ohio State,25-5,0.64,21,4.2,0.8333,0.5856,0.5553,25,0.5755,5,0.64,7,7
6,Tennessee,21-7,0.6329,18.6,6.6,0.7381,0.6248,0.5437,6,0.5978,6,0.6358,14,15
7,Iowa,25-8,0.6312,19.8,5.2,0.792,0.5875,0.5576,21,0.5775,11,0.6226,20,20
8,Texas,27-6,0.6299,23.4,5.2,0.8182,0.5755,0.5502,34,0.5671,9,0.6299,8,8
9,Gonzaga,27-3,0.6253,23.8,2.2,0.9154,0.5261,0.5337,95,0.5286,13,0.6214,4,4
10,UCLA,27-6,0.6253,23.4,6.4,0.7852,0.5875,0.5409,29,0.5719,7,0.6335,13,12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Pittsburgh,24-7,0.623,19.6,5.4,0.784,0.5729,0.5622,30,0.5693,14,0.6205,15,16
12,North Carolina,22-7,0.6222,20,7.8,0.7194,0.6073,0.5548,10,0.5898,8,0.632,10,10
13,LSU,22-8,0.6216,19.6,7.2,0.7313,0.6007,0.5537,13,0.585,12,0.6221,18,17
14,Illinois,25-6,0.6202,21,4.8,0.814,0.5564,0.554,54,0.5556,15,0.6183,9,9
15,Florida,27-6,0.613,23,5.2,0.8156,0.5444,0.5477,66,0.5455,16,0.6137,16,14
16,Oklahoma,20-8,0.6118,16.8,6.4,0.7241,0.5904,0.5424,27,0.5744,18,0.6094,22,19
17,Syracuse,23-11,0.6107,18.6,11,0.6284,0.6347,0.545,2,0.6048,10,0.6227,,
18,Michigan St,21-11,0.6085,17.4,9,0.6591,0.6106,0.5539,9,0.5917,19,0.6078,,
19,Nevada,26-5,0.6064,23.6,4.2,0.8489,0.5269,0.523,98,0.5256,20,0.6039,21,24
20,Kansas,24-7,0.6057,20.8,7,0.7482,0.5629,0.5488,49,0.5582,17,0.6122,17,18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Missouri St,20-8,0.603,18.4,6.8,0.7302,0.577,0.5276,46,0.5606,25,0.599,,
22,Boston College,25-7,0.6019,23,6.6,0.777,0.54,0.5508,70,0.5436,21,0.603,11,11
23,Arizona,19-12,0.6016,15.8,9.6,0.622,0.6197,0.5451,7,0.5948,24,0.5993,,
24,Wisconsin,19-11,0.6,14.2,8.6,0.6228,0.6115,0.5541,8,0.5923,22,0.6026,,
25,Northern Iowa,21-9,0.599,19.4,8.2,0.7029,0.5787,0.5358,40,0.5644,27,0.5983,,
26,George Mason,23-7,0.5984,21.4,5.4,0.7985,0.543,0.5091,89,0.5317,34,0.5905,,
27,Wichita St,23-8,0.5983,21,7.6,0.7343,0.5609,0.5373,58,0.553,23,0.6003,,
28,UNC Wilmington,25-7,0.5982,23.4,5,0.8239,0.5269,0.5149,103,0.5229,38,0.5875,,
29,Southern Illinois,22-9,0.598,20.4,7.4,0.7338,0.5585,0.5411,59,0.5527,32,0.5919,,
30,Hofstra,24-6,0.5971,22.4,4,0.8485,0.5148,0.5102,129,0.5133,46,0.585,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,Marquette,19-10,0.5962,15,8,0.6522,0.5922,0.5481,22,0.5775,29,0.5969,,
32,UAB,23-6,0.5943,20.6,4.4,0.824,0.5181,0.517,115,0.5178,40,0.5866,24,25
33,Bradley,20-10,0.5934,16.8,7.2,0.7,0.5659,0.5416,50,0.5578,45,0.585,,
34,Indiana,18-11,0.5932,16,9.4,0.6299,0.5943,0.5544,17,0.581,33,0.5909,,
35,Washington,24-6,0.5922,19.6,5.6,0.7778,0.5286,0.5338,92,0.5303,28,0.5977,12,13
36,Georgetown,21-9,0.592,19.4,7.4,0.7239,0.5441,0.5557,63,0.548,41,0.586,23,23
37,George Washington,26-2,0.5918,24,1.6,0.9375,0.4599,0.5099,207,0.4766,36,0.5896,6,6
38,West Virginia,19-10,0.5918,16.2,9.2,0.6378,0.5862,0.5568,23,0.5764,30,0.5961,19,21
39,Creighton,19-9,0.5906,15.4,6.6,0.7,0.5618,0.5389,55,0.5542,44,0.5853,,
40,Cincinnati,18-12,0.5895,14,10.8,0.5645,0.6179,0.5578,5,0.5979,26,0.5984,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
41,Kentucky,21-12,0.589,19.4,12.4,0.6101,0.594,0.5577,15,0.5819,31,0.5955,,
42,Bucknell,25-4,0.5866,24.2,3.2,0.8832,0.4813,0.5005,181,0.4877,48,0.5813,,
43,Saint Joseph's,18-13,0.5862,18.8,11.4,0.6225,0.6004,0.5214,28,0.5741,53,0.5757,,
44,Texas A&M,21-8,0.5847,16.2,6.8,0.7043,0.5511,0.5324,67,0.5449,35,0.5897,,
45,Arkansas,22-9,0.5829,17.2,7.4,0.6992,0.5395,0.5535,68,0.5442,42,0.5855,,
46,Utah St,22-8,0.5815,19.6,6.4,0.7538,0.5298,0.5124,102,0.524,51,0.5763,,
47,Michigan,18-10,0.5807,14.8,8.8,0.6271,0.5678,0.56,37,0.5652,47,0.5846,,
48,Kent St,24-8,0.5804,22.4,6.8,0.7671,0.5299,0.4947,113,0.5182,52,0.5761,,
49,Maryland,18-12,0.5799,13.2,10,0.569,0.6068,0.5371,14,0.5835,37,0.5876,,
50,Air Force,22-6,0.5791,18.8,4,0.8246,0.4917,0.5083,158,0.4972,60,0.5693,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
51,North Carolina St,21-9,0.579,17,8.2,0.6746,0.5503,0.5408,64,0.5471,43,0.5854,25,22
52,California,20-10,0.5776,18,9.2,0.6618,0.5553,0.5381,61,0.5496,50,0.5788,,
53,Wis-Milwaukee,20-8,0.5774,18.4,6.4,0.7419,0.5315,0.5048,104,0.5226,58,0.5705,,
54,Houston,19-9,0.5773,17.4,7,0.7131,0.5481,0.4997,87,0.532,61,0.5686,,
55,Western Kentucky,22-7,0.5766,20,6.2,0.7634,0.5203,0.5026,125,0.5144,54,0.5755,,
56,San Diego St,22-8,0.5752,19.6,6.8,0.7424,0.52,0.5182,111,0.5194,56,0.5729,,
57,Alabama,17-12,0.5748,12.6,10.8,0.5385,0.6054,0.5499,12,0.5869,39,0.5867,,
58,Seton Hall,18-11,0.5725,14.8,10.2,0.592,0.5736,0.5508,36,0.566,49,0.5796,,
59,Colorado,20-9,0.5716,16,6.6,0.708,0.5203,0.5379,97,0.5262,63,0.567,,
60,Northwestern St,22-7,0.5684,21.6,4.6,0.8244,0.4777,0.4939,188,0.4831,81,0.552,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61,Montana,21-6,0.5684,19.8,4.4,0.8182,0.4818,0.4919,186,0.4852,73,0.5583,,
62,South Carolina,17-15,0.5671,15,14.6,0.5068,0.6068,0.548,11,0.5872,55,0.5732,,
63,Florida St,19-9,0.5658,15.4,7.4,0.6754,0.5205,0.5466,94,0.5292,64,0.5665,,
64,Iona,23-7,0.5656,24.6,7.8,0.7593,0.4992,0.505,154,0.5011,62,0.5675,,
65,Murray St,23-6,0.5644,21,4.8,0.814,0.4793,0.4851,193,0.4812,72,0.5592,,
