40,Maryland,16-11,0.5743,30,0.5681,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
41,Texas,25-7,0.574,118,0.505,,,,,,,,,
42,Drexel,24-4,0.5739,187,0.4795,,,,,,,,,
43,Seton Hall,17-12,0.5735,29,0.5692,,,,,,,,,
44,Western Kentucky,19-10,0.5724,66,0.5448,,,,,,,,,
45,New Mexico,21-7,0.572,105,0.5127,,,,,,,,,
46,BYU,19-9,0.5719,80,0.5363,,,,,,,,,
47,Villanova,15-12,0.571,16,0.5761,,,,,,,,,
48,UL Lafayette,21-7,0.57,109,0.51,,,,,,,,,
49,Coll of Charleston,22-3,0.5677,229,0.4636,,,,,,,,,
50,Kansas St,17-12,0.5677,42,0.5616,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
51,Chattanooga,21-6,0.5677,134,0.4977,,,,,,,,,
52,Mississippi St,17-10,0.5671,63,0.5463,,,,,,,,,
53,Tulsa,20-7,0.5656,113,0.5073,,,,,,,,,
54,Alabama,19-9,0.5648,87,0.5268,,,,,,,,,
55,DePaul,16-11,0.5645,49,0.5552,,,,,,,,,
56,UW Green Bay,26-6,0.5641,179,0.4813,,,,,,,,,
57,Pennsylvania,23-2,0.5631,267,0.4441,,,,,,,,,
58,VCU,14-13,0.5612,18,0.5754,,,,,,,,,
59,Weber St,16-10,0.5607,70,0.5425,,,,,,,,,
60,Stanford,16-10,0.5607,71,0.5425,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61,George Washington,17-11,0.5601,68,0.5444,,,,,,,,,
62,New Orleans,18-9,0.5594,89,0.5237,,,,,,,,,
63,Siena,21-7,0.559,141,0.4954,,,,,,,,,
64,Southern Miss,15-14,0.5571,26,0.5704,,,,,,,,,
65,Xavier,19-7,0.5569,131,0.4989,,,,,,,,,
66,Ohio State,16-Dec,0.5545,3,0.5965,,,,,,,,,
67,West Virginia,16-11,0.5541,72,0.5412,,,,,,,,,
68,Tulane,17-10,0.554,84,0.5288,,,,,,,,,
69,Vanderbilt,16-11,0.5538,73,0.5408,,,,,,,,,
70,Canisius,22-6,0.5536,194,0.4762,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
71,New Mexico St,21-7,0.551,173,0.4847,,,,,,,,,
72,Arizona St,15-12,0.551,58,0.5495,,,,,,,,,
73,Duquesne,16-12,0.5508,69,0.5439,,,,,,,,,
74,Virginia Tech,18-10,0.5492,94,0.518,,,,,,,,,
75,Miami (OH),18-10,0.5489,96,0.5176,,,,,,,,,
76,Fresno St,18-10,0.5466,102,0.5145,,,,,,,,,
77,Florida St,13-14,0.546,32,0.5675,,,,,,,,,
78,Manhattan,19-10,0.5446,112,0.5078,,,,,,,,,
79,Hawai'i,18-14,0.5439,79,0.5378,,,,,,,,,
80,Gonzaga,19-7,0.5429,186,0.4802,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
81,Saint Joseph's,14-14,0.5423,47,0.5564,,,,,,,,,
82,James Madison,20-9,0.5419,153,0.4926,,,,,,,,,
83,Northwestern,13-13,0.5417,48,0.5556,,,,,,,,,
84,Pittsburgh,13-14,0.5401,44,0.5597,,,,,,,,,
85,Maine,20-9,0.54,157,0.4901,,,,,,,,,
86,Clemson,16-15,0.54,61,0.5479,,,,,,,,,
87,Bradley,20-7,0.5398,201,0.4728,,,,,,,,,
88,Murray St,20-5,0.5391,252,0.4521,,,,,,,,,
89,Boise St,15-11,0.5385,88,0.5256,,,,,,,,,
90,Memphis,13-16,0.5377,33,0.5675,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
91,Rider,21-8,0.5373,197,0.475,,,,,,,,,
92,Davidson,20-7,0.536,216,0.4677,,,,,,,,,
93,Bowling Green,15-10,0.5358,101,0.5145,,,,,,,,,
94,Rutgers,16-Nov,0.5358,11,0.5786,,,,,,,,,
95,Iowa State,13-13,0.5347,64,0.5463,,,,,,,,,
96,Penn State,13-14,0.5344,56,0.552,,,,,,,,,
97,Pepperdine,17-10,0.534,126,0.5021,,,,,,,,,
98,Towson,22-8,0.534,219,0.4675,,,,,,,,,
99,Texas A&M,19-10,0.5338,150,0.4934,,,,,,,,,
100,UIC,19-9,0.5331,174,0.4846,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
101,UTEP,14-12,0.5309,85,0.5283,,,,,,,,,
102,Georgia,14-16,0.5291,57,0.5499,,,,,,,,,
103,LSU,16-Nov,0.5273,34,0.5673,,,,,,,,,
104,Idaho St,15-9,0.5265,147,0.4937,,,,,,,,,
105,Texas St,22-6,0.5265,273,0.4401,,,,,,,,,
106,Notre Dame,17-Nov,0.5253,28,0.5695,,,,,,,,,
107,Southern California,16-11,0.5249,125,0.5023,,,,,,,,,
108,Mississippi,13-Nov,0.5238,65,0.5457,,,,,,,,,
109,Old Dominion,20-9,0.5238,214,0.4685,,,,,,,,,
110,Iowa,16-Nov,0.5226,43,0.561,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,Texas Tech,17-11,0.5219,148,0.4935,,,,,,,,,
112,Coppin St,20-8,0.5219,245,0.4577,,,,,,,,,
113,Idaho,15-10,0.5215,142,0.4953,,,,,,,,,
114,Arkansas St,15-12,0.5206,110,0.5089,,,,,,,,,
115,Detroit,13-12,0.5198,92,0.5197,,,,,,,,,
116,St. John's,17-Dec,0.5194,51,0.5545,,,,,,,,,
117,Jacksonville,17-11,0.5193,158,0.49,,,,,,,,,
118,Valparaiso,19-8,0.5183,247,0.4565,,,,,,,,,
119,Loyola (Maryland),17-12,0.5175,144,0.4945,,,,,,,,,
120,San Francisco,15-11,0.5171,137,0.4972,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
121,Rhode Island,16-Nov,0.5171,52,0.5536,,,,,,,,,
122,South Florida,17-Oct,0.5164,36,0.5651,,,,,,,,,
123,Illinois St,16-11,0.5162,156,0.4907,,,,,,,,,
124,Evansville,19-10,0.5155,211,0.4689,,,,,,,,,
125,Auburn,17-Nov,0.5145,50,0.5551,,,,,,,,,
126,North Carolina St,19-Nov,0.5144,38,0.5636,,,,,,,,,
127,San Diego,16-11,0.5131,168,0.4866,,,,,,,,,
128,Hartford,16-12,0.513,149,0.4935,,,,,,,,,
129,Ball State,14-12,0.5124,120,0.5038,,,,,,,,,
130,Campbell,19-8,0.512,260,0.4481,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
131,Western Michigan,14-14,0.5119,100,0.5159,,,,,,,,,
132,UNC Wilmington,18-10,0.5096,227,0.4651,,,,,,,,,
133,Liberty,17-10,0.5095,209,0.4694,,,,,,,,,
134,Baylor,16-11,0.509,182,0.4811,,,,,,,,,
135,Colorado St,13-13,0.5089,107,0.5118,,,,,,,,,
136,Butler,15-13,0.5085,129,0.4994,,,,,,,,,
137,Monmouth,18-11,0.5084,208,0.4709,,,,,,,,,
138,UT Pan American,14-12,0.5076,136,0.4973,,,,,,,,,
139,San Jose St,15-12,0.5073,155,0.4912,,,,,,,,,
140,Montana,15-9,0.5068,221,0.4674,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
141,Princeton,16-8,0.5065,250,0.4531,,,,,,,,,
142,Richmond,14-14,0.5064,111,0.5085,,,,,,,,,
143,Texas Southern,15-10,0.5063,196,0.475,,,,,,,,,
144,Tennessee St,17-11,0.5062,202,0.4726,,,,,,,,,
145,UL Monroe,18-9,0.5061,251,0.4525,,,,,,,,,
146,Wyoming,13-14,0.5058,103,0.5139,,,,,,,,,
147,Toledo,15-11,0.5052,180,0.4813,,,,,,,,,
148,Long Beach,15-10,0.5051,200,0.4734,,,,,,,,,
149,East Carolina,15-12,0.5047,166,0.4877,,,,,,,,,
150,South Alabama,13-14,0.5043,106,0.5119,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
151,Appalachian St,15-11,0.5036,188,0.4791,,,,,,,,,
152,UCF,19-8,0.5034,280,0.4367,,,,,,,,,
153,Rice,15-14,0.503,133,0.4982,,,,,,,,,
154,Utah,14-Dec,0.5026,98,0.5163,,,,,,,,,
155,Montana St,13-11,0.5026,161,0.4895,,,,,,,,,
156,Eastern Michigan,13-12,0.502,139,0.496,,,,,,,,,
157,UNLV,14-13,0.5015,140,0.4959,,,,,,,,,
158,Wagner,16-12,0.501,191,0.4775,,,,,,,,,
159,South Carolina,19-Sep,0.4998,45,0.5592,,,,,,,,,
160,Jackson St,18-10,0.4991,254,0.4512,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
161,Northern Iowa,15-13,0.4989,169,0.4866,,,,,,,,,
162,Radford,17-8,0.498,278,0.4373,,,,,,,,,
163,Colorado,17-Oct,0.497,76,0.5392,,,,,,,,,
164,St. Bonaventure,17-Oct,0.4963,78,0.5382,,,,,,,,,
165,New Hampshire,15-13,0.4957,176,0.4824,,,,,,,,,
166,St. Peter's,14-13,0.4952,167,0.4875,,,,,,,,,
167,Delaware,13-Dec,0.495,127,0.5,,,,,,,,,
168,Santa Clara,14-Nov,0.4945,104,0.5127,,,,,,,,,
169,Kent St,13-14,0.4943,132,0.4986,,,,,,,,,
170,Nicholls St,17-9,0.4935,274,0.44,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
171,La Salle,16-Oct,0.493,83,0.5291,,,,,,,,,
172,Robert Morris,14-14,0.4922,160,0.4896,,,,,,,,,
173,East Tenn St,14-14,0.4919,163,0.4892,,,,,,,,,
174,Missouri St,15-Dec,0.488,123,0.5025,,,,,,,,,
175,Utah St,13-Dec,0.4871,162,0.4895,,,,,,,,,
176,Cleveland St,13-15,0.4864,146,0.4938,,,,,,,,,
177,Fairleigh Dickinson,13-13,0.4862,177,0.4816,,,,,,,,,
178,Oregon,17-Aug,0.4839,77,0.5385,,,,,,,,,
179,Pacific,15-14,0.4836,203,0.4724,,,,,,,,,
180,Portland,17-Oct,0.4808,95,0.5176,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
181,Northern Arizona,12-Oct,0.4796,165,0.4879,,,,,,,,,
182,Washington,22-May,0.4775,19,0.575,,,,,,,,,
183,San Diego St,16-Oct,0.4765,114,0.5071,,,,,,,,,
184,UMKC,17-Nov,0.4762,119,0.504,,,,,,,,,
185,Marist,14-13,0.4759,236,0.4616,,,,,,,,,
186,Brown,14-Dec,0.4711,199,0.4743,,,,,,,,,
187,UC Santa Barbara,17-Dec,0.4707,159,0.4897,,,,,,,,,
188,Oregon St,20-Jun,0.4696,59,0.5493,,,,,,,,,
189,Colgate,17-12,0.4683,287,0.429,,,,,,,,,
190,Alabama St,15-10,0.468,293,0.424,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
191,St. Mary's,14-Nov,0.4668,195,0.4757,,,,,,,,,
192,St. Francis (PA),13-15,0.4666,222,0.4674,,,,,,,,,
193,Southern Utah,11-Dec,0.466,261,0.4474,,,,,,,,,
194,Centenary,14-12,0.4653,270,0.4409,,,,,,,,,
195,UNC Greensboro,15-12,0.4652,281,0.4351,,,,,,,,,
196,Georgia So,14-Oct,0.4646,184,0.4806,,,,,,,,,
197,North Texas,14-15,0.4646,244,0.4585,,,,,,,,,
198,SMU,21-Jun,0.4641,67,0.5447,,,,,,,,,
199,Holy Cross,14-14,0.4632,255,0.451,,,,,,,,,
200,UA Little Rock,15-Dec,0.4631,210,0.4694,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
201,Florida Intl,16-Nov,0.4628,181,0.4812,,,,,,,,,
202,Fairfield,19-Aug,0.4623,96,0.5176,,,,,,,,,
203,Drake,16-Oct,0.461,170,0.4865,,,,,,,,,
204,Wichita St,18-Aug,0.4602,108,0.5111,,,,,,,,,
205,North Carolina A&T,15-12,0.4599,288,0.428,,,,,,,,,
206,Western Carolina,16-Oct,0.4597,172,0.4848,,,,,,,,,
207,Vermont,15-Oct,0.4583,190,0.4777,,,,,,,,,
208,Dayton,21-May,0.4581,62,0.5467,,,,,,,,,
209,Nevada,17-Oct,0.4564,171,0.485,,,,,,,,,
210,Mt St. Mary's,14-14,0.4556,271,0.4408,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
211,Navy,16-12,0.4553,296,0.4166,,,,,,,,,
212,Eastern Kentucky,14-Nov,0.4553,238,0.4604,,,,,,,,,
213,Furman,17-Oct,0.455,175,0.4832,,,,,,,,,
214,Lamar,17-Aug,0.4545,130,0.4994,,,,,,,,,
215,Georgia St,13-13,0.4545,275,0.4393,,,,,,,,,
216,Eastern Illinois,15-Nov,0.4526,231,0.4625,,,,,,,,,
217,South Carolina St,14-13,0.452,286,0.4298,,,,,,,,,
218,Morehead St,14-Dec,0.4492,264,0.445,,,,,,,,,
219,Boston U,16-Nov,0.4486,233,0.4623,,,,,,,,,
220,Stetson,16-Dec,0.4473,249,0.4535,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
221,American,19-Aug,0.4472,135,0.4975,,,,,,,,,
222,Houston,19-Aug,0.4465,138,0.4966,,,,,,,,,
223,Loyola (Chicago),19-Jul,0.4444,122,0.5028,,,,,,,,,
224,George Mason,17-Oct,0.4442,212,0.4689,,,,,,,,,
225,Miami (FL),20-Jul,0.4436,117,0.5051,,,,,,,,,
226,Wright St,17-Nov,0.4434,239,0.4602,,,,,,,,,
227,Air Force,18-Apr,0.4434,82,0.5306,,,,,,,,,
228,Southern U,11-Dec,0.443,295,0.4167,,,,,,,,,
229,The Citadel,16-Sep,0.4416,213,0.4688,,,,,,,,,
230,Charleston Southern,17-Sep,0.4407,205,0.4722,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
231,SE Louisiana,16-Sep,0.4406,220,0.4675,,,,,,,,,
232,UW Milwaukee,17-Oct,0.4385,237,0.4612,,,,,,,,,
233,Austin Peay,16-Oct,0.4383,248,0.4562,,,,,,,,,
234,UT San Antonio,15-Oct,0.4379,257,0.4505,,,,,,,,,
235,Tennessee,22-May,0.4372,91,0.5212,,,,,,,,,
236,NE Illinois,14-11,0.4372,301,0.3962,,,,,,,,,
237,Dartmouth,16-Sep,0.4368,232,0.4625,,,,,,,,,
238,UM Eastern Shore,13-12,0.4358,300,0.4078,,,,,,,,,
239,UC Irvine,20-Sep,0.4349,192,0.4765,,,,,,,,,
240,TCU,20-Jul,0.4336,154,0.4917,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
241,Northern Illinois,17-Sep,0.4329,235,0.4618,,,,,,,,,
242,Stephen F. Austin,18-Aug,0.4312,204,0.4724,,,,,,,,,
243,Fordham,15-Nov,0.4289,283,0.4308,,,,,,,,,
244,Yale,16-Sep,0.4279,256,0.4505,,,,,,,,,
245,UMBC,20-Jun,0.4275,151,0.493,,,,,,,,,
246,McNeese St,16-Sep,0.4272,259,0.4496,,,,,,,,,
247,Northwestern St,15-Jul,0.4272,230,0.4635,,,,,,,,,
248,Loyola Marymount,21-Jun,0.4251,152,0.4927,,,,,,,,,
249,Marshall,18-Jul,0.4239,207,0.4719,,,,,,,,,
250,Cornell,18-Jun,0.4227,185,0.4803,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
251,Central Michigan,20-May,0.4204,145,0.4938,,,,,,,,,
252,Bucknell,17-Sep,0.4202,265,0.4449,,,,,,,,,
253,Troy,14-Nov,0.42,297,0.4134,,,,,,,,,
254,Akron,18-Jul,0.4191,226,0.4655,,,,,,,,,
255,Lehigh,17-Sep,0.4183,268,0.4424,,,,,,,,,
256,Samford,19-Jul,0.4182,215,0.4679,,,,,,,,,
257,CS Fullerton,19-Jun,0.4172,193,0.4763,,,,,,,,,
258,CS Northridge,18-Jul,0.4167,234,0.4622,,,,,,,,,
259,Niagara,21-Jun,0.4166,178,0.4814,,,,,,,,,
260,Creighton,21-Jun,0.4161,183,0.4808,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
261,Northeastern,22-Apr,0.4159,121,0.5032,,,,,,,,,
262,Mercer,24-Mar,0.415,99,0.5163,,,,,,,,,
263,Eastern Washington,20-Feb,0.4142,90,0.522,,,,,,,,,
264,Indiana St,22-Apr,0.4133,128,0.4998,,,,,,,,,
265,Western Illinois,20-Jun,0.4117,206,0.472,,,,,,,,,
266,Lafayette,19-Aug,0.4116,258,0.45,,,,,,,,,
267,Tennessee Tech,21-Jul,0.4112,228,0.4649,,,,,,,,,
268,Howard,17-Aug,0.411,269,0.4414,,,,,,,,,
269,Harvard,17-Aug,0.4093,276,0.4391,,,,,,,,,
270,Iona,20-Jul,0.409,243,0.4589,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
271,William & Mary,23-Apr,0.408,143,0.4946,,,,,,,,,
272,Miss Valley St,16-Aug,0.4075,282,0.4322,,,,,,,,,
273,SE Missouri St,17-Sep,0.4069,289,0.4272,,,,,,,,,
274,Winthrop,20-May,0.4059,198,0.4745,,,,,,,,,
275,Sam Houston,19-Jul,0.4057,253,0.4512,,,,,,,,,
276,Bethune Cookman,18-Sep,0.4035,290,0.4269,,,,,,,,,
277,Army,20-Jun,0.4028,240,0.4601,,,,,,,,,
278,Oral Roberts,21-Jun,0.4003,241,0.4597,,,,,,,,,
279,UT Arlington,20-May,0.4002,223,0.467,,,,,,,,,
280,Middle Tenn St,19-Jul,0.3961,277,0.4383,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
281,Florida Atlantic,23-Mar,0.3956,164,0.489,,,,,,,,,
282,Buffalo,18-Sep,0.3926,299,0.4123,,,,,,,,,
283,Youngstown St,21-May,0.391,246,0.4572,,,,,,,,,
284,Louisiana Tech,25-Jan,0.3893,115,0.5063,,,,,,,,,
285,Morgan St,20-Aug,0.3888,294,0.4231,,,,,,,,,
286,Hofstra,20-Sep,0.3872,298,0.4128,,,,,,,,,
287,Coastal Carolina,20-Apr,0.3861,242,0.4593,,,,,,,,,
288,Columbia,20-May,0.3852,262,0.447,,,,,,,,,
289,UNC Asheville,21-Mar,0.382,218,0.4676,,,,,,,,,
290,Chicago St,23-Mar,0.379,224,0.4669,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
291,Delaware St,19-Jun,0.3789,292,0.4252,,,,,,,,,
292,VMI,23-Mar,0.3787,225,0.4665,,,,,,,,,
293,Long Island,24-Mar,0.3785,217,0.4677,,,,,,,,,
294,Grambling St,18-May,0.374,291,0.4263,,,,,,,,,
295,Sacramento St,26-Jan,0.368,189,0.4783,,,,,,,,,
296,Alcorn St,19-Mar,0.3643,272,0.4403,,,,,,,,,
297,UT Martin,22-Mar,0.3635,266,0.4446,,,,,,,,,
298,Florida A&M,23-Mar,0.3512,284,0.4298,,,,,,,,,
299,Prairie View A&M,22-Feb,0.3485,279,0.4369,,,,,,,,,
300,St. Francis (NY),26-Jan,0.3431,263,0.4452,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
301,Central Connecticut,22-Jan,0.3332,285,0.4298,,,,,,,,,
"© 1994-2008 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,,,
