1993-1994 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,SOS,,,,,,,,,,
Rank,School,W-L,RPI,Rank,Rating,,,,,,,,,
1,Purdue,26-4,0.6608,5,0.5922,,,,,,,,,
2,Missouri,24-3,0.652,22,0.5731,,,,,,,,,
3,North Carolina,27-6,0.6425,7,0.584,,,,,,,,,
4,Massachusetts,27-6,0.6389,10,0.5792,,,,,,,,,
5,Temple,22-7,0.6378,2,0.5976,,,,,,,,,
6,Arkansas,24-3,0.6365,55,0.5524,,,,,,,,,
7,Louisville,26-5,0.6357,31,0.568,,,,,,,,,
8,Kentucky,26-6,0.635,17,0.5758,,,,,,,,,
9,Michigan,21-7,0.634,4,0.5953,,,,,,,,,
10,Arizona,25-5,0.6302,40,0.5624,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Duke,23-5,0.6299,35,0.566,,,,,,,,,
12,Connecticut,27-4,0.6228,75,0.5401,,,,,,,,,
13,Kansas,24-7,0.6222,23,0.5716,,,,,,,,,
14,Florida,25-7,0.6127,46,0.5565,,,,,,,,,
15,Indiana,19-8,0.6124,8,0.5819,,,,,,,,,
16,Syracuse,21-6,0.6063,60,0.5492,,,,,,,,,
17,Oklahoma St,21-9,0.6048,21,0.5731,,,,,,,,,
18,Marquette,21-8,0.6035,39,0.5632,,,,,,,,,
19,Nebraska,20-9,0.601,24,0.5715,,,,,,,,,
20,Cincinnati,22-9,0.6002,37,0.5637,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Virginia,17-12,0.5997,1,0.6041,,,,,,,,,
22,Wake Forest,20-10,0.5979,20,0.5749,,,,,,,,,
23,California,22-7,0.5951,74,0.5405,,,,,,,,,
24,Minnesota,20-11,0.5943,13,0.5774,,,,,,,,,
25,Providence,20-9,0.5942,41,0.5624,,,,,,,,,
26,UCLA,21-6,0.5931,81,0.5315,,,,,,,,,
27,Michigan St,19-11,0.5928,9,0.5793,,,,,,,,,
28,Illinois,17-10,0.5902,14,0.577,,,,,,,,,
29,UAB,22-7,0.5858,86,0.5281,,,,,,,,,
30,Wisconsin,17-10,0.5854,25,0.5706,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,Ohio,23-7,0.5813,93,0.5195,,,,,,,,,
32,Saint Louis,22-5,0.5806,124,0.5025,,,,,,,,,
33,Oklahoma,15-12,0.5802,6,0.5884,,,,,,,,,
34,Boston College,19-10,0.5782,54,0.5526,,,,,,,,,
35,Charlotte,16-12,0.5765,12,0.5782,,,,,,,,,
36,Southern Illinois,22-6,0.5759,116,0.506,,,,,,,,,
37,Georgetown,16-11,0.5759,27,0.5703,,,,,,,,,
38,Washington St,18-10,0.5753,53,0.5527,,,,,,,,,
39,Georgia Tech,16-12,0.5751,15,0.5763,,,,,,,,,
