1998-1999 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,Duke,32-1,0.6934,3,0.6013,1,1
2,Michigan St,28-4,0.6666,5,0.5971,2,2
3,UConn,28-2,0.6568,28,0.5646,3,3
4,Maryland,25-5,0.6477,10,0.5859,5,5
5,Stanford,23-6,0.6452,8,0.5959,6,6
6,Auburn,27-3,0.634,59,0.5453,4,4
7,North Carolina,24-9,0.6335,2,0.6022,15,15
8,St. John's,25-8,0.6285,11,0.5855,10,9
9,Cincinnati,25-5,0.6279,35,0.5595,7,7
10,Kentucky,25-8,0.6279,12,0.5846,14,14
,,,,,,,
,,,,,,,
11,Miami-Florida,22-6,0.6266,22,0.5736,9,10
12,Iowa,18-9,0.6143,6,0.5969,20,19
13,Arizona,22-6,0.6121,44,0.5542,13,11
14,Wisconsin,22-9,0.612,16,0.5795,19,18
15,Kansas,21-9,0.6112,15,0.5816,,
16,Indiana,22-10,0.6085,14,0.5821,17,17
17,UCLA,22-8,0.6059,29,0.5634,12,13
18,Utah,24-4,0.6055,103,0.5216,8,8
19,UNC Charlotte,22-10,0.6053,18,0.5779,,
20,Ohio State,22-8,0.602,37,0.5582,11,12
,,,,,,,
,,,,,,,
21,Miami-Ohio,22-7,0.5962,64,0.542,,
22,Louisville,19-10,0.5946,21,0.5744,,
23,Kent,21-6,0.5917,88,0.5297,,
24,Minnesota,17-10,0.5906,19,0.5776,23,24
25,Purdue,19-12,0.5906,13,0.5832,,
26,Tennessee,20-8,0.5906,50,0.5493,18,25
27,Washington,16-11,0.5882,9,0.5868,,
28,Arkansas,22-10,0.5873,45,0.5539,22,
29,Tulsa,22-9,0.5859,61,0.5447,,
30,Temple,21-10,0.5854,41,0.5548,,
,,,,,,,
,,,,,,,
31,Missouri,20-8,0.5823,72,0.5383,24,
32,Florida,20-8,0.5816,74,0.5373,21,23
33,Coll of Charleston,25-2,0.5805,217,0.4653,16,16
34,Creighton,21-8,0.5803,85,0.5323,,
35,SW Missouri St,20-10,0.5784,51,0.549,,
36,Villanova,20-10,0.5781,52,0.5486,,
37,Siena,25-5,0.576,151,0.4902,,
38,George Wash,20-8,0.5758,89,0.5296,,
39,Syracuse,20-11,0.5747,46,0.5512,,20
40,Oregon,15-11,0.5727,23,0.5712,,
,,,,,,,
,,,,,,,
41,TCU,18-10,0.5703,57,0.5461,,
42,Gonzaga,24-6,0.5697,149,0.4929,,
43,Rutgers,18-12,0.5686,38,0.5581,,
44,Evansville,21-9,0.5679,98,0.5239,,
45,Texas,19-12,0.5664,47,0.5509,,22
46,DePaul,17-12,0.5662,33,0.5596,,
47,Nebraska,19-12,0.5661,48,0.5505,,
48,UAB,20-11,0.566,68,0.5396,,
49,Oklahoma,19-10,0.5648,80,0.5346,,
50,Mississippi,16-12,0.5643,30,0.562,,
,,,,,,,
,,,,,,,
51,Detroit,23-5,0.5642,180,0.4785,,
52,Pennsylvania,21-5,0.5633,172,0.4819,,
53,Oklahoma St,21-10,0.5632,96,0.5251,,
54,Florida St,13-17,0.5613,1,0.6039,,
55,Delaware,25-5,0.5612,203,0.4705,,
56,North Carolina St,18-13,0.5612,42,0.5547,,
57,Georgia Tech,15-15,0.5584,17,0.5779,,
58,Weber St,21-7,0.5584,143,0.4945,,
59,California,17-11,0.5578,66,0.5413,,
60,Wake Forest,16-13,0.5569,36,0.5587,,
,,,,,,,
,,,,,,,
61,Illinois,14-18,0.5568,7,0.5966,,
62,Toledo,16-8,0.5568,107,0.5201,,
63,Alabama,17-14,0.5554,39,0.5577,,
64,Bradley,17-11,0.554,75,0.5363,,
65,Butler,20-8,0.5535,132,0.5,,
66,Murray St,25-5,0.553,232,0.4596,,
67,Kansas St,19-12,0.5529,83,0.5329,,
68,Georgia,15-14,0.5529,27,0.5648,,
69,Rhode Island,20-12,0.5528,91,0.5288,,
70,Xavier,21-10,0.5525,121,0.5109,,
,,,,,,,
,,,,,,,
71,Fresno St,20-11,0.5521,105,0.521,,
72,Bowling Green,16-10,0.5515,87,0.5302,,
73,Ohio,17-10,0.5512,97,0.525,,
74,New Mexico,23-8,0.5509,157,0.4873,25,21
75,New Mexico St,21-8,0.5509,148,0.4932,,
76,UNLV,15-12,0.5494,54,0.5474,,
77,Hofstra,20-9,0.5494,130,0.5026,,
78,Northwestern,14-13,0.5493,34,0.5595,,
79,Wyoming,17-9,0.5487,117,0.5136,,
80,Samford,22-4,0.5482,267,0.4489,,
,,,,,,,
,,,,,,,
81,Southern Cal,15-12,0.5478,60,0.5452,,
82,Southern Ill,15-12,0.5473,62,0.5446,,
83,Providence,16-13,0.547,58,0.5455,,
84,Michigan,19-Dec,0.5449,4,0.5975,,
85,Penn State,13-14,0.5448,26,0.5659,,
86,Appalachian St,18-8,0.5437,144,0.4941,,
87,Rice,16-10,0.5433,109,0.5192,,
88,Seton Hall,14-14,0.5428,40,0.557,,
89,St. Louis,15-16,0.5415,31,0.5608,,
90,Old Dominion,22-8,0.5412,185,0.4771,,
,,,,,,,
,,,,,,,
91,Princeton,19-7,0.5396,188,0.4758,,
92,Mississippi St,19-12,0.5393,115,0.5148,,
93,Virginia,13-16,0.5392,24,0.5695,,
94,Georgetown,14-15,0.5365,43,0.5544,,
95,Colorado St,16-10,0.5362,122,0.5099,,
96,Illinois St,16-14,0.5355,76,0.5362,,
97,Drexel,20-9,0.534,171,0.4821,,
