1998-1999 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
98,Clemson,15-14,0.5336,70,0.5391,,
99,Akron,17-9,0.5335,146,0.4934,,
100,Lafayette,20-7,0.5333,220,0.4642,,
,,,,,,,
,,,,,,,
101,Central Florida,17-10,0.5319,134,0.4993,,
102,Arizona St,16-Dec,0.5319,25,0.5663,,
103,UTEP,15-12,0.5314,100,0.5233,,
104,Indiana St,15-12,0.5307,101,0.5224,,
105,Pepperdine,17-12,0.5304,119,0.5118,,
106,Boise St,20-8,0.529,212,0.4672,,
107,George Mason,18-10,0.5283,152,0.4901,,
108,UMass,14-16,0.5267,56,0.5468,,
109,Vanderbilt,13-15,0.5266,55,0.5473,,
110,SMU,14-14,0.5265,78,0.5354,,
,,,,,,,
,,,,,,,
111,Colorado,15-14,0.5264,90,0.5295,,
112,Iowa State,14-15,0.5254,69,0.5396,,
113,St. Francis-NY,19-8,0.5242,219,0.4643,,
114,SE Missouri St,18-9,0.5236,187,0.476,,
115,MD-Baltimore Co,19-9,0.5236,200,0.4719,,
116,Alcorn St,20-6,0.5222,289,0.4399,,
117,Ball State,15-11,0.5208,131,0.5021,,
118,Notre Dame,14-15,0.5203,84,0.5328,,
119,Pittsburgh,14-16,0.5199,73,0.5376,,
120,Iona,15-14,0.5192,108,0.5198,,
,,,,,,,
,,,,,,,
121,Navy,17-7,0.519,246,0.4559,,
122,LSU,15-Nov,0.5181,49,0.5497,,
123,Wis-Green Bay,18-11,0.5176,165,0.4833,,
124,Memphis,13-15,0.5172,79,0.5348,,
125,Maine,18-9,0.5166,215,0.4666,,
126,Northern Ariz,18-8,0.5163,239,0.4577,,
127,San Diego,16-9,0.515,194,0.4734,,
128,Niagara,17-12,0.515,150,0.4913,,
129,Marquette,14-15,0.5123,102,0.5221,,
130,South Florida,14-14,0.5119,112,0.5158,,
,,,,,,,
,,,,,,,
131,Oregon St,14-Nov,0.5117,77,0.5356,,
132,Marshall,14-11,0.5112,142,0.4949,,
133,Arkansas St,17-11,0.5101,182,0.4778,,
134,Valparaiso,17-8,0.5077,265,0.4503,,
135,Southern Miss,14-16,0.507,106,0.5205,,
136,Marist,16-12,0.5045,170,0.4822,,
137,SW Texas St,17-9,0.5039,253,0.4539,,
138,Washington St,18-Sep,0.5038,32,0.5606,,
139,BYU,16-Dec,0.5036,92,0.5287,,
140,Tulane,15-Dec,0.5022,104,0.5214,,
,,,,,,,
,,,,,,,
141,St. Joseph's,18-Nov,0.5015,63,0.5422,,
142,Chattanooga,14-12,0.5003,156,0.4875,,
143,South Carolina,21-Aug,0.5001,20,0.5749,,
144,Oral Roberts,15-11,0.4998,193,0.4741,,
145,Western Ky,16-Dec,0.4997,99,0.5235,,
146,Davidson,13-11,0.4997,161,0.4857,,
147,Santa Clara,14-15,0.4996,125,0.5052,,
148,La Tech,19-9,0.4996,290,0.4399,,
149,Southern U,18-6,0.4993,307,0.4157,,
150,St. Peter's,14-15,0.4992,127,0.5047,,
,,,,,,,
,,,,,,,
151,Idaho,14-11,0.4982,183,0.4775,,
152,Western Mich,15-Oct,0.4953,94,0.5271,,
153,Winthrop,15-6,0.4952,303,0.4221,,
154,Texas A&M,15-Dec,0.4949,118,0.5118,,
155,CS-Northridge,15-12,0.4948,191,0.4745,,
156,Texas Tech,13-17,0.4944,116,0.5147,,
157,Dayton,17-Nov,0.4933,95,0.5268,,
158,Canisius,15-12,0.4931,197,0.4723,,
159,Fairfield,15-Dec,0.4928,123,0.509,,
160,TX-San Antonio,16-10,0.4927,263,0.4518,,
,,,,,,,
,,,,,,,
161,Wichita St,17-Dec,0.4917,111,0.5177,,
162,Florida Intl,13-16,0.4915,124,0.506,,
163,West Virginia,19-Sep,0.4914,53,0.5481,,
164,Montana St,13-13,0.4909,155,0.4879,,
165,Richmond,15-12,0.4909,207,0.4693,,
166,St. Bonaventure,14-15,0.4908,145,0.4935,,
167,Houston,17-Oct,0.4903,86,0.5303,,
168,Cleveland St,14-Dec,0.4901,133,0.4997,,
169,Utah St,13-Dec,0.4899,147,0.4932,,
170,Northern Iowa,18-Sep,0.4898,65,0.5419,,
,,,,,,,
,,,,,,,
171,Mt St. Mary's,15-14,0.4892,177,0.4798,,
172,La Salle,13-15,0.488,139,0.4959,,
173,Drake,17-Sep,0.4868,82,0.5337,,
174,Georgia St,16-13,0.4868,218,0.4651,,
175,Colgate,13-14,0.4853,159,0.4866,,
176,East Tenn St,14-11,0.4845,233,0.4593,,
177,Portland St,15-11,0.4833,261,0.4522,,
178,James Madison,16-11,0.4832,272,0.4467,,
179,Air Force,16-Jul,0.4816,67,0.5406,,
180,San Francisco,18-Nov,0.4815,113,0.5156,,
,,,,,,,
,,,,,,,
181,Central Conn,19-12,0.4812,292,0.4373,,
182,Coppin St,15-14,0.48,211,0.4676,,
183,Loyola-Maryland,13-15,0.4799,162,0.4852,,
184,Western Ill,13-11,0.4793,236,0.4585,,
185,Rider,16-Dec,0.4788,140,0.4955,,
186,LA-Lafayette,13-16,0.4784,153,0.4885,,
187,South Carolina St,16-11,0.4782,288,0.44,,
188,Radford,14-8,0.4777,302,0.4248,,
189,UNC Wilmington,17-Nov,0.4769,126,0.5049,,
190,UC Santa Barbara,14-12,0.4766,245,0.4559,,
,,,,,,,
,,,,,,,
191,LA-Monroe,14-Dec,0.4758,175,0.4805,,
192,Centenary,13-14,0.475,196,0.4729,,
193,Virginia Tech,13-15,0.4748,181,0.4783,,
194,VCU,15-16,0.4747,201,0.4717,,
195,Robert Morris,14-12,0.4738,260,0.4522,,
196,Loyola-Marymnt,16-Sep,0.4737,120,0.5116,,
197,New Orleans,14-16,0.4735,189,0.4757,,
198,Youngstown St,12-Dec,0.4725,223,0.4633,,
199,Long Beach,15-Dec,0.4716,174,0.4807,,
200,Bucknell,14-13,0.4706,250,0.4547,,
,,,,,,,
,,,,,,,
201,Fordham,15-Dec,0.4706,179,0.4793,,
202,Dartmouth,13-12,0.4692,258,0.4523,,
203,South Alabama,16-Oct,0.4692,138,0.4973,,
204,East Carolina,14-Dec,0.4678,206,0.4699,,
205,Jackson St,13-12,0.4675,266,0.45,,
206,Hartford,16-Nov,0.467,158,0.4869,,
207,St. Mary's,18-Dec,0.4661,154,0.4881,,
208,Fairleigh Dickinson,16-Nov,0.4653,163,0.4846,,
209,San Jose St,16-Nov,0.4615,178,0.4795,,
210,VMI,13-Sep,0.4599,186,0.4768,,
,,,,,,,
,,,,,,,
211,Boston College,21-Jun,0.4598,71,0.539,,
212,Pacific,13-Dec,0.4597,256,0.4529,,
213,McNeese St,13-15,0.457,252,0.4545,,
214,Nicholls St,15-Dec,0.4543,241,0.4575,,
215,Hawaii,20-Jun,0.4534,93,0.5276,,
216,Lamar,15-11,0.4526,309,0.4111,,
217,Eastern Ill,16-Dec,0.4522,229,0.4601,,
218,Central Mich,16-Sep,0.4521,168,0.4828,,
219,Morgan St,14-14,0.4514,293,0.4351,,
220,Eastern Mich,20-May,0.4509,81,0.5345,,
,,,,,,,
,,,,,,,
221,Fullerton St,14-Dec,0.4506,270,0.447,,
222,Norfolk St,15-12,0.4492,308,0.4138,,
223,Miss Valley St,12-Dec,0.4475,295,0.4301,,
224,Northeastern,18-Oct,0.4472,184,0.4772,,
225,Morehead St,15-Nov,0.4471,249,0.4551,,
226,Bethune-Cookman,16-Nov,0.4469,230,0.4601,,
227,Loyola-Chicago,17-Sep,0.4468,176,0.4804,,
228,Long Island,17-Oct,0.4468,198,0.4723,,
229,Stetson,12-Dec,0.4454,299,0.4272,,
230,Vermont,16-Nov,0.4454,238,0.458,,
,,,,,,,
,,,,,,,
231,Middle Tenn St,17-Oct,0.4451,205,0.47,,
232,Furman,16-Nov,0.445,243,0.4575,,
233,Montana,14-Oct,0.4445,254,0.4538,,
234,Austin Peay,15-Nov,0.4439,264,0.4509,,
235,Ark-Little Rock,15-Oct,0.4437,237,0.4582,,
236,Eastern Wash,17-Aug,0.4425,164,0.4834,,
237,Harvard,13-Dec,0.4422,297,0.4297,,
238,Southern Utah,16-Oct,0.4414,228,0.4603,,
239,North Carolina A&T,15-Nov,0.4403,276,0.446,,
240,Wofford,16-Sep,0.4402,214,0.4669,,
,,,,,,,
,,,,,,,
241,Boston U,18-Sep,0.4381,195,0.473,,
242,Illinois-Chi,21-Jul,0.4369,135,0.4991,,
243,Tennessee St,14-Oct,0.4364,282,0.443,,
244,Jacksonville,15-Oct,0.4357,269,0.4476,,
245,Tennessee Tech,15-Sep,0.4347,251,0.4547,,
246,Wagner,18-Sep,0.4347,208,0.4685,,
247,Portland,18-Jul,0.4346,160,0.4862,,
248,Cornell,15-Oct,0.4342,277,0.4456,,
249,Cal Poly,16-Sep,0.4292,259,0.4523,,
250,Baylor,24-May,0.4292,114,0.5148,,
,,,,,,,
,,,,,,,
251,Northwestern St,15-Sep,0.4289,271,0.4469,,
252,Quinnipiac,18-Aug,0.4281,209,0.4683,,
253,St. Francis-PA,17-Sep,0.4281,247,0.4554,,
254,Charleston So,14-Jul,0.4275,234,0.4589,,
255,North Texas,22-Apr,0.4271,110,0.5182,,
256,Wright St,18-Aug,0.4271,213,0.4669,,
257,Georgia So,16-Aug,0.4265,240,0.4576,,
258,Towson,22-Jun,0.425,141,0.4953,,
259,Sam Houston,16-Sep,0.4249,274,0.4465,,
260,Wis-Milwaukee,18-Jun,0.4248,166,0.4831,,
,,,,,,,
,,,,,,,
261,TX-Arlington,15-Sep,0.4247,285,0.4413,,
262,Campbell,17-Aug,0.4231,242,0.4575,,
263,Florida A&M,18-Dec,0.4224,296,0.4299,,
264,Alabama St,15-Aug,0.4196,279,0.4436,,
265,Columbia,16-Aug,0.4196,268,0.4484,,
266,Nevada,18-Jul,0.4179,221,0.4639,,
267,UNC Asheville,17-Jul,0.4177,231,0.4597,,
268,Troy St,18-Jul,0.4176,222,0.4634,,
269,Western Car,21-Apr,0.4172,129,0.5029,,
270,Duquesne,23-Apr,0.4154,128,0.5045,,
,,,,,,,
,,,,,,,
271,IUPUI,14-Aug,0.4148,294,0.4318,,
272,Mercer,18-Jul,0.4121,244,0.4561,,
273,Idaho St,20-May,0.4118,169,0.4823,,
274,Missouri-KC,20-Jul,0.4117,225,0.4625,,
275,Denver,17-Oct,0.4116,301,0.4253,,
276,Northern Ill,20-Jun,0.4105,204,0.4705,,
277,Buffalo,24-Apr,0.4096,136,0.4986,,
278,American,21-May,0.4094,173,0.4817,,
279,TX-Pan American,22-May,0.4086,167,0.4831,,
280,MD-East Shore,17-Oct,0.4084,305,0.4211,,
,,,,,,,
,,,,,,,
281,Florida Atl,20-May,0.4066,190,0.4754,,
282,UNC Greensboro,20-Jul,0.4062,248,0.4552,,
283,Hampton,19-Aug,0.4061,283,0.4428,,
284,San Diego St,22-Mar,0.4038,137,0.4984,,
285,Tenn-Martin,18-May,0.4036,216,0.4656,,
286,Jacksonville St,18-Jun,0.4018,257,0.4524,,
287,Texas Southern,18-Jun,0.4016,262,0.4521,,
288,Monmouth,20-May,0.4009,210,0.4678,,
289,UC Irvine,20-Apr,0.3975,192,0.4745,,
290,Army,19-Jun,0.3949,275,0.4465,,
,,,,,,,
,,,,,,,
291,The Citadel,18-May,0.3945,255,0.4535,,
292,Manhattan,22-May,0.3933,224,0.4627,,
293,William & Mary,19-Jun,0.3909,286,0.4413,,
294,SE Louisiana,20-Apr,0.388,227,0.4617,,
295,Holy Cross,20-Jun,0.3863,291,0.4381,,
296,Chicago St,22-Mar,0.3838,202,0.4717,,
297,Sacramento St,23-Mar,0.3829,199,0.4721,,
298,New Hampshire,23-Apr,0.3811,235,0.4588,,
299,Grambling,20-May,0.3805,287,0.4407,,
300,Lehigh,22-Apr,0.3734,273,0.4466,,
,,,,,,,
,,,,,,,
301,Brown,22-Apr,0.3708,281,0.4431,,
302,Delaware St,19-Jul,0.3693,310,0.4027,,
303,Eastern Ky,23-Feb,0.3666,226,0.4622,,
304,Coastal Carolina,16-Apr,0.3661,304,0.4215,,
305,Prairie View A&M,19-Apr,0.3653,298,0.4291,,
306,Stephen F. Austin,22-Mar,0.3621,284,0.4427,,
307,Howard,25-Feb,0.3513,278,0.4438,,
308,Yale,22-Mar,0.3439,306,0.4185,,
309,Ark-Pine Bluff,22-Jan,0.3434,280,0.4434,,
310,Liberty,0-20,0.3198,300,0.4264,,
,,,,,,,
,,,,,,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
