2004-2005 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only. Old RPI is the rank and rating under the old RPI formula.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Sun Mar 13 2005, 4:33 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Old RPI,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,Rank,Rating,AP,USA
1,Kansas,23-6,0.6693,19.4,4.8,0.8017,0.6577,0.5602,1,0.6252,1,0.6672,9,9
2,Illinois,32-1,0.6672,29.2,0.6,0.9799,0.569,0.551,37,0.563,2,0.6647,1,1
3,Washington,26-5,0.6579,22.8,3,0.8837,0.5944,0.5591,12,0.5826,6,0.6466,14,13
4,Duke,25-5,0.6576,21.4,3.8,0.8492,0.6113,0.5585,4,0.5937,3,0.6536,5,5
5,Oklahoma St,23-6,0.6574,21,4.8,0.814,0.6318,0.5521,2,0.6052,4,0.6522,10,11
6,North Carolina,27-4,0.6535,24.2,3.2,0.8832,0.5814,0.5678,18,0.5769,5,0.6504,2,2
7,Wake Forest,26-5,0.6534,22.8,3.4,0.8702,0.5937,0.556,15,0.5811,7,0.6455,3,3
8,Arizona,27-6,0.6387,24.2,5.2,0.8231,0.5883,0.555,17,0.5772,9,0.6375,8,8
9,Boston College,24-4,0.6375,20.4,3.6,0.85,0.574,0.5518,34,0.5666,8,0.6393,7,7
10,Gonzaga,25-4,0.637,21.8,2.8,0.8862,0.564,0.5338,52,0.5539,13,0.631,11,12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Kentucky,25-5,0.6365,22.2,4.2,0.8409,0.5748,0.5556,30,0.5684,10,0.6346,4,4
12,Louisville,27-4,0.6273,24.6,4.4,0.8483,0.5654,0.5303,54,0.5537,11,0.633,6,6
13,Connecticut,22-7,0.6264,19.2,7,0.7328,0.6118,0.5493,5,0.5909,12,0.6329,12,14
14,Wisconsin,22-8,0.626,18,6,0.75,0.6028,0.5482,11,0.5846,17,0.6218,23,22
15,Villanova,22-7,0.6251,19.2,6.6,0.7442,0.6046,0.547,9,0.5854,14,0.6287,19,21
16,Southern Illinois,25-7,0.6205,22.6,4.6,0.8309,0.5586,0.5339,64,0.5504,21,0.6081,,
17,Alabama,23-7,0.6204,20.2,5.8,0.7769,0.5828,0.5392,31,0.5682,19,0.6178,20,19
18,Oklahoma,24-7,0.62,20.4,6.2,0.7669,0.5786,0.5559,26,0.5711,16,0.6219,17,17
19,Florida,23-7,0.6191,20.2,6.6,0.7537,0.5892,0.5442,21,0.5742,15,0.6223,,25
20,Syracuse,27-6,0.6173,23,5.6,0.8042,0.5556,0.5538,51,0.555,18,0.6208,16,18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Michigan St,22-6,0.6109,19.2,4.8,0.8,0.5491,0.5451,68,0.5478,22,0.6073,13,10
22,Pacific,26-3,0.6053,26.4,3,0.898,0.5143,0.4947,134,0.5078,23,0.605,18,16
23,Utah,25-5,0.6042,22.2,3.8,0.8538,0.5256,0.5119,109,0.521,25,0.5991,15,15
24,Cincinnati,24-7,0.6034,20,6.6,0.7519,0.5668,0.5281,53,0.5539,20,0.609,21,20
25,LSU,20-9,0.6015,16,7,0.6957,0.5816,0.547,27,0.5701,24,0.6,,
26,Vermont,24-6,0.6011,22.8,3.6,0.8636,0.5247,0.4911,123,0.5135,33,0.5851,,
27,Georgia Tech,19-11,0.5917,15.4,9.8,0.6111,0.5988,0.5582,10,0.5853,26,0.5973,,
28,Texas Tech,20-10,0.5913,16.8,8.8,0.6563,0.5795,0.55,28,0.5697,27,0.5939,,
29,Mississippi St,22-10,0.5871,20,8.8,0.6944,0.559,0.536,60,0.5513,32,0.5854,,
30,St. Mary's,23-8,0.5862,21.4,6.8,0.7589,0.5304,0.5251,98,0.5286,38,0.5819,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,Charlotte,21-7,0.5861,19,5.8,0.7661,0.5219,0.5346,99,0.5261,37,0.5821,25,24
32,Nevada,23-6,0.5851,22.6,6.8,0.7687,0.5265,0.5187,104,0.5239,29,0.5912,24,
33,UTEP,25-7,0.5849,22.2,6.2,0.7817,0.5213,0.5156,113,0.5194,34,0.5848,,
34,West Virginia,21-10,0.5847,19,9.2,0.6738,0.5561,0.553,50,0.555,31,0.5856,,
35,Old Dominion,27-5,0.5816,25.8,3.8,0.8716,0.4808,0.4932,188,0.485,43,0.5747,,
36,Pittsburgh,20-8,0.5807,17.2,8.4,0.6719,0.5526,0.5458,65,0.5503,28,0.5913,22,23
