2000-2001 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
,,,,,,,
111,Valparaiso,22-8,0.529,238,0.4609,,
112,Oregon,14-14,0.5282,76,0.5376,,
113,Marquette,15-14,0.5277,86,0.5312,,
114,Tennessee Tech,17-9,0.5269,181,0.4846,,
115,Eastern Ill,19-9,0.5258,208,0.4749,,
116,Saint Louis,17-14,0.5249,104,0.5171,,
117,Siena,19-11,0.5228,178,0.4859,,
118,Central Mich,18-8,0.5208,232,0.4636,,
119,Kansas St,18-Nov,0.5198,37,0.5666,,
120,Southern Ill,15-14,0.5194,99,0.5201,,
,,,,,,,
,,,,,,,
121,Miami-Ohio,17-16,0.519,98,0.5203,,
122,Wright St,17-11,0.5185,164,0.4889,,
123,Troy St,18-12,0.5171,159,0.4895,,
124,Wis-Milwaukee,13-13,0.517,95,0.5227,,
125,Maine,17-11,0.517,172,0.4869,,
126,George Wash,14-18,0.5166,66,0.543,,
127,Princeton,15-10,0.515,174,0.4866,,
128,Murray St,15-12,0.5144,135,0.5007,,
129,Louisville,19-Dec,0.514,54,0.5563,,
130,Michigan,18-Sep,0.5113,27,0.5707,,
,,,,,,,
,,,,,,,
131,Colorado St,13-13,0.5113,112,0.5151,,
132,Hampton,24-6,0.5112,316,0.4149,,
133,Monmouth,21-9,0.51,270,0.4466,,
134,Northwestern,19-Nov,0.5099,53,0.5576,,
135,Canisius,20-11,0.5097,231,0.4645,,
136,Pacific,15-12,0.5093,151,0.4939,,
137,VCU,15-14,0.5082,128,0.5052,,
138,Rider,16-12,0.508,173,0.4869,,
139,Boise St,15-14,0.5078,130,0.5047,,
140,UL-Lafayette,15-13,0.5071,142,0.4976,,
,,,,,,,
,,,,,,,
141,Navy,17-12,0.5071,190,0.4807,,
142,Marist,17-13,0.5069,171,0.487,,
143,Drexel,15-12,0.5059,161,0.4894,,
144,Ball State,16-12,0.5038,187,0.4812,,
145,San Jose St,14-Sep,0.5033,69,0.5407,,
146,St. Francis-NY,18-11,0.5026,235,0.4632,,
147,La Salle,17-Dec,0.5025,85,0.532,,
148,Fordham,17-Dec,0.5014,88,0.5306,,
149,Chattanooga,15-13,0.5005,166,0.4888,,
150,Alabama St,20-7,0.4999,314,0.4196,,
,,,,,,,
,,,,,,,
151,Niagara,15-13,0.4997,168,0.4877,,
152,SMS,13-16,0.4992,109,0.5162,,
153,South Carolina St,19-13,0.4991,221,0.4675,,
154,San Diego St,13-14,0.499,129,0.5048,,
155,Rice,13-16,0.4975,115,0.5139,,
156,Evansville,13-16,0.4974,116,0.5137,,
157,San Diego,15-13,0.4973,182,0.4845,,
158,Washington,20-Sep,0.4971,49,0.5593,,
159,Wis-Green Bay,17-Nov,0.4965,87,0.5311,,
160,Long Beach,15-13,0.4949,186,0.4812,,
,,,,,,,
,,,,,,,
161,Oregon St,19-Sep,0.4942,55,0.5519,,
162,Radford,18-10,0.4941,275,0.4445,,
163,Bowling Green,13-14,0.4939,141,0.4981,,
164,Illinois-Chi,17-Nov,0.4931,91,0.5265,,
165,DePaul,18-Oct,0.493,73,0.5383,,
166,Washington St,16-Dec,0.4914,122,0.5124,,
167,Eastern Wash,15-11,0.491,236,0.4624,,
168,Clemson,19-Dec,0.4903,94,0.5247,,
169,Northwestern St,18-12,0.4893,252,0.4524,,
170,East Tenn St,15-10,0.4886,257,0.4515,,
,,,,,,,
,,,,,,,
171,Old Dominion,17-Dec,0.4885,118,0.5133,,
172,La Tech,16-12,0.4884,240,0.4607,,
173,Manhattan,14-15,0.4881,158,0.4899,,
174,Arkansas St,15-13,0.4875,213,0.4714,,
175,Florida St,21-Aug,0.4875,52,0.558,,
176,Youngstown St,17-11,0.4865,272,0.4462,,
177,UNC Greensboro,18-11,0.4858,291,0.4408,,
178,Texas A&M,19-Sep,0.4857,70,0.5405,,
179,East Carolina,13-13,0.4848,193,0.4797,,
180,Weber St,13-Nov,0.4845,153,0.4932,,
,,,,,,,
,,,,,,,
181,Samford,14-14,0.4842,196,0.479,,
182,Texas Tech,19-Sep,0.4837,75,0.5377,,
183,Ark-Little Rock,14-11,0.4834,243,0.4579,,
184,SE Missouri St,14-12,0.4833,230,0.4649,,
185,UMBC,18-11,0.4822,299,0.436,,
186,Boston U,14-14,0.4819,206,0.4759,,
187,New Orleans,15-12,0.4815,246,0.4568,,
188,Winthrop,16-11,0.4812,278,0.4441,,
189,Virginia Tech,19-Aug,0.4794,71,0.5405,,
190,Akron,16-Dec,0.4793,147,0.4962,,
,,,,,,,
,,,,,,,
191,Sam Houston,14-13,0.4791,226,0.4659,,
192,Jacksonville,15-10,0.4782,296,0.4376,,
193,Drake,16-Dec,0.4779,149,0.4944,,
194,Brown,15-12,0.4777,256,0.4517,,
195,Idaho St,14-Dec,0.4765,185,0.4814,,
196,UC Santa Barbara,14-Nov,0.4764,167,0.4885,,
197,Miss Valley St,16-9,0.4763,313,0.4217,,
198,James Madison,17-Dec,0.4763,145,0.4971,,
199,TX-San Antonio,13-15,0.4732,204,0.4762,,
200,Stetson,15-12,0.4731,274,0.4456,,
,,,,,,,
,,,,,,,
201,Oakland,15-Nov,0.4726,162,0.4891,,
202,Alabama A&M,16-11,0.4696,309,0.4287,,
203,New Mexico St,13-14,0.4695,229,0.4656,,
204,Nevada,18-Sep,0.4693,114,0.5146,,
205,Norfolk St,17-Dec,0.4684,175,0.4866,,
206,Stony Brook,11-Dec,0.4676,265,0.4495,,
207,Nicholls St,13-14,0.4671,237,0.4623,,
208,UMKC,13-15,0.4665,222,0.4672,,
209,Mercer,15-Dec,0.4658,210,0.4729,,
210,Coppin St,13-15,0.4656,225,0.466,,
,,,,,,,
,,,,,,,
211,Wagner,16-13,0.4645,301,0.4354,,
212,Houston,20-Sep,0.4637,113,0.5149,,
213,Georgia So,13-15,0.4636,233,0.4633,,
214,Northeastern,19-Oct,0.4635,133,0.5031,,
215,Alcorn St,15-15,0.4634,258,0.4512,,
