2018-2019 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Mon Jan 27 2020, 2:12 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
214,Oakland,15-17,0.4725,13.8,15.4,0.4726,0.4685 (240),0.4802,242,0.4724,,,,
215,Florida Gulf Coast,18-Dec,0.4718,10.4,15.6,0.4,0.5015 (153),0.4841,171,0.4957,,,,
216,Boise St,20-Dec,0.4687,10.4,18.8,0.3562,0.5068 (141),0.5052,138,0.5063,,,,
217,North Carolina A&T,17-13,0.4684,16.2,9.8,0.6231,0.3999 (346),0.4507,344,0.4168,,,,
218,Purdue Fort Wayne,15-15,0.4683,14.2,13.4,0.5145,0.4423 (297),0.474,291,0.4529,,,,
219,UIC,14-16,0.4676,11.6,12.8,0.4754,0.4571 (266),0.4808,258,0.465,,,,
220,Monmouth,14-21,0.4672,13.6,19,0.4172,0.4902 (183),0.4712,210,0.4839,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
221,SE Louisiana,15-16,0.467,15,14.4,0.5102,0.4502 (277),0.4574,293,0.4526,,,,
222,Vanderbilt,23-Sep,0.467,6.2,22.6,0.2153,0.5544 (69),0.5437,62,0.5509,,,,
223,Presbyterian,15-15,0.4667,13.8,11.8,0.5391,0.4313 (317),0.4653,317,0.4426,,,,
224,Morehead St,20-Nov,0.4666,10.6,18.4,0.3655,0.5093 (135),0.4823,156,0.5003,,,,
225,Hawai'i,16-13,0.466,13.2,13,0.5038,0.4407 (301),0.4787,289,0.4534,,,,
226,High Point,14-15,0.466,13.2,13.4,0.4962,0.4497 (280),0.4682,284,0.4559,,,,
227,Air Force,13-18,0.4657,11,16.8,0.3957,0.4846 (201),0.4981,193,0.4891,,,,
228,Robert Morris,15-16,0.4655,13,12,0.52,0.4383 (305),0.4652,307,0.4473,,,,
229,Boston U,14-18,0.4647,14.8,17.2,0.4625,0.4587 (261),0.4791,255,0.4655,,,,
230,Valparaiso,13-18,0.4644,12.6,17.6,0.4172,0.4652 (247),0.5098,224,0.4801,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
231,Southern Utah,14-16,0.4638,12.4,12.4,0.5,0.4424 (296),0.4705,296,0.4518,,,,
232,Colorado St,20-Nov,0.4636,9.4,20.4,0.3154,0.5226 (115),0.4938,121,0.513,,,,
233,Eastern Kentucky,18-Nov,0.4631,9.4,15.6,0.376,0.4958 (175),0.4846,186,0.4921,,,,
234,St. Francis (NY),15-15,0.4622,13.8,11.8,0.5391,0.4265 (325),0.4566,326,0.4366,,,,
235,Arkansas St,19-Nov,0.4613,8.6,15.4,0.3583,0.5000 (161),0.4868,172,0.4956,,,,
236,Rice,19-Nov,0.4613,9.8,17.4,0.3603,0.4961 (173),0.4926,175,0.4949,,,,
237,Drexel,19-Dec,0.4605,10,17.4,0.365,0.4929 (179),0.4911,184,0.4923,,,,
238,Charleston Southern,13-15,0.4604,11.8,12.6,0.4836,0.4432 (295),0.4715,292,0.4526,,,,
239,American,15-15,0.4601,14.6,14.6,0.5,0.4298 (321),0.4807,308,0.4468,,,,
240,Quinnipiac,16-14,0.459,16.8,14.8,0.5316,0.4208 (331),0.4629,328,0.4348,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
241,Montana St,14-17,0.459,12.4,13.8,0.4733,0.4441 (291),0.4744,287,0.4542,,,,
242,The Citadel,18-Sep,0.4585,8.6,16.8,0.3386,0.4983 (164),0.4987,164,0.4984,,,,
243,Long Island,15-16,0.4583,15,14,0.5172,0.4310 (319),0.454,324,0.4387,,,,
244,Army,19-Dec,0.4582,9.6,15.4,0.384,0.4857 (197),0.4776,213,0.483,,,,
245,IUPUI,14-16,0.4582,11.6,12.8,0.4754,0.4439 (292),0.4696,294,0.4525,,,,
246,Middle Tenn St,21-Sep,0.4582,7,18.6,0.2734,0.5278 (106),0.5037,108,0.5198,,,,
247,Hampton,16-Dec,0.4582,10.8,12.8,0.4576,0.4584 (262),0.4583,278,0.4584,,,,
248,UMKC,21-Oct,0.4581,8.4,17.4,0.3256,0.5065 (143),0.4938,149,0.5023,,,,
249,Detroit,20-Nov,0.4578,9.8,16.8,0.3684,0.4864 (194),0.4901,196,0.4876,,,,
250,Richmond,13-20,0.4574,11.8,21.2,0.3576,0.4885 (191),0.4951,189,0.4907,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
251,Troy,18-Oct,0.4556,9.2,17.2,0.3485,0.4885 (190),0.4969,188,0.4913,,,,
252,UMass-Lowell,13-17,0.4555,12.6,14.2,0.4701,0.4435 (294),0.4647,298,0.4506,,,,
253,Mercer,20-Sep,0.4549,7,17.6,0.2846,0.5163 (120),0.5023,125,0.5117,,,,
254,Sacred Heart,14-17,0.4547,12,13,0.48,0.4353 (309),0.4682,309,0.4463,,,,
255,Chattanooga,20-Sep,0.4539,8.6,18,0.3233,0.4970 (169),0.4982,167,0.4974,,,,
256,South Alabama,15-17,0.4538,11.8,15.4,0.4338,0.4439 (293),0.4937,275,0.4605,,,,
257,California,23-Aug,0.4525,5.6,22.6,0.1986,0.5426 (83),0.5262,84,0.5371,,,,
258,Portland St,13-16,0.4521,10.2,13.6,0.4286,0.4539 (275),0.4722,276,0.46,,,,
259,James Madison,19-Dec,0.4518,11.2,17,0.3972,0.4609 (256),0.4883,246,0.47,,,,
260,Columbia,18-Aug,0.4516,8.4,17.2,0.3281,0.4912 (181),0.4956,182,0.4927,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
261,Sacramento St,16-Dec,0.4511,11.2,14,0.4444,0.4461 (287),0.4676,290,0.4533,,,,
262,Washington St,21-Nov,0.4508,8.2,20.6,0.2847,0.5046 (149),0.5093,139,0.5062,,,,
263,UNC Wilmington,23-Sep,0.45,8.2,21.8,0.2733,0.5158 (121),0.4951,133,0.5089,,,,
264,George Washington,24-Sep,0.4485,7.4,24.4,0.2327,0.5307 (100),0.5001,106,0.5205,,,,
265,Dartmouth,19-Sep,0.4483,7.4,16.6,0.3083,0.4990 (163),0.4869,174,0.4949,,,,
266,La Salle,21-Oct,0.4482,9.2,21.4,0.3007,0.4895 (187),0.5132,168,0.4974,,,,
267,Wagner,17-Nov,0.4475,11.4,15.8,0.4191,0.4551 (272),0.4608,280,0.457,,,,
268,Massachusetts,21-Nov,0.4447,7.8,19.8,0.2826,0.4962 (172),0.5038,162,0.4988,,,,
269,South Dakota,17-Nov,0.4446,10.2,16.2,0.3864,0.4587 (260),0.4748,260,0.4641,,,,
270,Eastern Illinois,13-18,0.4445,12.6,16.4,0.4345,0.4335 (313),0.4765,305,0.4478,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
271,Appalachian St,21-Aug,0.4441,6.4,17.8,0.2645,0.5109 (133),0.4902,145,0.504,,,,
272,Evansville,21-Sep,0.4438,7,18.6,0.2734,0.5012 (155),0.4993,155,0.5006,,,,
273,Lafayette,20-Sep,0.4436,10.2,20.8,0.329,0.4834 (204),0.4786,218,0.4818,,,,
274,Idaho St,19-Sep,0.4423,9.4,17.4,0.3507,0.4741 (230),0.4701,240,0.4728,,,,
275,Elon,21-Sep,0.4414,10.2,22.6,0.311,0.4809 (213),0.493,206,0.4849,,,,
276,East Carolina,21-Oct,0.4413,6.8,20.2,0.2519,0.4967 (171),0.5199,144,0.5044,,,,
277,Loyola (Maryland),21-Nov,0.4406,9.4,16.6,0.3615,0.4578 (264),0.4853,252,0.467,,,,
278,NCCU,15-15,0.4405,13.8,11,0.5565,0.3838 (351),0.438,352,0.4019,,,,
279,Grambling St,14-16,0.4391,13.2,12.8,0.5077,0.4019 (344),0.445,345,0.4163,,,,
280,Texas A&M CC,18-Oct,0.439,10,17.2,0.3676,0.4613 (255),0.4657,263,0.4628,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
281,CS Northridge,20-Dec,0.4377,11.2,19.6,0.3636,0.4565 (269),0.4744,267,0.4624,,,,
282,Central Arkansas,19-Nov,0.4365,11,15.8,0.4104,0.4311 (318),0.4733,312,0.4452,,,,
283,VMI,21-Aug,0.436,6.8,18.6,0.2677,0.4896 (185),0.4972,185,0.4921,,,,
284,North Alabama,22-Jul,0.436,5.8,16.4,0.2613,0.5014 (154),0.48,177,0.4943,,,,
285,Little Rock,21-Aug,0.4355,7.2,19.8,0.2667,0.4972 (167),0.4811,187,0.4918,,,,
286,Western Michigan,24-Jul,0.4354,6.2,22,0.2199,0.5078 (139),0.506,136,0.5072,,,,
287,Marist,19-Dec,0.4353,12.8,17.4,0.4238,0.4286 (323),0.46,323,0.4391,,,,
288,Central Connecticut,20-Sep,0.434,9.8,18,0.3525,0.4601 (258),0.4636,270,0.4612,,,,
289,UC Davis,20-Sep,0.4337,8.2,17.6,0.3178,0.4673 (242),0.4823,243,0.4723,,,,
290,Albany,20-Nov,0.4336,11.4,19.2,0.3725,0.4468 (284),0.4682,288,0.4539,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
291,UA Pine Bluff,19-Dec,0.4319,10.8,13,0.4538,0.4117 (338),0.4505,341,0.4246,,,,
292,Western Carolina,25-Jun,0.4312,6,22.6,0.2098,0.5084 (137),0.4982,143,0.505,,,,
293,UT Martin,19-Oct,0.4302,7.2,15,0.3243,0.4603 (257),0.4758,256,0.4655,,,,
294,Stephen F. Austin,16-Oct,0.4295,8.8,14.8,0.3729,0.4409 (300),0.4634,304,0.4484,,,,
295,Youngstown St,20-Oct,0.4295,10.4,18.4,0.3611,0.4371 (308),0.4827,295,0.4523,,,,
296,Mt St. Mary's,22-Jul,0.4294,8.2,20.4,0.2867,0.4847 (199),0.4614,229,0.477,,,,
297,Towson,22-Sep,0.4294,9,22,0.2903,0.4680 (241),0.4913,233,0.4757,,,,
298,North Dakota,18-Aug,0.4294,8,16,0.3333,0.4553 (271),0.4736,268,0.4614,,,,
299,Tulane,27-Apr,0.4291,2.8,27.4,0.0927,0.5538 (70),0.5158,77,0.5412,,,,
300,Howard,14-16,0.429,16.4,16,0.5062,0.3832 (352),0.4435,351,0.4033,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
301,Northern Arizona,21-Oct,0.4289,10,18.6,0.3497,0.4501 (278),0.466,286,0.4554,,,,
302,Oral Roberts,21-Sep,0.4274,8.2,18.2,0.3106,0.4575 (265),0.4838,254,0.4663,,,,
303,Florida A&M,19-Oct,0.4267,10.8,15.4,0.4122,0.4240 (327),0.4463,333,0.4315,,,,
304,Houston Baptist,18-Oct,0.4265,8.4,14.4,0.3684,0.4346 (311),0.4685,311,0.4459,,,,
305,Charlotte,21-Aug,0.4263,7.2,21,0.2553,0.4725 (231),0.505,212,0.4833,,,,
306,Alabama St,19-Oct,0.425,9.2,15,0.3802,0.4404 (302),0.4392,320,0.44,,,,
307,SE Missouri St,21-Aug,0.4241,7.2,19,0.2748,0.4760 (227),0.4698,235,0.4739,,,,
308,Jacksonville,20-Oct,0.4228,11.2,18.8,0.3733,0.4221 (329),0.4735,322,0.4392,,,,
309,Fordham,20-Nov,0.4221,9,20.4,0.3061,0.4462 (286),0.4898,273,0.4607,,,,
310,Niagara,13-19,0.422,11.8,18.2,0.3933,0.4168 (335),0.461,331,0.4315,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
311,Binghamton,23-Aug,0.4218,8.8,22.6,0.2803,0.4706 (235),0.4656,249,0.4689,,,,
312,Tennessee St,21-Jul,0.4213,6.6,18.2,0.2661,0.4666 (245),0.4856,239,0.473,,,,
313,Nicholls St,17-Oct,0.4207,9.2,13.4,0.4071,0.4070 (342),0.4619,339,0.4253,,,,
314,Cleveland St,21-Aug,0.4197,6.4,19.8,0.2443,0.4805 (214),0.4735,226,0.4782,,,,
315,Longwood,17-Dec,0.4191,11.6,14.6,0.4427,0.3879 (350),0.4578,348,0.4112,,,,
316,Manhattan,21-Nov,0.4189,11,20.2,0.3526,0.4324 (314),0.4582,319,0.441,,,,
317,Bryant,20-Oct,0.4146,7.6,16.8,0.3115,0.4403 (303),0.4664,302,0.449,,,,
318,Tennessee Tech,23-Jun,0.4144,6,21.8,0.2158,0.4805 (215),0.4807,223,0.4806,,,,
319,Bethune Cookman,17-Dec,0.4125,10.4,13.8,0.4298,0.3902 (349),0.44,350,0.4068,,,,
320,Milwaukee,22-Aug,0.4121,7.2,20.4,0.2609,0.4556 (270),0.4762,266,0.4625,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
321,Denver,22-Jul,0.4108,5.4,19.2,0.2195,0.4825 (209),0.4585,234,0.4745,,,,
322,St. Peter's,22-Oct,0.4104,8,19.2,0.2941,0.4445 (290),0.4585,300,0.4491,,,,
323,Jackson St,19-Nov,0.4101,9.4,15,0.3852,0.4024 (343),0.4504,343,0.4184,,,,
324,Portland,25-May,0.4077,3.8,24.6,0.1338,0.5006 (159),0.4958,160,0.499,,,,
325,SIU-E,21-Aug,0.4064,6.8,19.8,0.2556,0.4483 (282),0.4732,282,0.4566,,,,
326,UC Riverside,23-Jul,0.4064,6.2,20.2,0.2348,0.4597 (259),0.4711,261,0.4635,,,,
327,Coppin St,25-Aug,0.4062,8.4,21.4,0.2819,0.4464 (285),0.4501,306,0.4477,,,,
328,Wyoming,24-Jul,0.4037,5.4,23.6,0.1862,0.4657 (246),0.4973,231,0.4763,,,,
329,Fairfield,22-Sep,0.4034,8.2,19.6,0.295,0.4288 (322),0.4612,321,0.4396,,,,
330,Northwestern St,20-Aug,0.4027,7.6,17.6,0.3016,0.4221 (330),0.465,327,0.4364,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
331,UTEP,21-Jun,0.4004,3.6,19,0.1593,0.4718 (232),0.4987,222,0.4808,,,,
332,Savannah St,20-Oct,0.3997,9.6,16.4,0.3692,0.3918 (348),0.4462,349,0.4099,,,,
333,McNeese St,21-Jun,0.3976,5.2,18.2,0.2222,0.4539 (274),0.4605,283,0.4561,,,,
334,Kennesaw St,26-Apr,0.394,2.4,23.2,0.0938,0.4980 (166),0.4864,178,0.4941,,,,
335,Western Illinois,21-Aug,0.3921,6.8,17.8,0.2764,0.4114 (339),0.469,334,0.4306,,,,
336,Maine,27-Apr,0.389,4,23.4,0.146,0.4703 (237),0.4694,247,0.47,,,,
337,Chicago St,29-Jan,0.3857,0.6,24.6,0.0238,0.5139 (127),0.4913,137,0.5064,,,,
338,San Jose St,27-Mar,0.38,1.8,26.6,0.0634,0.4787 (218),0.4991,202,0.4855,,,,
339,Cal Poly,23-Apr,0.3739,3.6,20.6,0.1488,0.4383 (306),0.4705,301,0.449,,,,
340,Stetson,24-May,0.3733,3,20.8,0.1261,0.4451 (289),0.477,285,0.4558,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
341,South Carolina St,26-Jun,0.373,5.6,20.8,0.2121,0.4194 (333),0.4413,337,0.4267,,,,
342,Morgan St,20-Aug,0.3709,6.8,17.2,0.2833,0.3763 (353),0.4477,353,0.4001,,,,
343,Southern U,25-Jun,0.3699,4.4,20.2,0.1789,0.4238 (328),0.453,329,0.4336,,,,
344,Idaho,26-Mar,0.3692,2.6,25.2,0.0935,0.4617 (254),0.4597,271,0.461,,,,
345,Incarnate Word,25-Feb,0.3689,1.6,23,0.065,0.4777 (223),0.4552,245,0.4702,,,,
346,UNC Asheville,26-Feb,0.3665,2,23.6,0.0781,0.4622 (253),0.4634,264,0.4626,,,,
347,Alcorn St,21-Jun,0.3653,3.6,15.4,0.1895,0.4145 (336),0.4428,342,0.4239,,,,
348,UM Eastern Shore,25-May,0.3635,4.6,21,0.1797,0.4171 (334),0.4401,340,0.4248,,,,
349,New Hampshire,24-Mar,0.3597,2.6,22.4,0.104,0.4352 (310),0.4645,313,0.445,,,,
350,Miss Valley St,26-May,0.3557,3,20.4,0.1282,0.4207 (332),0.4531,332,0.4315,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
351,Delaware St,25-Apr,0.3493,4.4,22.6,0.163,0.4001 (345),0.4339,347,0.4114,,,,
352,SC Upstate,26-Mar,0.3471,2.6,23.6,0.0992,0.4127 (337),0.4637,335,0.4297,,,,
353,Alabama A&M,27-May,0.3441,3.4,23,0.1288,0.3985 (347),0.4508,346,0.4159,,,,
"© 1994-2011 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,,,
