2002-2003 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 16 2003, 4:28 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
68,Texas A&M,14-14,0.5525,0.5883,0.5333,22,0.5699,,
69,Fresno St,20-8,0.5522,0.496,0.5024,151,0.4981,,
70,Villanova,15-15,0.5507,0.5838,0.5352,29,0.5676,,
,,,,,,,,,
,,,,,,,,,
71,Minnesota,16-12,0.5504,0.5463,0.5374,66,0.5434,,
72,UL-Lafayette,19-9,0.5502,0.5101,0.5019,131,0.5074,,
73,Austin Peay,20-7,0.5501,0.4827,0.4944,179,0.4866,,
74,Illinois-Chi,21-8,0.5501,0.4847,0.5068,165,0.4921,,
75,Colorado St,17-13,0.5484,0.5467,0.5337,67,0.5424,,
76,Georgia Tech,14-14,0.5483,0.5732,0.5466,35,0.5643,,
77,Kent St,20-9,0.5477,0.4971,0.507,146,0.5004,,
78,St. John's,16-13,0.5455,0.5416,0.5472,65,0.5435,,
79,Utah St,22-8,0.545,0.483,0.4806,197,0.4822,,
80,Virginia,14-15,0.5445,0.5742,0.5469,34,0.5651,,
,,,,,,,,,
,,,,,,,,,
81,Florida St,14-15,0.5434,0.5806,0.5298,37,0.5636,,
82,San Diego,17-11,0.5432,0.5256,0.5143,97,0.5218,,
83,Fairfield,19-11,0.5428,0.5203,0.4973,121,0.5126,,
84,Hawaii,18-11,0.5424,0.525,0.4991,111,0.5164,,
85,Rhode Island,18-11,0.5412,0.5132,0.5179,117,0.5147,,
86,Western Mich,19-10,0.5409,0.5019,0.5046,140,0.5028,,
87,Drexel,18-11,0.5408,0.5293,0.4841,119,0.5142,,
88,Temple,15-15,0.5403,0.561,0.5394,53,0.5538,,
89,South Carolina,16-Dec,0.5401,0.5899,0.5522,16,0.5773,,
90,UAB,18-12,0.5391,0.5155,0.5255,103,0.5188,,
,,,,,,,,,
,,,,,,,,,
91,Sam Houston,21-6,0.5381,0.4476,0.4794,259,0.4582,,
92,Vanderbilt,18-Nov,0.5364,0.6071,0.552,8,0.5887,,
93,Richmond,15-13,0.5364,0.5447,0.5204,74,0.5366,,
94,Iowa State,15-13,0.5357,0.532,0.5433,76,0.5358,,
95,Charlotte,13-16,0.534,0.5749,0.538,41,0.5626,,
96,Valparaiso,20-10,0.5338,0.4864,0.4957,169,0.4895,,
97,Rice,17-10,0.5328,0.4973,0.5071,145,0.5006,,
98,Nevada,17-13,0.5328,0.5295,0.5055,98,0.5215,,
99,San Diego St,14-13,0.5327,0.54,0.5326,73,0.5375,,
100,Georgetown,15-14,0.5325,0.538,0.5366,72,0.5375,,
,,,,,,,,,
,,,,,,,,,
101,Mississippi,14-15,0.5322,0.5483,0.5496,60,0.5487,,
102,Stephen F. Austin,19-8,0.5312,0.4799,0.4615,228,0.4737,,
103,Wagner,21-10,0.531,0.4946,0.4576,196,0.4823,,
104,UC Irvine,19-9,0.5306,0.4796,0.4844,204,0.4812,,
105,Mercer,22-6,0.5301,0.435,0.4649,299,0.445,,
106,Arkansas,19-Sep,0.5288,0.6271,0.5395,2,0.5979,,
107,Clemson,15-13,0.5285,0.52,0.5382,90,0.5261,,
108,Chattanooga,19-9,0.5284,0.4767,0.4815,211,0.4783,,
109,Siena,19-10,0.5257,0.4736,0.5004,194,0.4825,,
110,West Virginia,14-15,0.5254,0.5387,0.5412,70,0.5396,,
,,,,,,,,,
,,,,,,,,,
111,Southern Cal,13-17,0.525,0.5662,0.5344,48,0.5556,,
112,Baylor,14-14,0.5245,0.5273,0.5436,81,0.5327,,
113,Eastern Wash,17-12,0.5242,0.5099,0.4906,138,0.5035,,
114,New Mexico St,19-9,0.5239,0.459,0.4988,232,0.4723,,
115,Detroit,17-12,0.5238,0.5053,0.4983,139,0.503,,
116,George Mason,16-12,0.5236,0.5141,0.495,129,0.5077,,
117,Northern Ill,17-14,0.5231,0.5197,0.5045,118,0.5146,,
118,Iowa,15-13,0.523,0.507,0.5421,104,0.5187,,
119,SMS,17-12,0.5226,0.4963,0.5115,142,0.5014,,
120,VCU,18-10,0.522,0.4764,0.4924,199,0.4818,,
,,,,,,,,,
,,,,,,,,,
121,Boston U,20-10,0.5215,0.4686,0.482,230,0.4731,,
122,Wichita St,18-11,0.5213,0.4794,0.5057,174,0.4882,,
123,SMU,17-13,0.5212,0.5043,0.5095,134,0.506,,
124,Niagara,17-12,0.5206,0.5037,0.4888,149,0.4987,,
125,East Tenn St,17-10,0.52,0.481,0.4882,189,0.4834,,
126,Tennessee Tech,17-12,0.5197,0.4999,0.493,153,0.4976,,
127,South Florida,14-14,0.5194,0.5217,0.534,91,0.5258,,
128,UCF,20-11,0.5185,0.479,0.4707,221,0.4762,,
129,Rutgers,16-Dec,0.5172,0.5508,0.5388,62,0.5468,,
130,Kansas St,13-17,0.5169,0.5451,0.5439,64,0.5447,,
,,,,,,,,,
,,,,,,,,,
131,Morehead St,17-9,0.5163,0.461,0.4895,236,0.4705,,
132,Nebraska,18-Nov,0.5161,0.5708,0.5434,42,0.5617,,
133,UC Santa Barbara,18-13,0.5156,0.4998,0.482,160,0.4939,,
