2003-2004 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 14 2004, 4:31 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
1,Duke,27-5,0.6664,0.6282,0.5656,4,0.6073,5,4
2,Kentucky,26-4,0.6663,0.6146,0.5692,7,0.5995,8,8
3,Saint Joseph's,27-1,0.6587,0.5672,0.5359,46,0.5568,1,1
4,Mississippi St,25-3,0.6437,0.5624,0.557,39,0.5606,4,5
5,Connecticut,27-6,0.64,0.5976,0.5466,17,0.5806,9,9
6,Oklahoma St,26-3,0.64,0.5598,0.5439,47,0.5545,7,7
7,Stanford,29-1,0.6368,0.5253,0.5299,96,0.5268,2,2
8,Pittsburgh,28-4,0.6364,0.561,0.5485,45,0.5568,6,6
9,Gonzaga,27-2,0.6316,0.5358,0.5239,85,0.5318,3,3
10,Texas,23-7,0.6311,0.6077,0.5424,12,0.586,11,11
,,,,,,,,,
,,,,,,,,,
11,Cincinnati,24-6,0.6311,0.5925,0.5394,23,0.5748,13,12
12,Wisconsin,24-6,0.6266,0.5839,0.5385,31,0.5688,10,10
13,Florida,20-10,0.6257,0.6392,0.558,3,0.6121,,
14,Syracuse,21-7,0.6221,0.594,0.5506,18,0.5795,19,23
15,Kansas,20-8,0.6216,0.6087,0.5547,10,0.5907,18,15
16,Georgia Tech,23-9,0.6212,0.5974,0.5714,11,0.5888,14,18
17,North Carolina St,20-9,0.6194,0.6084,0.5712,8,0.596,17,20
18,Maryland,19-11,0.6175,0.6338,0.5692,2,0.6123,,
19,North Carolina,18-10,0.6146,0.6228,0.57,5,0.6052,16,19
20,Wake Forest,19-9,0.6133,0.5994,0.5757,9,0.5915,15,14
,,,,,,,,,
,,,,,,,,,
21,Providence,20-8,0.6121,0.5862,0.5617,20,0.5781,20,17
22,Boston College,23-9,0.6112,0.5894,0.5471,22,0.5753,,
23,Illinois,24-6,0.6103,0.5503,0.5404,62,0.547,12,13
24,Louisville,20-9,0.6099,0.6046,0.5409,16,0.5834,,
25,Southern Ill,25-4,0.6076,0.5273,0.5139,104,0.5228,24,22
26,Alabama,17-12,0.6061,0.6389,0.5604,1,0.6127,,
27,Vanderbilt,21-9,0.6058,0.5837,0.5557,25,0.5744,,
28,Seton Hall,19-9,0.6033,0.5931,0.5486,19,0.5783,,
29,Nevada,22-8,0.6013,0.5763,0.5195,44,0.5574,,
30,Texas Tech,22-10,0.5978,0.5804,0.5428,32,0.5679,,
,,,,,,,,,
,,,,,,,,,
31,BYU,19-8,0.5973,0.5762,0.5329,37,0.5618,,
32,Memphis,21-7,0.5962,0.543,0.5487,65,0.5449,23,24
33,UAB,20-9,0.5959,0.5841,0.5258,35,0.5647,,
34,Charlotte,21-8,0.5932,0.5536,0.5413,58,0.5495,,
35,Xavier,23-10,0.5927,0.569,0.5359,43,0.558,,
36,Utah,23-8,0.5925,0.5481,0.532,68,0.5428,,
37,DePaul,21-9,0.5888,0.5545,0.5462,51,0.5518,,
38,LSU,18-10,0.5883,0.5794,0.5517,29,0.5702,,
39,Michigan St,18-11,0.5877,0.5928,0.5446,21,0.5767,,
40,Dayton,24-8,0.5864,0.5299,0.5359,84,0.5319,,
,,,,,,,,,
,,,,,,,,,
41,Arizona,20-9,0.5852,0.5568,0.5374,54,0.5503,21,16
42,Manhattan,24-5,0.5844,0.5076,0.4949,142,0.5033,,
43,Utah St,24-3,0.584,0.4777,0.4918,186,0.4824,22,21
44,Western Mich,26-4,0.5831,0.4817,0.5025,175,0.4886,,
45,South Carolina,23-10,0.5822,0.5379,0.5562,66,0.544,,
46,UTEP,22-7,0.5811,0.5229,0.5199,105,0.5219,,
47,Richmond,20-12,0.5773,0.5756,0.5332,38,0.5614,,
48,Georgia,16-13,0.5773,0.6015,0.5546,13,0.5859,,
49,Notre Dame,17-12,0.5772,0.5877,0.5472,26,0.5742,,
50,Oklahoma,19-10,0.5765,0.558,0.535,53,0.5503,,
,,,,,,,,,
,,,,,,,,,
51,Missouri,16-13,0.5758,0.6046,0.5422,15,0.5838,,
52,Virginia,17-12,0.5709,0.5663,0.5649,33,0.5658,,
53,Florida St,17-13,0.5702,0.5761,0.5618,27,0.5713,,
54,VCU,23-7,0.5689,0.5027,0.5035,143,0.503,,
55,Michigan,18-11,0.5669,0.5589,0.5291,60,0.549,,
56,Rutgers,15-12,0.5667,0.5871,0.5372,28,0.5704,,
57,Colorado,17-10,0.5665,0.5434,0.5497,64,0.5455,,
58,Murray St,25-5,0.5658,0.4717,0.4866,211,0.4767,,
59,Northern Iowa,20-9,0.5652,0.5281,0.515,102,0.5238,,
60,Washington,19-11,0.5646,0.5466,0.5319,69,0.5417,,
,,,,,,,,,
,,,,,,,,,
61,East Tenn St,24-5,0.5645,0.4687,0.493,208,0.4768,,
62,UCF,24-5,0.5645,0.4764,0.4775,209,0.4768,,
63,Rice,21-10,0.5645,0.5279,0.5247,97,0.5268,,
64,Saint Louis,18-12,0.5641,0.5605,0.5352,50,0.5521,,
65,Pacific,23-7,0.564,0.4964,0.4965,160,0.4964,,
66,Troy St,23-5,0.5639,0.4792,0.476,203,0.4781,,
67,Villanova,15-15,0.5629,0.604,0.5436,14,0.5838,,
68,Wichita St,20-10,0.5621,0.5367,0.5082,95,0.5272,,
69,Iowa State,16-12,0.5619,0.5646,0.5472,41,0.5588,,
70,Air Force,22-6,0.5588,0.4624,0.5248,183,0.4832,25,25
,,,,,,,,,
,,,,,,,,,
71,UL-Lafayette,18-8,0.5581,0.5194,0.5015,122,0.5134,,
72,Boise St,19-9,0.5578,0.5139,0.5249,111,0.5176,,
73,Hawaii,18-11,0.5563,0.5471,0.5103,78,0.5348,,
74,George Wash,18-11,0.5556,0.5337,0.5342,80,0.5339,,
75,Wis-Milwaukee,18-10,0.5555,0.5427,0.4936,99,0.5263,,
76,Kent St,21-8,0.5552,0.4965,0.5037,152,0.4989,,
77,Creighton,20-8,0.5545,0.494,0.5159,146,0.5013,,
78,Tennessee,15-13,0.5543,0.559,0.5633,40,0.5605,,
79,Auburn,14-14,0.5518,0.5797,0.548,30,0.5691,,
80,UNLV,17-12,0.5516,0.5454,0.5294,72,0.5401,,
,,,,,,,,,
,,,,,,,,,
81,George Mason,21-9,0.5509,0.4978,0.5079,147,0.5012,,
82,Rhode Island,19-12,0.5507,0.5304,0.529,89,0.53,,
83,Marquette,16-11,0.5495,0.5338,0.5377,76,0.5351,,
84,Boston U,23-5,0.549,0.4471,0.4805,260,0.4582,,
85,Belmont,20-8,0.5471,0.4962,0.4816,169,0.4914,,
86,Iowa,16-12,0.5469,0.5412,0.5338,73,0.5388,,
87,Illinois-Chi,24-7,0.5463,0.4558,0.4994,229,0.4703,,
88,Indiana,14-15,0.5449,0.5789,0.539,34,0.5656,,
89,Oregon,15-12,0.5448,0.5418,0.5401,70,0.5412,,
90,Clemson,18-Oct,0.5396,0.6213,0.5588,6,0.6005,,
,,,,,,,,,
,,,,,,,,,
91,Toledo,20-10,0.5396,0.4981,0.4956,157,0.4973,,
92,Nebraska,16-12,0.5396,0.528,0.5308,92,0.5289,,
93,Miami-Ohio,17-11,0.5385,0.5219,0.5032,115,0.5157,,
94,Austin Peay,19-9,0.5383,0.4921,0.4905,167,0.4915,,
95,Mississippi,13-15,0.5377,0.5722,0.5422,36,0.5622,,
96,SMS,19-14,0.5376,0.5323,0.5102,101,0.5249,,
97,West Virginia,15-13,0.5361,0.5292,0.5505,75,0.5363,,
98,Niagara,21-9,0.5359,0.4759,0.4917,190,0.4812,,
99,Old Dominion,17-12,0.5356,0.5266,0.5032,110,0.5188,,
100,Temple,15-13,0.5351,0.5305,0.5438,77,0.5349,,
,,,,,,,,,
,,,,,,,,,
101,Drexel,18-10,0.5348,0.5027,0.491,154,0.4988,,
102,Fresno St,13-15,0.5297,0.5687,0.5169,52,0.5515,,
103,St. Peter's,17-12,0.5292,0.5253,0.4799,130,0.5102,,
104,St. Mary's,16-12,0.5287,0.515,0.5134,119,0.5145,,
105,Northwestern,14-15,0.5287,0.5481,0.5358,67,0.544,,
106,Coll of Charleston,19-9,0.5271,0.473,0.484,212,0.4767,,
107,Purdue,17-13,0.5271,0.4979,0.5459,121,0.5139,,
108,Virginia Tech,15-14,0.5267,0.5281,0.5331,90,0.5298,,
109,California,13-15,0.5264,0.5557,0.5301,61,0.5471,,
110,Detroit,19-11,0.5262,0.484,0.5037,171,0.4905,,
,,,,,,,,,
,,,,,,,,,
111,Arkansas,16-Dec,0.5262,0.5671,0.5421,42,0.5588,,
112,Southern Cal,13-15,0.5253,0.5542,0.5283,63,0.5456,,
113,Georgia St,18-9,0.5245,0.4733,0.4848,205,0.4771,,
114,Kansas St,14-14,0.5227,0.5292,0.5325,88,0.5303,,
115,Vermont,22-8,0.522,0.4409,0.4729,274,0.4516,,
116,Monmouth,21-11,0.5218,0.4799,0.471,206,0.477,,
117,San Diego St,16-Dec,0.5198,0.5611,0.5286,55,0.5503,,
118,Davidson,14-12,0.5184,0.5195,0.4962,126,0.5117,,
119,San Francisco,16-14,0.5184,0.5167,0.5067,123,0.5134,,
120,TCU,17-Dec,0.5176,0.5646,0.5272,49,0.5521,,
,,,,,,,,,
,,,,,,,,,
121,Princeton,19-7,0.517,0.4289,0.4793,284,0.4457,,
122,Chattanooga,16-11,0.5168,0.4941,0.4864,168,0.4915,,
123,Southern Miss,15-Dec,0.5164,0.5509,0.5193,71,0.5404,,
124,Pennsylvania,17-10,0.516,0.473,0.4884,202,0.4781,,
125,Fairfield,19-11,0.5149,0.4603,0.5056,215,0.4754,,
126,Wyoming,17-Nov,0.5132,0.5727,0.5146,48,0.5534,,
127,Eastern Wash,16-12,0.5129,0.5013,0.4777,164,0.4934,,
128,Middle Tenn St,15-12,0.5114,0.501,0.4881,158,0.4967,,
129,Pepperdine,15-16,0.5114,0.5276,0.5063,107,0.5205,,
130,Delaware,16-12,0.5113,0.4906,0.4926,170,0.4913,,
,,,,,,,,,
,,,,,,,,,
131,New Orleans,16-14,0.5109,0.5055,0.4995,141,0.5035,,
132,Colorado St,16-Dec,0.5107,0.548,0.518,74,0.538,,
133,UCLA,17-Nov,0.5105,0.5569,0.5353,57,0.5497,,
134,Miss Valley St,21-6,0.5089,0.4055,0.4467,315,0.4193,,
135,UNC Wilmington,15-15,0.5086,0.5183,0.4976,128,0.5114,,
136,Buffalo,17-12,0.5083,0.4775,0.4921,187,0.4824,,
