137,Wis-Green Bay,16-11,0.5079,0.4722,0.4948,198,0.4797,,
138,Santa Clara,15-16,0.5068,0.5133,0.5166,120,0.5144,,
139,Valparaiso,17-12,0.5067,0.4752,0.49,196,0.4802,,
140,Hofstra,14-15,0.5055,0.5153,0.5084,124,0.513,,
,,,,,,,,,
,,,,,,,,,
141,IUPUI,19-11,0.5054,0.4491,0.4902,249,0.4628,,
142,Georgetown,13-15,0.5053,0.5135,0.5301,109,0.519,,
143,Georgia So,18-8,0.5052,0.418,0.4927,286,0.4429,,
144,Western Ky,13-13,0.5034,0.505,0.5036,139,0.5045,,
145,New Mexico,14-Dec,0.5032,0.5135,0.5241,112,0.517,,
146,Ball State,13-15,0.5025,0.5258,0.4941,117,0.5152,,
147,Ohio State,14-16,0.5011,0.5003,0.5374,125,0.5126,,
148,Lafayette,16-10,0.4999,0.4591,0.466,251,0.4614,,
149,Washington St,16-Dec,0.4999,0.5192,0.5325,103,0.5237,,
150,Marshall,17-Dec,0.499,0.5426,0.4969,93,0.5274,,
,,,,,,,,,
,,,,,,,,,
151,East Carolina,14-Dec,0.4983,0.503,0.5258,129,0.5106,,
152,Bradley,15-15,0.498,0.4895,0.513,156,0.4974,,
153,UC Santa Barbara,15-12,0.4977,0.4706,0.4942,199,0.4785,,
154,Northeastern,17-11,0.4972,0.4493,0.4832,253,0.4606,,
155,Maine,18-10,0.4964,0.4402,0.4622,277,0.4475,,
156,Minnesota,18-Dec,0.4949,0.5271,0.5253,98,0.5265,,
157,Oral Roberts,15-11,0.4935,0.4575,0.4823,241,0.4657,,
158,La Tech,13-15,0.4921,0.4896,0.5251,145,0.5014,,
159,American,18-13,0.4919,0.4632,0.4605,250,0.4623,,
160,Idaho,13-16,0.4919,0.5167,0.4859,135,0.5064,,
,,,,,,,,,
,,,,,,,,,
161,Birmingham Southern,18-7,0.4918,0.3942,0.459,318,0.4158,,
162,Duquesne,17-Dec,0.4905,0.5115,0.5252,114,0.5161,,
163,Wright St,14-13,0.4902,0.4723,0.4975,192,0.4807,,
164,Fairleigh Dickinson,16-12,0.4901,0.4631,0.4628,248,0.463,,
165,Liberty,17-14,0.4901,0.4748,0.4624,226,0.4706,,
166,Butler,15-14,0.4895,0.4677,0.5056,194,0.4803,,
167,Siena,14-16,0.4892,0.4977,0.4946,159,0.4967,,
168,Oregon St,16-Nov,0.4883,0.51,0.5259,116,0.5153,,
169,Denver,13-13,0.488,0.4814,0.4893,180,0.484,,
170,SMU,18-Dec,0.4873,0.5089,0.5314,113,0.5164,,
,,,,,,,,,
,,,,,,,,,
171,Miami-Florida,13-16,0.487,0.4795,0.5406,151,0.4999,,
172,Stephen F. Austin,17-9,0.4869,0.4214,0.4509,307,0.4312,,
173,St. John's,21-Jun,0.4865,0.5925,0.5389,24,0.5746,,
174,Massachusetts,19-Oct,0.4859,0.5358,0.5271,81,0.5329,,
175,Rider,17-13,0.4858,0.4458,0.4849,255,0.4588,,
176,Morehead St,13-13,0.485,0.478,0.484,197,0.48,,
177,Arkansas St,15-11,0.4843,0.4349,0.4905,271,0.4534,,
178,Weber St,13-14,0.4838,0.4887,0.4764,178,0.4846,,
179,SE Louisiana,16-9,0.4835,0.4178,0.4582,306,0.4313,,
180,Loyola-Marymount,14-14,0.4831,0.463,0.5063,204,0.4774,,
,,,,,,,,,
,,,,,,,,,
181,Tulane,17-Oct,0.4831,0.5167,0.5285,106,0.5206,,
182,Ark-Little Rock,14-12,0.4827,0.4529,0.4865,244,0.4641,,
183,Centenary,14-12,0.4826,0.4537,0.4845,245,0.464,,
184,Arizona St,17-Oct,0.482,0.5158,0.5261,108,0.5192,,
185,TAMU-CC,11-Nov,0.4816,0.4743,0.4779,214,0.4755,,
186,CS Northridge,13-16,0.4815,0.4972,0.4834,166,0.4926,,
187,Houston,18-Sep,0.4815,0.5314,0.5299,86,0.5309,,
188,La Salle,20-Oct,0.4811,0.5349,0.5214,87,0.5304,,
189,Penn State,19-Sep,0.48,0.5357,0.5269,82,0.5328,,
190,New Mexico St,14-Nov,0.4799,0.4962,0.4873,165,0.4933,,
,,,,,,,,,
,,,,,,,,,
191,South Alabama,16-Oct,0.4798,0.5221,0.4904,127,0.5115,,
192,Illinois St,19-Sep,0.4795,0.5463,0.5041,83,0.5322,,
193,Portland,17-Nov,0.4794,0.508,0.5088,132,0.5083,,
194,Lehigh,18-10,0.4788,0.4035,0.4652,312,0.4241,,
195,Furman,14-12,0.4787,0.4505,0.4753,256,0.4588,,
196,Drake,16-Nov,0.4781,0.4937,0.5177,144,0.5017,,
197,Tulsa,20-Sep,0.4749,0.5347,0.5198,91,0.5297,,
198,St. Bonaventure,21-Jul,0.4744,0.56,0.5278,59,0.5492,,
199,Bowling Green,17-Dec,0.4743,0.4959,0.4917,162,0.4945,,
200,TX-San Antonio,16-12,0.4739,0.4335,0.457,291,0.4414,,
,,,,,,,,,
,,,,,,,,,
201,Akron,13-15,0.4737,0.466,0.4984,207,0.4768,,
202,UMKC,15-14,0.4732,0.4496,0.4763,258,0.4585,,
203,Iona,18-Nov,0.4726,0.5091,0.4927,140,0.5036,,
204,Binghamton,14-16,0.4725,0.4781,0.467,219,0.4744,,
205,TX-Arlington,14-12,0.4698,0.4368,0.4671,280,0.4469,,
206,Chicago St,20-Nov,0.4695,0.5202,0.4828,134,0.5077,,
207,Central Conn,14-14,0.469,0.4563,0.4636,257,0.4587,,
208,Mercer,18-Nov,0.469,0.5071,0.4825,153,0.4989,,
209,Brown,13-13,0.4688,0.4521,0.4712,259,0.4584,,
210,Winthrop,14-12,0.4666,0.432,0.4641,287,0.4427,,
,,,,,,,,,
,,,,,,,,,
211,Fordham,22-Jun,0.4661,0.5653,0.5195,56,0.55,,
212,TX-Pan American,14-Oct,0.4658,0.4878,0.4709,188,0.4821,,
213,Baylor,20-Jul,0.4656,0.5412,0.5209,79,0.5344,,
214,Yale,15-Nov,0.4645,0.4822,0.4704,201,0.4782,,
215,Eastern Ky,15-Dec,0.4636,0.4653,0.4794,230,0.47,,
216,Bucknell,15-Dec,0.4634,0.4768,0.4556,233,0.4697,,
217,Robert Morris,13-15,0.4634,0.4651,0.4592,247,0.4631,,
218,South Carolina St,17-11,0.4615,0.3993,0.4402,320,0.413,,
219,Wagner,16-Dec,0.4607,0.4779,0.4585,225,0.4714,,
220,High Point,17-11,0.4605,0.3852,0.4644,321,0.4116,,
,,,,,,,,,
,,,,,,,,,
221,Tennessee Tech,15-Oct,0.4605,0.4802,0.4814,193,0.4806,,
222,South Florida,20-Jul,0.4603,0.5221,0.5379,94,0.5273,,
223,UC Irvine,17-Oct,0.4603,0.4928,0.485,172,0.4902,,
224,Stetson,15-Oct,0.4602,0.4785,0.4838,195,0.4803,,
225,Loyola-Chicago,20-Sep,0.4602,0.52,0.4904,131,0.5102,,
226,St. Francis-NY,15-13,0.4599,0.4152,0.4736,303,0.4347,,
227,Holy Cross,13-14,0.4599,0.4412,0.4758,273,0.4528,,
228,Idaho St,18-Nov,0.4598,0.4929,0.474,177,0.4866,,
229,Indiana St,19-Sep,0.4595,0.5037,0.5091,136,0.5055,,
230,Alabama St,16-14,0.4584,0.4301,0.4402,305,0.4334,,
,,,,,,,,,
,,,,,,,,,
231,Ohio,20-Oct,0.4569,0.5015,0.4914,155,0.4981,,
232,Evansville,22-Jul,0.4546,0.5349,0.5072,100,0.5257,,
233,Oakland,17-Nov,0.4546,0.4655,0.4943,216,0.4751,,
234,Coppin St,18-14,0.4542,0.4013,0.4516,317,0.4181,,
235,Hartford,17-Nov,0.4539,0.4796,0.4638,220,0.4743,,
236,Western Car,15-Sep,0.4524,0.4774,0.4799,200,0.4783,,
237,North Texas,15-Nov,0.4517,0.4415,0.5005,252,0.4612,,
238,Northern Ariz,13-14,0.4515,0.4219,0.4809,290,0.4415,,
239,Colgate,13-14,0.451,0.4312,0.4601,293,0.4408,,
240,Delaware St,13-15,0.4507,0.4538,0.4311,283,0.4462,,
,,,,,,,,,
,,,,,,,,,
241,CS Fullerton,17-Oct,0.4501,0.4737,0.4827,210,0.4767,,
242,Cal Poly,16-Oct,0.45,0.4616,0.4921,224,0.4718,,
243,Elon,18-Oct,0.4499,0.476,0.4905,191,0.4809,,
244,Montana St,13-Dec,0.4498,0.4191,0.4811,296,0.4398,,
245,UC Riverside,17-Oct,0.4495,0.4707,0.4864,213,0.4759,,
246,Texas A&M,21-Jul,0.4487,0.5087,0.5275,118,0.515,,
247,Canisius,19-Oct,0.4486,0.48,0.4896,184,0.4832,,
248,Appalachian St,21-Aug,0.448,0.5122,0.4918,138,0.5054,,
249,St. Francis-PA,13-15,0.4476,0.4302,0.4657,289,0.442,,
250,Jacksonville,15-Nov,0.4467,0.4419,0.48,270,0.4546,,
,,,,,,,,,
,,,,,,,,,
251,Sacred Heart,15-Dec,0.4467,0.4372,0.4678,278,0.4474,,
252,Jacksonville St,14-Dec,0.4455,0.4249,0.4706,295,0.4402,,
253,Eastern Mich,15-Oct,0.4423,0.4364,0.4963,263,0.4564,,
254,Montana,18-Aug,0.4422,0.4895,0.4821,176,0.4871,,
255,UNC Greensboro,17-Oct,0.4412,0.4516,0.4913,243,0.4648,,
256,Sacramento St,15-Nov,0.4408,0.431,0.4783,281,0.4468,,
257,Youngstown St,20-Jul,0.4405,0.5081,0.4863,148,0.5009,,
258,Tenn-Martin,18-Aug,0.4402,0.4899,0.4732,179,0.4843,,
259,Southern Utah,18-Aug,0.4398,0.4854,0.4809,181,0.4839,,
260,Samford,16-Aug,0.4393,0.4721,0.4798,217,0.4747,,
,,,,,,,,,
,,,,,,,,,
261,Mt St. Mary's,19-Oct,0.439,0.4708,0.4696,228,0.4704,,
262,Florida A&M,14-16,0.4381,0.4207,0.4442,310,0.4285,,
263,Coastal Carolina,15-Dec,0.4365,0.4215,0.4587,304,0.4339,,
264,McNeese St,16-Aug,0.4357,0.4754,0.4587,231,0.4698,,
265,William & Mary,21-Jul,0.4346,0.4983,0.4916,161,0.4961,,
266,Stony Brook,20-Oct,0.4342,0.4696,0.4645,235,0.4679,,
267,SE Missouri St,16-Sep,0.4318,0.4435,0.4802,265,0.4558,,
268,UL-Monroe,19-Sep,0.4312,0.4694,0.4647,236,0.4678,,
269,Cornell,16-Oct,0.431,0.4405,0.4583,282,0.4464,,
270,Portland St,16-Sep,0.4298,0.4416,0.476,272,0.4531,,
,,,,,,,,,
,,,,,,,,,
271,Hampton,13-17,0.4293,0.4204,0.4433,311,0.428,,
272,UNC Asheville,20-Jul,0.4275,0.4957,0.4594,182,0.4836,,
273,New Hampshire,20-Oct,0.4268,0.453,0.4677,261,0.4579,,
274,Jackson St,17-Dec,0.4267,0.4257,0.4418,309,0.4311,,
275,Texas St,14-Sep,0.4252,0.4273,0.4547,300,0.4365,,
276,Wofford,20-Jun,0.425,0.4893,0.4908,173,0.4898,,
277,Alcorn St,18-Nov,0.4239,0.4433,0.43,298,0.4388,,
278,Towson,21-Aug,0.4236,0.465,0.4887,222,0.4729,,
279,Northern Ill,19-Aug,0.4234,0.4495,0.4983,240,0.4658,,
280,Alabama A&M,13-16,0.423,0.3989,0.4458,319,0.4145,,
,,,,,,,,,
,,,,,,,,,
281,Sam Houston,15-Sep,0.4227,0.4289,0.458,299,0.4386,,
282,San Jose St,22-May,0.4216,0.4924,0.5166,149,0.5004,,
283,Northwestern St,17-Aug,0.4215,0.4534,0.459,268,0.4553,,
284,Morgan St,16-Nov,0.4197,0.4222,0.4269,313,0.4238,,
285,Southern U,16-Nov,0.4191,0.4183,0.4325,314,0.423,,
286,Columbia,17-Sep,0.4175,0.4251,0.4738,292,0.4413,,
287,Texas Southern,13-15,0.4173,0.3792,0.4463,324,0.4016,,
288,Marist,22-Jun,0.4156,0.484,0.4801,185,0.4827,,
289,Long Island,19-Aug,0.4154,0.4535,0.4583,269,0.4551,,
290,James Madison,21-Jul,0.4153,0.4559,0.4995,227,0.4704,,
,,,,,,,,,
,,,,,,,,,
291,Central Mich,24-May,0.4138,0.4919,0.4988,163,0.4942,,
292,Gardner-Webb,20-Jul,0.4137,0.4544,0.4869,242,0.4652,,
293,Tennessee St,20-Jun,0.4133,0.4696,0.4834,221,0.4742,,
294,Lamar,18-Jul,0.4116,0.4555,0.4555,267,0.4555,,
295,Radford,16-Oct,0.4098,0.3985,0.4576,316,0.4182,,
296,Grambling,18-Sep,0.4094,0.4258,0.4524,302,0.4347,,
297,Florida Atl,19-Jul,0.4093,0.4446,0.4787,264,0.456,,
298,San Diego,26-Mar,0.407,0.5112,0.5022,133,0.5082,,
299,UMBC,21-Jul,0.405,0.4522,0.4656,262,0.4566,,
300,Long Beach,21-May,0.4027,0.4661,0.4865,223,0.4729,,
,,,,,,,,,
,,,,,,,,,
301,Quinnipiac,20-Jul,0.4021,0.4431,0.463,276,0.4497,,
302,Lipscomb,21-May,0.3985,0.4636,0.4745,238,0.4672,,
303,IPFW,24-Feb,0.3983,0.5146,0.4873,137,0.5055,,
304,Savannah St,23-Apr,0.3983,0.4926,0.4597,189,0.4817,,
305,The Citadel,21-Mar,0.398,0.4968,0.4733,174,0.4889,,
306,Prairie View A&M,20-Jul,0.3972,0.4414,0.4466,285,0.4431,,
307,Cleveland St,25-Feb,0.3936,0.5094,0.4816,150,0.5001,,
308,Harvard,23-Apr,0.393,0.4874,0.4491,218,0.4747,,
309,Albany,23-May,0.3922,0.4647,0.4608,246,0.4634,,
310,Norfolk St,16-Dec,0.3854,0.3377,0.4375,326,0.371,,
,,,,,,,,,
,,,,,,,,,
311,Florida Intl,22-Mar,0.3806,0.4603,0.4819,237,0.4675,,
312,VMI,22-Apr,0.3802,0.4561,0.4547,266,0.4556,,
313,Western Ill,24-Mar,0.3801,0.4666,0.476,232,0.4697,,
314,Eastern Ill,20-Apr,0.38,0.4356,0.4821,275,0.4511,,
315,Navy,23-Mar,0.3799,0.4722,0.4597,234,0.468,,
316,Charleston So,22-Apr,0.3738,0.4449,0.4514,279,0.4471,,
317,Campbell,24-Mar,0.3728,0.4528,0.4746,254,0.46,,
318,MD-East Shore,21-Aug,0.3723,0.387,0.4394,323,0.4045,,
319,Army,21-Apr,0.3697,0.4311,0.4568,297,0.4397,,
320,Bethune-Cookman,21-Aug,0.3687,0.3833,0.4323,325,0.3996,,
,,,,,,,,,
,,,,,,,,,
321,Howard,22-Jun,0.36,0.3981,0.4294,322,0.4086,,
322,Loyola-Maryland,27-Jan,0.3594,0.4622,0.4774,239,0.4672,,
323,North Carolina A&T,25-Mar,0.357,0.4471,0.4266,294,0.4403,,
324,Dartmouth,24-Feb,0.346,0.4272,0.4527,301,0.4357,,
325,Nicholls St,21-Feb,0.3451,0.4185,0.4565,308,0.4312,,
326,Ark-Pine Bluff,26-Jan,0.3409,0.4408,0.445,288,0.4422,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,
