2016-2017 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
31,Rhode Island,24-9,0.5989,21.6,8.2,0.7248,0.5721 (42),0.5267,55,0.5569,,
32,Wichita St,29-4,0.5986,27,4,0.871,0.5019 (159),0.5195,140,0.5078,5,5
33,Illinois St,26-6,0.5967,24,4.4,0.8451,0.5163 (123),0.509,124,0.5139,,
34,Maryland,23-8,0.5963,21.4,9.2,0.6993,0.5668 (52),0.5522,44,0.5619,,
35,Middle Tenn St,29-4,0.5953,28.6,4,0.8773,0.5052 (156),0.4936,152,0.5013,,
36,Wisconsin,25-9,0.5932,21,7.8,0.7292,0.5444 (79),0.5549,68,0.5479,3,3
37,Xavier,21-13,0.5926,17.8,11.4,0.6096,0.6011 (15),0.5586,13,0.587,,
38,Vanderbilt,19-15,0.5909,16.6,14.6,0.5321,0.6391 (1),0.5533,1,0.6105,,
39,Wake Forest,19-13,0.5891,17,11,0.6071,0.5945 (22),0.5605,18,0.5831,,
40,Oklahoma St,19-12,0.5878,17.8,12,0.5973,0.5998 (16),0.5545,16,0.5847,9,8
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
41,Southern California,24-9,0.5878,20.8,8.2,0.7172,0.5469 (75),0.5401,72,0.5446,,
42,Miami (FL),21-11,0.5873,17,9.4,0.6439,0.5728 (40),0.5597,34,0.5684,,
43,South Carolina,21-10,0.5866,17.8,9.2,0.6593,0.5696 (47),0.5479,42,0.5623,,
44,Seton Hall,21-11,0.5863,17.8,9.4,0.6544,0.5690 (49),0.5529,40,0.5636,,
45,UT Arlington,23-8,0.5856,23,5.2,0.8156,0.5130 (133),0.5007,138,0.5089,,
46,Vermont,28-5,0.584,26.4,4.2,0.8627,0.4907 (181),0.492,176,0.4911,,
47,Princeton,22-6,0.5836,22.8,4.8,0.8261,0.5133 (132),0.4818,149,0.5028,,
48,Virginia Tech,22-10,0.582,17.6,8.4,0.6769,0.5454 (77),0.5601,65,0.5503,,
49,Monmouth,27-6,0.5819,26.6,4.4,0.8581,0.4880 (192),0.4935,181,0.4898,,
50,Michigan St,19-14,0.5785,14.2,12,0.542,0.6072 (11),0.5578,9,0.5907,4,4
,,,,,,,,,,,,
,,,,,,,,,,,,
51,Northwestern,23-11,0.5781,19.4,10.6,0.6467,0.5568 (63),0.552,60,0.5552,,
52,Georgia,18-14,0.5751,15.6,13.2,0.5417,0.6033 (12),0.5524,15,0.5863,,
53,California,21-12,0.5713,16.2,10.8,0.6,0.5748 (37),0.5357,45,0.5618,,
54,Houston,21-10,0.5711,18.6,9.2,0.6691,0.5484 (73),0.5184,80,0.5384,,
55,East Tenn St,25-7,0.5709,23.8,5.8,0.8041,0.4906 (182),0.4983,173,0.4932,,
56,Providence,20-12,0.5705,15.6,10.4,0.6,0.5684 (50),0.5451,47,0.5606,,
57,Kansas St,20-13,0.5696,17.6,12.6,0.5828,0.5721 (41),0.5512,39,0.5652,,
58,Akron,25-8,0.5679,23,6.8,0.7718,0.5011 (161),0.4974,155,0.4999,,
59,New Mexico St,25-5,0.5676,22.6,3.8,0.8561,0.4595 (257),0.4952,244,0.4714,,
60,Belmont,21-6,0.5658,20.6,5.2,0.7984,0.4877 (193),0.4895,189,0.4883,,
,,,,,,,,,,,,
,,,,,,,,,,,,
61,Marquette,19-12,0.5655,15,10.8,0.5814,0.5620 (59),0.5565,48,0.5602,,
62,Coll of Charleston,24-9,0.5646,23.2,9,0.7205,0.5120 (138),0.5141,128,0.5127,,
63,Bucknell,26-8,0.5635,23.6,6.4,0.7867,0.4886 (190),0.4901,185,0.4891,,
64,Illinois,17-14,0.5616,13.8,13.6,0.5036,0.5961 (20),0.5507,22,0.5809,,
65,BYU,22-11,0.5598,18.4,10.6,0.6345,0.5404 (83),0.5238,83,0.5348,,
66,Colorado St,21-11,0.5575,19,11,0.6333,0.5417 (82),0.5133,88,0.5323,,
67,TCU,18-15,0.5572,14.4,14.2,0.5035,0.5863 (29),0.5528,30,0.5751,,
68,Clemson,17-15,0.5572,14.2,14.2,0.5,0.5817 (31),0.5653,28,0.5762,,
69,UCF,21-11,0.5558,18.2,9.8,0.65,0.5298 (99),0.5137,101,0.5244,,
70,Winthrop,24-6,0.5552,24,6,0.8,0.4713 (236),0.4783,241,0.4736,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71,Valparaiso,23-8,0.5535,20.2,6.8,0.7481,0.4836 (204),0.4988,187,0.4887,,
72,Boise St,18-11,0.5532,16.8,9.8,0.6316,0.5304 (98),0.5204,96,0.5271,,
73,UNC Asheville,21-9,0.553,20.6,6.6,0.7574,0.4845 (201),0.4854,201,0.4848,,
74,Pittsburgh,16-17,0.5529,12.4,16.2,0.4336,0.6092 (8),0.5597,8,0.5927,22,21
75,CS Bakersfield,19-9,0.5519,18.6,7,0.7266,0.4968 (171),0.4875,172,0.4937,,
76,Fresno St,18-12,0.5518,16,9.2,0.6349,0.5268 (105),0.5187,102,0.5241,,
77,Mississippi,20-13,0.5518,16.4,12.6,0.5655,0.5489 (72),0.544,69,0.5472,,
78,Alabama,19-14,0.5496,17,14,0.5484,0.5526 (68),0.5449,66,0.55,,
79,Indiana,18-15,0.5488,13.2,13.4,0.4962,0.5777 (36),0.5433,37,0.5663,,
80,Richmond,20-12,0.5484,18.4,12,0.6053,0.5323 (94),0.5239,91,0.5295,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
81,Iowa,18-14,0.5466,13.6,12.8,0.5152,0.5632 (56),0.5447,54,0.5571,14,16
82,Tennessee,15-16,0.5456,12.2,15.2,0.4453,0.5926 (25),0.552,26,0.5791,,
83,Utah,18-11,0.5455,15.2,9.8,0.608,0.5171 (120),0.5395,100,0.5246,,
84,Syracuse,18-14,0.5433,12.4,12,0.5082,0.5533 (67),0.5584,61,0.555,2,2
85,Florida Gulf Coast,23-7,0.5431,21.8,7,0.7569,0.4678 (240),0.48,243,0.4719,,
86,New Mexico,17-14,0.5431,14.6,12.8,0.5328,0.5651 (54),0.5093,70,0.5465,,
87,Northern Kentucky,22-10,0.5428,21.2,8,0.726,0.4820 (209),0.4813,215,0.4818,,
88,Iona,22-12,0.5419,22,10.8,0.6707,0.5022 (158),0.4925,159,0.499,,
89,Davidson,17-15,0.5413,15.8,13.8,0.5338,0.5511 (69),0.5291,74,0.5437,,
90,Ohio State,17-15,0.5412,13.4,14.6,0.4786,0.5714 (43),0.5433,43,0.562,11,9
,,,,,,,,,,,,
,,,,,,,,,,,,
91,St. Bonaventure,20-12,0.541,18,11.6,0.6081,0.5186 (118),0.5186,112,0.5186,,
92,Towson,19-13,0.54,17,11,0.6071,0.5274 (104),0.4979,115,0.5176,,
93,Texas A&M,16-15,0.5381,12.8,14.2,0.4741,0.5677 (51),0.5429,51,0.5594,,
94,San Francisco,19-12,0.5381,16.6,11.2,0.5971,0.5235 (110),0.5082,113,0.5184,,
95,UNC Greensboro,22-9,0.5376,21.2,9,0.702,0.4757 (220),0.497,208,0.4828,,
96,Furman,19-11,0.536,19.4,9.4,0.6736,0.4892 (187),0.4922,179,0.4902,,
97,Lehigh,19-12,0.5356,17.8,8.8,0.6692,0.4978 (169),0.4777,177,0.4911,,
98,San Diego St,18-14,0.5355,16,12,0.5714,0.5265 (106),0.5178,104,0.5236,10,11
99,Colorado,18-14,0.5353,14.8,12.4,0.5441,0.5233 (111),0.5507,86,0.5324,21,22
100,Stanford,13-17,0.534,9.8,15,0.3952,0.5987 (18),0.5436,24,0.5803,,
,,,,,,,,,,,,
,,,,,,,,,,,,
101,Penn State,15-18,0.5326,13,18,0.4194,0.5790 (33),0.5528,32,0.5703,,
102,George Washington,19-14,0.5316,15.8,12.4,0.5603,0.5207 (115),0.5249,106,0.5221,,
103,George Mason,19-13,0.5313,18.2,13.4,0.5759,0.5133 (131),0.5226,117,0.5164,,
104,Georgia St,18-12,0.5307,16.8,10,0.6269,0.5017 (160),0.4927,161,0.4987,,
105,Texas Southern,23-11,0.5306,23.4,6.6,0.78,0.4431 (300),0.4561,306,0.4475,,
106,Georgia Tech,16-15,0.53,11.2,12.6,0.4706,0.5494 (71),0.5506,67,0.5498,,
107,Georgetown,14-18,0.5295,11.6,18,0.3919,0.5883 (27),0.5495,29,0.5754,,
108,Nebraska,19-Nov,0.5293,9.4,19,0.331,0.6186 (3),0.5493,5,0.5955,,
109,Oakland,22-8,0.529,20.8,8.8,0.7027,0.4579 (263),0.4977,245,0.4712,,
110,William & Mary,15-14,0.529,11.8,9.6,0.5514,0.5308 (97),0.503,108,0.5215,,
,,,,,,,,,,,,
,,,,,,,,,,,,
111,North Dakota St,17-11,0.5288,16.2,9,0.6429,0.4978 (168),0.477,178,0.4908,,
112,Marshall,19-15,0.5288,15.8,11.8,0.5725,0.5298 (100),0.4829,123,0.5142,,
113,Auburn,18-14,0.5279,16.4,13.6,0.5467,0.5055 (154),0.5538,107,0.5216,,
114,UL Lafayette,19-12,0.5275,18.2,10.8,0.6276,0.4971 (170),0.4882,171,0.4941,,
115,Wright St,18-12,0.5264,17.2,10.8,0.6143,0.5009 (162),0.4895,163,0.4971,,
116,South Dakota,20-11,0.5261,18.4,8.6,0.6815,0.4667 (243),0.4894,237,0.4743,,
117,Louisiana Tech,21-10,0.5261,18.2,8,0.6947,0.4675 (242),0.4746,246,0.4699,,
118,Ohio,19-11,0.5252,17.4,10.2,0.6304,0.4884 (191),0.4937,180,0.4902,,
119,Connecticut,15-17,0.5251,12.6,16.6,0.4315,0.5694 (48),0.5301,57,0.5563,,
120,Arkansas St,19-12,0.525,17.4,8.8,0.6641,0.4678 (241),0.5005,224,0.4787,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
121,Memphis,19-13,0.5243,15,11.8,0.5597,0.5077 (148),0.5222,129,0.5125,17,17
122,Georgia So,16-14,0.5233,15.2,10.4,0.5937,0.5058 (152),0.488,156,0.4999,,
123,Texas Tech,18-14,0.5212,12,11.6,0.5085,0.5146 (126),0.5471,98,0.5254,,
124,Arizona St,15-18,0.521,13,18.4,0.414,0.5625 (58),0.545,56,0.5567,,
125,Santa Clara,16-16,0.521,14,15.6,0.473,0.5456 (76),0.5199,81,0.537,,
126,Siena,17-17,0.5207,14.2,14.2,0.5,0.5480 (74),0.4869,93,0.5276,,
127,New Hampshire,17-12,0.5206,17.4,10.4,0.6259,0.4898 (185),0.4768,199,0.4855,,
128,Yale,17-11,0.5204,16.2,9.4,0.6328,0.4808 (212),0.4873,206,0.483,,
129,Albany,20-13,0.5195,19.6,11.4,0.6323,0.4842 (202),0.4772,213,0.4819,,
130,St. Peter's,19-13,0.5193,19,12.2,0.609,0.4900 (184),0.4882,183,0.4894,,
,,,,,,,,,,,,
,,,,,,,,,,,,
131,Grand Canyon,20-9,0.5191,16.8,7.8,0.6829,0.4511 (280),0.4913,259,0.4645,,
132,Tulsa,15-17,0.5185,12.2,15.4,0.442,0.5569 (62),0.5181,73,0.544,,
133,UC Irvine,19-14,0.5183,18.2,11.6,0.6107,0.4915 (179),0.4796,191,0.4875,,
134,Northeastern,15-16,0.518,15,13.6,0.5245,0.5245 (108),0.4985,119,0.5158,,
135,Temple,16-16,0.5178,14,15.6,0.473,0.5359 (89),0.5264,85,0.5327,,
136,Old Dominion,19-12,0.517,17.4,11.6,0.6,0.4849 (200),0.4984,182,0.4894,,
137,La Salle,15-15,0.5169,12.2,13.8,0.4692,0.5380 (86),0.5223,84,0.5327,,
138,Neb-Omaha,17-14,0.5167,17.4,12,0.5918,0.4924 (176),0.4903,175,0.4917,,
139,Chattanooga,17-12,0.516,16.2,10.4,0.609,0.4752 (222),0.5046,200,0.485,,
140,St. John's,14-19,0.5159,11.6,18.6,0.3841,0.5662 (53),0.547,49,0.5598,,
,,,,,,,,,,,,
,,,,,,,,,,,,
141,North Carolina St,15-17,0.5158,11.4,16.6,0.4071,0.5540 (65),0.5479,62,0.552,,
142,Kent St,21-13,0.5153,20.2,13.4,0.6012,0.4819 (210),0.4962,195,0.4866,,
143,Harvard,16-10,0.5153,15.2,9.2,0.623,0.4731 (227),0.4919,221,0.4794,,
144,North Dakota,19-9,0.515,18.6,7.4,0.7154,0.4420 (304),0.4606,305,0.4482,,
145,Southern Illinois,16-16,0.5145,14,14.8,0.4861,0.5336 (91),0.5044,103,0.5239,,
146,Buffalo,15-15,0.5144,15,13.8,0.5208,0.5206 (116),0.4956,130,0.5122,,
147,Troy,20-14,0.5101,18.4,11.6,0.6133,0.4733 (225),0.4806,230,0.4757,,
148,Eastern Washington,20-11,0.5101,17.2,7.8,0.688,0.4421 (303),0.4683,302,0.4508,,
149,Mississippi St,16-16,0.5096,12.8,16,0.4444,0.5258 (107),0.5424,90,0.5313,,
150,Mt St. Mary's,19-15,0.5089,17.8,12.2,0.5933,0.4896 (186),0.4632,219,0.4808,,
,,,,,,,,,,,,
,,,,,,,,,,,,
151,Jacksonville St,18-14,0.5085,20.8,12.4,0.6265,0.4683 (239),0.4711,248,0.4692,,
152,Wyoming,16-14,0.5083,12.4,11.6,0.5167,0.4979 (167),0.5207,142,0.5055,,
153,Loyola Marymount,14-15,0.5081,12.4,15,0.4526,0.5316 (96),0.5165,97,0.5266,,
154,New Orleans,17-11,0.5081,16.6,9,0.6484,0.4517 (276),0.4803,274,0.4613,,
155,South Dakota St,16-16,0.508,13.6,12,0.5313,0.5088 (145),0.483,154,0.5002,,
156,Toledo,16-16,0.5062,13.2,14,0.4853,0.5229 (112),0.4936,127,0.5132,,
157,Texas,22-Nov,0.5058,7,20.4,0.2555,0.6075 (10),0.5529,12,0.5893,,
158,UW Green Bay,16-13,0.5058,15.6,11,0.5865,0.4722 (230),0.4923,222,0.4789,,
159,Texas A&M CC,17-11,0.5055,15.4,7.8,0.6638,0.4446 (296),0.469,297,0.4527,,
160,Elon,16-14,0.504,15.2,12.4,0.5507,0.4807 (213),0.504,188,0.4885,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
161,Tennessee St,15-13,0.5039,16.2,12.2,0.5704,0.4828 (208),0.4795,216,0.4817,,
162,Northern Iowa,13-16,0.5038,11,14,0.44,0.5281 (102),0.519,99,0.5251,,
163,Washington St,18-Dec,0.5037,9.2,17.6,0.3433,0.5703 (46),0.5308,53,0.5571,,
164,UT Martin,19-12,0.5029,17.4,9.2,0.6541,0.4414 (305),0.4747,299,0.4525,,
165,UMBC,16-12,0.5025,16,10.4,0.6061,0.4637 (248),0.4765,251,0.468,,
166,UC Davis,20-12,0.5025,18.4,8.4,0.6866,0.4293 (317),0.4648,315,0.4411,,
167,Canisius,18-15,0.5025,19.2,15,0.5614,0.4784 (216),0.4917,207,0.4828,,
168,Rice,20-11,0.5023,19.6,11,0.6405,0.4472 (290),0.4742,288,0.4562,,
169,Ball State,20-12,0.5016,18.8,11.6,0.6184,0.4470 (292),0.4942,270,0.4627,,
170,Samford,17-15,0.5012,17.4,14.2,0.5506,0.4836 (205),0.4869,202,0.4847,,
,,,,,,,,,,,,
,,,,,,,,,,,,
171,Oklahoma,20-Nov,0.501,8.2,19.6,0.295,0.5778 (35),0.5532,33,0.5696,,
172,Rutgers,14-18,0.4998,11.6,16.4,0.4143,0.5242 (109),0.5365,92,0.5283,,
173,Liberty,16-13,0.4997,15.2,12.2,0.5547,0.4841 (203),0.476,218,0.4814,,
174,Western Michigan,15-16,0.4997,11.4,12.8,0.4711,0.5164 (122),0.4948,137,0.5092,,
175,Eastern Michigan,17-Dec,0.4993,11.6,15.4,0.4296,0.5362 (88),0.4952,105,0.5226,,
176,Houston Baptist,13-13,0.4985,11,9,0.55,0.4866 (194),0.4709,217,0.4814,,
177,Stony Brook,18-13,0.4984,16.8,12.6,0.5714,0.4724 (228),0.4775,239,0.4741,,
178,IPFW,16-12,0.4983,14.4,10,0.5902,0.4564 (268),0.4901,252,0.4676,,
179,Texas St,18-13,0.4973,16.4,10.6,0.6074,0.4460 (293),0.4898,276,0.4606,,
180,Fairfield,16-14,0.4968,16.4,13.2,0.5541,0.4718 (231),0.4895,227,0.4777,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181,Utah St,13-17,0.496,10.6,15.8,0.4015,0.5336 (92),0.5151,95,0.5274,,
182,Loyola (Chicago),16-14,0.4957,12.8,11.6,0.5246,0.4745 (224),0.5093,198,0.4861,,
183,Coastal Carolina,14-17,0.4953,11.6,15.4,0.4296,0.5316 (95),0.4882,116,0.5172,,
184,UMKC,14-16,0.4944,12.4,14.4,0.4627,0.5148 (125),0.4852,145,0.505,,
185,Weber St,17-13,0.4943,16.2,11.4,0.587,0.4634 (250),0.4636,264,0.4635,,
186,Gardner Webb,16-14,0.4941,16.8,12.8,0.5676,0.4612 (253),0.4865,247,0.4696,,
187,Boston U,17-14,0.4931,15,12.4,0.5474,0.4707 (238),0.4834,235,0.4749,,
188,Evansville,14-17,0.4927,10.4,15,0.4094,0.5284 (101),0.5046,110,0.5205,,
189,Lipscomb,17-13,0.4925,17.4,12.6,0.58,0.4574 (264),0.4753,265,0.4634,,
190,Wofford,13-17,0.4919,11.4,13.8,0.4524,0.5064 (151),0.5024,144,0.5051,,
,,,,,,,,,,,,
,,,,,,,,,,,,
191,San Jose St,16-Dec,0.4904,11.2,15.6,0.4179,0.5133 (130),0.5171,121,0.5146,,
192,Mercer,13-17,0.4903,13,17,0.4333,0.5136 (129),0.5006,136,0.5093,,
193,Massachusetts,15-18,0.4903,11.8,16.8,0.4126,0.5169 (121),0.5146,118,0.5162,16,15
194,LSU,21-Oct,0.4902,7.2,20.2,0.2628,0.5804 (32),0.5372,38,0.566,,
195,Sam Houston,17-13,0.49,15,10.2,0.5952,0.4477 (289),0.4696,292,0.455,,
196,Hofstra,14-17,0.4871,14,17,0.4516,0.4990 (165),0.499,158,0.499,,
197,Rider,18-15,0.4863,19.2,13.4,0.589,0.4348 (311),0.4866,300,0.4521,,
198,UAB,16-16,0.4854,13.6,14.8,0.4789,0.4910 (180),0.4807,190,0.4876,,
199,Pennsylvania,13-15,0.4845,13.4,14.6,0.4786,0.4853 (199),0.4891,196,0.4865,,
200,Morehead St,16-Dec,0.4843,10.4,13.2,0.4407,0.5077 (149),0.4811,160,0.4988,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
201,Saint Joseph's,20-Nov,0.4843,10.2,19.6,0.3423,0.5363 (87),0.5222,89,0.5316,,
202,NCCU,22-8,0.484,23.2,6.4,0.7838,0.3542 (351),0.4438,350,0.3841,,
203,Stephen F. Austin,15-14,0.4833,13,11.2,0.5372,0.4646 (245),0.4669,255,0.4654,,
204,San Diego,18-Dec,0.4811,12,19.2,0.3846,0.5138 (128),0.5124,126,0.5133,,
205,Utah Valley,16-Dec,0.4808,12.4,14,0.4697,0.4853 (198),0.4831,203,0.4846,,
206,Navy,15-16,0.4806,13,14.4,0.4745,0.4863 (195),0.4752,209,0.4826,,
207,Idaho,16-13,0.4803,14.8,10.6,0.5827,0.4382 (307),0.462,308,0.4461,,
208,Holy Cross,15-17,0.4797,13.8,14.2,0.4929,0.4714 (235),0.4833,233,0.4754,,
209,Missouri St,16-16,0.4796,13.6,15.2,0.4722,0.4718 (232),0.5028,212,0.4821,,
210,Washington,22-Sep,0.4792,6.6,21.2,0.2374,0.5743 (38),0.5307,50,0.5598,,
,,,,,,,,,,,,
,,,,,,,,,,,,
211,Denver,16-14,0.4788,15.6,12.8,0.5493,0.4438 (297),0.4784,290,0.4553,,
212,Loyola (Maryland),14-16,0.4786,12.4,12.8,0.4921,0.4723 (229),0.4777,238,0.4741,,
213,Long Beach,13-19,0.4784,11.4,13.8,0.4524,0.4860 (196),0.4894,192,0.4871,,
214,East Carolina,15-18,0.4778,10.6,15.6,0.4046,0.5007 (163),0.5052,150,0.5022,,
215,Fordham,19-Dec,0.474,11.2,19.8,0.3613,0.5122 (136),0.5102,131,0.5115,,
216,Central Michigan,14-16,0.473,12.8,14.4,0.4706,0.4634 (251),0.4946,240,0.4738,,
217,North Florida,19-Nov,0.4729,10.2,15.8,0.3923,0.5127 (134),0.474,157,0.4998,,
218,IUPUI,18-Dec,0.4729,11.6,14.4,0.4462,0.4763 (219),0.4929,214,0.4818,,
219,Boston College,23-Sep,0.4721,5.8,23.4,0.1986,0.5728 (39),0.5441,41,0.5633,,
220,Bradley,20-Dec,0.4713,10.4,18.8,0.3562,0.5127 (135),0.5035,135,0.5096,,
,,,,,,,,,,,,
,,,,,,,,,,,,
221,Montana,16-16,0.471,15.6,14.8,0.5132,0.4482 (288),0.4744,286,0.4569,,
222,UTEP,14-17,0.4696,13.2,17.8,0.4258,0.4888 (188),0.4749,204,0.4842,,
223,Pacific,22-Oct,0.4687,8,20.8,0.2778,0.5431 (81),0.5108,87,0.5323,,
224,Long Island,19-12,0.4677,19.8,12,0.6226,0.3972 (340),0.4537,338,0.416,,
225,Bowling Green,19-Dec,0.4669,9.6,17,0.3609,0.5110 (139),0.4845,151,0.5022,,
226,Western Kentucky,15-17,0.4666,12.2,13.4,0.4766,0.4522 (274),0.4856,266,0.4633,,
227,Radford,18-Dec,0.4663,11.2,15.6,0.4179,0.4830 (206),0.4811,210,0.4824,,
228,Alcorn St,15-14,0.4637,14.2,10.4,0.5772,0.4200 (326),0.4378,334,0.4259,,
229,SC Upstate,13-15,0.4627,14.2,14.6,0.4931,0.4452 (295),0.4673,298,0.4525,,
230,Murray St,14-17,0.4625,12,14.2,0.458,0.4582 (261),0.4755,262,0.464,,
,,,,,,,,,,,,
,,,,,,,,,,,,
231,South Alabama,18-Dec,0.4625,10.4,16.8,0.3824,0.4942 (175),0.4792,184,0.4892,,
232,Lamar,15-14,0.4624,14.2,11.2,0.5591,0.4113 (336),0.4679,328,0.4301,,
233,Indiana St,20-Oct,0.4596,8.4,18.4,0.3134,0.5092 (143),0.5067,139,0.5084,,
234,Delaware,20-Nov,0.4594,9.4,17.2,0.3534,0.4904 (183),0.5032,169,0.4947,,
235,High Point,16-Dec,0.4592,12.8,16.4,0.4384,0.4604 (254),0.4777,254,0.4662,,
236,DePaul,23-Sep,0.4582,6.2,23.4,0.2095,0.5402 (84),0.543,76,0.5411,,
237,Portland,22-Sep,0.4576,8.2,22.4,0.268,0.5227 (113),0.5171,109,0.5208,,
238,Saint Louis,21-Dec,0.4565,8.4,20.2,0.2937,0.5096 (142),0.5131,132,0.5108,24,
239,Northern Illinois,17-Dec,0.4564,12,16.6,0.4196,0.4568 (265),0.4924,249,0.4687,,
240,Robert Morris,14-19,0.4557,13.6,17,0.4444,0.4579 (262),0.4623,282,0.4594,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
241,UNLV,21-Nov,0.4551,8.2,21.4,0.277,0.5121 (137),0.5193,122,0.5145,,
242,Norfolk St,15-16,0.4551,13.8,12.4,0.5267,0.4224 (322),0.4488,326,0.4312,,
243,Charlotte,17-Dec,0.4551,9.6,15.4,0.384,0.4709 (237),0.4944,223,0.4787,,
244,Little Rock,13-17,0.454,11.8,15.8,0.4275,0.4470 (291),0.4945,269,0.4628,,
245,Wagner,15-14,0.4539,15.4,14,0.5238,0.4217 (324),0.4484,327,0.4306,,
246,Pepperdine,22-Aug,0.4534,6,20,0.2308,0.5347 (90),0.5134,94,0.5276,,
247,Campbell,14-17,0.4528,13.6,16.2,0.4564,0.4430 (301),0.469,301,0.4517,,
