2016-2017 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
1,Villanova,31-3,0.6651,29.8,2.6,0.9198,0.5911 (26),0.5584,25,0.5802,6,6
2,Arizona,30-4,0.6547,27.6,4,0.8734,0.6012 (14),0.5429,19,0.5817,1,1
3,Kansas,28-4,0.6525,26,4,0.8667,0.5868 (28),0.5696,21,0.5811,15,18
4,Kentucky,29-5,0.6519,25.8,4.6,0.8487,0.5994 (17),0.5602,14,0.5863,13,12
5,North Carolina,26-7,0.6469,22.4,5,0.8175,0.6029 (13),0.5643,11,0.59,,
6,Duke,27-8,0.6453,22.2,6,0.7872,0.6136 (6),0.5667,3,0.5979,23,20
7,Louisville,24-8,0.645,19.6,6.4,0.7538,0.6330 (2),0.5601,2,0.6087,18,14
8,Gonzaga,32-1,0.6438,29.6,1.4,0.9548,0.5436 (80),0.5334,78,0.5402,,24
9,Oregon,28-5,0.6426,24.4,3.8,0.8652,0.5790 (34),0.547,35,0.5683,,
10,Florida,24-8,0.6391,23.6,6.8,0.7763,0.6105 (7),0.5592,7,0.5934,7,7
,,,,,,,,,,,,
,,,,,,,,,,,,
11,Baylor,24-7,0.6373,20.4,6.2,0.7669,0.6147 (5),0.5527,6,0.594,12,13
12,Cincinnati,29-5,0.6312,25.4,3.8,0.8699,0.5626 (57),0.5296,63,0.5516,19,23
13,SMU,30-4,0.631,26,2.8,0.9028,0.5452 (78),0.5309,77,0.5404,,
14,Florida St,25-8,0.6307,19,5.6,0.7724,0.5974 (19),0.5556,17,0.5835,,
15,Butler,23-8,0.6254,20.6,7.6,0.7305,0.6081 (9),0.5551,10,0.5904,,
16,UCLA,29-4,0.6244,25.8,3.6,0.8776,0.5332 (93),0.5535,79,0.54,25,25
17,St. Mary's,28-4,0.6214,26,4.4,0.8553,0.5548 (64),0.5206,75,0.5434,,
18,Virginia,22-10,0.6165,20,9.6,0.6757,0.6159 (4),0.5587,4,0.5968,,
19,Purdue,25-7,0.6126,21.4,6.2,0.7754,0.5601 (61),0.5548,52,0.5583,,
20,Minnesota,24-9,0.6109,19.2,8.2,0.7007,0.5953 (21),0.5521,23,0.5809,,
,,,,,,,,,,,,
,,,,,,,,,,,,
21,Iowa State,23-10,0.6101,20.2,8.8,0.6966,0.5936 (23),0.5569,20,0.5813,8,10
22,VCU,26-8,0.6098,22.8,6.8,0.7703,0.5710 (44),0.5269,58,0.5563,,
23,Notre Dame,25-9,0.6087,20.6,8.2,0.7153,0.5823 (30),0.5549,31,0.5732,,
24,West Virginia,26-8,0.605,22,7.2,0.7534,0.5539 (66),0.5588,59,0.5555,,
25,Michigan,24-11,0.6044,19.2,9,0.6809,0.5928 (24),0.551,27,0.5789,,
26,Creighton,24-9,0.6031,22,9,0.7097,0.5708 (45),0.5612,36,0.5676,20,19
27,UNC Wilmington,27-5,0.6024,27,4.2,0.8654,0.5192 (117),0.5058,120,0.5148,,
28,Arkansas,25-9,0.6015,21.4,8.2,0.723,0.5636 (55),0.556,46,0.5611,,
29,Nevada,28-6,0.6007,26,4.8,0.8442,0.5162 (124),0.5265,111,0.5196,,
30,Dayton,23-7,0.6007,20.2,6.2,0.7652,0.5509 (70),0.5356,71,0.5458,,
,,,,,,,,,,,,
,,,,,,,,,,,,
