2012-2013 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Sun Mar 17 2013, 6:30 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
1,Duke,27-5,0.6724,22.6,3.4,0.8692,0.6364 (1),0.5477,1,0.6068,3,4,,
2,New Mexico,29-5,0.6712,26.6,3.8,0.875,0.6279 (2),0.554,2,0.6032,12,11,,
3,Louisville,29-5,0.661,26.2,4.2,0.8618,0.6120 (7),0.5582,6,0.5941,8,6,,
4,Miami (FL),27-6,0.6542,25.4,5.2,0.8301,0.6178 (3),0.5514,5,0.5956,6,7,,
5,Kansas,29-5,0.6477,25,4.2,0.8562,0.5911 (20),0.5526,19,0.5782,4,3,,
6,Gonzaga,30-2,0.6439,28.4,2,0.9342,0.5541 (75),0.5334,75,0.5472,1,1,,
7,Florida,26-7,0.6399,22.8,4.6,0.8321,0.5935 (16),0.5403,21,0.5758,11,9,,
8,Indiana,27-6,0.6377,23,6,0.7931,0.6040 (10),0.5496,10,0.5859,2,2,,
9,Michigan St,24-8,0.6369,20,6.4,0.7576,0.6172 (4),0.5555,3,0.5966,10,12,,
10,Ohio State,26-7,0.6364,21.6,5.8,0.7883,0.5989 (12),0.5594,11,0.5857,14,13,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Georgetown,25-6,0.635,21,5.2,0.8015,0.5913 (18),0.5559,16,0.5795,5,5,,
12,Memphis,30-4,0.6283,26.8,4,0.8701,0.5609 (63),0.5211,73,0.5477,25,20,,
13,Marquette,23-8,0.6282,18.6,5.6,0.7686,0.5954 (14),0.5536,14,0.5815,15,17,,
14,Syracuse,26-9,0.6275,21.2,7.8,0.731,0.6143 (5),0.5502,7,0.5929,17,16,,
15,Arizona,25-7,0.6247,22.2,6.2,0.7817,0.5824 (28),0.5524,25,0.5724,18,18,,
16,Saint Louis,27-6,0.6223,22.6,5.6,0.8014,0.5750 (36),0.538,38,0.5626,16,15,,
17,North Carolina,23-10,0.6185,19.8,8.4,0.7021,0.6111 (8),0.5498,8,0.5907,,,,
18,Colorado St,23-8,0.6182,19.8,5.6,0.7795,0.5689 (49),0.5554,35,0.5644,,,,
19,Belmont,24-6,0.6181,22.4,4,0.8485,0.5616 (61),0.5005,87,0.5413,,,,
20,Kansas St,26-7,0.6177,22.4,6.2,0.7832,0.5722 (43),0.5433,40,0.5626,9,10,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Michigan,25-7,0.6176,20.6,5.4,0.7923,0.5595 (68),0.5592,47,0.5594,7,8,,
22,Butler,25-8,0.614,22.6,7.2,0.7584,0.5770 (30),0.5434,32,0.5658,,,,
23,UNLV,24-9,0.6124,19.2,7.8,0.7111,0.5920 (17),0.5544,17,0.5795,,,,
