1996-1997 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,Kansas,31-1,0.6742,16,0.576,,
2,Kentucky,29-4,0.6572,9,0.5833,,
3,North Carolina,24-6,0.6569,1,0.6092,,
4,Minnesota,26-3,0.6522,24,0.5707,,
5,Utah,25-3,0.638,51,0.5531,,
6,Wake Forest,23-6,0.6344,10,0.5815,,
7,Duke,23-8,0.6271,6,0.5888,,
8,Villanova,22-9,0.623,3,0.5941,,
9,South Carolina,23-7,0.6202,23,0.5714,,
10,UCLA,21-7,0.6164,22,0.5719,,
,,,,,,,
,,,,,,,
11,Clemson,21-9,0.6159,8,0.5879,,
12,St. Joseph's,24-6,0.6124,55,0.5499,,
13,Cincinnati,25-7,0.6111,47,0.5544,,
14,New Mexico,23-7,0.6089,44,0.5563,,
15,Tulsa,23-9,0.6017,31,0.5627,,
16,Indiana,22-10,0.6014,20,0.5727,,
17,Arizona,19-9,0.5993,19,0.5729,,
18,Louisville,23-8,0.5978,56,0.5498,,
19,Georgia,24-8,0.5965,67,0.5454,,
20,Maryland,21-10,0.5963,25,0.5692,,
,,,,,,,
,,,,,,,
21,California,21-8,0.5963,50,0.5537,,
22,Purdue,17-11,0.5946,5,0.5904,,
23,Rhode Island,20-9,0.5939,32,0.562,,
24,Illinois,21-9,0.5934,40,0.5579,,
25,Virginia,18-12,0.5932,4,0.591,,
26,Wisconsin,18-9,0.5919,26,0.5669,,
27,UNC Charlotte,21-8,0.5917,62,0.5476,,
28,Xavier,22-5,0.5907,109,0.516,,
29,Texas Tech,19-9,0.5894,36,0.5597,,
30,Stanford,18-7,0.5886,68,0.5448,,
,,,,,,,
,,,,,,,
31,Boston U,25-4,0.5871,147,0.4954,,
32,Princeton,23-3,0.5855,169,0.4858,,
33,Boston College,21-8,0.5853,74,0.539,,
34,Vanderbilt,18-11,0.5847,21,0.5727,,
35,Illinois St,24-5,0.5842,129,0.5031,,
36,Iowa State,20-8,0.5829,73,0.5391,,
37,Iowa,20-9,0.5826,65,0.5469,,
38,Temple,19-10,0.5818,42,0.5574,,
39,Texas,16-11,0.5807,15,0.5768,,
40,Michigan,19-11,0.5805,30,0.5628,,
,,,,,,,
,,,,,,,
41,TCU,21-12,0.5798,35,0.5609,,
42,SW Missouri St,24-8,0.5797,96,0.5229,,
43,Colorado,21-9,0.5785,76,0.538,,
44,Mississippi,19-8,0.5785,81,0.5368,,
45,UMass,18-13,0.5785,14,0.5778,,
46,Providence,20-11,0.5771,48,0.5544,,
47,Oklahoma,19-10,0.5752,60,0.5485,,
48,Oklahoma St,16-14,0.5748,7,0.5887,,
49,West Virginia,19-9,0.5724,78,0.537,,
50,Hawaii,20-7,0.5721,110,0.5159,,
,,,,,,,
,,,,,,,
51,Marquette,22-8,0.5712,106,0.5172,,
52,Southern Cal,17-10,0.5692,58,0.549,,
53,Coll of Charleston,26-2,0.5686,260,0.4487,,
54,Florida St,16-11,0.5675,37,0.5592,,
55,Nebraska,16-14,0.567,13,0.5782,,
56,Oral Roberts,19-6,0.5665,134,0.502,,
57,Georgetown,19-9,0.5655,89,0.5278,,
58,UNLV,20-9,0.5639,98,0.522,,
59,Tulane,18-10,0.5637,77,0.5374,,
60,Syracuse,19-12,0.5624,66,0.5456,,
,,,,,,,
,,,,,,,
61,Fresno St,19-11,0.5609,80,0.5368,,
62,North Carolina St,15-14,0.5605,17,0.5749,,
63,Oregon,16-10,0.5605,70,0.5421,,
64,Drexel,22-8,0.5603,131,0.5026,,
65,Valparaiso,22-6,0.5593,173,0.4838,,
66,Arkansas,15-12,0.5577,39,0.5585,,
67,Miami-Ohio,21-8,0.5566,136,0.5007,,
68,Pittsburgh,16-14,0.5562,27,0.5639,,
69,Colorado St,17-9,0.5561,93,0.5235,,
70,New Orleans,22-6,0.5554,188,0.4787,,
,,,,,,,
,,,,,,,
71,Bowling Green,21-9,0.5549,121,0.5065,,
72,Memphis,16-14,0.5546,33,0.5617,,
73,Michigan St,16-11,0.5539,71,0.5411,,
74,Eastern Mich,19-10,0.5509,108,0.5161,,
75,George Wash,15-13,0.5505,45,0.5554,,
76,Nevada,19-9,0.55,119,0.5071,,
77,Pacific,22-5,0.5487,234,0.4599,,
78,Notre Dame,14-13,0.5477,41,0.5575,,
79,South Alabama,21-6,0.5473,211,0.4705,,
80,Missouri,15-17,0.5472,18,0.5733,,
,,,,,,,
,,,,,,,
81,Long Island,21-8,0.5471,159,0.4881,,
82,Northern Iowa,16-12,0.5465,75,0.5382,,
83,Washington,16-10,0.5462,95,0.5231,,
84,New Mexico St,18-9,0.546,124,0.5057,,
85,UConn,14-14,0.5441,38,0.5589,,
86,Alabama,16-14,0.5435,64,0.5469,,
87,St. John's,13-14,0.5432,28,0.5637,,
88,Evansville,17-14,0.5418,72,0.5397,,
89,Butler,21-9,0.5392,170,0.4856,,
90,Miami-Florida,16-12,0.5381,91,0.5269,,
,,,,,,,
,,,,,,,
91,Old Dominion,22-10,0.5372,163,0.4871,,
92,UAB,18-13,0.5358,99,0.5209,,
93,St. Mary's,21-7,0.5342,229,0.4623,,
94,Ohio,16-10,0.5332,122,0.5058,,
95,Baylor,17-12,0.5329,111,0.5151,,
96,Utah St,17-9,0.5318,155,0.4912,,
97,East Carolina,16-10,0.5313,128,0.5033,,
98,UTEP,13-Oct,0.5313,29,0.5635,,
99,Auburn,14-15,0.531,63,0.5471,,
100,Georgia Tech,18-Sep,0.529,2,0.5942,,
,,,,,,,
,,,,,,,
