101,Iona,22-7,0.528,256,0.4512,,
102,Marshall,19-9,0.5279,192,0.4777,,
103,St. Bonaventure,14-14,0.527,82,0.536,,
104,Northern Ariz,19-5,0.5266,276,0.4383,,
105,Bradley,16-12,0.525,117,0.5096,,
106,Santa Clara,16-11,0.5243,135,0.5016,,
107,Fairleigh Dickinson,18-10,0.5242,172,0.4846,,
108,Ball State,15-13,0.524,102,0.5201,,
109,UNC Asheville,17-10,0.5236,158,0.4882,,
110,Davidson,15-10,0.5218,146,0.4958,,
,,,,,,,
,,,,,,,
111,Kansas St,17-Sep,0.5206,12,0.5787,,
112,UNC Wilmington,16-13,0.5203,115,0.5099,,
113,LSU,20-Oct,0.5185,11,0.5803,,
114,Dartmouth,17-8,0.5178,226,0.4637,,
115,SMU,15-12,0.5172,126,0.5044,,
116,Liberty,20-9,0.5167,238,0.459,,
117,Monmouth,18-11,0.5162,182,0.4813,,
118,Mississippi St,18-Nov,0.516,34,0.5615,,
119,Virginia Tech,14-16,0.5137,87,0.5294,,
120,San Jose St,14-Dec,0.5133,85,0.5306,,
,,,,,,,
,,,,,,,
121,Rutgers,16-Nov,0.513,61,0.5482,,
122,Western Ill,17-10,0.5129,202,0.474,,
123,Montana,17-10,0.5117,209,0.4723,,
124,Rice,15-Oct,0.5117,59,0.5489,,
125,Canisius,17-12,0.5114,167,0.4864,,
126,Hartford,17-11,0.5105,189,0.4783,,
127,James Madison,15-13,0.5105,133,0.5021,,
128,Harvard,16-9,0.5103,217,0.467,,
129,VCU,14-13,0.5081,125,0.5046,,
130,Ohio State,17-Oct,0.5068,53,0.5522,,
,,,,,,,
,,,,,,,
131,Chattanooga,18-10,0.5056,236,0.4598,,
132,Penn State,17-Oct,0.5051,54,0.55,,
133,Buffalo,17-11,0.505,210,0.4709,,
134,Wichita St,14-13,0.5036,138,0.4986,,
135,Tennessee,16-Nov,0.5034,83,0.5354,,
136,Coppin St,21-8,0.502,291,0.428,,
137,Creighton,15-15,0.5019,132,0.5026,,
138,Southern Miss,15-Dec,0.5018,100,0.5209,,
139,Ark-Little Rock,14-11,0.5012,180,0.4816,,
140,Southern Ill,13-17,0.5011,92,0.5237,,
,,,,,,,
,,,,,,,
141,Texas A&M,18-Sep,0.5009,43,0.5567,,
142,Seton Hall,18-Sep,0.4989,49,0.5542,,
143,Western Mich,14-14,0.4989,139,0.4985,,
144,San Diego,15-11,0.4986,207,0.4725,,
145,La Tech,14-13,0.4973,156,0.4902,,
146,Weber St,14-12,0.4971,174,0.4833,,
147,Charleston So,15-12,0.4969,194,0.4773,,
148,Boise St,14-13,0.4968,157,0.4895,,
149,Houston,15-Oct,0.4958,90,0.5278,,
150,Washington St,17-Dec,0.495,97,0.5221,,
,,,,,,,
,,,,,,,
151,Delaware,13-16,0.4942,116,0.5096,,
152,Illinois-Chi,15-14,0.4938,168,0.486,,
153,Detroit,15-13,0.4935,186,0.4794,,
154,Pennsylvania,14-Dec,0.4927,130,0.503,,
155,San Francisco,14-12,0.4925,196,0.4772,,
156,Navy,18-8,0.4924,293,0.4258,,
157,Wyoming,16-Nov,0.4922,101,0.5205,,
158,Troy St,15-11,0.4921,225,0.4638,,
159,Middle Tenn St,16-12,0.4917,221,0.4652,,
160,Florida,17-Dec,0.4914,105,0.5173,,
,,,,,,,
,,,,,,,
161,Indiana St,16-Dec,0.4902,114,0.5108,,
162,Arkansas St,13-12,0.4901,184,0.4801,,
163,Wis-Green Bay,13-14,0.4899,154,0.4926,,
164,NE Illinois,14-12,0.4897,204,0.4735,,
165,Appalachian St,14-Dec,0.489,141,0.4982,,
166,Murray St,17-9,0.4888,282,0.4338,,
167,Richmond,13-15,0.4884,144,0.4964,,
168,Cornell,14-11,0.488,223,0.4641,,
169,Lamar,13-12,0.488,193,0.4774,,
170,Toledo,14-Dec,0.4879,143,0.4967,,
,,,,,,,
,,,,,,,
171,St. Louis,18-Nov,0.4872,94,0.5232,,
172,Dayton,13-14,0.4863,161,0.4879,,
173,Duquesne,18-Sep,0.4861,79,0.537,,
174,Mt St. Mary's,14-13,0.4844,206,0.473,,
175,Western Ky,15-Nov,0.4836,127,0.5038,,
176,La Salle,17-Oct,0.4825,103,0.5198,,
177,Long Beach,13-14,0.4814,181,0.4813,,
178,Florida Intl,16-13,0.4803,245,0.4565,,
179,LA-Monroe,13-14,0.479,190,0.4781,,
180,McNeese St,16-12,0.478,264,0.4468,,
,,,,,,,
,,,,,,,
181,SW Texas St,15-12,0.477,257,0.4509,,
182,Montana St,13-Dec,0.4769,197,0.4759,,
183,Radford,14-13,0.4764,228,0.4624,,
184,Gonzaga,13-12,0.4738,240,0.4584,,
185,LA-Lafayette,16-Dec,0.4731,160,0.488,,
186,William & Mary,16-Nov,0.4726,150,0.4943,,
187,Rider,14-13,0.4717,246,0.4561,,
188,Miss Valley St,17-10,0.4699,300,0.4166,,
189,American,16-Oct,0.4698,140,0.4983,,
190,Loyola-Maryland,13-14,0.4696,220,0.4656,,
,,,,,,,
,,,,,,,
191,Arizona St,20-Aug,0.4684,88,0.5293,,
192,CS-Northridge,15-Nov,0.4671,179,0.4818,,
193,Bucknell,17-11,0.467,299,0.4203,,
194,Oregon St,20-May,0.466,46,0.5547,,
195,Hofstra,15-Nov,0.4657,185,0.48,,
196,Idaho,17-Aug,0.4653,112,0.5137,,
197,Vermont,13-13,0.4645,253,0.4527,,
198,San Diego St,15-Nov,0.4637,195,0.4773,,
199,Austin Peay,15-14,0.4628,267,0.4447,,
200,Fullerton St,13-14,0.4611,250,0.4543,,
,,,,,,,
,,,,,,,
201,The Citadel,14-Sep,0.4598,177,0.4826,,
202,Kent,18-Jul,0.4597,104,0.5196,,
203,Northwestern,22-Jul,0.459,84,0.5315,,
204,Western Car,13-Nov,0.4588,239,0.459,,
205,St. Peter's,13-15,0.4585,244,0.4566,,
206,Colgate,16-Dec,0.4572,218,0.4667,,
207,Northern Ill,15-Nov,0.4564,216,0.4675,,
208,South Carolina St,13-12,0.4561,281,0.4348,,
209,UC Santa Barbara,15-Oct,0.4553,203,0.4737,,
210,VMI,16-Sep,0.4552,164,0.487,,
,,,,,,,
,,,,,,,
211,South Florida,19-Aug,0.4549,118,0.5078,,
212,Southern Utah,17-May,0.4546,86,0.5304,,
213,Jackson St,13-15,0.4526,259,0.4487,,
214,Maine,19-Sep,0.4511,151,0.4943,,
215,Florida Atl,14-11,0.4505,302,0.4139,,
216,Niagara,17-Nov,0.4502,213,0.4694,,
217,Towson,19-Sep,0.4501,152,0.493,,
218,Cal Poly,16-Nov,0.4499,224,0.464,,
219,St. Francis-PA,15-Dec,0.4496,255,0.4513,,
220,George Mason,17-Oct,0.4485,200,0.4746,,
,,,,,,,
,,,,,,,
221,Tennessee Tech,13-13,0.4479,286,0.4305,,
222,SE Missouri St,17-Oct,0.4476,205,0.4733,,
223,Samford,17-9,0.4469,305,0.378,,
224,Northwestern St,15-Dec,0.4463,261,0.447,,
225,Coastal Carolina,15-Sep,0.4463,212,0.4701,,
226,New Hampshire,19-Aug,0.446,145,0.4959,,
227,North Texas,16-Jul,0.4459,153,0.493,,
228,Akron,18-Jul,0.4441,137,0.4989,,
229,Missouri-KC,17-Aug,0.4441,171,0.4855,,
230,DePaul,23-Mar,0.4434,52,0.5527,,
,,,,,,,
,,,,,,,
231,North Carolina A&T,13-12,0.4412,301,0.415,,
232,Fairfield,18-Nov,0.4404,231,0.4608,,
233,Stephen F. Austin,15-Oct,0.4399,251,0.4531,,
234,Idaho St,13-Nov,0.4397,283,0.4335,,
235,UNC Greensboro,20-Oct,0.4395,199,0.4748,,
236,Manhattan,18-Sep,0.4392,201,0.4745,,
237,Cleveland St,19-Sep,0.4389,191,0.478,,
238,Wagner,17-Oct,0.4356,241,0.4573,,
239,Fordham,21-Jun,0.4349,123,0.5058,,
240,TX-Arlington,15-Oct,0.4348,266,0.4464,,
,,,,,,,
,,,,,,,
241,Tennessee St,18-Sep,0.434,215,0.4676,,
242,Yale,16-Sep,0.4329,242,0.4572,,
243,St. Francis-NY,13-15,0.4327,294,0.4222,,
244,Nicholls St,16-Aug,0.4327,219,0.4658,,
245,Portland,18-Jul,0.4324,175,0.4832,,
246,Siena,18-Sep,0.4322,222,0.4651,,
247,Alcorn St,15-Sep,0.4317,258,0.4506,,
248,Campbell,16-Sep,0.4311,249,0.4548,,
249,Air Force,18-Apr,0.4303,113,0.5131,,
250,Winthrop,15-Aug,0.4296,243,0.4568,,
,,,,,,,
,,,,,,,
251,Wis-Milwaukee,20-Jul,0.4269,176,0.4827,,
252,Eastern Ill,15-Oct,0.4267,279,0.4356,,
253,Loyola-Marymnt,21-Jun,0.4266,148,0.4948,,
254,Drake,26-Feb,0.4257,69,0.5437,,
255,Tenn-Martin,16-Sep,0.4252,263,0.4469,,
256,Texas Southern,16-Oct,0.4245,277,0.4379,,
257,Northeastern,20-Jul,0.4244,187,0.4794,,
258,Sam Houston,18-Aug,0.4228,230,0.4612,,
259,BYU,25-Jan,0.4219,57,0.5497,,
260,Furman,17-Aug,0.4218,248,0.4557,,
,,,,,,,
,,,,,,,
261,Loyola-Chicago,15-Nov,0.4214,297,0.4208,,
262,Pepperdine,21-May,0.421,142,0.4972,,
263,Central Conn,19-Aug,0.4194,232,0.4604,,
264,Wright St,20-Jun,0.4186,183,0.4812,,
265,Lafayette,17-Sep,0.4184,271,0.4425,,
266,Brown,22-Apr,0.4183,120,0.5065,,
267,Bethune-Cookman,16-Nov,0.418,295,0.4216,,
268,Centenary,18-Jul,0.4149,235,0.4598,,
269,Morgan St,18-Sep,0.4148,272,0.4419,,
270,Jacksonville St,16-Sep,0.4126,287,0.4301,,
,,,,,,,
,,,,,,,
271,Georgia So,18-Aug,0.4117,265,0.4464,,
272,Central Mich,19-Jun,0.4115,214,0.4686,,
273,Eastern Wash,17-Jun,0.4104,233,0.4602,,
274,Jacksonville,23-May,0.4098,166,0.4868,,
275,Sacramento St,21-Feb,0.4092,107,0.5166,,
276,Eastern Ky,18-Jul,0.409,254,0.452,,
277,Prairie View A&M,17-Jul,0.4081,262,0.447,,
278,Chicago St,23-Apr,0.408,149,0.4946,,
279,MD-East Shore,17-Aug,0.4072,278,0.4363,,
280,East Tenn St,20-May,0.4069,198,0.4758,,
,,,,,,,
,,,,,,,
281,Youngstown St,18-Aug,0.4067,275,0.4397,,
282,Grambling,16-Sep,0.4052,298,0.4203,,
283,Alabama St,20-Aug,0.4049,268,0.4447,,
284,Columbia,20-May,0.4043,208,0.4724,,
285,Florida A&M,19-Aug,0.4041,274,0.44,,
286,Georgia St,17-Aug,0.4015,289,0.4287,,
287,Morehead St,19-Jun,0.3995,252,0.4527,,
288,Army,16-Aug,0.3991,296,0.421,,
289,Robert Morris,23-Apr,0.3985,178,0.482,,
290,Marist,22-Jun,0.3983,237,0.4597,,
,,,,,,,
,,,,,,,
291,Hampton,19-Aug,0.3977,284,0.4316,,
292,Howard,19-Jul,0.3974,273,0.4402,,
293,Delaware St,20-Jul,0.3969,270,0.4427,,
294,Stetson,18-Jul,0.3967,280,0.4355,,
295,TX-San Antonio,17-Jul,0.3961,285,0.4309,,
296,Holy Cross,19-Aug,0.3951,290,0.428,,
297,MD-Baltimore Co,22-Apr,0.3853,227,0.4625,,
298,Southern U,18-Jun,0.3827,292,0.4269,,
299,SE Louisiana,18-Aug,0.3824,304,0.4073,,
300,UC Irvine,25-Jan,0.3753,162,0.4876,,
,,,,,,,
,,,,,,,
301,Wofford,20-Apr,0.3748,269,0.4442,,
302,TX-Pan American,25-Jan,0.3748,165,0.4869,,
303,Central Florida,19-May,0.3741,288,0.4293,,
304,Lehigh,26-Jan,0.3512,247,0.4559,,
305,Mercer,22-Feb,0.3287,303,0.4104,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
