2006-2007 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only. Old RPI is the rank and rating under the old RPI formula.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Sun Mar 11 2007, 4:48 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Old RPI,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,Rank,Rating,AP,USA
1,Ohio State,30-3,0.672,25.2,1.8,0.9333,0.601,0.5524,12,0.5848,1,0.6659,1,1
2,North Carolina,28-6,0.661,24,4.8,0.8333,0.625,0.5604,4,0.6035,2,0.6585,8,8
3,UCLA,25-5,0.6579,21,3.8,0.8468,0.615,0.5549,8,0.595,3,0.6546,4,3
4,Wisconsin,29-5,0.6466,24.2,3.8,0.8643,0.5844,0.5532,25,0.574,5,0.6437,3,4
5,Pittsburgh,27-7,0.6463,23.8,6.6,0.7829,0.6277,0.5472,6,0.6008,4,0.6492,13,11
6,Florida,29-5,0.6433,23.8,3.4,0.875,0.5735,0.5509,38,0.566,7,0.6377,6,6
7,Southern Illinois,26-6,0.64,25.2,4.4,0.8514,0.5784,0.552,30,0.5696,11,0.6303,14,13
8,Memphis,30-3,0.6379,26,2.2,0.922,0.552,0.5255,75,0.5432,9,0.6347,5,5
9,Georgetown,26-6,0.6368,24,6,0.8,0.5958,0.5555,14,0.5824,6,0.6399,9,9
10,UNLV,27-6,0.6348,23,4.4,0.8394,0.5812,0.5376,37,0.5666,12,0.6295,25,25
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Kansas,30-4,0.6334,26.8,4,0.8701,0.5601,0.5432,58,0.5545,8,0.6364,2,2
12,Tennessee,22-10,0.6272,16.8,7.2,0.7,0.6257,0.5574,5,0.6029,15,0.6241,22,
13,Kentucky,21-11,0.6262,17,9.4,0.6439,0.6491,0.5629,1,0.6204,13,0.6293,,
14,Arizona,20-10,0.6241,18.4,10.4,0.6389,0.6487,0.5599,2,0.6191,10,0.631,,
15,Duke,22-10,0.6182,18,10,0.6429,0.6388,0.5522,3,0.6099,14,0.6293,21,21
16,Maryland,24-8,0.6167,19.6,7.6,0.7206,0.6041,0.538,15,0.582,16,0.624,17,20
17,Texas A&M,25-6,0.6156,20.6,5.2,0.7984,0.5636,0.5366,57,0.5546,17,0.6176,7,7
18,BYU,24-8,0.6146,20,5.2,0.7937,0.5647,0.5353,56,0.5549,23,0.6037,23,23
19,Villanova,21-10,0.6138,20.2,10,0.6689,0.6206,0.5451,7,0.5954,18,0.6159,,
20,Creighton,22-10,0.6121,19.2,7.6,0.7164,0.5937,0.5444,19,0.5773,22,0.6048,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Oregon,26-7,0.6112,22.4,5.8,0.7943,0.5511,0.5484,64,0.5502,20,0.6096,16,18
22,Marquette,23-9,0.6054,19.4,9,0.6831,0.6006,0.5371,17,0.5795,19,0.6143,18,19
23,Nevada,27-4,0.6036,25.4,3.6,0.8759,0.5078,0.5227,119,0.5128,25,0.6023,10,10
24,Michigan St,22-11,0.6034,15.2,8.2,0.6496,0.6087,0.5465,9,0.588,21,0.6077,,
25,Washington St,25-7,0.6031,23.4,5.8,0.8014,0.5282,0.5544,89,0.5369,29,0.598,11,12
26,Texas,24-9,0.6018,20.4,7.4,0.7338,0.5648,0.5437,53,0.5578,28,0.6001,15,14
27,Butler,25-6,0.5966,22.6,5.2,0.8129,0.53,0.5134,108,0.5245,30,0.595,19,17
28,Indiana,20-10,0.5954,15.2,6.4,0.7037,0.5599,0.558,52,0.5593,47,0.5861,,
29,Illinois,23-11,0.5948,18.6,9.8,0.6549,0.5896,0.5449,24,0.5747,27,0.6001,,
30,Air Force,22-8,0.5945,19.2,6.4,0.75,0.5495,0.5292,80,0.5427,37,0.5904,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,Notre Dame,24-7,0.5943,18.4,4.6,0.8,0.5185,0.5403,106,0.5258,42,0.5879,20,16
32,Boston College,20-11,0.5941,16.4,10.2,0.6165,0.6027,0.5544,11,0.5866,26,0.6012,,
33,Xavier,24-8,0.594,19.6,6.4,0.7538,0.5466,0.5288,82,0.5407,34,0.593,,
