1994-1995 RPI,,,,,,,
,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Teams shaded in blue made the tournament,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,North Carolina,24-5,0.6608,3,0.6052,,
2,Kansas,22-5,0.6581,2,0.6059,,
3,Kentucky,25-4,0.6531,15,0.5835,,
4,Wake Forest,24-5,0.6514,7,0.5927,,
5,Massachusetts,26-4,0.6464,24,0.573,,
6,UCLA,25-2,0.638,60,0.5421,,
7,Connecticut,25-4,0.6369,35,0.5619,,
8,Arkansas,26-6,0.6367,21,0.5782,,
9,Villanova,24-7,0.6331,12,0.5861,,
10,Maryland,23-7,0.6322,10,0.5874,,
,,,,,,,
,,,,,,,
11,Michigan St,22-5,0.6248,36,0.5615,,
12,Oklahoma St,21-9,0.6241,4,0.5988,,
13,Oklahoma,23-8,0.6233,14,0.5838,,
14,Virginia,22-8,0.6191,18,0.5811,,
15,Tulsa,22-7,0.6114,33,0.5624,,
16,Mississippi St,20-7,0.6102,29,0.5666,,
17,Missouri,19-8,0.6098,19,0.5785,,
18,Arizona,22-7,0.607,45,0.5565,,
19,Purdue,24-6,0.6044,67,0.5392,,
20,Oregon,17-8,0.6031,22,0.5775,,
,,,,,,,
,,,,,,,
21,Iowa State,19-10,0.603,13,0.5856,,
22,Cincinnati,21-11,0.6014,16,0.5831,,
23,Indiana,18-11,0.5978,9,0.5902,,
24,Western Kentucky,25-3,0.5962,150,0.4974,,
25,Syracuse,18-9,0.5925,26,0.5678,,
26,Utah,25-5,0.5917,114,0.5112,,
27,Louisville,19-13,0.5917,8,0.591,,
28,Arizona St,22-8,0.5908,58,0.5433,,
29,Georgetown,19-9,0.5888,40,0.5589,,
30,Southern Illinois,22-8,0.5884,66,0.54,,
,,,,,,,
,,,,,,,
31,Temple,19-10,0.588,31,0.5656,,
32,Memphis,22-9,0.5879,54,0.5473,,
33,Texas,22-6,0.5871,107,0.5209,,
34,Florida,17-12,0.5862,11,0.5861,,
35,Alabama,22-9,0.5828,62,0.5405,,
36,Virginia Tech,20-10,0.5821,47,0.554,,
37,Charlotte,19-8,0.5812,63,0.5404,,
38,Xavier,22-4,0.5807,159,0.4922,,
39,Illinois,18-11,0.5802,27,0.5667,,
40,Saint Louis,22-7,0.5792,108,0.5194,,
,,,,,,,
,,,,,,,
41,Saint Joseph's,17-11,0.579,25,0.5697,,
42,Tulane,22-9,0.5786,73,0.5349,,
43,Ohio,22-9,0.5764,75,0.5319,,
44,BYU,22-9,0.5763,76,0.5319,,
45,Michigan,17-13,0.5755,20,0.5785,,
46,Santa Clara,20-6,0.5719,128,0.5061,,
47,Stanford,19-8,0.5704,93,0.526,,
48,New Mexico St,22-9,0.5697,100,0.5231,,
49,Coll of Charleston,21-5,0.5691,169,0.4896,,
50,Manhattan,25-4,0.569,200,0.4713,,
,,,,,,,
,,,,,,,
51,Miami-Ohio,21-6,0.5685,146,0.4988,,
52,Montana,17-8,0.5684,79,0.5312,,
53,Georgia Tech,18-12,0.5682,42,0.5575,,
54,DePaul,17-10,0.5679,55,0.5473,,
55,Long Beach,19-9,0.5679,81,0.531,,
56,Southern Miss,16-12,0.5678,28,0.5667,,
57,Drexel,22-7,0.5666,137,0.5026,,
58,Bradley,19-9,0.5662,89,0.5287,,
59,Nebraska,17-13,0.5659,30,0.5656,,
60,Nicholls St,22-5,0.5658,177,0.4828,,
,,,,,,,
,,,,,,,
61,Weber St,17-8,0.5651,92,0.5268,,
62,Georgia,18-9,0.5633,87,0.5288,,
63,Utah St,19-7,0.5632,125,0.5073,,
64,Ball State,17-10,0.5626,64,0.5402,,
65,Iowa,18-11,0.5615,61,0.5417,,
66,Minnesota,19-11,0.5602,71,0.5358,,
67,Florida St,15-Dec,0.56,5,0.5985,,
68,Duke,13-18,0.5596,1,0.6063,,
69,Eastern Michigan,18-9,0.5595,98,0.5237,,
70,Providence,15-12,0.5588,37,0.5599,,
,,,,,,,
,,,,,,,
71,Wis-Green Bay,22-7,0.5587,161,0.492,,
72,George Washington,18-13,0.5574,51,0.5496,,
73,Pennsylvania,22-5,0.5552,204,0.4686,,
74,UTEP,16-9,0.5551,91,0.5269,,
75,Colorado,15-12,0.5549,46,0.5547,,
76,Washington St,14-11,0.5521,52,0.5495,,
77,New Hampshire,19-9,0.5519,119,0.5097,,
78,St. John's,14-13,0.5514,34,0.5623,,
79,Clemson,15-12,0.5511,50,0.5496,,
80,Marquette,17-11,0.5502,78,0.5312,,
,,,,,,,
,,,,,,,
81,Texas Tech,18-9,0.5493,117,0.5102,,
82,Penn State,17-10,0.5482,106,0.521,,
83,Evansville,18-9,0.5479,122,0.5083,,
84,Illinois St,18-12,0.5468,86,0.5291,,
85,Nevada,18-11,0.5468,102,0.5222,,
86,Kansas St,15-Oct,0.5463,6,0.595,,
87,South Florida,16-11,0.5439,90,0.5276,,
88,Canisius,18-12,0.5431,96,0.5241,,
89,Gonzaga,19-8,0.5421,173,0.4882,,
90,Hawaii,16-13,0.5414,68,0.5379,,
,,,,,,,
,,,,,,,
91,Montana St,17-8,0.5412,154,0.4949,,
92,St. Bonaventure,16-12,0.54,85,0.5295,,
93,Old Dominion,20-11,0.5399,130,0.5048,,
94,Auburn,14-12,0.5368,70,0.5362,,
95,St. Mary's,18-10,0.5364,140,0.5009,,
96,Seton Hall,16-13,0.5356,84,0.5303,,
97,Vanderbilt,13-15,0.5353,38,0.559,,
98,Portland,19-8,0.5346,184,0.4782,,
99,VCU,14-14,0.5338,56,0.5451,,
100,St. Peter's,19-10,0.5336,158,0.4931,,
,,,,,,,
