,,,,,,,
101,Wisconsin,13-14,0.5334,49,0.5507,,
102,North Carolina St,15-Dec,0.533,32,0.5625,,
103,UNC Greensboro,23-6,0.532,264,0.445,,
104,Rutgers,13-15,0.5315,48,0.5538,,
105,Northeastern,18-11,0.5307,142,0.5007,,
106,Jacksonville,17-9,0.5304,171,0.4892,,
107,LSU,15-Dec,0.5285,44,0.5565,,
108,California,13-14,0.5278,59,0.5433,,
109,New Orleans,19-11,0.5274,160,0.4921,,
110,Miami-Florida,15-12,0.5263,111,0.5166,,
,,,,,,,
,,,,,,,
111,Pittsburgh,18-Oct,0.5251,17,0.5811,,
112,Texas Southern,20-6,0.5227,270,0.4405,,
113,Illinois-Chicago,17-9,0.5218,186,0.4778,,
114,Rider,17-11,0.5206,163,0.4917,,
115,Valparaiso,18-8,0.5204,214,0.463,,
116,Tennessee,16-Nov,0.5195,43,0.5569,,
117,New Mexico,14-15,0.5185,83,0.5305,,
118,Bowling Green,14-11,0.5181,131,0.5041,,
119,West Virginia,13-Dec,0.518,82,0.5306,,
120,Toledo,14-11,0.5166,138,0.5021,,
,,,,,,,
,,,,,,,
121,Missouri St,16-11,0.5153,168,0.4896,,
122,Colgate,17-12,0.5153,164,0.4917,,
123,Western Michigan,14-13,0.515,113,0.5139,,
124,Boise St,17-10,0.515,188,0.4768,,
125,Idaho St,14-10,0.5142,166,0.4911,,
126,Oregon St,18-Sep,0.5141,23,0.5743,,
127,TX-Pan American,14-Dec,0.5137,80,0.5311,,
128,Notre Dame,15-12,0.5135,145,0.4995,,
129,UAB,14-15,0.5121,103,0.5219,,
130,South Carolina,17-Oct,0.5118,39,0.559,,
,,,,,,,
,,,,,,,
131,Charleston Southern,19-10,0.5112,213,0.4632,,
132,Wyoming,15-Nov,0.5108,65,0.5401,,
133,La Salle,13-14,0.5077,112,0.5165,,
134,Coppin St,19-9,0.5069,252,0.4496,,
135,Butler,14-12,0.5057,155,0.4948,,
136,Rice,14-13,0.5046,143,0.5,,
137,Ark-Little Rock,16-12,0.5043,179,0.4819,,
138,Drake,15-Dec,0.5037,99,0.5234,,
139,Colorado St,14-14,0.503,133,0.504,,
140,Washington,18-Sep,0.5024,41,0.5587,,
,,,,,,,
,,,,,,,
141,Pacific,14-13,0.5021,152,0.4967,,
142,TCU,15-11,0.5019,187,0.4769,,
143,Western Illinois,18-8,0.5016,274,0.438,,
144,Boston U,15-16,0.499,132,0.5041,,
145,Murray St,18-8,0.499,281,0.4345,,
146,Marist,17-11,0.4979,220,0.4615,,
147,Mt St. Mary's,16-12,0.4976,194,0.4729,,
148,Northern Illinois,18-10,0.4963,259,0.4475,,
149,Chattanooga,17-10,0.4957,249,0.451,,
150,Fairleigh Dickinson,16-12,0.4953,203,0.4699,,
,,,,,,,
,,,,,,,
151,Wichita St,14-Dec,0.495,127,0.5062,,
152,Princeton,15-10,0.4949,228,0.4598,,
153,Wright St,17-Dec,0.4943,105,0.5212,,
154,UNC Wilmington,16-11,0.494,221,0.4611,,
155,Tennessee St,16-10,0.4933,247,0.4526,,
156,UC Irvine,13-16,0.4932,123,0.5081,,
157,Boston College,19-Sep,0.4914,53,0.5481,,
158,Buffalo,18-10,0.4896,272,0.4385,,
159,Navy,19-9,0.4893,288,0.4263,,
160,San Francisco,18-Oct,0.4884,74,0.5321,,
,,,,,,,
,,,,,,,
161,Stetson,14-12,0.486,205,0.4685,,
162,Detroit,15-Nov,0.4859,126,0.5069,,
163,Vermont,13-13,0.4856,181,0.4808,,
164,UC Santa Barbara,13-14,0.4853,175,0.4865,,
165,UL Monroe,14-18,0.4849,141,0.5007,,
166,Idaho,15-Sep,0.4848,104,0.5214,,
167,Duquesne,18-Oct,0.483,95,0.525,,
168,James Madison,16-13,0.482,233,0.4588,,
169,Texas A&M,13-16,0.482,157,0.4932,,
170,UNLV,16-Dec,0.481,148,0.4985,,
,,,,,,,
,,,,,,,
171,Austin Peay,16-Nov,0.4798,134,0.5039,,
172,Louisiana Tech,13-13,0.479,198,0.472,,
173,East Carolina,17-11,0.4789,280,0.4362,,
174,Delaware,15-Oct,0.4774,135,0.5031,,
175,Hartford,16-Nov,0.4769,144,0.5,,
176,Marshall,17-9,0.4766,294,0.4175,,
177,Fresno St,15-Dec,0.4761,174,0.4866,,
178,Youngstown St,16-10,0.4756,285,0.429,,
179,Morehead St,13-12,0.4752,226,0.4603,,
180,Monmouth,13-14,0.4749,197,0.4727,,
,,,,,,,
,,,,,,,
181,Fairfield,13-15,0.4732,190,0.4762,,
182,TX-San Antonio,13-13,0.4712,219,0.4616,,
183,Mississippi,19-Aug,0.4706,88,0.5288,,
184,San Diego,16-Oct,0.4701,147,0.4986,,
185,Loyola Marymount,15-Dec,0.4698,183,0.4782,,
186,Towson,15-Dec,0.4685,189,0.4766,,
187,Rhode Island,20-Jul,0.4682,69,0.5378,,
188,Samford,14-11,0.4674,279,0.4365,,
189,Mercer,13-14,0.4669,217,0.4621,,
190,Maine,16-Nov,0.4667,176,0.4865,,
,,,,,,,
,,,,,,,
191,Liberty,16-Oct,0.4651,162,0.4919,,
192,Southern California,21-Jul,0.4641,72,0.5355,,
193,East Tenn St,14-Nov,0.4638,199,0.4718,,
194,Dayton,20-Jul,0.4635,77,0.5316,,
195,Radford,12-Dec,0.4615,257,0.4487,,
196,Ohio State,22-Jun,0.4614,57,0.5438,,
197,Stephen F. Austin,14-Dec,0.4612,222,0.4611,,
198,UMBC,14-Dec,0.4609,224,0.4607,,
199,Holy Cross,15-12,0.4592,286,0.4271,,
200,Eastern Illinois,13-13,0.4592,261,0.4455,,
,,,,,,,
,,,,,,,
201,Hofstra,18-Sep,0.4571,149,0.4984,,
202,Dartmouth,13-Dec,0.457,255,0.4494,,
203,Davidson,13-Nov,0.4561,238,0.4553,,
204,SMU,20-Jul,0.4536,109,0.5184,,
205,Brown,13-13,0.4536,273,0.4381,,
206,Akron,18-Jul,0.4529,116,0.5106,,
207,Kent St,19-Aug,0.4528,129,0.5049,,
208,North Carolina A&T,13-13,0.4526,278,0.4368,,
209,Bucknell,13-14,0.4516,268,0.4417,,
210,St. Francis-PA,16-Dec,0.4515,230,0.4592,,
,,,,,,,
,,,,,,,
211,Northwestern St,14-Nov,0.4514,239,0.4552,,
212,Loyola (Maryland),18-Sep,0.4507,167,0.4898,,
213,Pepperdine,19-Jul,0.4507,115,0.5112,,
214,SE Missouri St,14-Nov,0.4499,243,0.4532,,
215,Creighton,19-Jul,0.4497,118,0.5099,,
216,North Texas,13-Nov,0.4475,266,0.4439,,
217,Houston,19-Aug,0.4467,151,0.4969,,
218,San Diego St,17-Aug,0.4464,172,0.4885,,
219,CS Fullerton,20-Jul,0.4459,124,0.5081,,
220,Air Force,19-May,0.445,97,0.5239,,
,,,,,,,
,,,,,,,
221,Texas St,14-Oct,0.445,240,0.4544,,
222,Miss Valley St,14-10,0.4449,299,0.3988,,
223,SE Louisiana,16-Oct,0.4448,211,0.4648,,
224,Northern Arizona,17-May,0.4448,110,0.5173,,
225,Tennessee Tech,14-Oct,0.4447,241,0.454,,
226,Jackson St,18-Oct,0.4443,193,0.4733,,
227,Florida Intl,18-Nov,0.4414,218,0.462,,
228,Western Carolina,14-Oct,0.441,256,0.4492,,
229,Wagner,17-Oct,0.441,212,0.4645,,
230,Northwestern,22-May,0.4401,94,0.5251,,
,,,,,,,
,,,,,,,
231,Centenary,17-Sep,0.4392,202,0.4703,,
232,American,19-Sep,0.439,185,0.4781,,
233,South Alabama,18-Sep,0.4387,192,0.4739,,
234,Richmond,20-Aug,0.4385,170,0.4894,,
235,McNeese St,16-Nov,0.4383,258,0.4485,,
236,Troy,15-Oct,0.4381,250,0.4508,,
237,Northern Iowa,20-Jul,0.4369,153,0.4961,,
238,Baylor,19-Aug,0.4362,178,0.4828,,
239,Indiana St,19-Jun,0.4357,139,0.5009,,
240,UNC Asheville,16-Aug,0.4341,207,0.4677,,
,,,,,,,
,,,,,,,
241,Eastern Kentucky,19-Sep,0.4338,201,0.4713,,
242,Lamar,16-Sep,0.4336,234,0.4581,,
243,UCF,16-Oct,0.4332,254,0.4494,,
244,Fordham,17-Sep,0.4332,216,0.4622,,
245,Georgia St,17-Oct,0.4323,244,0.453,,
246,Middle Tenn St,15-Aug,0.4316,229,0.4595,,
247,Southern Utah,13-11,0.4313,300,0.3945,,
248,South Carolina St,13-12,0.4304,298,0.4006,,
249,William & Mary,19-Aug,0.4287,195,0.4728,,
250,Lehigh,16-Oct,0.4286,267,0.4432,,
,,,,,,,
,,,,,,,
251,Bethune-Cookman,15-Oct,0.4284,275,0.4378,,
252,UL Lafayette,22-May,0.4279,121,0.5088,,
253,Chicago St,20-Jun,0.4264,165,0.4917,,
254,Iona,17-Oct,0.4264,262,0.4451,,
255,Long Island,17-Oct,0.4257,265,0.4441,,
256,TX-Arlington,17-Sep,0.4253,248,0.4517,,
257,Cleveland St,17-Aug,0.4222,237,0.4562,,
258,Florida Atlantic,18-Jul,0.4209,206,0.4678,,
259,San Jose St,23-Mar,0.4206,101,0.5223,,
260,Oral Roberts,17-Jul,0.4197,215,0.4624,,
,,,,,,,
,,,,,,,
261,Alabama St,14-Aug,0.4192,277,0.4377,,
262,George Mason,20-Jun,0.419,180,0.4817,,
263,Siena,19-Aug,0.4182,232,0.4589,,
264,Army,16-Nov,0.4146,295,0.417,,
265,MD-Eastern Shore,14-Oct,0.4146,297,0.4139,,
266,Central Connecticut,18-Aug,0.4142,251,0.4497,,
267,The Citadel,16-Aug,0.4136,271,0.4404,,
268,VMI,17-Jul,0.4126,245,0.4528,,
269,Campbell,18-Jun,0.4124,208,0.4665,,
270,Arkansas St,20-Jun,0.4122,196,0.4727,,
,,,,,,,
,,,,,,,
271,Coastal Carolina,20-Apr,0.4118,156,0.4935,,
272,Niagara,25-Apr,0.4116,136,0.5028,,
273,UMKC,19-Jul,0.4107,235,0.4579,,
274,Appalachian St,20-Jul,0.409,231,0.4589,,
275,Tennessee-Martin,20-Jun,0.4072,209,0.466,,
276,Winthrop,20-Jun,0.4069,210,0.4657,,
277,Furman,17-Jul,0.4038,269,0.4412,,
278,Eastern Washington,19-Apr,0.4025,182,0.4787,,
279,Cornell,17-Aug,0.4021,284,0.4294,,
280,CS Northridge,19-Jul,0.401,263,0.445,,
,,,,,,,
,,,,,,,
281,St. Francis-NY,18-Sep,0.3996,290,0.4216,,
282,Howard,18-Sep,0.3968,293,0.4179,,
283,Loyola (Chicago),22-Apr,0.3947,191,0.475,,
284,Yale,17-Aug,0.3941,292,0.4188,,
285,Central Michigan,23-Jan,0.3927,120,0.5097,,
286,Sam Houston,19-May,0.3917,246,0.4528,,
287,Southern U,13-Sep,0.3908,302,0.3847,,
288,Harvard,20-May,0.3872,253,0.4496,,
289,Georgia So,20-Apr,0.3867,227,0.4601,,
290,Grambling,17-Jul,0.3836,296,0.4143,,
,,,,,,,
,,,,,,,
291,Robert Morris,23-Apr,0.3798,236,0.457,,
292,Wis-Milwaukee,23-Mar,0.3744,223,0.4608,,
293,Sacramento St,21-Jun,0.3703,291,0.4197,,
294,Morgan St,22-May,0.37,283,0.4316,,
295,Alcorn St,19-Apr,0.3692,282,0.4343,,
296,NE Illinois,22-Mar,0.365,260,0.4467,,
297,Lafayette,25-Jan,0.3551,225,0.4606,,
298,Columbia,22-Mar,0.3499,287,0.4266,,
299,Delaware St,21-Jun,0.3494,301,0.3917,,
300,Florida A&M,22-Feb,0.3492,276,0.4378,,
,,,,,,,
,,,,,,,
301,Prairie View A&M,21-Mar,0.3487,289,0.4232,,
302,Cal Poly,0-26,0.3401,242,0.4535,,
"© 1994-2007 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
