2015-2016 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Tue Jul 5 2016, 8:29 AM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
1,Kansas,29-4,0.6765,25,2.8,0.8993,0.6182 (3),0.5702,1,0.6022,15,18,,
2,Oregon,27-6,0.6625,22.6,4,0.8496,0.6226 (1),0.5552,3,0.6001,,,,
3,Virginia,26-7,0.6571,22,4.6,0.8271,0.6202 (2),0.5612,2,0.6005,,,,
4,Villanova,29-5,0.6526,27,4.6,0.8544,0.6009 (13),0.5542,14,0.5854,6,6,,
5,North Carolina,28-6,0.6449,24.4,4.4,0.8472,0.5848 (27),0.5626,20,0.5774,,,,
6,Oklahoma,25-7,0.6417,22.2,5.4,0.8043,0.5985 (15),0.5652,12,0.5874,,,,
7,Xavier,27-5,0.6392,24.2,4.2,0.8521,0.5745 (37),0.5555,30,0.5682,,,,
8,Utah,25-8,0.6366,21,6.4,0.7664,0.6089 (6),0.5619,7,0.5933,,,,
9,Miami (FL),25-7,0.6362,21.4,5.4,0.7985,0.5932 (18),0.5601,16,0.5822,,,,
10,West Virginia,26-8,0.631,23.6,7.2,0.7662,0.5951 (17),0.5675,13,0.5859,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Kentucky,26-8,0.6309,20.8,5.2,0.8,0.5857 (25),0.5522,25,0.5745,13,12,,
12,Michigan St,29-5,0.6308,26.2,4.6,0.8506,0.5624 (56),0.5479,48,0.5575,4,4,,
13,SMU,25-5,0.6223,21.4,3.8,0.8492,0.5567 (67),0.5265,71,0.5466,,,,
14,Maryland,24-8,0.6172,19.6,6,0.7656,0.5810 (29),0.5411,32,0.5677,,,,
15,Purdue,26-8,0.6161,21.2,6.4,0.7681,0.5793 (34),0.5376,37,0.5654,,,,
16,California,23-10,0.6157,17.4,7.2,0.7073,0.5978 (16),0.56,15,0.5852,,,,
17,Louisville,23-8,0.6138,17.4,5.6,0.7565,0.5773 (35),0.5441,36,0.5662,18,14,,
