2007-2008 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Tue Mar 18 2008, 12:41 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
43,Baylor,20-10,0.5784,18,10,0.6429,0.5657 (49),0.5396,49,0.557,,,,
44,Saint Joseph's,21-12,0.5779,21.4,11.6,0.6485,0.5641 (51),0.5349,53,0.5544,,,,
45,Purdue,24-8,0.5774,20,6.4,0.7576,0.5055 (148),0.5409,114,0.5173,17,16,,
46,Creighton,20-10,0.5754,16.4,8,0.6721,0.5486 (68),0.5322,66,0.5432,,,,
47,Temple,21-12,0.575,19.8,11.6,0.6306,0.5683 (46),0.5328,51,0.5565,,,,
48,Mississippi,21-10,0.5749,16.2,8,0.6694,0.5475 (72),0.535,65,0.5433,,,,
49,Ohio State,19-13,0.5732,15,11,0.5769,0.5895 (15),0.5371,18,0.572,,,,
50,Kansas St,19-11,0.5728,14.6,9.8,0.5984,0.5799 (29),0.533,34,0.5643,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
51,Villanova,20-12,0.5725,16.8,10.4,0.6176,0.5624 (54),0.5475,47,0.5575,,,,
52,Virginia Tech,19-13,0.5714,15.8,10.6,0.5985,0.5723 (38),0.5425,39,0.5624,,,,
53,Oral Roberts,23-8,0.5712,21.8,6,0.7842,0.5056 (147),0.4894,157,0.5002,,,,
54,VCU,24-7,0.5708,22.8,6.2,0.7862,0.4982 (164),0.5007,161,0.499,,,,
55,Syracuse,19-13,0.5702,15,12.6,0.5435,0.5955 (9),0.5464,10,0.5791,,,,
56,UAB,22-10,0.5692,19.2,8.4,0.6957,0.5348 (90),0.5116,95,0.5271,,,,
57,Kentucky,18-12,0.5674,14,11.2,0.5556,0.5875 (17),0.539,19,0.5713,,,,
58,Oregon,18-13,0.5663,14.8,11,0.5736,0.5757 (34),0.5403,37,0.5639,,,,
59,New Mexico,24-8,0.565,20.8,6.8,0.7536,0.4937 (174),0.5192,155,0.5022,,,,
60,Florida St,19-14,0.5647,15.4,13.2,0.5385,0.5910 (13),0.5383,15,0.5735,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61,George Mason,23-10,0.5642,19.8,7.6,0.7226,0.5151 (122),0.5041,126,0.5114,,,,
62,Southern Illinois,17-14,0.5639,13.4,11.6,0.536,0.5937 (10),0.5319,16,0.5731,,,,
63,Cleveland St,19-12,0.5599,17.4,10,0.635,0.5451 (76),0.5141,85,0.5348,,,,
64,Stephen F. Austin,22-5,0.5583,22.4,4.2,0.8421,0.4509 (274),0.4893,263,0.4637,,,,
65,Cornell,21-5,0.5583,20.6,3.8,0.8443,0.4568 (262),0.4752,265,0.463,,,,
66,Siena,22-10,0.5571,20,9.2,0.6849,0.5290 (103),0.4854,120,0.5145,,,,
67,Georgia Tech,15-17,0.5566,15,16.6,0.4747,0.6032 (7),0.5452,7,0.5838,,,,
68,Charlotte,20-13,0.555,16.4,11.4,0.5899,0.5492 (67),0.5319,64,0.5434,,,,
69,IUPUI,23-7,0.5545,20.6,5,0.8047,0.4658 (244),0.4818,238,0.4711,,,,
70,Utah St,23-10,0.5545,18.6,6.8,0.7323,0.5007 (156),0.4844,168,0.4952,,,,
