1997-1998 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
110,St. Bonaventure,17-14,0.5237,108,0.5155,,
,,,,,,,
,,,,,,,
111,Texas,14-17,0.5232,56,0.5471,,
112,Indiana St,16-11,0.5223,138,0.4989,,
113,Miami-Ohio,16-12,0.522,125,0.5055,,
114,Colorado,14-Dec,0.5218,68,0.5419,,
115,Pepperdine,17-10,0.521,176,0.4847,,
116,SW Missouri St,16-16,0.5203,90,0.5271,,
117,Georgetown,13-14,0.5198,79,0.5326,,
118,Mississippi St,14-15,0.5193,82,0.5315,,
119,Boston College,14-16,0.5186,74,0.5359,,
120,South Florida,17-13,0.5182,130,0.502,,
,,,,,,,
,,,,,,,
121,Siena,17-12,0.518,147,0.4953,,
122,Penn State,15-12,0.5177,126,0.5051,,
123,Wichita St,16-15,0.5176,105,0.5181,,
124,Pennsylvania,17-12,0.5159,154,0.4925,,
125,Cleveland St,15-Dec,0.5158,70,0.5396,,
126,Niagara,14-13,0.5146,112,0.5132,,
127,California,15-Nov,0.5143,64,0.5447,,
128,Iowa State,18-Oct,0.5134,31,0.5655,,
129,Pittsburgh,16-Nov,0.5131,53,0.5484,,
130,Northern Ariz,18-6,0.5125,281,0.4333,,
,,,,,,,
,,,,,,,
131,Nevada,15-12,0.5124,143,0.498,,
132,LA-Lafayette,17-13,0.5121,150,0.494,,
133,UNC Asheville,16-9,0.5114,209,0.4685,,
134,St. Joseph's,17-Nov,0.5094,54,0.5482,,
135,Akron,16-10,0.5091,197,0.4737,,
136,Canisius,13-14,0.5084,107,0.5174,,
137,Middle Tenn St,15-9,0.5079,207,0.4689,,
138,Bradley,14-14,0.5076,115,0.5101,,
139,Youngstown St,18-9,0.5052,247,0.4513,,
140,Hofstra,16-12,0.5033,187,0.4806,,
,,,,,,,
,,,,,,,
141,Virginia Tech,17-Oct,0.5025,58,0.5465,,
142,Idaho,13-12,0.502,145,0.4961,,
143,Lafayette,17-9,0.5015,250,0.4507,,
144,Nicholls St,18-9,0.5012,261,0.446,,
145,Duquesne,19-Nov,0.5002,63,0.5447,,
146,Toledo,14-12,0.4999,172,0.4871,,
147,Montana St,15-10,0.4994,216,0.4659,,
148,Oral Roberts,16-12,0.499,195,0.4748,,
149,New Mexico St,14-12,0.4986,175,0.4854,,
150,UTEP,14-Oct,0.4986,93,0.5259,,
,,,,,,,
,,,,,,,
151,Eastern Ill,14-11,0.4974,193,0.4765,,
152,Weber St,12-Dec,0.4946,153,0.4928,,
153,New Orleans,15-12,0.4932,199,0.4724,,
154,SW Texas St,16-11,0.4932,224,0.46,,
155,Hartford,14-12,0.4928,190,0.4775,,
156,Southern Ill,13-16,0.4927,121,0.5075,,
157,Drexel,13-15,0.4925,131,0.5019,,
158,Ark-Little Rock,14-13,0.4914,185,0.4823,,
159,Austin Peay,15-11,0.4913,218,0.4627,,
160,San Diego St,15-Dec,0.4912,123,0.5068,,
,,,,,,,
,,,,,,,
161,LSU,18-Aug,0.4898,50,0.5505,,
162,Loyola-Chicago,14-Dec,0.489,140,0.4982,,
163,Boise St,15-13,0.4889,198,0.4733,,
164,Manhattan,17-Dec,0.4879,114,0.5127,,
165,Eastern Wash,14-10,0.4873,234,0.4553,,
166,San Diego,14-Dec,0.4871,146,0.4956,,
167,BYU,21-Sep,0.4868,52,0.5491,,
168,Central Florida,15-11,0.4855,236,0.455,,
169,Loyola-Maryland,16-Dec,0.4831,133,0.5013,,
170,St. Francis-PA,16-10,0.4831,273,0.439,,
,,,,,,,
,,,,,,,
171,Navy,16-10,0.4814,276,0.4367,,
172,Old Dominion,16-Dec,0.4812,139,0.4987,,
173,Fairfield,15-Dec,0.4808,152,0.4929,,
174,Wright St,18-Sep,0.48,88,0.5289,,
175,La Tech,15-Dec,0.4799,155,0.4917,,
176,La Salle,18-Sep,0.4798,89,0.5286,,
177,Vermont,15-11,0.4797,257,0.4473,,
178,Lamar,15-14,0.4797,212,0.4672,,
179,Southern Cal,19-Sep,0.4795,81,0.5322,,
180,Western Ill,14-11,0.479,243,0.452,,
,,,,,,,
,,,,,,,
181,Radford,16-7,0.4783,302,0.4058,,
182,Ohio State,22-Aug,0.4773,55,0.5475,,
183,Oregon St,17-Sep,0.4772,101,0.5208,,
184,Washington St,19-Jul,0.4758,66,0.5446,,
185,LA-Monroe,16-Dec,0.4757,156,0.4915,,
186,St. Francis-NY,14-12,0.4755,237,0.4546,,
187,Portland,13-Oct,0.4755,165,0.4891,,
188,Northeastern,14-14,0.4754,213,0.4671,,
189,Evansville,14-15,0.4743,204,0.4714,,
190,Northwestern,17-Oct,0.4717,124,0.5055,,
,,,,,,,
,,,,,,,
191,Montana,13-Dec,0.4699,214,0.4666,,
192,DePaul,23-Jun,0.4696,42,0.5571,,
193,Buffalo,13-13,0.4685,228,0.458,,
194,St. Mary's,15-Oct,0.468,159,0.4907,,
195,Georgia St,14-12,0.4658,269,0.4416,,
196,Tennessee St,16-Nov,0.4653,177,0.4847,,
197,James Madison,16-Nov,0.4645,181,0.4836,,
198,SE Missouri St,13-Nov,0.4635,217,0.4652,,
199,Mt St. Mary's,13-15,0.4618,220,0.461,,
200,Rice,22-May,0.4615,47,0.5536,,
,,,,,,,
,,,,,,,
201,Marist,17-Nov,0.4603,184,0.4828,,
202,Air Force,16-May,0.4601,76,0.5341,,
203,Fullerton St,16-Nov,0.46,189,0.4775,,
204,Bowling Green,16-Sep,0.4599,151,0.4933,,
205,Western Ky,19-Oct,0.4597,142,0.498,,
206,Kent,16-Nov,0.4595,192,0.4768,,
207,George Mason,18-Sep,0.4593,134,0.5013,,
208,Chattanooga,14-Oct,0.4582,202,0.4721,,
209,Harvard,13-Dec,0.4581,249,0.4508,,
210,Eastern Ky,16-Sep,0.4572,163,0.4896,,
,,,,,,,
,,,,,,,
211,Marshall,16-Sep,0.4568,166,0.489,,
212,American,19-Aug,0.4563,117,0.5096,,
213,Hampton,14-12,0.4556,288,0.428,,
214,Texas Southern,13-16,0.4537,233,0.4555,,
