2017-2018 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Thu Nov 8 2018, 9:56 AM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
215,Western Carolina,19-Nov,0.4739,10.2,16.2,0.3864,0.5092 (137),0.491,142,0.5031,,,,
216,California,23-Aug,0.4726,7.2,24.6,0.2264,0.5648 (56),0.5342,58,0.5546,,,,
217,Pittsburgh,24-Aug,0.472,5.2,24.4,0.1757,0.5883 (24),0.5358,31,0.5708,,,,
218,North Florida,19-Nov,0.472,9.8,13.4,0.4224,0.4935 (169),0.4786,194,0.4885,,,,
219,UL Monroe,13-15,0.4719,10.6,12.6,0.4569,0.4792 (205),0.4722,223,0.4769,,,,
220,CS Bakersfield,18-Sep,0.4716,7.4,14.8,0.3333,0.5306 (102),0.492,115,0.5178,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
221,North Dakota,20-Oct,0.4712,8.8,17.2,0.3385,0.5363 (91),0.4738,123,0.5155,,,,
222,Texas Southern,15-19,0.4691,13.8,13,0.5149,0.4507 (279),0.4602,293,0.4539,,,,
223,Central Arkansas,16-16,0.469,15.6,13.2,0.5417,0.4327 (319),0.469,316,0.4448,,,,
224,Denver,13-15,0.4685,11,13,0.4583,0.4635 (243),0.4886,231,0.4718,,,,
225,Mt St. Mary's,16-14,0.4684,14.8,10.8,0.5781,0.4149 (336),0.4657,333,0.4318,,,,
226,Princeton,16-Dec,0.468,11.6,14.4,0.4462,0.4701 (229),0.4856,224,0.4753,,,,
227,Akron,13-18,0.4678,9.4,15.6,0.376,0.4961 (164),0.5032,153,0.4985,,,,
228,Manhattan,14-17,0.4678,12.8,15,0.4604,0.4603 (256),0.49,240,0.4702,,,,
229,UT Rio Grande Valley,13-17,0.4672,12.6,16.2,0.4375,0.4715 (225),0.4883,222,0.4771,,,,
230,Lamar,15-13,0.4663,15.4,12.2,0.558,0.4271 (323),0.4531,325,0.4358,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
231,UW Milwaukee,15-16,0.4658,14.2,14.8,0.4897,0.4508 (278),0.4718,280,0.4578,,,,
232,Long Island,17-16,0.4652,14.6,13.2,0.5252,0.4398 (305),0.4558,315,0.4452,,,,
233,Delaware,19-Dec,0.4637,11.2,18.2,0.381,0.4859 (197),0.5023,182,0.4913,,,,
234,Colorado St,21-Oct,0.4633,8.4,20.2,0.2937,0.5194 (120),0.5205,113,0.5198,,,,
235,North Texas,13-17,0.4629,11.8,15.4,0.4338,0.4660 (238),0.4855,228,0.4725,,,,
236,UIC,15-15,0.4625,14.6,15,0.4932,0.4418 (300),0.4732,302,0.4523,,,,
237,Hampton,16-15,0.4621,14.8,12.2,0.5481,0.4226 (328),0.455,330,0.4334,,,,
238,North Carolina A&T,18-14,0.4612,16,9.2,0.6349,0.3835 (346),0.4431,346,0.4033,,,,
239,New Orleans,16-Dec,0.4607,11.6,12.4,0.4833,0.4489 (284),0.4615,299,0.4531,,,,
240,Massachusetts,13-20,0.4606,9,18,0.3333,0.4963 (161),0.5164,144,0.503,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
241,Northern Illinois,19-Nov,0.4599,7.8,15.4,0.3362,0.5013 (153),0.5009,149,0.5012,,,,
242,Drexel,20-Dec,0.4597,9.6,17.2,0.3582,0.4907 (180),0.499,175,0.4935,,,,
243,Texas St,13-18,0.4592,13.4,17.2,0.4379,0.4645 (242),0.4698,254,0.4663,,,,
244,Gardner Webb,18-Nov,0.4591,9,13.6,0.3982,0.4825 (200),0.4733,215,0.4794,,,,
245,UNC Wilmington,21-Sep,0.4579,7.4,18.6,0.2846,0.5245 (113),0.4978,121,0.5156,,,,
246,Coastal Carolina,18-Nov,0.4568,11.4,18.8,0.3775,0.4862 (194),0.4774,200,0.4833,,,,
247,Prairie View A&M,15-18,0.4564,13.8,12.8,0.5188,0.4315 (320),0.4437,326,0.4356,,,,
248,Cornell,16-Nov,0.4563,9.8,13.2,0.4261,0.4630 (244),0.4731,253,0.4664,,,,
249,Grambling St,16-14,0.456,18.4,11.6,0.6133,0.3887 (343),0.4334,345,0.4036,,,,
250,Appalachian St,13-18,0.4556,11.8,15.2,0.437,0.4471 (292),0.491,268,0.4617,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
251,St. Peter's,14-18,0.455,12,14.8,0.4478,0.4429 (297),0.4865,282,0.4574,,,,
252,Southern Utah,19-Nov,0.4548,9,15.8,0.3629,0.4876 (191),0.4809,197,0.4854,,,,
253,Air Force,19-Oct,0.4543,8.4,17.4,0.3256,0.4933 (171),0.5048,157,0.4971,,,,
254,Fairleigh Dickinson,18-Nov,0.4527,10.6,14.8,0.4173,0.4649 (241),0.4637,260,0.4645,,,,
255,Oral Roberts,20-Aug,0.4526,7.2,16.4,0.3051,0.5068 (141),0.4918,148,0.5018,,,,
256,UMKC,21-Aug,0.4523,7.6,19.4,0.2815,0.5208 (119),0.4861,131,0.5092,,,,
257,SE Missouri St,17-Dec,0.4519,12.4,16.2,0.4336,0.4473 (291),0.4792,279,0.458,,,,
258,Loyola Marymount,20-Oct,0.4512,8.8,18,0.3284,0.4883 (187),0.4999,178,0.4922,,,,
259,Duquesne,16-16,0.4511,11.6,15.6,0.4265,0.4378 (312),0.5024,274,0.4593,,,,
260,Abilene Christian,15-Dec,0.4485,12.4,14.2,0.4662,0.4384 (307),0.4511,318,0.4426,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
261,Charleston Southern,16-Dec,0.4479,12,14.4,0.4545,0.4331 (318),0.4709,314,0.4457,,,,
262,Eastern Illinois,19-Oct,0.4478,9.6,16.6,0.3664,0.4719 (223),0.4807,225,0.4749,,,,
263,Central Connecticut,14-18,0.4457,13.2,14,0.4853,0.4169 (333),0.4639,332,0.4326,,,,
264,Holy Cross,19-Dec,0.4453,12,17.8,0.4027,0.4585 (263),0.4615,273,0.4595,,,,
265,Santa Clara,19-Oct,0.4441,10,21.4,0.3185,0.4781 (207),0.502,196,0.486,,,,
266,Norfolk St,13-17,0.4437,12.2,14.2,0.4621,0.4332 (317),0.4462,323,0.4375,,,,
267,Campbell,13-15,0.4432,11,12.6,0.4661,0.4193 (331),0.4678,327,0.4355,,,,
268,Idaho St,16-Dec,0.4416,11.2,14,0.4444,0.4159 (334),0.4902,319,0.4407,,,,
269,NJIT,16-Dec,0.4416,10.4,15.2,0.4063,0.4436 (295),0.4731,296,0.4534,,,,
270,South Alabama,18-Dec,0.4414,8.8,14.4,0.3793,0.4546 (271),0.4772,267,0.4621,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
271,Eastern Kentucky,20-Sep,0.4403,9.4,18.4,0.3381,0.4711 (226),0.4809,226,0.4744,,,,
272,James Madison,22-Sep,0.4394,7.8,20.4,0.2766,0.4927 (174),0.4956,173,0.4937,,,,
273,High Point,16-Nov,0.4382,9,13.2,0.4054,0.4357 (315),0.4759,309,0.4491,,,,
274,East Carolina,20-Oct,0.4379,7.6,21.2,0.2639,0.4882 (188),0.5114,163,0.496,,,,
275,Florida Atlantic,19-Sep,0.437,9,18.2,0.3309,0.4672 (235),0.4825,229,0.4723,,,,
276,St. Francis (NY),18-Nov,0.4366,9,14,0.3913,0.4531 (274),0.4489,304,0.4517,,,,
277,Quinnipiac,21-Dec,0.436,11.2,18.6,0.3758,0.4433 (296),0.4815,290,0.456,,,,
278,South Florida,22-Oct,0.4358,8.4,22.4,0.2727,0.4817 (201),0.5071,186,0.4902,,,,
279,NCCU,16-15,0.4355,13.6,10.6,0.562,0.3726 (350),0.4347,350,0.3933,,,,
280,Army,17-Dec,0.4345,11.6,14.2,0.4496,0.4125 (339),0.4633,336,0.4294,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
281,The Citadel,21-Aug,0.434,7.6,19.4,0.2815,0.4864 (192),0.4818,198,0.4849,,,,
282,Jacksonville,18-Nov,0.4337,9.8,15.6,0.3858,0.4427 (298),0.4635,308,0.4496,,,,
283,Cleveland St,23-Nov,0.4334,9.4,19.8,0.3219,0.4696 (231),0.4726,234,0.4706,,,,
284,Montana St,19-Nov,0.4333,9.8,16.6,0.3712,0.4390 (306),0.4841,291,0.454,,,,
285,Neb-Omaha,22-Jul,0.4331,5,17.6,0.2212,0.5102 (136),0.4907,139,0.5037,,,,
286,Portland,22-Jul,0.4323,6.2,22,0.2199,0.4997 (155),0.5099,141,0.5031,,,,
287,SIU-E,21-Sep,0.4312,9.4,20.2,0.3176,0.4628 (247),0.4816,245,0.469,,,,
288,Bethune Cookman,16-14,0.4307,16,11.2,0.5882,0.3442 (351),0.446,351,0.3782,,,,
289,UMass-Lowell,18-Nov,0.4286,9,16.4,0.3543,0.4482 (287),0.4637,297,0.4534,,,,
290,Fordham,22-Sep,0.4286,6.2,21.6,0.223,0.4905 (183),0.5103,158,0.4971,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
291,Arkansas St,21-Sep,0.4284,8.6,18.6,0.3162,0.4592 (261),0.479,257,0.4658,,,,
292,Morehead St,21-Jun,0.4277,4.4,17.4,0.2018,0.5143 (129),0.4806,143,0.5031,,,,
293,UTEP,20-Oct,0.4276,7.6,20,0.2754,0.4740 (218),0.4871,218,0.4783,,,,
294,IUPUI,19-Sep,0.4264,7,15,0.3182,0.4567 (266),0.4741,266,0.4625,,,,
295,Florida Intl,18-Nov,0.4259,9,17.2,0.3435,0.4381 (310),0.4838,298,0.4534,,,,
296,Samford,22-Aug,0.4257,6.4,18.4,0.2581,0.4783 (206),0.4882,205,0.4816,,,,
297,McNeese St,17-Aug,0.4253,8,14.2,0.3604,0.4412 (302),0.4583,312,0.4469,,,,
298,Brown,16-Oct,0.4252,8.4,13.6,0.3818,0.4232 (327),0.4728,321,0.4397,,,,
299,Siena,24-Aug,0.4222,5.6,21.6,0.2059,0.5012 (154),0.4806,171,0.4943,,,,
300,UC Riverside,22-Jul,0.4214,6.6,20,0.2481,0.4752 (214),0.4869,217,0.4791,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
301,Kennesaw St,20-Aug,0.4196,6.4,16.8,0.2759,0.4656 (240),0.4714,247,0.4675,,,,
302,Western Illinois,16-Aug,0.4177,5.6,14,0.2857,0.4490 (283),0.4871,269,0.4617,,,,
303,UW Green Bay,20-Oct,0.4172,8,17.2,0.3175,0.4376 (313),0.476,307,0.4504,,,,
304,Chattanooga,23-Aug,0.4163,6,20.6,0.2256,0.4801 (202),0.4795,212,0.4799,,,,
305,Cal Poly,22-Jul,0.4155,5.4,19.2,0.2195,0.4800 (203),0.4824,208,0.4808,,,,
306,UT Martin,21-Aug,0.4155,8.8,19.8,0.3077,0.4381 (311),0.478,305,0.4514,,,,
307,UA Pine Bluff,14-21,0.4149,13.6,17,0.4444,0.3857 (345),0.4438,343,0.4051,,,,
308,Little Rock,24-Jun,0.4145,5.2,22,0.1912,0.4979 (160),0.4713,191,0.489,,,,
309,Sacramento St,25-May,0.414,3.8,22.6,0.1439,0.5191 (121),0.4739,138,0.504,,,,
310,Northern Arizona,26-Apr,0.4129,4.8,24,0.1667,0.5026 (150),0.4799,166,0.495,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
311,Lafayette,21-Sep,0.4129,7,17.8,0.2823,0.4566 (267),0.4563,288,0.4565,,,,
312,New Hampshire,21-Aug,0.4125,6.4,19,0.252,0.4614 (252),0.4753,256,0.4661,,,,
313,VMI,21-Jul,0.4123,6.6,19.4,0.2538,0.4557 (270),0.4841,259,0.4652,,,,
314,San Jose St,26-Mar,0.4118,2.6,24.8,0.0949,0.5218 (117),0.5089,116,0.5175,,,,
315,Southern U,13-18,0.4111,11,13.6,0.4472,0.3777 (347),0.4419,348,0.3991,,,,
316,Columbia,19-Jul,0.4105,5,15.4,0.2451,0.4613 (253),0.4741,258,0.4656,,,,
317,Pepperdine,26-May,0.4095,3.4,24.8,0.1206,0.5080 (139),0.5017,135,0.5059,,,,
318,Detroit,24-Jun,0.4085,5.6,23.6,0.1918,0.4837 (199),0.4747,209,0.4807,,,,
319,Presbyterian,21-Aug,0.4073,6.8,18.6,0.2677,0.4475 (290),0.4664,294,0.4538,,,,
320,Binghamton,20-Sep,0.4063,8.2,18,0.313,0.4259 (324),0.4603,324,0.4374,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
321,Sacred Heart,21-Sep,0.4035,9,20.2,0.3082,0.4205 (330),0.4648,328,0.4352,,,,
322,Loyola (Maryland),22-Aug,0.4034,5.6,18,0.2373,0.4588 (262),0.4588,276,0.4588,,,,
323,Charlotte,23-May,0.4022,4.6,22.6,0.1691,0.4738 (219),0.4919,214,0.4798,,,,
324,Marist,25-Jun,0.4019,5.2,24.6,0.1745,0.4795 (204),0.4743,220,0.4777,,,,
325,Stetson,20-Aug,0.4011,8.8,19.2,0.3143,0.4151 (335),0.4599,335,0.4301,,,,
326,Texas A&M CC,18-Aug,0.4009,8,16,0.3333,0.4031 (340),0.4643,338,0.4235,,,,
327,Morgan St,19-Nov,0.3999,9.8,13.8,0.4153,0.3740 (348),0.4365,349,0.3948,,,,
328,Rice,24-May,0.3997,4.6,23.2,0.1655,0.4737 (221),0.486,219,0.4778,,,,
329,Youngstown St,24-Jun,0.3995,5.2,21.2,0.197,0.4623 (249),0.4765,250,0.4671,,,,
330,Jackson St,20-Oct,0.394,8,14,0.3636,0.3861 (344),0.4401,344,0.4041,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
331,South Carolina St,22-Aug,0.3916,6.4,17.6,0.2667,0.4235 (326),0.4527,331,0.4333,,,,
332,Florida A&M,25-Aug,0.3903,6.8,18.6,0.2677,0.4243 (325),0.445,334,0.4312,,,,
333,Alabama St,23-Aug,0.3873,8,20.6,0.2797,0.4134 (338),0.4426,339,0.4231,,,,
334,Dartmouth,20-Jun,0.3863,4.4,16.8,0.2075,0.4358 (314),0.4658,313,0.4458,,,,
335,Chicago St,29-Jan,0.3862,0.6,24.6,0.0238,0.5074 (140),0.506,133,0.5069,,,,
336,American,24-Jun,0.3854,5.2,20.8,0.2,0.4408 (304),0.4601,310,0.4472,,,,
337,Longwood,26-Apr,0.3848,4,25.2,0.137,0.4707 (227),0.4608,248,0.4674,,,,
338,Maine,26-Apr,0.3846,4,22.8,0.1493,0.4592 (260),0.4707,264,0.463,,,,
339,Howard,23-Aug,0.3819,6.8,17.4,0.281,0.4005 (341),0.4458,341,0.4156,,,,
340,CS Northridge,24-Apr,0.3776,4,22.4,0.1515,0.4417 (301),0.4754,300,0.453,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
341,Bryant,28-Mar,0.3751,3.4,25.6,0.1172,0.4596 (257),0.4638,272,0.461,,,,
342,Northwestern St,23-Feb,0.3709,2.8,21.8,0.1138,0.4506 (280),0.4687,287,0.4566,,,,
343,Coppin St,27-May,0.3704,3.8,21.4,0.1508,0.4383 (308),0.4541,317,0.4436,,,,
344,SC Upstate,25-Mar,0.3666,2.2,21,0.0948,0.4502 (281),0.4713,284,0.4572,,,,
345,Houston Baptist,25-Mar,0.366,2.6,21.8,0.1066,0.4442 (294),0.4692,301,0.4525,,,,
346,UM Eastern Shore,25-May,0.3655,3.4,19.8,0.1466,0.4353 (316),0.4448,322,0.4385,,,,
347,Incarnate Word,21-Mar,0.3643,2.6,19.8,0.1161,0.4412 (303),0.4587,311,0.447,,,,
348,Alcorn St,21-Jul,0.3641,5.8,16.6,0.2589,0.3735 (349),0.4506,347,0.3992,,,,
349,Miss Valley St,28-Apr,0.3506,3.2,22,0.127,0.4176 (332),0.4401,337,0.4251,,,,
350,Alabama A&M,28-Mar,0.3328,2.6,24.4,0.0963,0.3926 (342),0.4495,342,0.4116,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
351,Delaware St,28-Feb,0.3288,1.2,24.4,0.0469,0.4143 (337),0.4398,340,0.4228,,,,
"© 1994-2011 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,,,
