1999-2000 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
43,Dayton,22-8,0.5736,108,0.5204,,
44,Ball State,21-8,0.5731,101,0.5227,,
45,Arkansas,19-14,0.5719,19,0.5706,,
46,BYU,19-10,0.5707,72,0.5425,,
47,Indiana St,22-9,0.5705,100,0.5241,,
48,Seton Hall,20-9,0.5693,93,0.5291,,
49,SMU,20-8,0.5692,106,0.5208,,
50,Utah,20-8,0.569,107,0.5206,,
,,,,,,,
,,,,,,,
51,UNLV,23-7,0.569,148,0.5031,,
52,Pepperdine,24-8,0.5681,137,0.5074,,
53,Southern Ill,19-12,0.5659,52,0.5502,,
54,Hofstra,24-6,0.5651,173,0.4868,,
55,Butler,23-7,0.5645,157,0.4971,,
56,Bowling Green,21-7,0.5641,150,0.5022,,
57,UNC Charlotte,17-15,0.563,14,0.5736,,
58,Wake Forest,17-14,0.562,22,0.5665,,
59,Creighton,23-9,0.5608,136,0.5081,,
60,Iowa,14-16,0.5599,2,0.591,,
,,,,,,,
,,,,,,,
61,SE Missouri St,22-6,0.5599,177,0.4846,,
62,Southern Miss,17-12,0.5598,48,0.551,,
63,Arizona St,17-12,0.5598,49,0.551,,
64,Notre Dame,18-14,0.5571,40,0.5553,,
65,New Mexico St,21-9,0.5566,135,0.5087,,
66,Louisiana,24-8,0.5544,169,0.4892,,
67,Marquette,15-13,0.5508,38,0.5558,,
68,Georgetown,17-14,0.549,53,0.5493,,
69,Mississippi,16-13,0.549,58,0.548,,
70,Long Beach,22-5,0.5487,248,0.46,,
,,,,,,,
,,,,,,,
71,California,16-14,0.5486,42,0.5537,,
72,Colorado,17-13,0.5485,74,0.5424,,
73,Ohio,20-13,0.5484,92,0.5292,,
74,Pennsylvania,21-7,0.5484,185,0.4812,,
75,Toledo,18-13,0.5481,78,0.5372,,
76,Virginia,19-11,0.5479,109,0.5195,,
77,Southern Cal,16-14,0.5474,43,0.5521,,
78,Northern Ariz,18-10,0.5469,117,0.5149,,
79,TCU,17-14,0.5468,66,0.5462,,
80,Tulane,20-10,0.5466,142,0.5066,,
,,,,,,,
,,,,,,,
81,North Carolina St,17-12,0.5466,86,0.5334,,
82,Penn State,15-15,0.5465,27,0.562,,
83,Siena,23-8,0.5462,186,0.4809,,
84,Murray St,22-9,0.5457,167,0.4911,,
85,New Mexico,16-13,0.5454,69,0.5433,,
86,Delaware,24-7,0.5447,226,0.4682,,
87,South Carolina,15-17,0.5444,20,0.5696,,
88,Xavier,20-11,0.5444,126,0.5108,,
89,Miami-Ohio,15-15,0.5441,33,0.5588,,
90,Michigan,15-13,0.5441,63,0.5469,,
,,,,,,,
,,,,,,,
91,Alabama,13-16,0.5404,18,0.5711,,
92,Richmond,18-12,0.5393,111,0.5191,,
93,Princeton,18-10,0.5393,145,0.5047,,
94,West Virginia,14-14,0.5387,46,0.5516,,
95,CS-Northridge,19-10,0.5383,154,0.4993,,
96,George Mason,19-11,0.5383,141,0.5066,,
97,Marshall,19-9,0.5372,168,0.4901,,
98,UAB,14-14,0.5367,55,0.5489,,
99,Iona,20-10,0.5366,164,0.4932,,
100,Coll of Charleston,20-6,0.535,256,0.4569,,
,,,,,,,
,,,,,,,
101,Wyoming,18-12,0.5349,121,0.5132,,
102,Central Conn,25-5,0.5346,295,0.435,,
103,Rutgers,15-15,0.5333,67,0.5443,,
104,Colorado St,17-12,0.5332,116,0.5156,,
105,Weber St,15-10,0.5324,131,0.5098,,
106,Santa Clara,18-12,0.5323,132,0.5098,,
107,Appalachian St,20-8,0.5307,224,0.4695,,
108,UMass,16-15,0.53,83,0.5347,,
109,San Diego,19-9,0.5298,187,0.4802,,
110,Bradley,14-16,0.5297,50,0.5507,,
,,,,,,,
,,,,,,,
111,Hawaii,17-12,0.529,129,0.5099,,
112,Sam Houston,20-7,0.5287,253,0.4581,,
113,St. Joseph's,13-16,0.5286,39,0.5554,,
114,Minnesota,16-Dec,0.5281,31,0.5612,,
115,Maine,23-7,0.5279,274,0.4483,,
116,James Madison,20-9,0.5275,208,0.4735,,
117,South Alabama,20-10,0.5262,190,0.4794,,
118,Montana,15-11,0.5259,134,0.5089,,
119,Lafayette,22-6,0.5254,290,0.4387,,
120,George Wash,15-15,0.5252,84,0.5336,,
,,,,,,,
,,,,,,,
121,Evansville,18-12,0.5248,153,0.4998,,
122,Memphis,14-16,0.5244,68,0.5436,,
123,Pittsburgh,13-15,0.5229,73,0.5424,,
124,UNC Wilmington,18-12,0.5225,158,0.4967,,
125,Akron,16-11,0.5224,155,0.499,,
126,La Tech,21-8,0.5221,262,0.4548,,
127,Mississippi St,14-16,0.5221,75,0.5405,,
128,South Florida,17-13,0.522,138,0.5072,,
129,Eastern Wash,13-10,0.5215,139,0.507,,
130,Baylor,13-15,0.5213,76,0.5404,,
,,,,,,,
,,,,,,,
131,Navy,21-6,0.5209,294,0.4352,,
132,Florida St,17-Dec,0.5208,36,0.5564,,
133,Detroit,18-12,0.5205,162,0.494,,
134,San Francisco,18-9,0.52,218,0.4712,,
135,Fordham,14-15,0.52,88,0.5324,,
136,Wis-Milwaukee,14-14,0.5183,99,0.5243,,
137,UTEP,13-15,0.5181,80,0.5361,,
138,Samford,20-9,0.5176,247,0.4602,,
139,Oregon St,16-Nov,0.5136,54,0.549,,
140,Virginia Tech,16-15,0.5134,123,0.5125,,
,,,,,,,
,,,,,,,
141,Eastern Mich,13-13,0.5118,115,0.5157,,
142,Kansas St,19-Sep,0.5091,17,0.5717,,
143,Winthrop,18-8,0.5076,278,0.446,,
144,Niagara,17-12,0.5063,189,0.4797,,
145,Northern Iowa,14-15,0.5058,119,0.5135,,
146,Boston College,19-Nov,0.5056,44,0.5519,,
147,Fairfield,14-15,0.5051,122,0.5125,,
148,Eastern Ill,15-12,0.5048,170,0.4878,,
149,Georgia Tech,13-17,0.5047,94,0.5285,,
150,Robert Morris,17-12,0.5043,195,0.4769,,
,,,,,,,
,,,,,,,
151,Texas Tech,16-Nov,0.5033,81,0.5352,,
152,Cleveland St,15-14,0.503,156,0.4983,,
153,Austin Peay,16-10,0.5018,237,0.464,,
154,Bucknell,16-11,0.5018,216,0.4716,,
155,Wis-Green Bay,14-16,0.5017,120,0.5134,,
156,Nebraska,19-Nov,0.5016,64,0.5466,,
157,UL-Monroe,17-9,0.501,272,0.45,,
158,Fairleigh Dickinson,16-11,0.4975,231,0.4658,,
159,San Jose St,15-Nov,0.4972,103,0.5219,,
160,Georgia St,17-12,0.4963,229,0.4663,,
,,,,,,,
,,,,,,,
161,Radford,17-10,0.4962,266,0.4517,,
162,Washington,20-Sep,0.4961,35,0.558,,
163,Florida Intl,15-14,0.4949,172,0.4874,,
164,Georgia,20-Oct,0.4947,56,0.5484,,
165,St. Francis-NY,17-12,0.493,242,0.4619,,
166,Quinnipiac,17-10,0.4927,277,0.4471,,
167,Tennessee Tech,14-12,0.4917,197,0.4761,,
168,Clemson,20-Oct,0.4907,70,0.5432,,
169,La Salle,17-Nov,0.4901,102,0.5226,,
170,Middle Tenn St,13-13,0.49,175,0.4867,,
,,,,,,,
,,,,,,,
171,Davidson,13-Dec,0.49,163,0.4933,,
172,Northern Ill,15-Dec,0.4888,146,0.5035,,
173,VCU,14-14,0.4883,178,0.4844,,
174,Georgia So,15-12,0.4866,238,0.4637,,
175,Providence,19-Oct,0.4853,89,0.5321,,
176,William & Mary,17-Oct,0.4838,105,0.5216,,
177,Vermont,16-12,0.483,263,0.4536,,
178,Rider,16-14,0.4821,233,0.4651,,
179,Lamar,15-15,0.4815,202,0.4753,,
180,TX-San Antonio,12-Dec,0.4807,206,0.4743,,
,,,,,,,
,,,,,,,
181,Troy St,16-11,0.4805,282,0.4432,,
182,Houston,22-Aug,0.4805,45,0.5518,,
183,Northwestern St,15-13,0.4802,244,0.4617,,
184,Wichita St,17-Nov,0.4799,133,0.5089,,
185,Arkansas St,18-Oct,0.4778,112,0.518,,
186,Boise St,15-Dec,0.4767,171,0.4875,,
187,Western Mich,18-Oct,0.4764,114,0.5162,,
188,Alcorn St,17-10,0.4751,306,0.4236,,
189,UNC Greensboro,14-13,0.4735,252,0.4585,,
190,Drake,18-Nov,0.4719,149,0.5027,,
,,,,,,,
,,,,,,,
191,Portland St,14-Dec,0.4717,204,0.4751,,
192,TX-Arlington,13-12,0.4716,260,0.4555,,
193,Marist,14-14,0.4713,243,0.4618,,
194,Texas A&M,20-Aug,0.4713,87,0.5331,,
195,Idaho,17-Oct,0.4712,144,0.5048,,
196,Drexel,13-17,0.4709,180,0.4834,,
197,UC Irvine,14-Dec,0.4685,219,0.4708,,
198,Loyola-Chicago,14-14,0.4673,257,0.4564,,
199,Jacksonville St,16-11,0.4664,305,0.4244,,
200,Coppin St,15-15,0.4663,261,0.4551,,
,,,,,,,
,,,,,,,
201,UC Santa Barbara,14-Dec,0.4661,227,0.4676,,
202,Western Ky,18-Nov,0.4655,161,0.4942,,
203,Hampton,17-12,0.4653,304,0.425,,
204,Alabama A&M,15-10,0.4631,313,0.4175,,
205,Bethune-Cookman,14-14,0.4631,269,0.4508,,
206,Central Florida,13-18,0.462,196,0.4762,,
207,Tenn-Martin,19-Aug,0.4614,113,0.5165,,
208,Monmouth,16-Dec,0.4612,214,0.4721,,
209,Illinois St,20-Sep,0.4609,125,0.5111,,
210,South Carolina St,20-13,0.4604,314,0.4118,,
,,,,,,,
,,,,,,,
211,Valparaiso,16-12,0.4601,307,0.423,,
212,Duquesne,20-Sep,0.46,130,0.5099,,
213,Southern Utah,14-13,0.4593,289,0.4395,,
214,East Tenn St,15-Dec,0.4586,240,0.4634,,
215,UNC Asheville,19-Oct,0.4575,160,0.495,,
216,Wofford,16-Dec,0.4572,228,0.4667,,
217,Oakland,17-Dec,0.4569,217,0.4713,,
218,UMKC,14-13,0.4567,293,0.4362,,
219,East Carolina,18-Sep,0.4555,159,0.4962,,
220,Jackson St,16-15,0.455,296,0.4346,,
,,,,,,,
,,,,,,,
221,Manhattan,15-Dec,0.4543,254,0.4576,,
222,Montana St,16-Jul,0.4536,147,0.5033,,
223,Air Force,20-Jun,0.453,96,0.5271,,
224,Canisius,20-Oct,0.4523,165,0.492,,
225,Wright St,17-Nov,0.4522,215,0.472,,
226,Washington St,22-Jun,0.4519,91,0.5311,,
227,Southern U,16-11,0.45,318,0.4025,,
228,Campbell,16-Dec,0.4498,255,0.4569,,
229,New Orleans,18-Nov,0.4498,209,0.4733,,
230,Western Car,14-Nov,0.4494,264,0.4525,,
,,,,,,,
,,,,,,,
231,American,18-Oct,0.4482,192,0.4786,,
232,Hartford,19-Oct,0.4481,182,0.4825,,
233,North Texas,20-Jul,0.4478,127,0.5107,,
234,Towson,17-Nov,0.4476,230,0.4658,,
235,Nevada,20-Aug,0.4475,151,0.5014,,
236,Old Dominion,19-Nov,0.447,207,0.4738,,
237,Illinois-Chi,20-Oct,0.447,176,0.4849,,
238,Columbia,14-Dec,0.447,284,0.4421,,
239,Rhode Island,25-May,0.4469,77,0.5404,,
240,Colgate,16-Nov,0.4466,249,0.4597,,
,,,,,,,
,,,,,,,
241,Elon,15-Oct,0.446,245,0.4614,,
242,Chattanooga,18-Sep,0.4459,181,0.4834,,
243,MD-Baltimore Co,18-Oct,0.4453,205,0.4746,,
244,Furman,18-Nov,0.443,236,0.4642,,
245,TX-Pan American,14-Sep,0.4417,251,0.4585,,
246,SW Texas St,17-Oct,0.4413,234,0.465,,
247,Pacific,18-Oct,0.4406,225,0.4684,,
248,Youngstown St,16-Nov,0.4405,267,0.4515,,
249,Nicholls St,17-Sep,0.4388,221,0.4697,,
250,Idaho St,19-Jun,0.4386,143,0.5049,,
,,,,,,,
,,,,,,,
251,Northwestern,25-May,0.438,95,0.5284,,
252,Coastal Carolina,18-Oct,0.4376,235,0.4644,,
253,Central Mich,23-May,0.4359,104,0.5217,,
254,Cal Poly,18-Jul,0.4351,174,0.4868,,
255,Mt St. Mary's,20-Sep,0.4346,199,0.476,,
256,Liberty,14-Oct,0.4346,286,0.4406,,
257,Buffalo,23-May,0.4342,110,0.5194,,
258,Oral Roberts,17-Dec,0.4333,288,0.4398,,
259,Alabama St,14-Oct,0.4328,291,0.4381,,
260,SE Louisiana,17-Aug,0.4322,222,0.4696,,
,,,,,,,
,,,,,,,
261,North Carolina A&T,14-14,0.4319,317,0.4092,,
262,Stony Brook,21-May,0.4316,124,0.5113,,
263,Sacramento St,18-Aug,0.4315,212,0.4728,,
264,San Diego St,23-Apr,0.4314,98,0.5259,,
265,St. Francis-PA,18-Oct,0.4309,259,0.4555,,
266,Portland,18-Jul,0.4294,191,0.4792,,
267,Wagner,16-Oct,0.4293,280,0.4442,,
268,Texas Southern,13-Dec,0.4272,316,0.4096,,
269,St. Mary's,20-Jul,0.4266,183,0.4824,,
270,Stetson,15-Dec,0.4261,311,0.42,,
,,,,,,,
,,,,,,,
271,Centenary,16-Jul,0.4235,241,0.4632,,
272,Harvard,15-Nov,0.4226,308,0.4224,,
273,Tennessee St,22-Jul,0.4189,193,0.4781,,
274,Boston U,22-Jul,0.4187,194,0.4778,,
275,Chicago St,18-Sep,0.4174,279,0.4454,,
276,MD-East Shore,17-Dec,0.4171,312,0.4182,,
277,Belmont,20-Apr,0.4171,152,0.5005,,
278,Mercer,21-Oct,0.4161,276,0.4473,,
279,High Point,17-Aug,0.4161,275,0.4481,,
280,Norfolk St,16-Dec,0.4156,315,0.4113,,
,,,,,,,
,,,,,,,
281,Holy Cross,18-Oct,0.413,299,0.4316,,
282,Rice,22-Mar,0.4128,128,0.5104,,
283,McNeese St,21-Jun,0.4126,198,0.476,,
284,Lehigh,21-Jun,0.4124,200,0.4758,,
285,Cornell,17-Sep,0.4123,298,0.4344,,
286,Long Island,19-Jul,0.4119,250,0.4595,,
287,Morehead St,18-Jun,0.4118,232,0.4657,,
288,Florida A&M,22-Sep,0.4101,271,0.45,,
289,Miss Valley St,21-Jul,0.4084,246,0.4611,,
290,Denver,22-Jun,0.4083,211,0.4729,,
,,,,,,,
,,,,,,,
291,St. Peter's,23-May,0.4062,184,0.482,,
292,Albany,17-Aug,0.4058,297,0.4344,,
293,Dartmouth,18-Aug,0.4047,292,0.4371,,
294,Fullerton St,18-Jul,0.4026,281,0.4434,,
295,Northeastern,21-Jul,0.4008,268,0.451,,
296,Loyola-Maryland,21-Jul,0.4003,270,0.4504,,
297,The Citadel,19-Jun,0.3975,273,0.45,,
298,Eastern Ky,21-Apr,0.3967,201,0.4756,,
299,Charleston So,20-Jun,0.3967,265,0.452,,
300,Western Ill,22-Jun,0.3957,258,0.4562,,
,,,,,,,
,,,,,,,
301,Yale,20-Jul,0.3955,285,0.4409,,
302,IUPUI,21-Jul,0.3944,283,0.4425,,
303,Ark-Little Rock,24-Apr,0.3922,203,0.4753,,
304,Brown,19-Aug,0.3901,309,0.4214,,
305,Stephen F. Austin,21-Apr,0.3875,239,0.4634,,
306,Jacksonville,19-Jul,0.3873,303,0.4267,,
307,Army,23-Mar,0.3834,213,0.4728,,
308,Sacred Heart,25-Mar,0.3815,210,0.473,,
309,VMI,23-Feb,0.38,188,0.4801,,
310,New Hampshire,25-Mar,0.3798,220,0.4707,,
,,,,,,,
,,,,,,,
311,Delaware St,22-Jun,0.3764,301,0.4305,,
312,Ark-Pine Bluff,20-May,0.3735,300,0.4314,,
313,Morgan St,24-May,0.373,287,0.4399,,
314,Florida Atl,28-Jan,0.3718,179,0.4842,,
315,Prairie View A&M,21-Jun,0.3711,310,0.4207,,
316,Loyola-Marymnt,0-26,0.3687,166,0.4915,,
317,Howard,27-Jan,0.3611,223,0.4696,,
318,Grambling,0-28,0.3217,302,0.429,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
