1999-2000 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,Cincinnati,28-3,0.6657,5,0.5865,7,6
2,Duke,27-4,0.6413,23,0.5648,1,1
3,Arizona,26-6,0.6378,8,0.5796,4,4
4,Kentucky,21-9,0.6378,1,0.617,19,20
5,St. John's,24-7,0.6354,4,0.5891,9,12
6,Iowa State,26-4,0.6322,41,0.554,6,7
7,Temple,26-5,0.6309,30,0.5616,5,5
8,Texas,23-8,0.6282,3,0.5903,15,18
9,Stanford,25-3,0.6246,82,0.5351,3,3
10,Oklahoma,26-6,0.622,34,0.5585,12,13
,,,,,,,
,,,,,,,
11,Tennessee,23-6,0.6199,26,0.5622,11,10
12,LSU,26-5,0.6194,65,0.5463,10,9
13,Michigan St,26-7,0.6183,28,0.5618,2,2
14,Syracuse,24-5,0.6173,61,0.5473,16,14
15,Maryland,24-9,0.6172,7,0.5806,17,16
16,UConn,24-9,0.6162,9,0.5791,20,21
17,Kansas,22-9,0.6117,11,0.579,,
18,Florida,24-7,0.6105,37,0.556,13,11
19,Oklahoma St,23-6,0.6087,62,0.5472,14,15
20,Indiana,20-8,0.6048,21,0.5683,22,17
,,,,,,,
,,,,,,,
21,Tulsa,29-4,0.5997,140,0.5067,18,19
22,Auburn,22-9,0.5987,29,0.5617,24,22
23,Illinois,21-9,0.5971,24,0.5628,21,23
24,Ohio State,22-6,0.5966,85,0.5335,8,8
25,Fresno St,24-9,0.5945,51,0.5503,,
26,Oregon,21-7,0.5945,71,0.5427,,
27,Utah St,24-5,0.5924,118,0.514,,
28,UCLA,19-11,0.5911,12,0.577,,
29,Louisville,18-11,0.5845,15,0.5724,,
30,DePaul,20-11,0.5833,25,0.5627,,
,,,,,,,
,,,,,,,
31,Purdue,20-9,0.583,59,0.5474,25,24
32,Wisconsin,18-13,0.5828,6,0.5835,,
33,St. Louis,19-13,0.5827,10,0.5791,,
34,SMS,22-10,0.5824,60,0.5474,,
35,Gonzaga,24-8,0.5823,97,0.5264,,
36,Kent,19-7,0.5811,90,0.5312,,
37,Miami-Florida,21-10,0.5805,57,0.5482,23,25
38,Missouri,18-12,0.5789,16,0.5719,,
39,Vanderbilt,19-10,0.5774,47,0.5515,,
40,St. Bonaventure,21-9,0.5773,79,0.5364,,
,,,,,,,
,,,,,,,
41,North Carolina,18-13,0.5769,13,0.5757,,
42,Villanova,19-12,0.5737,32,0.5606,,
