1995-1996 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
98,TCU,14-14,0.5292,69,0.539,,
99,Seton Hall,16-Dec,0.5289,36,0.5623,,
100,San Francisco,13-12,0.5282,78,0.531,,
,,,,,,,
,,,,,,,
101,Murray St,16-9,0.5271,162,0.4895,,
102,Western Mich,15-12,0.5264,108,0.5167,,
103,BYU,15-13,0.5262,88,0.523,,
104,Southern Miss,15-Nov,0.5251,42,0.5592,,
105,Ball State,16-12,0.525,127,0.5095,,
106,Miami-Florida,15-13,0.5231,97,0.5189,,
107,St. John's,16-Nov,0.5203,43,0.5579,,
108,DePaul,18-Nov,0.5189,29,0.5654,,
109,Rice,14-14,0.5169,90,0.5225,,
110,Toledo,15-14,0.5162,111,0.5159,,
,,,,,,,
,,,,,,,
111,Ohio,15-14,0.5157,113,0.5151,,
112,Montana,17-8,0.5154,227,0.4605,,
113,Pennsylvania,17-10,0.5146,195,0.4762,,
114,Southern Cal,19-Nov,0.5134,37,0.5623,,
115,Northern Ill,19-9,0.513,234,0.4578,,
116,UAB,14-14,0.5126,107,0.5168,,
117,Wright St,13-13,0.5122,109,0.5162,,
118,Evansville,13-14,0.5104,94,0.5201,,
119,Boston U,18-11,0.5101,199,0.4733,,
120,Austin Peay,17-10,0.5094,208,0.4693,,
,,,,,,,
,,,,,,,
121,LA-Lafayette,14-12,0.5089,142,0.499,,
122,LSU,17-Nov,0.508,59,0.5464,,
123,Western Ky,13-13,0.5077,122,0.5103,,
124,St. Peter's,15-12,0.5077,155,0.4918,,
125,Northern Iowa,14-13,0.5074,136,0.5037,,
126,Loyola-Marymnt,16-11,0.5068,187,0.4782,,
127,West Virginia,15-Dec,0.5065,82,0.5271,,
