Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Kentucky,SEC (East),,35,5,83.1,62.8,20.33,,9.26,,18.09,11.19,29.29,,,
2,Kansas,Big 12,,34,2,84.9,66.1,18.83,,7.94,,19.67,6.93,26.60,,,
3,Minnesota,Big Ten,,31,4,78.3,63.4,14.94,,9.20,,12.22,11.12,23.34,,,
4,Duke,ACC,,24,9,79.7,66.2,13.45,,9.06,,15.47,7.05,22.52,,,
5,Arizona,Pac-10,,25,9,83.8,73.3,10.56,,11.04,,17.62,4.04,21.66,,,
6,North Carolina,ACC,,28,7,77.4,66.7,10.71,,12.00,,14.08,7.15,21.23,,,
7,Wake Forest,ACC,,24,7,69.0,58.3,10.68,,10.27,,5.15,15.79,20.94,,,
8,Cincinnati,CUSA (Blue),,26,8,80.7,65.5,15.21,,5.51,,14.35,6.36,20.71,,,
9,Stanford,Pac-10,,22,8,80.9,69.0,11.87,,9.21,,12.79,7.10,19.89,,,
10,Utah,WAC (Mountain),,29,4,74.4,61.7,12.76,,5.46,,6.45,11.13,17.58,,,
11,Maryland,ACC,,21,11,75.2,66.8,8.44,,9.08,,11.32,6.19,17.52,,,
12,California,Pac-10,,23,9,75.1,67.8,7.22,,10.12,,7.89,9.45,17.34,,,
13,Clemson,ACC,,23,10,68.2,61.5,6.70,,10.53,,3.90,13.33,17.23,,,
14,Iowa,Big Ten,,22,10,72.3,63.7,8.63,,8.90,,7.86,8.97,16.84,,,
15,Michigan,Big Ten,,24,11,74.1,68.0,6.14,,10.53,,10.21,6.47,16.67,,,
16,UCLA,Pac-10,,24,8,79.9,73.8,6.19,,10.43,,13.20,3.42,16.62,,,
17,Villanova,Big East (Big East 6),,24,10,75.1,67.9,7.15,,9.44,,9.30,7.33,16.62,,,
18,Rhode Island,A-10 (East),,20,10,80.7,70.6,10.10,,6.38,,15.35,1.13,16.48,,,
19,Florida State,ACC,,20,12,73.4,66.8,6.63,,9.52,,9.12,7.02,16.14,,,
20,Xavier,A-10 (West),,23,6,83.2,72.3,10.86,,5.28,,16.17,-0.03,16.14,,,
21,Illinois,Big Ten,,22,10,76.5,68.7,7.84,,7.83,,10.43,5.25,15.68,,,
22,South Carolina,SEC (East),,24,8,74.1,66.7,7.44,,7.00,,8.93,6.16,15.09,,,
23,Tulsa,WAC (Mountain),,24,10,72.4,63.0,9.47,,5.53,,5.66,9.34,15.00,,,
24,Arkansas,SEC (West),,18,14,79.0,71.3,7.69,,7.05,,13.27,1.47,14.74,,,
25,New Mexico,WAC (Mountain),,25,8,75.8,63.5,12.27,,3.69,,6.05,8.64,14.69,,,
26,Temple,A-10 (East),,20,11,66.3,60.6,5.65,,9.02,,0.93,13.74,14.67,,,
27,Southern California,Pac-10,,17,11,79.6,76.3,3.29,,10.16,,13.68,0.83,14.51,,,
28,West Virginia,Big East (Big East 6),,21,10,80.7,73.6,7.10,,7.35,,14.48,-0.04,14.45,,,
29,Providence,Big East (Big East 7),,24,12,76.5,70.1,6.39,,8.31,,9.80,4.37,14.17,,,
30,NC State,ACC,,17,15,59.8,54.7,5.16,,10.59,,-5.65,19.63,13.98,,,
31,Oklahoma,Big 12,,19,11,74.3,65.3,8.93,,5.03,,6.02,7.94,13.97,,,
32,Indiana,Big Ten,,22,11,72.6,68.1,4.55,,9.39,,9.78,4.16,13.94,,,
33,Virginia,ACC,,18,13,67.7,65.0,2.71,,11.13,,4.44,9.39,13.84,,,
34,Oregon,Pac-10,,17,11,76.3,71.6,4.68,,9.59,,8.92,4.82,13.74,,,
35,Marquette,CUSA (Blue),,22,9,68.0,57.8,10.26,,3.19,,2.61,10.84,13.45,,,
36,Iowa State,Big 12,,22,9,67.5,60.4,7.13,,6.30,,-0.02,13.45,13.43,,,
37,Wisconsin,Big Ten,,18,10,59.1,55.3,3.79,,9.42,,-4.87,18.07,13.20,,,
38,Georgia,SEC (East),,24,9,72.0,65.9,6.06,,7.03,,6.50,6.59,13.09,,,
39,Connecticut,Big East (Big East 6),,18,15,65.8,60.9,4.85,,8.09,,-0.28,13.27,12.99,,,
40,Saint Joseph's,A-10 (East),,26,7,71.2,66.0,5.24,,7.69,,5.61,7.32,12.94,,,
41,Syracuse,Big East (Big East 7),,19,13,74.9,69.0,5.91,,6.96,,8.39,4.48,12.87,,,
42,Texas Tech,Big 12,,19,9,80.1,74.3,5.79,,6.73,,12.85,-0.34,12.51,,,
43,Texas,Big 12,,18,12,76.3,73.5,2.87,,9.47,,9.99,2.35,12.34,,,
44,Purdue,Big Ten,,18,12,72.1,70.7,1.33,,10.91,,7.71,4.54,12.24,,,
45,Michigan State,Big Ten,,17,12,69.8,65.7,4.14,,7.93,,5.32,6.75,12.07,,,
46,Louisville,CUSA (White),,26,9,75.2,70.9,4.26,,7.72,,9.43,2.55,11.98,,,
47,Boston College,Big East (Big East 6),,22,9,74.4,69.1,5.23,,6.69,,9.15,2.77,11.92,,,
48,Vanderbilt,SEC (East),,19,12,69.5,65.5,4.06,,7.78,,4.21,7.34,11.55,,,
49,Mississippi,SEC (West),,20,9,69.0,63.5,5.52,,5.76,,2.83,8.57,11.40,,,
50,Georgetown,Big East (Big East 7),,20,10,69.4,62.9,6.57,,5.84,,3.00,7.88,10.87,,,
51,Charlotte,CUSA (White),,22,9,71.5,65.9,5.58,,5.25,,5.46,5.37,10.83,,,
52,Washington,Pac-10,,17,11,75.2,72.3,2.93,,8.27,,7.09,3.74,10.83,,,
53,Illinois State,MVC,,24,6,74.1,65.7,8.47,,2.28,,6.70,4.11,10.81,,,
54,Massachusetts,A-10 (East),,19,14,66.4,64.6,1.79,,9.04,,1.73,8.82,10.54,,,
55,TCU,WAC (Mountain),,22,13,83.7,77.4,6.34,,4.02,,16.73,-6.37,10.36,,,
56,George Washington,A-10 (West),,15,14,67.1,63.7,3.38,,6.96,,0.76,9.59,10.34,,,
57,Alabama,SEC (West),,17,14,69.9,64.7,5.16,,6.12,,2.04,7.72,9.75,,,
58,Nebraska,Big 12,,18,15,72.9,71.4,1.55,,8.17,,5.62,4.09,9.71,,,
59,Colorado,Big 12,,22,10,73.1,69.6,3.50,,6.19,,5.89,3.81,9.69,,,
60,Notre Dame,Big East (Big East 6),,16,14,71.0,69.7,1.27,,8.15,,4.16,5.25,9.42,,,
61,Pittsburgh,Big East (Big East 7),,18,15,69.2,67.5,1.73,,8.74,,3.39,5.73,9.12,,,
62,Georgia Tech,ACC,,9,18,61.5,64.3,-2.85,,11.96,,-1.00,10.11,9.11,,,
63,Miami (OH),MAC,,21,9,73.4,65.0,8.37,,0.63,,1.83,7.17,9.00,,,
64,Missouri,Big 12,,16,17,73.9,72.2,1.79,,7.77,,6.88,2.08,8.95,,,
65,Hawaii,WAC (Pacific),,21,8,75.0,69.0,5.97,,2.79,,5.98,2.78,8.76,,,
66,Pacific,Big West (West),,24,6,72.9,60.0,12.87,,-2.38,,0.29,8.43,8.72,,,
67,Bowling Green State,MAC,,22,10,82.6,74.3,8.28,,1.56,,10.89,-2.40,8.49,,,
68,Ohio State,Big Ten,,10,17,69.9,70.1,-0.26,,8.71,,3.35,5.10,8.45,,,
69,St. John's (NY),Big East (Big East 6),,13,14,67.2,67.1,0.11,,8.25,,1.46,6.90,8.36,,,
70,Washington State,Pac-10,,13,17,74.8,74.1,0.70,,7.89,,7.46,0.77,8.23,,,
71,Miami (FL),Big East (Big East 7),,16,13,65.1,62.8,2.28,,5.90,,-1.51,9.68,8.18,,,
72,Bradley,MVC,,17,13,64.3,59.6,4.63,,3.40,,-3.71,11.74,8.03,,,
73,Tulane,CUSA (Red),,20,11,74.1,67.5,6.58,,3.01,,5.58,2.40,7.98,,,
74,Nevada-Las Vegas,WAC (Pacific),,22,10,73.1,68.8,4.28,,3.51,,2.68,5.11,7.79,,,
75,Butler,MW Coll,,23,10,69.6,60.7,8.88,,-0.16,,0.52,7.09,7.61,,,
76,Memphis,CUSA (White),,16,15,63.0,61.9,1.10,,6.48,,-2.11,9.68,7.57,,,
77,Oral Roberts,Ind,,21,7,75.2,64.6,10.57,,-1.83,,3.86,3.62,7.48,,,
78,New Mexico State,Big West (East),,19,9,79.8,71.6,8.18,,0.34,,9.58,-2.40,7.19,,,
79,Princeton,Ivy,,24,4,64.8,53.4,11.32,,-3.08,,-5.32,12.43,7.11,,,
80,Oklahoma State,Big 12,,17,15,69.4,69.5,-0.03,,6.99,,1.86,5.10,6.96,,,
81,Fresno State,WAC (Pacific),,20,12,82.8,78.2,4.56,,3.32,,12.45,-5.55,6.90,,,
82,Missouri State,MVC,,24,9,75.9,71.8,4.06,,2.49,,7.91,-1.36,6.55,,,
83,Virginia Tech,A-10 (West),,15,16,62.4,60.2,2.16,,5.07,,-6.09,12.46,6.37,,,
84,Wichita State,MVC,,14,13,67.2,63.0,4.26,,1.67,,-1.37,7.26,5.89,,,
85,College of Charleston,TAAC (East),,29,3,78.3,65.9,12.38,,-6.84,,4.32,1.54,5.86,,,
86,Northern Iowa,MVC,,16,12,71.3,69.5,1.75,,4.05,,4.78,1.02,5.80,,,
87,Florida,SEC (East),,13,17,74.0,72.7,1.30,,5.23,,6.40,-0.86,5.54,,,
88,Auburn,SEC (West),,16,15,66.3,65.1,1.26,,5.42,,-2.66,8.08,5.42,,,
