Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,33,4,87.6,64.9,22.78,,5.01,,18.57,9.22,27.79,125.22,86.27,38.95
2,Duke,ACC,,32,6,82.7,67.8,14.92,,11.98,,17.48,9.41,26.90,121.54,84.16,37.38
3,Virginia,ACC,,35,3,71.4,56.1,15.32,,10.15,,5.08,20.38,25.46,124.73,85.12,39.61
4,Michigan State,Big Ten,,32,7,77.6,65.0,12.59,,12.34,,12.94,11.99,24.93,122.55,86.17,36.38
5,North Carolina,ACC,,29,7,85.8,73.2,12.58,,11.35,,19.81,4.12,23.94,120.64,88.24,32.41
6,Texas Tech,Big 12,,31,7,72.8,59.5,13.26,,9.53,,5.95,16.84,22.79,115.44,81.30,34.14
7,Michigan,Big Ten,,30,7,69.6,58.3,11.27,,10.55,,4.23,17.60,21.82,115.33,82.49,32.83
8,Tennessee,SEC,,31,6,82.0,69.7,12.30,,10.16,,14.69,6.86,21.55,123.14,92.14,30.99
9,Kentucky,SEC,,30,7,75.8,64.7,11.14,,10.29,,8.31,13.12,21.43,119.35,87.30,32.04
10,Purdue,Big Ten,,26,10,76.7,67.3,9.42,,11.99,,12.29,9.11,21.40,123.61,91.72,31.89
11,Auburn,SEC,,30,10,79.7,68.8,10.95,,10.92,,13.12,7.72,20.84,121.33,91.64,29.69
12,Virginia Tech,ACC,,26,9,73.5,62.1,11.49,,7.79,,6.50,12.79,19.28,119.72,90.46,29.26
13,Houston,AAC,,33,4,75.3,61.0,14.30,,4.61,,6.31,12.60,18.91,116.10,88.26,27.83
14,Kansas,Big 12,,26,10,75.7,70.1,5.56,,12.79,,10.88,7.47,18.35,115.57,89.20,26.37
15,Iowa State,Big 12,,23,12,76.9,68.1,8.77,,9.30,,10.50,7.57,18.07,119.63,93.06,26.57
16,Florida State,ACC,,29,8,74.9,67.2,7.73,,10.26,,8.69,9.31,17.99,113.40,87.45,25.95
17,Wisconsin,Big Ten,,23,11,68.6,61.7,6.88,,11.01,,2.77,15.13,17.90,112.42,85.73,26.69
18,Louisville,ACC,,20,14,74.6,68.4,6.24,,11.04,,8.40,8.88,17.28,115.35,90.30,25.05
19,Louisiana State,SEC,,28,7,80.4,73.1,7.34,,9.16,,13.87,2.63,16.50,118.04,94.11,23.93
20,Texas,Big 12,,21,16,71.0,66.4,4.59,,11.46,,4.65,11.40,16.06,114.59,90.80,23.79
21,Maryland,Big Ten,,23,11,71.4,65.5,5.91,,10.09,,5.58,10.43,16.01,114.24,90.84,23.40
22,Nevada,MWC,,29,5,80.1,66.8,13.32,,2.68,,9.40,6.61,16.00,114.62,92.01,22.61
23,Mississippi State,SEC,,23,11,77.3,70.4,6.88,,9.07,,10.03,5.93,15.96,117.66,94.21,23.46
24,Buffalo,MAC (East),,32,4,84.4,70.8,13.53,,2.62,,14.35,1.22,15.56,114.89,93.68,21.21
25,Florida,SEC,,20,16,67.8,63.6,4.19,,11.22,,0.81,14.61,15.42,111.92,89.12,22.80
26,Kansas State,Big 12,,25,9,65.8,59.6,6.21,,9.18,,-1.44,16.82,15.39,108.91,85.76,23.16
27,Oklahoma,Big 12,,20,14,71.3,68.2,3.09,,12.21,,6.90,8.40,15.30,111.39,89.86,21.53
28,NC State,ACC,,24,12,80.1,71.3,8.72,,6.22,,12.54,2.40,14.94,114.59,94.04,20.56
29,Nebraska,Big Ten,,19,17,71.8,67.3,4.58,,11.31,,6.65,8.20,14.85,114.67,93.59,21.07
30,Marquette,Big East,,24,10,77.3,69.5,7.82,,6.96,,8.50,6.28,14.78,113.04,91.98,21.06
31,Cincinnati,AAC,,28,7,71.7,62.7,9.03,,5.50,,2.64,11.90,14.53,113.40,91.64,21.76
32,Villanova,Big East,,26,10,73.7,67.4,6.36,,7.97,,5.02,9.31,14.33,117.31,96.22,21.09
33,Iowa,Big Ten,,23,12,78.3,73.9,4.43,,9.84,,12.59,1.67,14.27,119.12,98.29,20.82
34,Oregon,Pac-12,,25,13,70.0,62.2,7.82,,6.13,,0.68,13.27,13.95,110.14,88.85,21.28
35,Wofford,Southern,,30,5,82.3,65.6,16.69,,0.80,,7.67,6.26,13.92,118.28,97.04,21.24
36,Ohio State,Big Ten,,20,15,69.1,66.2,2.89,,11.00,,2.84,11.04,13.89,110.68,90.57,20.11
37,Clemson,ACC,,20,14,68.8,63.9,4.85,,8.99,,1.85,12.00,13.85,109.15,88.54,20.61
38,Indiana,Big Ten,,19,16,71.5,67.8,3.71,,10.10,,5.08,8.74,13.82,110.48,90.68,19.80
39,TCU,Big 12,,23,14,73.8,69.6,4.22,,9.60,,7.78,6.03,13.81,112.33,92.69,19.64
40,Syracuse,ACC,,20,14,69.7,66.1,3.65,,10.09,,3.37,10.37,13.73,111.42,90.77,20.65
41,Baylor,Big 12,,20,14,71.8,67.7,4.12,,9.26,,5.23,8.15,13.38,114.89,94.90,19.99
42,Central Florida,AAC,,24,9,72.3,64.5,7.79,,5.58,,3.01,10.36,13.37,111.75,92.00,19.75
43,Saint Mary's (CA),WCC,,22,12,72.4,64.3,8.18,,4.40,,2.16,10.42,12.58,115.23,95.57,19.67
44,Penn State,Big Ten,,14,18,69.7,68.6,1.03,,11.51,,4.57,7.98,12.55,109.70,90.81,18.89
45,Minnesota,Big Ten,,22,14,70.6,69.4,1.25,,11.27,,5.50,7.02,12.52,111.51,93.38,18.13
46,Mississippi,SEC,,20,13,75.3,71.1,4.18,,8.13,,7.75,4.57,12.32,113.29,95.13,18.16
47,Washington,Pac-12,,27,9,69.8,64.8,5.00,,7.01,,1.22,10.79,12.01,108.01,90.31,17.70
48,Creighton,Big East,,20,15,77.9,73.2,4.74,,8.59,,8.81,3.19,12.00,113.91,96.60,17.32
49,Utah State,MWC,,28,7,78.7,67.1,11.54,,0.89,,6.80,5.17,11.98,111.31,93.92,17.39
50,Virginia Commonwealth,A-10,,25,8,71.0,61.9,9.09,,2.87,,1.16,10.80,11.96,104.02,86.24,17.79
51,Arkansas,SEC,,18,16,75.3,72.3,2.97,,8.78,,8.19,3.56,11.75,110.55,93.72,16.83
52,Memphis,AAC,,22,14,80.1,74.4,5.61,,5.09,,11.44,-0.74,10.70,109.91,94.69,15.22
53,Arizona State,Pac-12,,23,11,77.6,73.4,4.24,,6.04,,8.06,2.22,10.28,109.51,94.53,14.98
54,Seton Hall,Big East,,20,14,73.8,71.9,1.91,,8.34,,5.79,4.46,10.25,109.58,94.29,15.28
55,New Mexico State,WAC,,30,5,78.1,64.5,13.57,,-2.38,,3.91,6.14,10.05,113.05,97.79,15.26
