Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Villanova,Big East,,36,4,86.6,70.2,16.40,,10.24,,17.80,8.84,26.64,127.92,89.79,38.13
2,Duke,ACC,,29,8,84.4,69.6,14.73,,9.70,,16.41,8.02,24.43,123.93,88.60,35.34
3,Purdue,Big Ten,,30,7,80.4,65.7,14.68,,8.74,,12.91,10.50,23.41,123.33,89.60,33.73
4,Michigan State,Big Ten,,30,5,80.2,64.9,15.31,,7.10,,10.72,11.69,22.41,121.35,88.55,32.80
5,Virginia,ACC,,31,3,67.1,54.0,13.15,,9.05,,-1.75,23.95,22.20,115.92,80.94,34.98
6,Kansas,Big 12,,31,8,81.4,71.9,9.51,,11.88,,13.58,7.81,21.39,122.39,91.96,30.43
7,Cincinnati,AAC,,31,5,74.3,57.5,16.72,,3.53,,3.05,17.20,20.25,113.38,82.87,30.51
8,North Carolina,ACC,,26,11,81.6,73.3,8.30,,11.78,,15.41,4.66,20.07,119.93,91.40,28.53
9,West Virginia,Big 12,,26,11,80.1,69.6,10.51,,9.38,,12.47,7.42,19.89,119.29,91.07,28.22
10,Texas Tech,Big 12,,27,10,74.6,64.8,9.78,,9.60,,5.29,14.09,19.38,113.74,85.68,28.06
11,Xavier,Big East,,29,6,84.4,74.7,9.63,,9.43,,15.18,3.88,19.06,121.03,94.08,26.94
12,Michigan,Big Ten,,33,8,73.6,63.3,10.32,,9.41,,4.22,14.81,19.03,114.94,86.75,28.19
13,Gonzaga,WCC,,32,5,83.5,67.7,15.84,,2.60,,12.40,6.04,18.44,118.31,91.42,26.88
14,Tennessee,SEC,,26,9,73.8,65.7,8.09,,10.12,,5.78,12.42,18.20,115.38,88.25,27.13
15,Ohio State,Big Ten,,25,9,76.2,67.6,8.65,,9.02,,7.67,10.00,17.67,116.79,90.38,26.41
16,Kentucky,SEC,,26,11,76.8,70.2,6.51,,10.73,,9.26,7.98,17.24,116.16,91.12,25.03
17,Clemson,ACC,,25,10,73.8,65.9,7.91,,9.25,,4.91,12.25,17.16,113.61,88.21,25.40
18,Butler,Big East,,21,14,78.9,72.6,6.37,,10.55,,9.68,7.24,16.92,116.31,91.85,24.46
19,Florida,SEC,,21,13,75.8,69.2,6.59,,10.08,,8.15,8.52,16.66,115.62,91.51,24.11
20,Wichita State,AAC,,25,8,82.8,71.6,11.12,,5.46,,12.81,3.77,16.58,119.96,96.32,23.65
21,TCU,Big 12,,21,12,82.1,75.4,6.70,,9.68,,13.36,3.02,16.38,120.04,96.55,23.49
22,Creighton,Big East,,21,12,83.5,74.1,9.45,,8.10,,12.82,3.53,16.35,117.37,94.26,23.11
23,Houston,AAC,,27,8,76.7,64.9,11.83,,4.16,,7.34,8.65,15.99,114.31,90.59,23.72
24,Auburn,SEC,,26,8,81.9,73.2,8.68,,7.29,,12.84,3.13,15.97,115.61,93.00,22.61
25,Penn State,Big Ten,,26,13,74.7,66.7,8.05,,7.79,,6.18,9.67,15.85,114.07,90.16,23.90
26,Florida State,ACC,,23,12,80.2,72.9,7.29,,8.50,,12.00,3.78,15.78,114.82,92.47,22.35
27,Arizona,Pac-12,,27,8,80.5,71.7,8.83,,6.84,,10.25,5.42,15.67,119.31,96.27,23.04
28,Seton Hall,Big East,,22,12,79.4,73.9,5.56,,10.11,,10.68,4.99,15.67,116.65,94.04,22.61
29,Texas A&M,SEC,,22,13,75.2,70.5,4.69,,10.62,,6.36,8.95,15.30,111.39,89.51,21.87
30,Arkansas,SEC,,23,12,80.5,75.6,4.91,,9.85,,11.86,2.91,14.76,117.25,96.60,20.65
31,Baylor,Big 12,,19,15,75.6,69.7,5.94,,9.17,,4.84,9.75,14.60,112.30,91.36,20.93
32,Nevada,MWC,,29,8,82.6,73.1,9.51,,4.93,,12.64,1.80,14.44,119.02,97.88,21.14
33,Arizona State,Pac-12,,20,12,82.7,74.8,7.81,,6.55,,13.80,0.56,14.37,117.43,97.37,20.06
34,Virginia Tech,ACC,,21,12,79.8,72.2,7.64,,6.71,,10.46,3.89,14.35,116.67,95.92,20.75
35,Louisville,ACC,,22,14,75.6,70.4,5.22,,9.07,,7.92,6.37,14.30,113.05,91.91,21.15
36,Texas,Big 12,,19,15,72.1,68.8,3.29,,10.67,,3.68,10.28,13.96,110.26,90.00,20.26
37,Missouri,SEC,,20,13,72.7,68.1,4.64,,9.19,,4.10,9.71,13.81,112.73,92.50,20.23
38,Oklahoma,Big 12,,18,14,84.9,81.7,3.25,,10.56,,17.15,-3.34,13.81,115.96,96.70,19.26
39,Maryland,Big Ten,,19,13,73.1,66.9,6.19,,7.94,,5.37,8.41,13.78,114.10,93.62,20.48
40,Notre Dame,ACC,,21,15,74.9,68.6,6.31,,7.92,,5.61,8.02,13.64,115.49,95.21,20.28
41,NC State,ACC,,21,12,81.3,75.1,6.21,,6.70,,12.67,0.24,12.91,115.98,97.53,18.45
42,Syracuse,ACC,,23,14,66.6,63.8,2.86,,10.02,,-2.38,15.26,12.89,107.08,87.58,19.50
43,Saint Mary's (CA),WCC,,30,6,77.0,64.5,12.53,,0.33,,5.46,7.40,12.86,119.45,98.87,20.59
44,Kansas State,Big 12,,25,12,71.1,67.0,4.11,,8.74,,1.46,11.38,12.85,110.73,91.61,19.12
45,Miami (FL),ACC,,22,10,73.8,67.9,5.88,,6.96,,4.56,8.27,12.83,111.55,92.38,19.17
46,Southern California,Pac-12,,24,12,77.7,71.2,6.53,,6.29,,7.62,5.20,12.81,114.82,95.98,18.85
47,Marquette,Big East,,21,14,81.3,78.5,2.80,,9.70,,12.51,-0.01,12.50,119.09,100.52,18.57
48,Oklahoma State,Big 12,,21,15,76.6,73.3,3.33,,9.12,,6.55,5.90,12.45,111.54,93.53,18.01
49,Alabama,SEC,,20,16,72.3,70.6,1.69,,10.64,,4.15,8.19,12.34,109.43,91.63,17.80
50,San Diego State,MWC,,22,11,77.1,67.9,9.24,,3.91,,4.84,7.39,12.23,110.60,92.77,17.83
51,UCLA,Pac-12,,21,12,81.2,76.0,5.21,,6.86,,11.87,0.20,12.07,115.52,97.74,17.79
52,Rhode Island,A-10,,26,8,76.0,68.8,7.21,,4.61,,4.97,6.84,11.81,111.11,93.46,17.66
53,Mississippi State,SEC,,25,12,73.4,67.8,5.65,,6.82,,3.79,7.92,11.71,110.26,93.02,17.24
54,Utah,Pac-12,,23,12,73.5,68.5,5.00,,6.39,,2.78,8.62,11.39,111.44,94.54,16.90
55,Boise State,MWC,,23,9,78.2,69.1,9.13,,3.05,,5.21,6.00,11.21,108.94,92.79,16.15
56,Providence,Big East,,21,14,73.6,72.7,0.89,,10.23,,3.47,7.65,11.12,108.90,92.55,16.35
57,Western Kentucky,CUSA,,27,11,78.4,70.4,8.03,,3.64,,7.12,3.96,11.08,113.76,97.02,16.73
58,Davidson,A-10,,21,12,76.3,67.9,8.45,,2.57,,5.42,5.61,11.02,118.15,100.16,18.00
59,Nebraska,Big Ten,,22,11,72.3,68.6,3.67,,7.33,,3.69,7.30,10.99,111.00,94.18,16.82
60,Louisiana State,SEC,,18,15,77.5,74.6,2.91,,8.02,,8.35,2.59,10.93,116.12,99.70,16.42
61,Oregon,Pac-12,,23,13,78.3,72.4,5.86,,4.84,,5.70,5.00,10.70,111.67,96.31,15.36
