Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Arkansas,SEC (West),,31,3,93.4,75.6,17.85,,7.64,,20.21,3.76,23.97,,,
2,Arizona,Pac-10,,29,6,89.3,74.4,14.86,,8.90,,19.78,3.98,23.76,,,
3,North Carolina,ACC,,28,7,85.6,72.4,13.23,,9.39,,16.88,5.74,22.62,,,
4,Connecticut,Big East,,29,5,84.9,68.6,16.32,,6.26,,13.63,8.96,22.58,,,
5,Kentucky,SEC (East),,27,7,86.8,74.6,12.21,,9.47,,15.58,6.16,21.73,,,
6,Purdue,Big Ten,,29,5,84.4,73.1,11.38,,10.00,,14.26,7.12,21.38,,,
7,Kansas,Big 8,,27,8,80.5,68.3,12.14,,8.61,,9.96,10.74,20.70,,,
8,Duke,ACC,,28,6,77.6,67.3,10.29,,9.00,,8.85,10.44,19.29,,,
9,Providence,Big East,,20,10,79.3,70.0,9.33,,9.91,,11.27,7.97,19.24,,,
10,Illinois,Big Ten,,17,11,84.0,74.8,9.21,,9.90,,12.98,6.14,19.11,,,
11,Minnesota,Big Ten,,22,13,74.3,66.1,8.29,,10.27,,8.63,10.43,19.06,,,
12,Louisville,Metro,,28,6,80.2,68.8,11.41,,7.41,,9.72,9.04,18.77,,,
13,Michigan,Big Ten,,24,8,79.8,73.5,6.31,,12.15,,9.63,8.83,18.46,,,
14,Syracuse,Big East,,23,7,83.9,74.9,8.97,,8.83,,15.03,2.76,17.80,,,
15,Oklahoma State,Big 8,,24,10,80.5,68.8,11.74,,8.37,,7.32,10.33,17.65,,,
16,Georgetown,Big East,,19,12,73.0,65.7,7.35,,12.05,,2.21,15.18,17.39,,,
17,Temple,A-10,,23,8,63.8,54.7,9.03,,8.24,,-5.71,22.99,17.28,,,
18,Boston College,Big East,,23,11,78.2,70.0,8.15,,9.81,,7.64,9.14,16.78,,,
19,Massachusetts,A-10,,28,7,76.4,65.9,10.49,,6.21,,5.08,11.62,16.69,,,
20,UCLA,Pac-10,,21,7,86.1,76.5,9.54,,6.77,,14.15,2.16,16.31,,,
21,Florida,SEC (East),,29,8,75.1,67.9,7.11,,9.08,,4.02,12.16,16.19,,,
22,Indiana,Big Ten,,21,9,80.9,77.1,3.87,,12.18,,11.93,4.11,16.04,,,
23,Michigan State,Big Ten,,20,12,75.8,70.8,4.97,,10.80,,5.10,10.67,15.77,,,
24,Missouri,Big 8,,28,4,81.0,73.8,7.25,,8.29,,9.47,6.20,15.68,,,
25,Marquette,GMWC,,24,9,69.6,61.8,7.82,,8.01,,-1.47,17.10,15.63,,,
26,Wisconsin,Big Ten,,18,11,77.9,72.4,5.52,,9.93,,7.55,7.79,15.34,,,
27,Cincinnati,GMWC,,22,10,77.7,68.5,9.13,,6.18,,7.70,7.61,15.31,,,
28,Texas,SWC,,26,8,91.7,79.6,12.12,,2.94,,16.87,-1.76,15.11,,,
29,UAB,GMWC,,22,8,71.4,60.2,11.20,,3.49,,-1.29,15.98,14.69,,,
30,California,Pac-10,,22,8,78.6,71.5,7.10,,7.19,,8.20,6.09,14.29,,,
31,Maryland,ACC,,18,12,80.0,73.2,6.73,,7.40,,10.07,4.06,14.13,,,
32,Iowa State,Big 8,,14,13,85.1,76.1,9.00,,6.15,,10.61,3.38,13.99,,,
33,Wake Forest,ACC,,21,12,71.3,65.5,5.79,,7.89,,0.87,13.04,13.92,,,
34,Washington State,Pac-10,,20,11,76.0,69.0,7.00,,7.66,,4.93,8.84,13.77,,,
35,Seton Hall,Big East,,17,13,68.6,65.7,2.90,,10.69,,-0.35,13.94,13.59,,,
36,Nebraska,Big 8,,20,10,87.3,80.6,6.70,,6.86,,15.14,-1.58,13.56,,,
37,Vanderbilt,SEC (East),,20,12,78.8,73.5,5.25,,8.25,,8.07,5.42,13.50,,,
38,Pittsburgh,Big East,,13,14,78.0,75.1,2.93,,9.88,,9.35,3.46,12.80,,,
39,Villanova,Big East,,20,12,74.5,72.6,1.84,,11.20,,6.16,6.64,12.80,,,
40,Saint Louis,GMWC,,23,6,80.6,70.2,10.41,,3.14,,8.18,4.57,12.75,,,
41,Iowa,Big Ten,,11,16,83.5,81.7,1.74,,9.79,,13.02,-1.49,11.53,,,
42,Georgia Tech,ACC,,16,13,75.9,73.4,2.41,,9.10,,6.65,4.86,11.52,,,
43,Ohio,MAC,,25,8,80.8,69.2,11.70,,0.21,,7.90,3.60,11.50,,,
44,Ohio State,Big Ten,,13,16,76.7,75.9,0.76,,11.74,,5.92,5.29,11.21,,,
45,DePaul,GMWC,,16,12,78.4,73.1,5.25,,5.86,,7.52,3.59,11.11,,,
46,Tulane,Metro,,18,11,78.9,70.1,8.79,,2.28,,6.24,4.83,11.07,,,
47,Tulsa,MVC,,23,8,83.4,73.2,10.26,,2.50,,8.82,2.11,10.93,,,
48,Northwestern,Big Ten,,15,14,75.0,71.4,3.52,,9.01,,3.16,7.68,10.83,,,
49,Stanford,Pac-10,,17,11,74.7,71.5,3.14,,7.71,,4.94,5.84,10.79,,,
50,Mississippi State,SEC (West),,18,11,75.3,71.0,4.34,,7.48,,1.85,8.91,10.77,,,
51,Georgia,SEC (East),,14,16,79.9,76.9,3.00,,7.53,,7.66,2.87,10.53,,,
52,Alabama,SEC (West),,20,10,73.6,69.5,4.13,,6.15,,0.53,9.75,10.28,,,
53,Virginia Tech,Metro,,18,10,72.4,66.1,6.36,,3.52,,0.21,9.66,9.88,,,
54,Virginia,ACC,,18,13,64.1,65.7,-1.61,,11.26,,-5.48,15.13,9.64,,,
55,Oklahoma,Big 8,,15,13,87.4,86.8,0.61,,9.01,,15.50,-5.88,9.62,,,
56,Arizona State,Pac-10,,15,13,77.1,75.3,1.75,,7.86,,5.62,3.99,9.61,,,
57,New Mexico,WAC,,23,8,77.7,67.5,10.26,,0.88,,3.29,6.21,9.50,,,
58,Green Bay,Mid-Cont,,27,7,66.4,55.1,11.35,,-1.89,,-9.48,18.95,9.47,,,
59,Florida State,ACC,,13,14,77.0,74.8,2.15,,7.29,,6.62,2.82,9.44,,,
60,St. John's (NY),Big East,,12,17,73.3,72.4,0.93,,8.48,,3.85,5.57,9.42,,,
61,Xavier,MW Coll,,22,8,79.7,69.9,9.80,,0.85,,5.61,3.73,9.34,,,
62,Clemson,ACC,,18,16,75.2,72.9,2.35,,6.86,,4.03,5.19,9.21,,,
63,George Washington,A-10,,18,12,69.3,66.4,2.90,,6.27,,-0.53,9.70,9.17,,,
