Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
52,Kansas State,Big 12,,,14,16,69.1,67.3,1.80,,9.33,,4.46,6.68,11.13,109.98,93.54,16.44
53,UAB,CUSA,,,24,7,80.0,65.1,14.90,,-1.02,,7.99,3.09,11.08,111.42,95.61,15.81
54,Utah State,MWC,,,17,14,73.9,67.1,6.77,,4.96,,6.31,4.66,10.96,111.37,95.22,16.15
55,Saint Louis,A-10,,,21,10,77.5,67.9,9.55,,3.46,,7.39,3.50,10.89,111.21,95.18,16.03
56,Oregon,Pac-12,,,18,13,72.1,69.1,3.00,,8.58,,6.76,4.12,10.88,111.69,96.25,15.44
57,Dayton,A-10,,,22,9,69.1,60.6,8.52,,2.20,,0.24,10.47,10.71,110.51,93.52,16.99
58,Northwestern,Big Ten,,,14,15,72.9,68.5,4.41,,7.51,,5.46,5.19,10.65,107.80,92.50,15.30
59,Murray State,OVC,,19,30,2,79.3,62.3,17.03,,-3.38,,3.90,6.72,10.62,110.45,94.17,16.28
60,West Virginia,Big 12,,,15,16,68.5,68.5,0.03,,10.59,,4.81,5.82,10.62,109.17,93.55,15.63
61,Virginia Commonwealth,A-10,,,21,8,66.1,60.8,5.34,,5.02,,-0.75,11.11,10.36,100.18,85.31,14.87
62,Miami (FL),ACC,,,22,9,74.9,70.8,4.10,,6.25,,8.63,1.71,10.35,114.76,99.61,15.15
63,Creighton,Big East,,,20,10,69.0,66.7,2.33,,7.95,,2.38,7.91,10.29,105.76,91.30,14.47
64,Colorado,Pac-12,,,20,10,70.8,66.6,4.27,,5.97,,3.82,6.41,10.24,107.66,93.20,14.46
65,Wyoming,MWC,,,24,7,73.8,65.7,8.10,,3.51,,5.12,5.12,10.24,111.32,95.71,15.60
66,Brigham Young,WCC,,,22,10,73.7,67.9,5.81,,5.63,,5.90,4.33,10.23,109.87,94.19,15.69
67,Vanderbilt,SEC,,,15,15,69.5,67.5,2.00,,8.16,,3.47,6.69,10.16,107.23,92.43,14.80
68,Davidson,A-10,,,25,5,75.8,66.0,9.77,,1.47,,6.08,4.05,10.13,116.66,101.09,15.56
69,Maryland,Big Ten,,,15,16,70.9,70.5,0.35,,9.44,,5.18,4.62,9.79,110.73,96.47,14.26
70,Santa Clara,WCC,,,21,11,78.1,72.2,5.94,,3.85,,11.47,-1.69,9.78,112.93,98.99,13.95
71,North Texas,CUSA,,,23,5,65.8,55.6,10.21,,1.19,,-5.96,15.50,9.53,106.86,91.02,15.84
72,Fresno State,MWC,,,18,12,65.1,58.4,6.73,,3.22,,-3.32,12.82,9.50,106.78,91.65,15.13
73,Clemson,ACC,,,16,15,71.7,68.4,3.32,,6.12,,4.92,4.52,9.44,111.80,97.74,14.06
74,Rutgers,Big Ten,,,18,12,67.7,65.2,2.50,,6.86,,0.73,8.63,9.36,106.73,92.79,13.94
75,Missouri State,MVC,,,23,10,77.5,68.3,9.18,,1.15,,6.67,2.49,9.15,113.05,99.28,13.76
76,Virginia,ACC,,,18,12,63.6,60.4,3.17,,5.95,,-4.02,13.13,9.12,109.63,95.43,14.20
77,Syracuse,ACC,,,15,16,76.7,75.2,1.48,,7.53,,10.41,-1.40,9.01,114.35,101.41,12.94
78,Wichita State,AAC,,,15,12,68.5,66.1,2.41,,6.59,,2.56,6.43,9.00,105.02,91.70,13.32
79,DePaul,Big East,,,15,15,73.3,71.5,1.77,,7.02,,6.28,2.50,8.78,108.57,96.98,11.58
80,Penn State,Big Ten,,,12,16,64.7,65.3,-0.57,,9.34,,-1.86,10.63,8.77,107.48,94.62,12.86
81,Arizona State,Pac-12,,,14,16,65.2,67.1,-1.87,,10.19,,0.65,7.68,8.33,101.67,89.79,11.88
82,Toledo,MAC (West),,,25,6,81.5,68.4,13.19,,-3.04,,8.02,0.24,8.26,111.03,99.19,11.83
83,South Carolina,SEC,,,18,12,71.6,70.2,1.47,,8.66,,3.81,4.34,8.15,103.26,91.55,11.72
84,St. Bonaventure,A-10,,,20,8,70.6,66.6,4.00,,3.96,,3.02,4.93,7.96,109.25,97.07,12.18
85,Drake,MVC,,,24,10,73.5,66.2,7.29,,1.89,,4.18,3.74,7.93,109.59,97.34,12.25
86,Nevada-Las Vegas,MWC,,,18,13,70.3,65.8,4.52,,5.11,,3.06,4.86,7.91,108.99,96.87,12.12
87,Mississippi,SEC,,,13,18,68.4,68.5,-0.16,,7.85,,1.86,5.84,7.69,107.82,97.01,10.81
88,Cincinnati,AAC,,,17,14,69.7,65.9,3.77,,4.20,,2.15,5.49,7.64,105.45,94.43,11.02
89,Florida State,ACC,,,17,13,71.5,71.1,0.33,,7.21,,3.82,3.72,7.54,106.64,95.67,10.97
90,South Dakota State,Summit,,,29,4,87.1,73.5,13.55,,-3.72,,11.62,-4.21,7.41,114.98,104.31,10.67
91,Belmont,OVC,,,25,7,78.5,68.2,10.31,,-2.46,,6.41,0.84,7.25,108.78,98.49,10.29
92,Central Florida,AAC,,,17,11,70.2,68.0,2.21,,4.87,,3.80,3.28,7.08,108.01,97.18,10.83
93,Tulane,AAC,,,13,14,73.6,71.6,1.93,,5.14,,6.03,1.03,7.06,109.83,99.04,10.80
94,Minnesota,Big Ten,,,13,16,67.6,69.5,-1.97,,8.73,,2.06,4.70,6.77,108.36,98.75,9.61
95,Richmond,A-10,,,19,12,72.2,69.1,3.16,,3.58,,4.01,2.73,6.74,109.86,99.15,10.70
96,Vermont,AEC,,,26,5,74.7,61.5,13.29,,-5.93,,2.64,4.06,6.70,110.40,99.69,10.72
97,Towson,CAA,,,25,8,73.2,64.0,9.18,,-2.53,,1.67,4.99,6.65,108.92,98.58,10.34
98,Stanford,Pac-12,,,15,15,65.8,68.1,-2.37,,8.82,,0.53,5.92,6.46,105.26,96.21,9.05
99,Furman,Southern,,,22,12,77.6,68.7,8.94,,-1.19,,5.26,1.18,6.45,112.87,102.71,10.16
100,Grand Canyon,WAC,,,22,7,71.1,60.6,10.55,,-2.56,,-1.04,7.48,6.44,103.83,93.80,10.03
101,New Mexico State,WAC,,,24,6,73.5,65.3,8.20,,0.44,,2.07,4.33,6.41,106.66,97.25,9.42
102,Bradley,MVC,,,17,14,70.5,65.2,5.29,,1.76,,0.65,5.70,6.36,104.19,93.96,10.23
103,Utah,Pac-12,,,11,19,69.7,70.5,-0.80,,7.16,,3.87,2.49,6.36,107.78,98.29,9.49
104,Northern Iowa,MVC,,,19,11,74.4,70.5,3.90,,3.47,,5.77,0.45,6.23,109.91,100.35,9.55
105,Chattanooga,Southern,,,27,7,74.8,64.7,10.12,,-1.15,,1.01,5.16,6.17,108.40,98.08,10.33
106,Iona,MAAC,,,25,6,75.4,68.2,7.23,,-1.56,,4.91,0.76,5.67,106.01,97.79,8.22
107,Louisiana Tech,CUSA,,,21,9,76.9,69.0,7.90,,-0.17,,4.81,0.58,5.38,107.84,99.81,8.03
108,Temple,AAC,,,17,11,67.0,66.4,0.64,,4.51,,-0.05,5.20,5.15,102.74,95.29,7.45
109,Washington,Pac-12,,,16,14,70.6,72.6,-2.07,,7.20,,4.06,1.08,5.14,103.82,96.29,7.53
110,George Mason,A-10,,,14,15,71.5,69.0,2.45,,2.34,,1.80,2.99,4.79,106.88,99.37,7.51
111,California,Pac-12,,,12,19,63.2,66.1,-2.87,,7.52,,-2.96,7.61,4.65,102.43,95.84,6.59
112,Butler,Big East,,,13,18,63.1,66.5,-3.39,,9.37,,-3.59,7.81,4.23,102.58,96.96,5.62
113,Stephen F. Austin,WAC,,,22,8,75.2,67.8,7.37,,-1.35,,1.92,2.08,4.00,102.33,96.69,5.63
114,Middle Tennessee,CUSA,,,22,9,73.9,66.3,7.61,,-1.15,,1.79,2.19,3.98,104.78,98.05,6.72
115,Nevada,MWC,,,12,17,72.4,73.8,-1.38,,6.68,,5.23,-1.26,3.97,106.11,99.77,6.34
116,Louisville,ACC,,,12,18,67.3,70.6,-3.27,,7.08,,0.50,3.31,3.81,102.97,97.62,5.35
