Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
220,Dartmouth,Ivy,,,9,16,68.4,68.2,0.16,,-2.56,,-6.45,2.39,-4.06,96.57,102.27,-5.69
221,Kennesaw State,A-Sun,,,13,18,74.8,71.2,3.65,,-2.18,,0.03,-4.10,-4.07,103.28,108.41,-5.13
222,James Madison,CAA,,,15,14,75.1,73.2,1.90,,-1.04,,1.70,-5.77,-4.08,102.30,107.65,-5.36
223,Boston University,Patriot,,,21,12,71.3,67.4,3.88,,-7.56,,-1.35,-2.96,-4.31,103.82,109.15,-5.33
224,Fairfield,MAAC,,,14,17,67.9,66.1,1.74,,-4.41,,-5.72,1.28,-4.44,98.43,104.10,-5.66
225,Harvard,Ivy,,,13,13,71.5,69.1,2.35,,-4.04,,-3.41,-1.11,-4.52,96.57,102.60,-6.03
226,Southern,SWAC,,,17,13,72.4,68.1,4.27,,-6.45,,-2.42,-2.10,-4.52,95.66,101.41,-5.75
227,Marshall,CUSA,,,11,20,74.2,76.9,-2.68,,0.55,,3.64,-8.20,-4.55,100.11,105.99,-5.88
228,Campbell,Big South,,,16,13,66.2,62.0,4.17,,-5.52,,-7.47,2.88,-4.59,99.26,105.01,-5.74
229,Air Force,MWC,,,11,17,59.1,65.4,-6.29,,1.59,,-9.32,4.63,-4.69,96.13,103.82,-7.69
230,Eastern Washington,Big Sky,,,17,14,77.2,74.5,2.71,,-4.89,,2.25,-6.97,-4.72,101.44,107.85,-6.42
231,Kansas City,Summit,,,19,12,74.5,67.3,7.29,,-4.59,,-3.75,-1.10,-4.85,97.92,104.43,-6.51
232,Purdue-Fort Wayne,Horizon,,,21,11,73.7,69.1,4.63,,-6.79,,-2.06,-2.86,-4.92,97.53,104.46,-6.93
233,UNC Asheville,Big South,,,16,14,74.9,68.2,6.67,,-5.49,,-1.77,-3.24,-5.00,98.86,105.50,-6.64
234,UT Arlington,Sun Belt,,,11,18,67.2,68.7,-1.55,,-0.50,,-4.52,-0.54,-5.06,95.39,102.14,-6.76
235,Western Illinois,Summit,,,16,15,78.7,77.1,1.58,,-5.11,,2.38,-7.45,-5.07,99.48,106.49,-7.01
236,Bryant,NEC,,,21,9,78.2,73.7,4.43,,-7.47,,4.30,-9.53,-5.23,100.05,107.24,-7.18
237,Detroit Mercy,Horizon,,,14,15,70.4,69.7,0.79,,-4.71,,-2.50,-3.00,-5.50,103.50,111.68,-8.19
238,Maryland-Baltimore County,AEC,,,17,13,74.5,72.2,2.37,,-6.66,,1.34,-6.86,-5.52,102.45,110.33,-7.88
239,Miami (OH),MAC (East),,,14,17,75.3,73.1,2.16,,-3.77,,0.92,-6.63,-5.70,102.68,110.78,-8.10
240,Montana,Big Sky,,,18,13,72.7,66.9,5.84,,-5.88,,-4.67,-1.06,-5.73,97.69,105.92,-8.24
241,Florida International,CUSA,,,15,16,71.0,71.0,0.06,,-2.85,,-3.42,-2.33,-5.75,97.13,104.96,-7.83
242,Northeastern,CAA,,,9,22,64.3,69.1,-4.81,,-1.20,,-7.26,1.26,-6.01,96.50,104.78,-8.28
243,Howard,MEAC,,,16,12,77.1,70.0,7.07,,-7.96,,1.01,-7.05,-6.04,99.69,107.59,-7.90
244,Youngstown State,Horizon,,,18,14,72.8,69.7,3.13,,-7.11,,-1.61,-4.47,-6.08,101.55,110.35,-8.80
245,New Hampshire,AEC,,,15,13,68.8,65.0,3.79,,-6.98,,-6.72,0.63,-6.09,101.19,109.94,-8.75
246,Elon,CAA,,,10,22,67.1,72.2,-5.13,,1.37,,-4.98,-1.18,-6.16,97.98,106.37,-8.39
247,High Point,Big South,,,14,18,69.5,69.8,-0.22,,-3.13,,-3.49,-2.79,-6.27,97.19,105.67,-8.48
248,Eastern Kentucky,A-Sun,,,13,18,79.3,75.1,4.19,,-4.95,,2.99,-9.31,-6.32,100.17,108.70,-8.53
249,Duquesne,A-10,,,6,23,64.8,73.2,-8.41,,2.03,,-3.79,-2.59,-6.38,97.74,106.83,-9.09
250,UC San Diego,Big West,,,13,16,70.2,70.6,-0.34,,-3.16,,-1.52,-4.90,-6.42,99.95,109.48,-9.53
251,The Citadel,Southern,,,13,18,76.8,76.8,-0.03,,-1.63,,2.74,-9.19,-6.45,100.36,108.63,-8.28
252,Siena,MAAC,,,15,13,66.1,68.9,-2.79,,-3.70,,-5.61,-0.87,-6.48,95.53,104.77,-9.24
253,Pepperdine,WCC,,,7,25,68.2,77.5,-9.28,,3.97,,-0.46,-6.03,-6.49,97.12,105.58,-8.46
254,Stony Brook,AEC,,,18,13,72.9,73.1,-0.19,,-5.29,,0.42,-6.92,-6.49,101.58,110.85,-9.28
255,New Orleans,Southland,,,17,12,77.6,73.8,3.79,,-6.75,,-0.03,-6.53,-6.55,95.58,104.19,-8.61
256,Southeast Missouri State,OVC,,,14,18,75.6,77.3,-1.72,,-4.11,,4.56,-11.18,-6.61,102.01,111.16,-9.15
257,Georgia Southern,Sun Belt,,,13,16,66.4,65.6,0.83,,-2.68,,-6.35,-0.33,-6.68,94.99,104.26,-9.27
258,San Jose State,MWC,,,8,22,64.2,72.4,-8.23,,4.33,,-5.04,-1.73,-6.77,98.08,108.36,-10.27
259,Quinnipiac,MAAC,,,12,16,72.1,72.5,-0.32,,-4.55,,0.25,-7.02,-6.78,100.43,109.57,-9.14
260,Massachusetts-Lowell,AEC,,,15,16,70.7,65.8,4.87,,-6.39,,-5.23,-1.59,-6.82,94.60,103.80,-9.20
261,Rider,MAAC,,,12,18,67.3,69.2,-1.93,,-3.98,,-5.14,-1.70,-6.84,95.15,104.09,-8.94
262,Tennessee Tech,OVC,,,11,21,72.8,73.7,-0.91,,-2.63,,-0.46,-6.40,-6.86,98.63,107.98,-9.35
263,Texas A&M-Corpus Christi,Southland,,,20,11,77.3,70.6,6.68,,-8.91,,-3.18,-3.84,-7.02,95.19,104.54,-9.35
264,Canisius,MAAC,,,11,20,69.1,71.5,-2.39,,-2.46,,-3.58,-3.55,-7.13,95.15,104.95,-9.81
265,Cal State Bakersfield,Big West,,,8,18,65.3,66.9,-1.65,,-1.03,,-7.05,-0.11,-7.16,96.66,106.71,-10.05
266,Long Island University,NEC,,,16,14,74.8,73.5,1.37,,-6.70,,1.02,-8.30,-7.28,96.86,106.99,-10.13
267,Ball State,MAC (West),,,14,16,74.6,76.8,-2.20,,-4.20,,0.74,-8.15,-7.40,99.60,109.19,-9.59
268,Pacific,WCC,,,8,22,65.9,72.7,-6.87,,1.00,,-5.08,-2.35,-7.43,94.47,104.69,-10.22
269,Manhattan,MAAC,,,15,14,71.0,72.4,-1.41,,-3.97,,-1.07,-6.39,-7.47,98.82,109.33,-10.52
270,Mount St. Mary's,NEC,,,14,16,66.1,65.3,0.87,,-6.78,,-9.66,1.88,-7.78,93.84,104.19,-10.35
271,North Florida,A-Sun,,,11,20,68.5,71.2,-2.65,,0.59,,-4.39,-3.45,-7.84,94.93,105.59,-10.66
272,Alcorn State,SWAC,,,15,15,66.8,71.0,-4.13,,-3.84,,-4.65,-3.32,-7.97,95.64,106.47,-10.83
273,Portland State,Big Sky,,,12,16,73.5,72.6,0.86,,-4.97,,-2.60,-5.37,-7.97,93.22,104.41,-11.19
274,Lipscomb,A-Sun,,,14,19,74.0,76.8,-2.85,,-2.86,,0.13,-8.12,-7.99,100.99,111.32,-10.33
275,Dixie State,WAC,,,13,18,72.5,74.1,-1.58,,-0.01,,-1.90,-6.11,-8.01,94.39,104.57,-10.18
276,Louisiana-Monroe,Sun Belt,,,13,18,72.5,74.3,-1.87,,-2.06,,-1.39,-6.78,-8.17,98.94,110.26,-11.33
277,Loyola (MD),Patriot,,,14,16,66.1,65.7,0.47,,-7.79,,-8.13,-0.11,-8.24,94.51,105.86,-11.35
278,Bowling Green State,MAC (East),,,13,18,80.3,80.5,-0.23,,-3.87,,5.27,-13.52,-8.25,101.41,112.67,-11.25
279,Presbyterian,Big South,,,12,20,67.8,67.9,-0.13,,-3.42,,-7.28,-0.97,-8.25,93.93,105.32,-11.39
280,Illinois-Chicago,Horizon,,,14,16,72.0,72.9,-0.97,,-5.92,,-0.50,-7.84,-8.33,97.71,109.98,-12.27
281,Tennessee State,OVC,,,14,18,71.3,70.2,1.13,,-6.76,,-4.66,-4.13,-8.79,95.84,107.79,-11.95
282,Southeastern Louisiana,Southland,,,18,13,79.7,78.5,1.19,,-5.41,,1.71,-10.71,-9.00,100.74,112.45,-11.71
283,Radford,Big South,,,11,18,63.2,67.4,-4.24,,-3.72,,-9.37,0.31,-9.06,92.63,105.62,-12.99
284,Hartford,AEC,,,12,19,70.1,71.9,-1.77,,-7.44,,-2.36,-6.86,-9.22,99.39,112.29,-12.90
285,South Carolina Upstate,Big South,,,14,16,70.9,72.8,-1.87,,-4.06,,-2.10,-7.28,-9.38,98.33,110.85,-12.51
286,Denver,Summit,,,11,21,70.5,74.4,-3.84,,-5.32,,-3.86,-5.62,-9.48,97.49,110.76,-13.27
287,Albany (NY),AEC,,,13,18,61.8,65.9,-4.03,,-5.53,,-10.81,1.25,-9.57,89.28,102.53,-13.25
288,Austin Peay,OVC,,,12,17,64.7,69.1,-4.45,,-2.95,,-8.36,-1.21,-9.58,93.51,107.42,-13.91
289,North Carolina A&T,Big South,,,12,20,67.7,70.3,-2.59,,-4.15,,-5.04,-4.56,-9.60,95.13,108.38,-13.26
290,Binghamton,AEC,,,12,16,68.6,68.2,0.39,,-6.46,,-6.57,-3.05,-9.62,92.25,105.77,-13.52
291,Jackson State,SWAC,,,11,18,61.3,65.9,-4.52,,-5.21,,-12.02,2.29,-9.73,89.99,102.89,-12.90
292,Cal Poly,Big West,,,7,20,61.8,67.5,-5.70,,-2.59,,-9.42,-0.37,-9.78,91.28,105.64,-14.36
293,SIU Edwardsville,OVC,,,11,21,67.5,69.9,-2.41,,-4.16,,-5.37,-4.46,-9.83,91.92,105.09,-13.17
294,Northern Illinois,MAC (West),,,9,21,64.1,71.5,-7.43,,-2.47,,-8.33,-1.57,-9.90,91.06,104.72,-13.65
295,Stetson,A-Sun,,,11,19,69.7,71.5,-1.80,,-3.64,,-5.73,-4.18,-9.91,94.86,109.11,-14.25
296,Texas-Rio Grande Valley,WAC,,,8,22,71.1,78.6,-7.50,,-0.78,,1.09,-11.05,-9.96,97.96,111.27,-13.31
297,UTSA,CUSA,,,10,21,67.4,72.5,-5.06,,-0.80,,-4.78,-5.20,-9.98,93.22,107.11,-13.89
298,Western Carolina,Southern,,,11,21,70.7,77.3,-6.59,,-1.49,,-2.40,-7.67,-10.07,97.09,111.02,-13.93
299,Prairie View,SWAC,,,8,18,69.8,76.8,-7.04,,-3.12,,-0.96,-9.19,-10.16,96.47,109.41,-12.94
300,Army,Patriot,,,15,16,70.4,70.4,0.03,,-7.19,,-3.82,-6.38,-10.19,94.08,107.83,-13.76
301,Eastern Michigan,MAC (West),,,10,21,69.1,76.0,-6.87,,-2.47,,-3.16,-7.14,-10.31,92.45,106.91,-14.46
302,Merrimack,NEC,,,14,16,61.4,64.4,-2.93,,-6.44,,-12.70,2.23,-10.47,91.06,106.26,-15.20
303,Evansville,MVC,,,6,24,59.2,70.7,-11.57,,1.85,,-10.09,-0.41,-10.50,91.60,108.19,-16.59
304,Lehigh,Patriot,,,13,19,68.4,71.4,-2.94,,-7.28,,-4.04,-6.51,-10.54,94.99,110.18,-15.19
305,St. Thomas (MN),Summit,,,10,20,74.7,75.3,-0.63,,-5.00,,-1.64,-8.92,-10.56,104.37,119.48,-15.10
306,Tennessee-Martin,OVC,,,8,22,68.9,73.5,-4.63,,-2.56,,-4.65,-6.01,-10.67,93.15,107.65,-14.50
307,North Alabama,A-Sun,,,9,21,69.4,68.5,0.83,,-2.70,,-9.05,-1.77,-10.82,89.36,104.14,-14.78
308,Cal State Northridge,Big West,,,7,22,62.1,71.7,-9.55,,-0.60,,-7.99,-3.13,-11.11,93.38,109.98,-16.60
309,Sacramento State,Big Sky,,,10,17,65.9,70.3,-4.37,,-4.71,,-9.11,-2.08,-11.19,93.16,109.32,-16.16
310,North Carolina Central,MEAC,,,15,14,72.9,68.4,4.48,,-6.74,,-6.07,-5.16,-11.22,92.88,107.75,-14.87
311,Little Rock,Sun Belt,,,9,19,66.7,73.1,-6.39,,-0.27,,-4.69,-6.89,-11.59,95.88,112.79,-16.90
312,Florida A&M,SWAC,,,13,16,65.3,69.1,-3.76,,-6.16,,-8.84,-2.76,-11.60,92.79,108.73,-15.94
313,McNeese State,Southland,,,10,21,78.1,77.6,0.48,,-4.15,,-0.80,-10.91,-11.71,94.90,110.07,-15.18
314,Maryland-Eastern Shore,MEAC,,,11,14,67.2,66.3,0.88,,-6.86,,-9.51,-2.21,-11.72,89.86,105.87,-16.00
315,Alabama State,SWAC,,,10,21,69.7,75.2,-5.55,,-5.14,,-3.05,-8.69,-11.74,94.61,110.24,-15.63
316,Grambling,SWAC,,,11,19,65.9,71.4,-5.47,,-4.82,,-5.83,-6.17,-12.00,91.97,108.14,-16.17
317,Robert Morris,Horizon,,,8,24,69.4,74.7,-5.31,,-5.07,,-4.31,-7.79,-12.10,96.31,113.63,-17.32
318,Morgan State,MEAC,,,12,13,75.7,72.2,3.44,,-7.62,,-3.56,-8.68,-12.24,89.81,105.58,-15.77
319,Lafayette,Patriot,,,10,20,67.8,72.8,-5.03,,-6.44,,-6.86,-5.51,-12.37,95.70,113.00,-17.30
320,Central Michigan,MAC (West),,,7,22,65.8,77.1,-11.38,,-1.12,,-5.79,-6.70,-12.50,93.28,110.48,-17.20
321,South Carolina State,MEAC,,,15,15,71.7,72.3,-0.63,,-7.80,,-5.43,-7.07,-12.50,89.70,105.78,-16.08
322,Idaho,Big Sky,,,9,21,73.6,80.4,-6.73,,-4.01,,0.04,-12.66,-12.62,97.74,115.09,-17.35
323,Coppin State,MEAC,,,7,22,67.1,75.4,-8.31,,-4.37,,-4.71,-7.97,-12.68,90.18,106.73,-16.55
324,Milwaukee,Horizon,,,10,22,64.8,70.8,-5.97,,-5.90,,-8.81,-3.96,-12.77,90.68,109.06,-18.38
325,Western Michigan,MAC (West),,,8,23,65.4,75.1,-9.74,,-1.79,,-8.16,-4.84,-13.01,94.39,112.82,-18.43
326,Sacred Heart,NEC,,,10,20,72.7,75.1,-2.47,,-8.49,,-2.74,-10.38,-13.11,98.22,116.79,-18.58
327,Southern Mississippi,CUSA,,,6,25,64.5,74.9,-10.35,,0.12,,-6.71,-6.45,-13.16,92.94,111.54,-18.60
328,Northern Arizona,Big Sky,,,9,22,67.3,73.2,-5.90,,-3.57,,-8.68,-4.51,-13.19,92.85,112.16,-19.31
329,St. Francis (NY),NEC,,,10,20,67.2,70.5,-3.30,,-7.67,,-8.21,-5.01,-13.22,91.63,110.02,-18.40
330,Hampton,Big South,,,9,19,64.8,69.5,-4.71,,-5.73,,-8.24,-5.03,-13.27,88.90,107.33,-18.43
331,Northwestern State,Southland,,,9,22,74.1,80.4,-6.35,,-2.49,,-0.99,-12.29,-13.28,96.11,113.26,-17.15
332,Central Arkansas,A-Sun,,,11,20,73.2,81.1,-7.94,,-1.23,,0.06,-13.42,-13.36,95.77,113.32,-17.55
333,Green Bay,Horizon,,,5,25,61.7,68.9,-7.20,,-5.00,,-11.02,-2.44,-13.45,90.73,110.93,-20.20
334,Chicago State,WAC,,,7,24,62.6,74.5,-11.97,,-1.56,,-7.34,-6.19,-13.53,93.64,112.51,-18.87
335,William & Mary,CAA,,,5,27,63.9,74.4,-10.50,,-1.83,,-7.75,-6.11,-13.86,88.22,107.90,-19.69
336,Houston Baptist,Southland,,,10,17,76.1,77.1,-0.93,,-5.88,,-3.49,-10.60,-14.09,93.14,113.06,-19.92
337,Saint Francis (PA),NEC,,,9,21,68.6,73.5,-4.90,,-7.48,,-6.73,-7.40,-14.13,91.95,112.32,-20.37
338,Idaho State,Big Sky,,,7,22,64.8,71.7,-6.93,,-4.72,,-10.98,-3.25,-14.24,91.27,112.16,-20.89
339,Bethune-Cookman,SWAC,,,9,21,63.4,69.5,-6.17,,-6.29,,-9.90,-4.39,-14.29,90.19,110.58,-20.39
340,Alabama A&M,SWAC,,,11,17,61.4,67.3,-5.96,,-8.37,,-13.28,-1.06,-14.34,83.43,102.63,-19.20
341,NJIT,AEC,,,11,18,63.0,70.0,-7.03,,-5.92,,-10.33,-4.05,-14.39,88.16,109.01,-20.84
342,Bucknell,Patriot,,,9,23,71.2,79.4,-8.25,,-6.23,,-1.91,-12.57,-14.48,97.27,117.75,-20.48
343,American,Patriot,,,10,22,63.5,70.9,-7.47,,-7.60,,-10.34,-4.73,-15.07,91.13,112.67,-21.54
344,Lamar,WAC,,,2,27,61.3,73.0,-11.66,,-2.15,,-9.95,-5.45,-15.41,89.69,111.57,-21.88
345,North Dakota,Summit,,,6,25,70.3,78.8,-8.58,,-4.58,,-5.46,-10.43,-15.89,94.25,116.75,-22.49
346,Incarnate Word,Southland,,,7,24,67.1,76.5,-9.35,,-3.56,,-9.60,-6.75,-16.35,93.15,116.07,-22.91
347,Omaha,Summit,,,5,25,69.6,83.5,-13.90,,-1.62,,-3.53,-12.81,-16.35,94.99,117.77,-22.78
348,Holy Cross,Patriot,,,9,22,65.2,70.7,-5.48,,-7.76,,-10.13,-6.60,-16.73,88.75,112.90,-24.16
349,Central Connecticut State,NEC,,,8,24,61.8,72.1,-10.34,,-6.80,,-12.08,-5.07,-17.15,87.70,112.19,-24.48
350,Columbia,Ivy,,,4,22,67.4,78.8,-11.42,,-4.45,,-6.10,-11.24,-17.33,90.68,114.61,-23.94
351,Charleston Southern,Big South,,,6,25,68.5,76.0,-7.55,,-4.03,,-7.63,-9.75,-17.38,89.96,113.38,-23.42
352,Fairleigh Dickinson,NEC,,,4,22,67.2,79.2,-11.92,,-5.78,,-5.62,-12.09,-17.71,91.47,116.06,-24.58
353,Maine,AEC,,,6,23,62.4,71.1,-8.69,,-5.17,,-10.79,-7.42,-18.21,88.85,114.93,-26.08
354,Arkansas-Pine Bluff,SWAC,,,7,24,66.3,78.3,-11.97,,-4.24,,-6.44,-12.18,-18.62,92.74,118.49,-25.75
355,Eastern Illinois,OVC,,,5,26,56.3,71.1,-14.81,,-3.41,,-17.76,-2.76,-20.51,81.21,110.96,-29.76
356,Mississippi Valley State,SWAC,,,2,26,67.2,83.0,-15.75,,-6.08,,-5.39,-16.44,-21.83,88.85,117.61,-28.76
357,Delaware State,MEAC,,,2,25,62.6,73.5,-10.85,,-7.12,,-13.56,-9.10,-22.66,83.05,114.09,-31.04
358,IUPUI,Horizon,,,3,26,52.4,67.1,-14.66,,-6.14,,-21.74,-1.48,-23.22,76.68,112.35,-35.67
