Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Duke,ACC,,31,4,88.9,69.2,19.74,,9.16,,21.30,7.60,28.91,,,
2,Cincinnati,CUSA (American),,31,4,78.2,60.4,17.80,,6.76,,11.43,13.16,24.59,,,
3,Kansas,Big 12,,33,4,90.9,74.7,16.22,,9.36,,22.92,1.46,24.38,,,
4,Maryland,ACC,,32,4,85.0,70.9,14.11,,9.35,,18.19,5.27,23.46,,,
5,Florida,SEC (East),,22,9,80.5,66.6,13.90,,8.37,,13.80,8.48,22.27,,,
6,Oklahoma,Big 12,,31,5,78.0,64.6,13.33,,7.69,,9.43,11.59,21.02,,,
7,Oregon,Pac-10,,26,9,85.5,72.5,13.03,,6.94,,17.05,2.62,19.67,,,
8,Illinois,Big Ten,,26,9,77.4,67.7,9.69,,9.94,,10.91,8.30,19.20,,,
9,Indiana,Big Ten,,25,12,70.5,62.6,7.86,,12.08,,5.53,13.66,19.19,,,
10,Kentucky,SEC (East),,22,10,76.9,68.2,8.66,,11.99,,9.73,9.43,19.15,,,
11,Marquette,CUSA (American),,26,7,73.1,60.7,12.39,,4.78,,4.38,12.79,17.17,,,
12,Stanford,Pac-10,,20,10,80.7,72.7,8.00,,9.03,,12.66,4.37,17.03,,,
13,Alabama,SEC (West),,27,8,75.9,66.7,9.26,,7.67,,9.52,7.41,16.93,,,
14,Arizona,Pac-10,,24,10,82.1,77.7,4.44,,12.47,,15.87,1.04,16.91,,,
15,Southern California,Pac-10,,22,10,77.9,69.8,8.19,,8.31,,9.90,6.59,16.49,,,
16,South Carolina,SEC (East),,22,15,68.3,61.6,6.70,,9.79,,1.15,15.16,16.32,,,
17,Ohio State,Big Ten,,24,8,73.8,64.9,8.88,,7.26,,8.60,7.54,16.14,,,
18,NC State,ACC,,23,11,75.4,67.8,7.68,,8.16,,6.87,8.96,15.83,,,
19,Notre Dame,Big East (West),,22,11,78.8,68.4,10.45,,6.14,,11.07,4.61,15.67,,,
20,Connecticut,Big East (East),,27,7,77.8,69.2,8.59,,7.59,,8.82,6.57,15.38,,,
21,Memphis,CUSA (National),,27,9,80.0,68.8,11.17,,4.72,,11.43,3.86,15.29,,,
22,Wake Forest,ACC,,21,13,82.0,77.1,4.97,,10.28,,14.28,0.98,15.25,,,
23,Michigan State,Big Ten,,19,12,69.4,63.8,5.55,,9.61,,3.12,11.79,14.91,,,
24,Texas Tech,Big 12,,23,9,79.1,71.6,7.50,,7.22,,10.66,4.06,14.72,,,
25,Georgia,SEC (East),,22,10,76.4,71.0,5.41,,9.24,,10.39,4.29,14.68,,,
26,Pittsburgh,Big East (West),,29,6,72.3,60.9,11.34,,4.53,,3.25,11.43,14.68,,,
27,Mississippi State,SEC (West),,27,8,73.8,66.7,7.09,,7.34,,7.38,7.04,14.43,,,
28,Oklahoma State,Big 12,,23,9,71.7,64.1,7.59,,6.81,,2.62,11.78,14.40,,,
29,Texas,Big 12,,22,12,78.1,73.2,4.94,,9.98,,11.33,2.98,14.32,,,
30,Missouri,Big 12,,24,12,79.9,72.5,7.42,,6.80,,11.56,2.66,14.22,,,
31,Xavier,A-10 (West),,26,6,72.4,62.6,9.81,,4.10,,4.59,9.32,13.91,,,
32,Gonzaga,WCC,,29,4,81.1,66.6,14.55,,0.75,,8.89,5.01,13.90,,,
33,Kent State,MAC (East),,30,6,75.9,64.0,11.86,,2.10,,5.71,7.97,13.67,,,
34,Charlotte,CUSA (American),,18,12,73.5,68.6,4.93,,8.69,,7.56,6.06,13.62,,,
35,Mississippi,SEC (West),,20,11,72.0,64.3,7.71,,6.86,,4.50,9.11,13.62,,,
36,Virginia,ACC,,17,12,79.6,74.3,5.31,,7.93,,9.98,3.26,13.24,,,
