Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,31,1,91.0,69.7,21.28,,5.92,,23.21,3.99,27.20,126.59,89.03,37.56
2,Baylor,Big 12,,28,2,82.9,65.5,17.43,,7.40,,15.41,9.42,24.83,124.98,89.29,35.68
3,Illinois,Big Ten,,24,7,80.5,68.6,11.90,,11.34,,15.08,8.17,23.25,119.29,86.45,32.83
4,Michigan,Big Ten,,23,5,75.8,65.1,10.75,,11.25,,9.74,12.25,22.00,118.69,86.42,32.27
5,Houston,AAC,,28,4,76.1,58.2,17.84,,5.37,,7.82,13.84,21.66,119.73,86.92,32.81
6,Iowa,Big Ten,,22,9,83.7,72.7,10.97,,10.43,,18.32,3.08,21.40,125.85,95.09,30.77
7,Southern California,Pac-12,,25,8,74.9,65.1,9.85,,10.65,,9.40,11.10,20.50,116.39,86.42,29.96
8,Alabama,SEC,,26,7,79.7,70.1,9.58,,10.01,,13.35,6.24,19.58,113.27,85.56,27.71
9,Colorado,Pac-12,,23,9,73.1,63.8,9.31,,9.57,,7.71,11.17,18.88,117.17,89.37,27.80
10,Ohio State,Big Ten,,21,10,77.2,71.1,6.06,,12.19,,12.15,6.10,18.25,120.91,94.24,26.67
11,Arkansas,SEC,,25,7,81.4,70.8,10.63,,7.18,,12.42,5.38,17.80,112.93,88.13,24.80
12,Villanova,Big East,,18,7,74.8,66.5,8.28,,9.19,,7.91,9.56,17.47,120.11,94.05,26.06
13,Wisconsin,Big Ten,,18,13,69.9,64.6,5.29,,11.93,,4.38,12.83,17.22,113.23,87.60,25.63
14,Florida State,ACC,,18,7,77.2,69.2,7.96,,9.16,,11.60,5.52,17.12,116.09,90.59,25.49
15,Tennessee,SEC,,18,9,71.9,63.5,8.41,,8.46,,4.46,12.41,16.87,110.51,85.75,24.76
16,Texas Tech,Big 12,,18,11,72.5,63.2,9.31,,7.28,,5.08,11.51,16.59,112.71,88.11,24.60
17,UCLA,Pac-12,,22,10,73.4,68.4,4.97,,11.34,,8.06,8.24,16.30,117.22,93.15,24.07
18,Creighton,Big East,,22,9,76.0,68.2,7.74,,8.54,,9.71,6.57,16.28,114.35,91.01,23.34
19,Oregon,Pac-12,,21,7,72.3,66.0,6.28,,9.65,,8.61,7.54,16.15,117.21,93.57,23.64
20,Connecticut,Big East,,15,8,71.7,64.6,7.17,,8.59,,5.79,9.98,15.77,113.49,90.66,22.83
21,Louisiana State,SEC,,19,10,81.8,75.2,6.55,,9.14,,15.24,0.46,15.70,121.14,98.05,23.08
22,Purdue,Big Ten,,18,10,71.0,66.7,4.32,,11.23,,6.15,9.40,15.55,114.59,91.26,23.33
23,Texas,Big 12,,19,8,74.4,68.2,6.15,,9.36,,8.88,6.63,15.51,113.56,90.94,22.61
24,West Virginia,Big 12,,19,10,77.3,72.0,5.31,,10.05,,11.72,3.64,15.36,116.57,93.99,22.58
25,Kansas,Big 12,,21,9,73.0,67.0,6.03,,10.26,,6.16,9.13,15.29,111.87,89.25,22.62
26,Virginia,ACC,,18,7,68.2,60.5,7.68,,7.59,,0.18,15.09,15.27,116.99,92.54,24.45
27,Brigham Young,WCC,,20,7,78.1,68.6,9.48,,7.23,,8.13,7.06,15.19,113.61,91.20,22.42
28,Loyola (IL),MVC,,26,5,71.0,56.1,14.97,,1.37,,1.22,13.90,15.12,112.23,87.76,24.47
29,Arizona,Pac-12,,17,9,75.4,68.6,6.85,,8.18,,9.17,5.85,15.02,115.47,93.41,22.06
30,North Carolina,ACC,,18,11,75.2,69.9,5.28,,9.52,,9.25,5.55,14.79,110.58,89.17,21.41
31,San Diego State,MWC,,23,5,73.6,61.2,12.46,,2.99,,3.74,10.63,14.36,111.63,90.26,21.37
32,Rutgers,Big Ten,,16,12,69.3,67.6,1.64,,12.50,,4.15,9.99,14.14,109.13,88.46,20.67
33,Maryland,Big Ten,,17,14,68.9,65.6,3.26,,11.97,,3.95,9.99,13.94,114.32,93.34,20.98
34,Memphis,AAC,,20,8,72.4,62.7,9.68,,4.13,,4.83,8.99,13.81,104.91,85.22,19.69
35,Florida,SEC,,15,10,74.2,70.3,3.88,,9.82,,6.86,6.84,13.70,112.07,92.08,19.99
36,Colgate,Patriot,,14,2,85.2,69.6,15.56,,-1.90,,13.54,0.13,13.66,115.18,96.78,18.40
37,Oklahoma State,Big 12,,21,9,76.6,72.7,3.87,,9.78,,10.14,3.51,13.65,109.16,89.40,19.76
38,Penn State,Big Ten,,11,14,72.6,73.0,-0.36,,13.89,,8.99,4.54,13.53,113.01,92.76,20.26
39,Oklahoma,Big 12,,16,11,74.5,69.9,4.67,,8.86,,7.32,6.20,13.52,113.08,93.63,19.46
40,St. Bonaventure,A-10,,16,5,70.0,61.1,8.95,,4.49,,1.77,11.67,13.44,111.34,90.39,20.96
41,Syracuse,ACC,,18,10,74.8,70.1,4.68,,8.59,,8.59,4.68,13.27,113.44,93.67,19.77
42,Duke,ACC,,13,11,76.0,71.3,4.71,,8.33,,9.34,3.70,13.04,115.25,94.48,20.77
43,Georgia Tech,ACC,,17,9,74.9,70.0,4.88,,7.91,,8.79,4.00,12.79,115.03,95.48,19.55
44,Indiana,Big Ten,,12,15,69.7,69.4,0.33,,12.45,,5.01,7.77,12.79,110.14,91.83,18.32
45,Virginia Tech,ACC,,15,7,72.0,66.0,6.09,,6.50,,4.98,7.61,12.59,111.23,92.47,18.76
46,Clemson,ACC,,16,8,64.9,61.9,3.00,,9.49,,-0.71,13.21,12.49,107.66,88.78,18.88
