Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Duke,ACC,,37,2,91.8,67.2,24.67,,10.12,,27.07,7.72,34.79,,,
2,Maryland,ACC,,28,6,84.5,66.4,18.06,,9.04,,19.82,6.32,26.13,,,
3,Connecticut,Big East,,34,2,77.3,61.3,15.94,,8.79,,11.61,13.12,24.73,,,
4,Auburn,SEC (West),,29,4,81.2,61.6,19.61,,5.00,,13.88,10.73,24.60,,,
5,Kentucky,SEC (East),,28,9,75.4,62.7,12.70,,10.01,,9.89,12.82,22.71,,,
6,St. John's (NY),Big East,,28,9,79.0,65.4,13.62,,9.07,,13.39,9.30,22.69,,,
7,Michigan State,Big Ten,,33,5,71.7,59.5,12.18,,10.91,,8.12,14.52,22.64,,,
8,Stanford,Pac-10,,26,7,73.5,60.8,12.70,,10.36,,7.00,15.23,22.23,,,
9,Cincinnati,CUSA (American),,27,6,73.9,61.2,12.73,,7.88,,7.66,12.47,20.13,,,
10,Ohio State,Big Ten,,27,9,74.9,64.8,10.03,,9.51,,10.50,8.53,19.03,,,
11,Utah,WAC (Pacific),,28,5,71.3,55.4,15.91,,3.17,,2.04,15.80,17.83,,,
12,Wisconsin,Big Ten,,22,10,62.1,55.2,6.91,,10.38,,-0.72,18.01,17.29,,,
13,Indiana,Big Ten,,23,11,75.4,69.6,5.85,,11.35,,13.74,3.47,17.21,,,
14,Temple,A-10 (East),,24,11,66.6,58.5,8.09,,8.97,,1.82,15.24,17.06,,,
15,Miami (FL),Big East,,23,7,72.6,65.0,7.60,,9.20,,7.03,9.77,16.80,,,
16,North Carolina,ACC,,24,10,71.4,64.9,6.53,,10.24,,5.68,11.09,16.77,,,
17,Kansas,Big 12,,23,10,72.1,64.5,7.64,,9.17,,8.09,8.20,16.30,,,
18,Syracuse,Big East,,21,12,72.3,63.2,9.12,,7.63,,6.36,9.48,15.84,,,
19,Florida,SEC (East),,22,9,80.3,70.2,10.06,,5.70,,13.00,2.76,15.76,,,
20,Louisville,CUSA (American),,19,11,76.9,69.8,7.10,,8.28,,12.45,2.93,15.38,,,
21,Iowa,Big Ten,,20,10,73.9,70.0,3.93,,11.44,,12.13,3.24,15.37,,,
22,Arizona,Pac-10,,22,7,82.2,75.2,6.97,,8.35,,16.55,-1.24,15.31,,,
23,UCLA,Pac-10,,22,9,77.2,70.7,6.48,,8.86,,10.39,4.89,15.28,,,
24,Gonzaga,WCC,,28,7,78.4,65.1,13.23,,2.21,,9.91,5.13,15.03,,,
25,Mississippi,SEC (West),,20,13,77.0,67.1,9.88,,8.30,,9.83,5.14,14.97,,,
26,Tennessee,SEC (East),,21,9,72.6,65.0,7.63,,6.55,,5.67,8.51,14.18,,,
27,Missouri State,MVC,,22,11,73.2,65.8,7.30,,6.51,,7.17,6.65,13.82,,,
28,Minnesota,Big Ten,,17,11,68.9,65.3,3.61,,9.92,,5.57,7.96,13.53,,,
29,Clemson,ACC,,20,15,71.7,64.7,7.00,,6.56,,4.77,8.64,13.41,,,
30,Oklahoma,Big 12,,22,11,68.1,60.0,8.06,,4.97,,3.50,9.78,13.28,,,
31,Purdue,Big Ten,,21,13,68.5,65.7,2.79,,10.44,,4.72,8.52,13.23,,,
32,Arkansas,SEC (West),,23,11,78.7,71.9,6.82,,6.14,,11.34,1.63,12.97,,,
33,Xavier,A-10 (West),,25,11,77.3,68.3,9.06,,3.89,,11.14,1.80,12.94,,,
34,Oklahoma State,Big 12,,23,11,71.5,63.1,8.41,,5.95,,4.84,7.77,12.61,,,
35,Missouri,Big 12,,20,9,71.8,63.2,8.52,,3.99,,5.36,7.14,12.50,,,
36,Creighton,MVC,,22,9,76.0,68.6,7.39,,4.87,,9.06,3.20,12.26,,,
37,Rutgers,Big East,,19,13,70.3,65.3,5.00,,7.22,,4.87,7.36,12.22,,,
38,NC State,ACC,,19,14,71.6,65.7,5.88,,6.87,,4.20,7.94,12.14,,,
39,California,Pac-10,,22,11,72.9,68.7,4.21,,7.84,,5.33,6.72,12.05,,,
40,Villanova,Big East,,21,11,75.0,70.7,4.28,,7.88,,9.63,2.38,12.01,,,
41,Washington,Pac-10,,17,12,74.2,71.5,2.72,,10.04,,9.12,2.53,11.64,,,
42,Miami (OH),MAC (East),,24,8,67.6,60.4,7.19,,4.41,,0.80,10.80,11.60,,,
43,Oregon,Pac-10,,19,13,75.5,72.4,3.03,,8.86,,8.27,3.08,11.35,,,
44,Charlotte,CUSA (American),,23,11,68.7,65.3,3.38,,7.60,,3.69,7.60,11.29,,,
45,Southern California,Pac-10,,15,13,75.8,72.2,3.64,,7.64,,8.41,2.87,11.28,,,
46,Penn State,Big Ten,,13,14,69.3,66.7,2.56,,8.59,,6.57,4.58,11.15,,,
47,George Washington,A-10 (West),,20,9,79.5,74.0,5.52,,5.54,,13.03,-1.97,11.06,,,
48,Texas,Big 12,,19,13,68.4,64.9,3.53,,7.20,,3.36,7.53,10.89,,,
49,Northwestern,Big Ten,,15,14,60.0,57.1,2.97,,9.09,,-5.43,16.24,10.81,,,
50,Tulsa,WAC (Mountain),,23,10,70.3,63.7,6.58,,4.46,,1.25,9.49,10.74,,,
51,Illinois,Big Ten,,14,18,61.5,62.8,-1.28,,11.88,,-1.15,11.75,10.60,,,
52,Kansas State,Big 12,,20,13,69.2,64.0,5.18,,5.47,,2.53,7.78,10.31,,,
53,TCU,WAC (Mountain),,21,11,86.8,81.0,5.72,,4.90,,17.18,-7.19,10.00,,,
54,Wake Forest,ACC,,17,14,66.6,65.0,1.68,,8.11,,0.38,9.41,9.79,,,
55,Rhode Island,A-10 (East),,20,13,72.0,68.0,4.00,,5.62,,6.37,3.20,9.56,,,
56,Seton Hall,Big East,,15,15,67.6,64.2,3.40,,8.03,,0.90,8.51,9.41,,,
57,DePaul,CUSA (American),,18,13,72.7,71.5,1.19,,8.02,,7.13,2.08,9.21,,,
58,Ohio,MAC (East),,18,10,76.0,67.8,8.21,,2.45,,6.66,2.46,9.11,,,
59,Arizona State,Pac-10,,14,16,74.5,72.2,2.30,,8.27,,8.11,0.95,9.06,,,
60,UAB,CUSA (National),,20,12,74.0,70.5,3.47,,5.48,,7.35,1.61,8.95,,,
61,Saint Louis,CUSA (American),,15,16,65.3,63.7,1.58,,7.32,,-0.75,9.65,8.90,,,
62,Nevada-Las Vegas,WAC (Mountain),,16,13,74.6,68.9,5.72,,4.53,,3.71,5.07,8.78,,,
63,Mississippi State,SEC (West),,20,13,69.1,64.5,4.55,,3.25,,1.06,7.70,8.76,,,
64,Colorado State,WAC (Mountain),,19,11,72.3,66.4,5.90,,3.06,,3.17,5.51,8.68,,,
65,Florida State,ACC,,13,17,70.6,73.3,-2.73,,11.97,,7.26,1.26,8.52,,,
66,Michigan,Big Ten,,12,19,65.6,68.8,-3.19,,11.69,,3.32,5.17,8.49,,,
67,Toledo,MAC (West),,19,9,70.8,63.4,7.46,,3.02,,0.56,7.82,8.38,,,
68,Providence,Big East,,16,14,76.1,76.2,-0.03,,8.31,,9.67,-1.39,8.28,,,
69,Georgia,SEC (East),,15,15,71.6,70.6,1.00,,7.26,,5.85,2.42,8.26,,,
70,Georgetown,Big East,,15,16,68.9,66.4,2.58,,6.35,,1.90,6.25,8.15,,,
71,Detroit Mercy,MW Coll,,25,6,63.4,55.3,8.16,,-0.17,,-5.28,13.38,8.10,,,
72,South Florida,CUSA (National),,14,14,71.6,67.7,3.93,,4.15,,3.03,5.05,8.08,,,
73,Indiana State,MVC,,15,12,69.1,65.2,3.96,,3.96,,1.50,6.42,7.92,,,
74,New Mexico,WAC (Pacific),,25,9,75.2,67.8,7.38,,0.62,,5.08,2.76,7.84,,,
75,Nebraska,Big 12,,20,13,66.0,64.3,1.70,,5.92,,0.13,7.49,7.61,,,
76,Fresno State,WAC (Pacific),,21,12,79.8,75.9,3.94,,3.54,,13.50,-6.02,7.48,,,
77,Southern Illinois,MVC,,15,12,64.7,62.8,1.89,,5.44,,-1.61,8.94,7.33,,,
78,Colorado,Big 12,,18,15,73.1,68.4,4.67,,4.96,,4.91,2.33,7.25,,,
79,Kent State,MAC (East),,23,7,71.9,63.5,8.37,,2.72,,0.98,6.24,7.22,,,
80,Wyoming,WAC (Mountain),,18,10,81.6,76.6,5.07,,1.98,,10.69,-3.64,7.05,,,
81,Virginia,ACC,,14,16,72.8,73.7,-0.90,,9.12,,4.89,2.09,6.98,,,
82,Bowling Green State,MAC (East),,18,10,70.7,65.1,5.57,,2.36,,2.16,4.67,6.83,,,
83,Bradley,MVC,,17,12,62.9,61.2,1.69,,5.13,,-3.98,10.80,6.82,,,
84,Rice,WAC (Mountain),,18,10,68.3,62.0,6.21,,1.73,,-3.59,10.39,6.81,,,
85,Murray State,OVC,,27,6,78.5,67.1,11.36,,-5.24,,7.03,-0.28,6.76,,,
86,Massachusetts,A-10 (East),,14,16,64.3,63.9,0.43,,6.04,,-2.12,8.59,6.47,,,
87,Pennsylvania,Ivy,,21,6,71.1,60.7,10.41,,-4.13,,1.34,4.94,6.28,,,
88,College of Charleston,Southern (South),,28,3,72.8,59.2,13.68,,-6.63,,-0.52,6.50,5.98,,,
89,Evansville,MVC,,23,10,75.8,71.8,4.03,,3.74,,7.68,-1.78,5.90,,,
90,Vanderbilt,SEC (East),,14,15,72.1,71.6,0.55,,6.82,,3.45,2.43,5.89,,,
91,Alabama,SEC (West),,17,15,67.0,68.0,-0.97,,6.79,,1.06,4.80,5.85,,,
92,Illinois State,MVC,,16,15,69.1,68.1,1.00,,4.73,,2.55,3.25,5.80,,,
93,Oregon State,Pac-10,,13,14,64.7,64.6,0.11,,7.16,,-2.50,8.30,5.80,,,
94,Memphis,CUSA (National),,13,15,76.5,76.4,0.07,,5.42,,9.48,-3.99,5.49,,,
95,Iowa State,Big 12,,15,15,62.9,60.8,2.03,,5.74,,-5.61,11.07,5.46,,,
96,Weber State,Big Sky,,25,8,79.1,73.0,6.12,,0.19,,9.04,-3.75,5.29,,,
97,Dayton,A-10 (West),,11,17,67.9,68.1,-0.21,,5.47,,1.95,3.31,5.26,,,
98,Marquette,CUSA (American),,14,15,62.9,62.7,0.21,,4.98,,-3.31,8.49,5.19,,,
99,Northern Arizona,Big Sky,,21,8,77.2,66.7,10.45,,-3.01,,2.58,2.60,5.19,,,
100,Notre Dame,Big East,,14,16,72.3,74.2,-1.93,,6.97,,5.16,0.03,5.18,,,
101,Akron,MAC (East),,18,9,75.2,70.6,4.67,,1.06,,7.39,-2.30,5.09,,,
102,Butler,MW Coll,,22,10,63.5,60.0,3.47,,1.38,,-3.10,8.12,5.02,,,
103,Marshall,MAC (East),,16,11,76.9,70.6,6.26,,0.51,,7.13,-2.41,4.71,,,
104,George Mason,CAA,,19,11,73.8,67.7,6.10,,-0.88,,4.63,-0.06,4.57,,,
105,Old Dominion,CAA,,25,9,71.5,64.7,6.79,,-1.62,,1.67,2.88,4.54,,,
106,Georgia Tech,ACC,,15,16,67.3,72.2,-4.87,,9.37,,1.61,2.89,4.50,,,
107,Valparaiso,Mid-Cont,,23,9,72.7,63.9,8.75,,-3.64,,-0.70,5.10,4.40,,,
108,Southern Mississippi,CUSA (National),,14,16,62.4,61.2,1.20,,3.11,,-6.31,10.62,4.31,,,
109,Princeton,Ivy,,22,8,61.9,52.7,9.23,,-4.24,,-8.36,12.66,4.30,,,
110,UTEP,WAC (Pacific),,16,12,69.1,65.4,3.68,,1.23,,-1.00,5.27,4.27,,,
111,Pittsburgh,Big East,,14,16,67.2,70.4,-3.17,,7.23,,0.85,3.21,4.06,,,
112,Green Bay,MW Coll,,20,11,62.0,56.0,6.00,,-1.06,,-6.81,10.78,3.97,,,
113,Northern Iowa,MVC,,9,18,70.5,72.6,-2.15,,5.83,,5.04,-1.36,3.68,,,
114,San Diego,WCC,,18,9,67.5,62.1,5.41,,-0.87,,-3.89,7.34,3.45,,,
115,Arkansas State,Sun Belt,,18,12,73.5,68.7,4.83,,-0.72,,3.08,0.24,3.32,,,
