Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Indiana,Big Ten,,29,7,78.6,62.1,16.53,,8.39,,16.85,8.07,24.92,121.44,84.75,36.69
2,Louisville,Big East,,35,5,74.5,58.8,15.68,,9.14,,12.78,12.04,24.82,117.29,79.77,37.52
3,Florida,SEC,,29,8,71.4,54.4,17.03,,6.85,,7.92,15.96,23.88,118.49,80.82,37.67
4,Duke,ACC,,30,6,77.2,65.3,11.89,,9.57,,14.20,7.26,21.46,119.24,86.74,32.50
5,Michigan,Big Ten,,31,8,75.2,63.3,11.92,,10.05,,13.47,7.82,21.29,122.50,89.39,33.11
6,Kansas,Big 12,,31,6,75.2,61.9,13.24,,7.55,,11.67,9.12,20.79,113.80,82.99,30.81
7,Gonzaga,WCC,,32,3,77.0,59.9,17.17,,4.14,,11.34,9.10,20.44,118.57,87.31,31.26
8,Syracuse,Big East,,30,10,70.4,58.7,11.73,,8.57,,8.12,12.18,20.30,112.54,82.69,29.86
9,Ohio State,Big Ten,,29,8,70.2,59.4,10.86,,9.33,,9.21,10.99,20.19,115.52,84.80,30.72
10,Pittsburgh,Big East,,24,9,69.2,56.0,13.18,,5.66,,4.68,14.16,18.84,117.35,86.43,30.93
11,Wisconsin,Big Ten,,23,12,65.0,55.9,9.03,,9.73,,3.16,15.60,18.76,110.03,80.85,29.18
12,Michigan State,Big Ten,,27,9,68.0,59.1,8.86,,10.55,,5.78,12.86,18.63,112.13,83.52,28.61
13,Arizona,Pac-12,,27,8,73.4,63.6,9.83,,7.48,,10.25,7.07,17.31,114.47,88.30,26.17
14,Miami (FL),ACC,,29,7,69.7,60.6,9.11,,7.87,,5.28,11.71,16.98,113.26,87.04,26.22
15,Virginia Commonwealth,A-10,,27,9,76.9,64.5,12.42,,4.55,,11.51,5.46,16.97,113.69,89.09,24.60
16,Minnesota,Big Ten,,21,13,68.7,62.2,6.53,,10.31,,7.55,9.29,16.84,112.97,87.42,25.56
17,Creighton,MVC,,28,8,74.4,63.2,11.28,,5.15,,10.26,6.17,16.43,117.88,92.42,25.46
18,Georgetown,Big East,,25,7,64.7,56.4,8.25,,7.61,,1.43,14.43,15.86,107.33,82.47,24.86
19,Oklahoma State,Big 12,,24,9,71.8,63.0,8.85,,6.72,,7.60,7.97,15.57,108.65,85.20,23.45
20,Missouri,SEC,,23,11,76.1,66.7,9.41,,6.01,,11.65,3.78,15.42,114.37,91.07,23.29
21,Baylor,Big 12,,23,14,76.0,66.4,9.59,,7.12,,11.32,3.75,15.07,113.97,91.51,22.46
22,Wichita State,MVC,,30,9,69.7,61.2,8.59,,6.09,,5.46,9.22,14.68,109.88,87.22,22.66
23,North Carolina,ACC,,25,11,76.7,69.2,7.50,,8.06,,12.85,1.72,14.57,111.01,90.05,20.96
24,Iowa State,Big 12,,23,12,79.4,71.0,8.37,,6.13,,15.40,-0.89,14.50,116.63,95.00,21.64
25,Cincinnati,Big East,,22,12,66.5,59.0,7.53,,6.94,,3.83,10.64,14.47,105.36,84.81,20.55
26,Saint Mary's (CA),WCC,,28,7,74.6,62.9,11.63,,3.26,,8.75,5.71,14.46,116.41,93.89,22.53
27,Mississippi,SEC,,27,9,77.2,66.9,10.28,,4.17,,12.96,1.48,14.44,110.18,89.58,20.61
28,Saint Louis,A-10,,28,7,68.2,58.2,10.06,,4.29,,3.48,10.87,14.35,107.91,85.05,22.86
29,NC State,ACC,,24,11,77.4,70.2,7.14,,7.19,,13.60,0.73,14.34,116.57,95.23,21.34
30,Iowa,Big Ten,,25,13,70.1,62.8,7.29,,6.93,,8.03,6.20,14.22,109.00,87.14,21.86
31,Marquette,Big East,,26,9,68.1,62.6,5.46,,8.59,,7.30,6.75,14.05,112.62,90.85,21.77
