Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Duke,ACC,,35,4,90.7,70.5,20.21,,11.98,,24.47,7.72,32.18,,,
2,Arizona,Pac-10,,28,8,81.3,66.3,15.00,,12.56,,15.68,11.17,26.85,,,
3,Stanford,Pac-10,,31,3,83.2,65.5,17.74,,9.86,,15.27,10.50,25.77,,,
4,Michigan State,Big Ten,,28,5,77.4,61.8,15.58,,9.54,,11.25,13.87,25.12,,,
5,Maryland,ACC,,25,11,85.2,72.4,12.83,,11.00,,18.04,5.79,23.83,,,
6,Illinois,Big Ten,,27,8,77.9,65.9,11.94,,11.38,,11.95,11.37,23.32,,,
7,Florida,SEC (East),,24,7,80.9,67.1,13.81,,7.55,,13.41,7.95,21.36,,,
8,Wake Forest,ACC,,19,11,76.5,66.5,10.03,,10.50,,9.36,11.17,20.53,,,
9,Kentucky,SEC (East),,24,10,79.8,70.6,9.21,,11.12,,13.90,6.42,20.32,,,
10,Kansas,Big 12,,26,7,82.0,69.3,12.76,,9.04,,14.69,5.54,20.23,,,
11,North Carolina,ACC,,26,7,79.1,70.9,8.18,,11.77,,12.84,7.12,19.95,,,
12,Virginia,ACC,,20,9,85.0,74.8,10.21,,8.73,,16.17,2.77,18.93,,,
13,Boston College,Big East (East),,27,5,79.6,66.5,13.06,,5.19,,10.71,7.28,17.99,,,
14,Indiana,Big Ten,,21,13,70.8,64.3,6.53,,11.05,,5.87,11.71,17.58,,,
15,Arkansas,SEC (West),,20,11,79.9,68.8,11.10,,6.15,,11.07,6.18,17.25,,,
16,UCLA,Pac-10,,23,9,79.5,74.4,5.06,,12.07,,13.69,3.44,17.13,,,
17,Southern California,Pac-10,,24,10,77.1,71.2,5.88,,10.84,,11.00,5.53,16.54,,,
18,Temple,A-10,,24,13,70.4,63.9,6.43,,9.77,,3.63,12.57,16.20,,,
19,Cincinnati,CUSA (American),,25,10,73.9,65.5,8.34,,7.85,,6.57,9.62,16.19,,,
20,Iowa State,Big 12,,25,6,79.1,68.2,10.84,,4.87,,9.99,5.91,15.90,,,
21,Ohio State,Big Ten,,20,11,71.2,63.6,7.52,,8.16,,5.31,10.36,15.68,,,
22,Fresno State,WAC,,26,7,81.5,71.0,10.52,,5.13,,13.08,2.56,15.65,,,
23,Oklahoma,Big 12,,26,7,74.4,64.3,10.06,,5.50,,5.73,9.83,15.56,,,
24,Tennessee,SEC (East),,22,11,80.8,75.6,5.21,,10.32,,14.60,0.93,15.54,,,
25,Mississippi,SEC (West),,27,8,71.3,64.6,6.69,,9.24,,2.84,12.26,15.10,,,
26,Wisconsin,Big Ten,,18,11,59.4,56.6,2.83,,12.08,,-5.24,20.14,14.91,,,
27,California,Pac-10,,20,11,74.3,68.6,5.68,,9.09,,7.43,7.34,14.77,,,
28,Purdue,Big Ten,,17,15,74.7,68.9,5.78,,9.24,,8.95,5.76,14.71,,,
29,Georgia Tech,ACC,,17,13,75.6,72.9,2.73,,11.79,,7.81,6.71,14.52,,,
30,Notre Dame,Big East (West),,20,10,77.9,69.3,8.67,,5.69,,10.30,4.05,14.36,,,
31,Iowa,Big Ten,,23,12,74.1,70.5,3.54,,10.71,,9.44,4.81,14.25,,,
32,Texas,Big 12,,25,9,70.5,65.0,5.44,,8.89,,3.82,10.44,14.25,,,
33,Charlotte,CUSA (American),,22,11,78.3,71.9,6.33,,7.91,,11.63,2.62,14.24,,,
34,Alabama,SEC (West),,25,11,76.7,68.9,7.75,,6.29,,8.72,5.32,14.04,,,
35,Providence,Big East (East),,21,10,76.1,66.1,10.00,,5.44,,6.75,7.00,13.74,,,
36,Tulsa,WAC,,26,11,76.8,68.6,8.14,,5.10,,7.24,6.00,13.24,,,
37,Memphis,CUSA (National),,21,15,75.1,67.9,7.17,,7.11,,7.92,5.31,13.22,,,
38,Mississippi State,SEC (West),,18,13,74.9,70.6,4.29,,8.76,,8.15,4.90,13.05,,,
39,Saint Joseph's,A-10,,26,7,79.5,71.3,8.27,,4.46,,10.62,2.11,12.73,,,
40,Georgia,SEC (East),,16,15,72.8,72.8,-0.03,,12.75,,6.90,5.82,12.72,,,
41,Gonzaga,WCC,,26,7,82.4,68.8,13.58,,0.32,,12.17,0.40,12.57,,,
42,Butler,MW Coll,,24,8,69.6,60.8,8.81,,3.98,,1.17,11.38,12.55,,,
43,Penn State,Big Ten,,21,12,76.8,74.9,1.88,,10.55,,13.03,-0.61,12.43,,,
44,Creighton,MVC,,24,8,72.7,63.3,9.41,,3.01,,3.67,8.74,12.41,,,
